round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
23.0,8.880685172977099,623.6087458118532,32.85504,32.85504,0.0,0.37859232930368614,0.10991501416430595,2.2454552152289544,0.23675067524403143,0.32255704074100183,0.2962667382545508,0.5724765472773077,0.23710559868280032,0.6941149607802168,0.42518225192281445,0.0961451960674856,0.8441488734709993,0.2042518471510811,0.20460612641961903,0.4989280104637146,0.39823153061219746,0.259801739204516,0.11389601892395189,0.0,0.0,,
24.0,8.73428789015122,595.908068123552,32.85504,32.85504,0.0,0.374496411082127,0.10991501416430595,2.3822988294432728,0.2325980291214874,0.338318111084526,0.30902977429703943,0.5876551125741509,0.24981098527396337,0.7056141577916833,0.42518225192281445,0.0961451960674856,0.8441488734709993,0.2042518471510811,0.20460612641961903,0.4989280104637146,0.39823153061219746,0.259801739204516,0.11389601892395189,0.0,0.0,,
25.0,9.60998743957623,547.3564968344069,36.5056,36.5056,0.9971592150692714,0.37685798103230767,0.10991501416430595,2.097358718697827,0.23630698367403766,0.3059624774156711,0.28308910807011084,0.5829370094426292,0.22518154739494314,0.6820455659435587,0.46191640468849526,0.11636469382566178,1.02167481291298,0.20405019707334754,0.20456703594845127,0.4967164695262909,0.3982190397867613,0.25956137130915463,0.11389601892395189,0.006658492773882151,1.1338052487699315,0.005757221028696537,0.007359020620227024
26.0,9.39037697825375,568.6665495566328,36.5056,36.5056,0.0,0.3755271353303617,0.10991501416430595,2.186021515671058,0.23495419028511128,0.3123606843592343,0.2892415236394017,0.5596066876706517,0.2341521688686611,0.6868007507419868,0.46191640468849526,0.11636469382566178,1.02167481291298,0.20405019707334754,0.20456703594845127,0.4967164695262909,0.3982190397867613,0.25956137130915463,0.11389601892395189,0.0,0.0,,
27.0,8.935507476904288,587.7127887129585,36.5056,36.5056,0.0,0.3857815943426181,0.10991501416430595,2.241520299034612,0.24221459113401422,0.32402684642922147,0.2914487555284532,0.5960894230010939,0.23917042804641564,0.6954647742528266,0.46191640468849526,0.11636469382566178,1.02167481291298,0.20405019707334754,0.20456703594845127,0.4967164695262909,0.3982190397867613,0.25956137130915463,0.11389601892395189,0.0,0.0,,
28.0,8.785344862976157,601.7760457202119,36.5056,36.5056,0.0,0.37329264894235725,0.10991501416430595,2.335266309840132,0.23207690707403783,0.3350433752860071,0.304746327925553,0.5639978456654786,0.24753260902997454,0.7020871024767162,0.46191640468849526,0.11636469382566178,1.02167481291298,0.20405019707334754,0.20456703594845127,0.4967164695262909,0.3982190397867613,0.25956137130915463,0.11389601892395189,0.0,0.0,,
29.0,9.378562947775903,659.9756834593085,40.15616,40.15616,0.9971592150692714,0.3792214013211637,0.10991501416430595,2.0964696494984927,0.2383841579279721,0.31019454372067123,0.27801038644364257,0.5907482096411201,0.22599220042489118,0.6821191447159012,0.4342928025029028,0.10511787141235257,0.9229284079063337,0.2043604125203546,0.20453928926666065,0.4985257387161255,0.40014379766316305,0.26108926478483563,0.11389601892395189,0.006595414994073228,1.1746637579635717,0.005177352447876711,0.007715588662838537
30.0,9.392419427004153,646.2677382381195,40.15616,40.15616,0.0,0.37582893208733964,0.10991501416430595,2.172808268204818,0.23494605346118017,0.315864030294824,0.2907260079032081,0.5873723536983091,0.23338728473800435,0.6882076807444713,0.4342928025029028,0.10511787141235257,0.9229284079063337,0.2043604125203546,0.20453928926666065,0.4985257387161255,0.40014379766316305,0.26108926478483563,0.11389601892395189,0.0,0.0,,
31.0,8.802563488281148,578.2934591656439,40.15616,40.15616,0.0,0.3738316890538245,0.10991501416430595,2.235321746826836,0.23288021476098517,0.323843774501558,0.3007726389039325,0.5860640351187707,0.2390661636984791,0.6950431570378373,0.4342928025029028,0.10511787141235257,0.9229284079063337,0.2043604125203546,0.20453928926666065,0.4985257387161255,0.40014379766316305,0.26108926478483563,0.11389601892395189,0.0,0.0,,
32.0,8.660070110178907,700.7385082431672,40.15616,40.15616,0.0,0.3697598259554818,0.10991501416430595,2.2586971085644154,0.22945007231985556,0.33310529155003166,0.3078310471084188,0.5339212546004863,0.24064843707774547,0.6922004279368983,0.4342928025029028,0.10511787141235257,0.9229284079063337,0.2043604125203546,0.20453928926666065,0.4985257387161255,0.40014379766316305,0.26108926478483563,0.11389601892395189,0.0,0.0,,
