round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,fed_auroc,fed_auprc_lift,fed_ece,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.64522000394785,0.9520731085947981,76.88016,76.88016,1.0,0.34320922599378584,0.2103285222875246,0.30087866310695266,0.5642915239570755,0.706300666426163,2.505490352436147,0.33733926548374943,0.2824582755078842,0.11373363544813696,0.6686602391052061,0.22704998845580188,1.9934848522440687,0.27371273712737126,0.2881976212259836,0.5539029836654663,0.3354912039719913,0.2135213553257931,0.11389601892395189,0.004795652347934498,1.665298344576513,0.0030962512011247123,0.0066642124975284,0.005450409452054266
22.0,0.6454761689915789,1.0528262301410856,80.54112,80.54112,1.0,0.34351094060784215,0.21026534982264153,0.2949496229459396,0.565838832907146,0.7075257425196326,2.5339108974819577,0.3358459338411681,0.2859895988938291,0.11373363544813696,0.6676735510114382,0.22412931343315917,1.967841506232187,0.2754880694143167,0.2851278812756552,0.5706855058670044,0.33385370940276005,0.21382344400787295,0.11389601892395189,0.004709148941779393,1.7078123644514562,0.0029313939465698004,0.006692914584878783,0.004080640837461505
23.0,0.6477611160081775,1.7927879984200241,84.20208,84.20208,1.0,0.34233094923220564,0.2125210958054152,0.30139761018051153,0.575003171088277,0.708969233240992,2.540640656881114,0.3393261339343111,0.28673366645855575,0.11373363544813696,0.6687170002754353,0.22637448406957572,1.9875539655229342,0.27747551686615884,0.2842848734549735,0.5584869384765625,0.3373108258712478,0.21636711730709796,0.11389601892395189,0.0044809157171001686,1.6959022853661736,0.002645486743905981,0.006543762466327373,0.0049812743378411396
24.0,0.6435309636126988,1.0003946601430005,87.86304,87.86304,1.0,0.34689808261203753,0.20835737776846344,0.3013679592736557,0.5648136277929744,0.7105547702321272,2.571766093402889,0.33288999971809863,0.2901571744531212,0.11373363544813696,0.6684715455488124,0.22531553637428595,1.9782564702698575,0.277273733126798,0.2895817490494296,0.5564125180244446,0.3312709482848971,0.21272561090380768,0.11389601892395189,0.0041401254748604475,1.635254948050715,0.0025085934938480405,0.005983116447022342,0.004656368132543034
25.0,0.6467724253894567,1.2277783044553499,91.524,91.524,1.0,0.3506415446243998,0.20106030436692954,0.30561608763857034,0.561649937107634,0.7108711169290111,2.6004141919598442,0.32124546138645454,0.2934673842603154,0.11373363544813696,0.6660689906611499,0.22411852518387695,1.967746786070902,0.2775350655323063,0.286610533267294,0.5663743019104004,0.31893998864639544,0.2058020866820003,0.11389601892395189,0.0043918131974895825,1.8081821990781464,0.0024053387026895987,0.006662661214658534,0.004393348286671214
26.0,0.6481324879033822,1.2714597864512696,95.18496,95.18496,1.0,0.3498429184404223,0.20266739744729992,0.3029891779488404,0.5515172088768217,0.713805403237913,2.5973317485078495,0.3248443324513939,0.29359990779125195,0.11373363544813696,0.6656317050151976,0.22338655624843523,1.9613201441008217,0.2769437598028232,0.28391589661175837,0.5263088941574097,0.32310888340759597,0.2074504469732714,0.11389601892395189,0.00431524077403234,1.8512430752016371,0.0023288910828582607,0.006599527319830679,0.004592425547982357
27.0,0.6423361413344525,1.0932425032498452,98.84592,98.84592,1.0,0.3542682185329409,0.20424261824795928,0.30584048060688546,0.5675569554342544,0.7150996006982424,2.689236793824145,0.3279364819720555,0.30296541223145246,0.11373363544813696,0.6648332963459159,0.22352115132938577,1.9625018805848722,0.27548878824698997,0.28536242083040114,0.5741150975227356,0.3258660400780922,0.20928792126924367,0.11389601892395189,0.00391941117667952,1.747825758815452,0.0021409453339244237,0.005973552108907317,0.004994509912871452
28.0,0.647972903712846,1.5292595186292923,102.50688,102.50688,1.0,0.3522935466266365,0.20762344224108487,0.3079967704519873,0.5848319060886645,0.717586184951943,2.659760377439571,0.3293239469199588,0.3002199621476134,0.11373363544813696,0.6675984676416653,0.22479946474195558,1.9737253932646555,0.27908482624649256,0.2877780988153713,0.558330237865448,0.326868096894996,0.2132144585244398,0.11389601892395189,0.0036956491200073292,1.7158324656556943,0.0020749327009950314,0.005562593183809897,0.004269636313954685
29.0,0.6474420467872639,1.495125306742547,106.16784,106.16784,1.0,0.35378379663250387,0.1986856988029792,0.3155862354288962,0.5585580629832135,0.7183229398864878,2.6747254149719057,0.31819144037740277,0.3023216427992189,0.11373363544813696,0.6664182419031315,0.22468758005734782,1.9727430526555207,0.28135274776890556,0.2904826341903473,0.5419301390647888,0.3159553041685209,0.20419673522805348,0.11389601892395189,0.003707114926466034,1.7879100882828425,0.0020628039209876965,0.005604471189336804,0.004159653246290114
30.0,0.6545473130918374,1.454533988590572,109.8288,109.8288,1.0,0.3543898442927202,0.20529506363497,0.3106520089509617,0.5830153224282605,0.7203271831379573,2.694300853165073,0.32795787523001196,0.3042482819668027,0.11373363544813696,0.6650482182564504,0.2233509268654029,1.9610073203220018,0.27643159839182874,0.2881058458215202,0.53556889295578,0.32589772643916665,0.21108845912909888,0.11389601892395189,0.0036026028267839537,1.7988335768695833,0.001939298154691584,0.005528349874577692,0.004446850046519519
31.0,0.650450312537603,1.6209347894713102,113.48976,113.48976,1.0,0.3544793951008168,0.21288109261567906,0.30748386462084976,0.5868650787347724,0.7232892734505696,2.7238716466071744,0.3416074458447989,0.30835750526202516,0.11373363544813696,0.6626495787977315,0.2217196856512525,1.9466851233781421,0.27449333193321435,0.2836387650652138,0.577049732208252,0.33966404307211595,0.21914460957027826,0.11389601892395189,0.003274188703636074,1.6937630361298943,0.0018115336253370878,0.004975034263224538,0.004151890385593474
32.0,0.6520813359855471,1.5394133211131977,117.15072,117.15072,1.0,0.3594764293151381,0.20355982358500718,0.3141909359788125,0.5638554409026261,0.723986947133054,2.7620437404113702,0.32739785221851525,0.31240491673606674,0.11373363544813696,0.6646255778206812,0.22359697412116594,1.9631676000059417,0.28143511791662007,0.2840202458423717,0.5398201942443848,0.3255801615604061,0.20959041121305788,0.11389601892395189,0.003270328917910281,1.7470523332012817,0.0016535245090457992,0.005155524403150034,0.004812098056742466
33.0,0.6522865446958914,1.6992558469688184,120.81168,120.81168,1.0,0.3595571953264033,0.19850490906399412,0.3154545122816908,0.5640638973019934,0.7247414202281329,2.792148675149665,0.31799222060484805,0.315085557026265,0.11373363544813696,0.6649558166432736,0.22373968549289522,1.964420597020917,0.27836715867158673,0.2861750476469726,0.5394210815429688,0.31582531586126256,0.20481226077212664,0.11389601892395189,0.0030976537852294267,1.7088890507784527,0.0015594913222390845,0.0048958324397066705,0.005596968515724709
34.0,0.6477188652604075,1.6646959603388307,124.47264,124.47264,1.0,0.3618563065792938,0.21044770326643722,0.3068702453999325,0.594832268797709,0.7265829425920227,2.78376702867384,0.3343515846673614,0.31479245072497747,0.11373363544813696,0.6607285463734117,0.22304601568350108,1.9583302190081673,0.2713944057398357,0.28114926419060965,0.5569566488265991,0.3326105049645484,0.21799176756851724,0.11389601892395189,0.0030028180478593293,1.7110907906935608,0.0015650142762450644,0.004685163187928001,0.004568546206544476
35.0,0.654980139322898,2.2902875521277437,128.1336,128.1336,1.0,0.35928809013447127,0.20116468578831279,0.3139092532726555,0.5634639631274034,0.725442347443492,2.8062487914839696,0.3226866060083743,0.3172814513840605,0.11373363544813696,0.6616155165236371,0.22438552847655197,1.9700910584624882,0.27522935779816515,0.2840509071215814,0.5296883583068848,0.3206740307224018,0.2079769092940867,0.11389601892395189,0.003067607784580531,1.8030595646441725,0.0016067157223603268,0.0047792174392954755,0.004842410304178576
36.0,0.6505166747139992,1.729531126954257,131.79456,131.79456,1.0,0.3606634458463472,0.20268856583734896,0.3116280229989778,0.5848268695336963,0.7264386868110116,2.8257418389975304,0.32354590435131475,0.31934322785683467,0.11373363544813696,0.661345213882565,0.22150867205528235,1.9448324370598342,0.27308882015024305,0.28456135106859964,0.5561568140983582,0.3217297699194758,0.21018182384425482,0.11389601892395189,0.0028615364454186148,1.7311633025183255,0.0014023822336128443,0.004575246699754397,0.006087713413001277
37.0,0.6584608319163842,2.3390673303408085,135.45552,135.45552,1.0,0.35962989502478404,0.20546623536144046,0.3130822249242842,0.5802167079252943,0.7251068306900487,2.8006861008113733,0.3276411314598633,0.3168169742685284,0.11373363544813696,0.6609778663311712,0.22092593958735837,1.9397160820420785,0.2724492025344112,0.284887459807074,0.5746716856956482,0.32554371270694027,0.2127199353772204,0.11389601892395189,0.002953099061420935,1.8407604563508357,0.001445946605523164,0.004721590281148137,0.0059262091763880404
38.0,0.6562814581572616,2.2147892187747593,139.11648,139.11648,1.0,0.3610338920956794,0.19945387765120728,0.31624590423129695,0.5708505785372202,0.725991741800516,2.828036827438107,0.31856676945289236,0.3202826961621912,0.11373363544813696,0.6589301848398708,0.21769350392569947,1.9113354969066383,0.2737538496635109,0.28207517862690273,0.5581102967262268,0.3169865442977664,0.20734806367985384,0.11389601892395189,0.0026475758235711684,1.7017353962073685,0.0013168003740108894,0.0042043531572386215,0.004103722540276656
39.0,0.6565660775270877,2.8952600016820127,142.77744,142.77744,1.0,0.3616042223030739,0.2012692220940035,0.31039525974989607,0.5804042357234857,0.7285934780017093,2.8535922861994756,0.32235606374559916,0.3229960051683908,0.11373363544813696,0.6601933248060645,0.2178026829912023,1.9122940823474144,0.27460967777654743,0.2838176722230418,0.5448026061058044,0.3209994186572865,0.2090029179474222,0.11389601892395189,0.0024809241414076918,1.6419979246711591,0.0012584553056061024,0.00391387710064857,0.004038155090265903
40.0,0.6543773445748358,2.31192333898925,146.4384,146.4384,1.0,0.3641795338628971,0.20400004162262061,0.3076071786248267,0.5988298046861259,0.7301638975371263,2.909215443243759,0.3243238780702146,0.32822016953441724,0.11373363544813696,0.6613616662137989,0.21878473241069354,1.9209164154962748,0.2715658325414423,0.28879310344827586,0.5687305331230164,0.3234094223291499,0.2122778444290443,0.11389601892395189,0.002462791006142586,1.675520585373306,0.0012080625750214252,0.003929227671050743,0.00474302722938611
41.0,0.6618905021730724,2.709744019401267,150.09936,150.09936,1.0,0.363657178110485,0.19580912759002897,0.32208592704706174,0.5580971495146149,0.7311678035942439,2.9094360240582375,0.31503795935974827,0.3294459004067759,0.11373363544813696,0.6599302631986474,0.2202346712145529,1.933646788494013,0.27620164126611957,0.2838844206136431,0.5353808403015137,0.313540164518687,0.20360758324830125,0.11389601892395189,0.002450252753578088,1.7124413718011056,0.0012324085721205848,0.003873295808651322,0.0047970622774073015
42.0,0.6604019950211109,2.215318132122726,153.76032,153.76032,1.0,0.36220847978309473,0.21019373749934264,0.3100154043275167,0.5727394153603164,0.7319344312274727,2.9046029271076828,0.3371709917161916,0.32877502846332596,0.11373363544813696,0.658002654861615,0.22075969883545052,1.9382564985247752,0.2691863517060367,0.27972027972027974,0.5590509176254272,0.336484694543528,0.2185498537811036,0.11389601892395189,0.0025037505265519235,1.79712728434788,0.0011576420497880764,0.004080933294851156,0.0044833141070537725
43.0,0.6613395979726505,2.3772340011670705,157.42128,157.42128,1.0,0.3657977150620062,0.20592111738349403,0.3083808101296545,0.5930123178312725,0.7326541398379722,2.9550274023605874,0.32909472374279153,0.33403094124244176,0.11373363544813696,0.6568030527695912,0.21791551906892936,1.9132847761292786,0.2722886511432767,0.28250244379276634,0.5740346908569336,0.32839446184996113,0.21480437093047094,0.11389601892395189,0.0025472768626661046,1.8784557802837298,0.0011020677370703518,0.00423346381912712,0.0077206600035382295
44.0,0.6606981709676856,2.5202894772352296,161.08224,161.08224,1.0,0.3670291351062724,0.2006941073730717,0.3175192131609881,0.5759226883436137,0.7333054332326927,2.9380810402717077,0.32072143994539626,0.3325041643927881,0.11373363544813696,0.6583526590707011,0.22072628691724558,1.9379631439499567,0.2738496071829405,0.28063010501750296,0.5529907941818237,0.3198189234181541,0.2097688399549604,0.11389601892395189,0.0024204255021978887,1.835178898923914,0.0010662991299775434,0.003998107423075272,0.006311593349529399
45.0,0.6603836532102393,7.476242089189752,164.7432,164.7432,1.0,0.370748731063279,0.20196253216840612,0.319038305165891,0.5878311563733392,0.7348522188092615,2.9393038581776505,0.3241808725833072,0.33286052146740386,0.11373363544813696,0.6571158729531656,0.21754410446505235,1.9100237788847216,0.2737193763919822,0.281456488120343,0.5439767837524414,0.3234064711225191,0.211118961597568,0.11389601892395189,0.0023316577095334346,1.8142805982843129,0.0010323299894875499,0.003848306629071777,0.00498315880526035
46.0,0.6537798885584581,2.6985011670204835,168.40416,168.40416,1.0,0.37073348433715686,0.19619829764623603,0.3223088419597479,0.5767603772584524,0.7358709992647333,2.96947173185387,0.31307960869539425,0.33600915629613354,0.11373363544813696,0.6565863362874576,0.2172724181603563,1.9076383899373042,0.27359466605356936,0.2802757793764988,0.5512098670005798,0.31228620460750384,0.20631868874484044,0.11389601892395189,0.0022814897371438393,1.8252500507369405,0.001002498373901846,0.003757372710103702,0.007832462022402861
47.0,0.6701896524071662,4.362805379528594,172.06512,172.06512,1.0,0.36907061593559365,0.20055358043381338,0.3223884376856826,0.5780093601763189,0.737362928018723,2.9938887782432873,0.31998255512142715,0.33903043339769445,0.11373363544813696,0.6545126021343405,0.2185014862547855,1.9184295317703637,0.27055059031225864,0.27992852888624176,0.556870698928833,0.320038239210339,0.21118705750819602,0.11389601892395189,0.002222156974548903,1.827272395559703,0.0009972988295444494,0.0036333088574564396,0.005003531205984048
48.0,0.6741120210264785,3.2348615205519176,175.72608,175.72608,1.0,0.3759827694629244,0.1978920899370807,0.32003103288679946,0.5913749625034114,0.7393783736213773,3.0088663556389834,0.3140026372923701,0.34084387335742866,0.11373363544813696,0.6542033585445126,0.21720525003535895,1.9070486579551689,0.27033571821684094,0.2806004618937645,0.5557741522789001,0.3135568390165104,0.2087607882909945,0.11389601892395189,0.002123209152945652,1.7891338780045771,0.0009727266046586393,0.00344617864118825,0.005123679987439756
49.0,0.6751116012023013,4.1679115405558225,179.38704,179.38704,1.0,0.3738872563039101,0.19998215015698725,0.31950878933683197,0.5997179809841444,0.7390285132264292,3.012820135615618,0.31874086864571016,0.3421273995463847,0.11373363544813696,0.6528323434911439,0.21360646191723018,1.875451520916238,0.2685745734727573,0.27668845315904145,0.5441998839378357,0.31803074934256,0.21057503374582714,0.11389601892395189,0.002101654181275623,1.8104661433608271,0.0009465658817142856,0.0034289594941568323,0.0043923261227294345
