round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_auroc,fed_f1,fed_brier,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6395484659470941,0.7035509833664338,45.99296,45.99296,0.5412350858791136,0.33792061935349454,0.31505267929253955,0.68888846182174,0.2910968363636561,0.21375185917555975,0.2502708586662866,0.11416703379696647,0.5633466503316142,2.195349470449567,0.3713927793165358,0.08418755963743992,0.7391615653717604,0.2045002711006687,0.20450951154489178,0.5148823857307434,0.4372704677057648,0.29576122307668484,0.11389601892395189,0.00545308215941819,0.7595220457296818,,0.00545308215941819
22.0,0.6178270300326247,0.8700233195806131,47.9744,47.9744,0.5412350858791136,0.34902941506885643,0.3275831337618069,0.7031114027251705,0.2992759651369929,0.21865751130221223,0.2670249476945072,0.11416703379696647,0.5616525951832715,2.3570179253507515,0.3652141571469454,0.0835072568002683,0.7331885485481797,0.2045002711006687,0.20451875282422052,0.5147421360015869,0.4353182446021272,0.2938778163923995,0.11389601892395189,0.006142091386010199,0.8845558625180274,,0.006142091386010199
23.0,0.5987278504053676,0.8335842297361629,49.95584,49.95584,0.5412350858791136,0.33140652153079,0.3346750842526087,0.7129352268599385,0.3090515282516547,0.20769128752028787,0.2802736288096659,0.11416703379696647,0.5870543334578484,2.482554072964384,0.35796149015001066,0.08269342786618555,0.7260431808542822,0.2045002711006687,0.2045002711006687,0.5130249261856079,0.4389704243034895,0.2978348081422501,0.11389601892395189,0.005862975761905576,0.8745478263590485,,0.005862975761905576
24.0,0.5804667994042825,1.042648171929048,51.93728,51.93728,0.5412350858791136,0.332338800451889,0.3460001246199157,0.7234893610876024,0.31636501979922205,0.2077010249102596,0.2968759849691059,0.11416703379696647,0.5873657130138699,2.632992052449187,0.3634587021889105,0.08329068555832803,0.7312870664420766,0.2045002711006687,0.20452799493876814,0.5125190019607544,0.4369206423548029,0.2956249796557373,0.11389601892395189,0.006784961041910121,1.0513782419729978,,0.006784961041910121
25.0,0.6446072735386249,1.3527532484524902,53.6064,53.6064,0.4559241291901578,0.3341836244691055,0.3077097627983948,0.6779424624896777,0.2866729133086227,0.21219722351325515,0.2398149200596211,0.11416703379696647,0.5482103177176014,2.0934137117254883,0.362740170779967,0.08320895462777164,0.7305694739280577,0.2045002711006687,0.20450951154489178,0.5115021467208862,0.4371098012603567,0.29586386175668855,0.11389601892395189,0.008259742083442814,0.5264799233991653,0.008259742083442814,
26.0,0.633611648385265,0.9874189898034424,55.58784,55.58784,0.5412350858791136,0.3222720700015616,0.3137457149764654,0.6918242221498299,0.29700939224562234,0.202353588784518,0.2561962852461827,0.11416703379696647,0.5426566384198631,2.2510116871567813,0.36291665371981563,0.08326075306287746,0.731024260983788,0.2045002711006687,0.2045002711006687,0.5079125165939331,0.43768687722871225,0.2962751928387954,0.11389601892395189,0.004826999910879972,0.7709562308155,,0.004826999910879972
27.0,0.6168727384198345,0.984935938840691,57.56928,57.56928,0.5412350858791136,0.3275076634539492,0.33015175580987893,0.7086160095701823,0.304473435037787,0.20527547237894184,0.27307636708234756,0.11416703379696647,0.5703902351630403,2.4165512622167857,0.3604193504715005,0.08296061959516166,0.7283891077049346,0.2044283777677361,0.2045002711006687,0.49635282158851624,0.43779002119606986,0.2965295646309713,0.11389601892395189,0.004743832910164655,0.779523589881137,,0.004743832910164655
28.0,0.6012994579257989,0.9215360977935794,59.55072,59.55072,0.5412350858791136,0.32780649646007914,0.3438814180511972,0.7188105457303257,0.3122405274139234,0.20440027242528974,0.2896436271348237,0.11416703379696647,0.5769823689942873,2.571710049642501,0.35591867784598596,0.08247669826958293,0.7241403084040403,0.20441914057204827,0.2045002711006687,0.4988309442996979,0.44106025936901255,0.29977723979746296,0.11389601892395189,0.005361420330829626,0.9148274133913219,,0.005361420330829626
29.0,0.5771455312361278,1.064261427073298,61.53216,61.53216,0.5412350858791136,0.31727726562707126,0.35201536378284065,0.7275603217790358,0.3230590751296872,0.1972393641589749,0.30708333328289844,0.11416703379696647,0.5680142955165114,2.7376531613488195,0.35980762744633366,0.08290083782438987,0.7278642274559444,0.2045002711006687,0.20451875282422052,0.5116601586341858,0.4430184316020756,0.301124001923313,0.11389601892395189,0.005567504063221113,0.9858384130056947,,0.005567504063221113
30.0,0.640023096486485,1.426825272867209,65.18272,65.18272,0.9971592150692714,0.33671934959254246,0.3064375096567361,0.6760563613458516,0.2869912568510071,0.21385749755348576,0.24044042746682942,0.11416703379696647,0.5541961045226635,2.1011245221783903,0.358554941173441,0.08260124283430081,0.7252338019773411,0.2045002711006687,0.20450951154489178,0.5085968971252441,0.43867112357109206,0.29678197007241736,0.11389601892395189,0.0052260524451547994,1.3115626830840483,0.007325349176661638,0.0044373072509237225
