round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auroc,fed_brier,fed_f1,fed_f1_best,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
26.0,0.16154573585451276,0.078236661622174,55.58784,55.58784,0.5412350858791136,0.5287542328771208,0.3771093254768236,0.1151183282980866,0.6962334427294042,0.2379626544916467,0.2957183343786432,0.31842032873378595,0.26594909039052367,2.323193581729251,0.5155410151472385,0.11489041723653959,1.008730755666286,0.1208156983455175,0.21401524975361796,0.47499457001686096,0.37433913433052013,0.24088568836356006,0.11389601892395189,0.004412614426343611,0.6507628909312189,,0.004412614426343611
27.0,0.15613649325997558,0.07952752811716997,57.56928,57.56928,0.5412350858791136,0.5343499254146431,0.3797889236897261,0.1151183282980866,0.7102508644034378,0.23922206691101375,0.3014267487050659,0.33347300962692195,0.2906758480392203,2.5542925864174104,0.4954498448862666,0.11089386297334344,0.973641256481379,0.1221826809015421,0.20884938074310827,0.47466710209846497,0.37584010841436205,0.2421591512907187,0.11389601892395189,0.005805462270453054,0.8776604452868924,,0.005805462270453054
28.0,0.15235383704289102,0.06430231357343857,59.55072,59.55072,0.5412350858791136,0.5374149101385837,0.3713158444245416,0.1151183282980866,0.7226827116936712,0.23195268486664333,0.3075502016861553,0.34349003735831757,0.3060824169138769,2.7015934841828417,0.49131237849307086,0.10983753581425322,0.9643667693740156,0.12650714153218326,0.20834369250658843,0.4738834798336029,0.3761884138228831,0.24241202915665763,0.11389601892395189,0.005916829798879173,0.924328024033457,,0.005916829798879173
29.0,0.14998785818834284,0.1023374211435238,61.53216,61.53216,0.5412350858791136,0.5334833445813421,0.3586323920286599,0.1151183282980866,0.7291367860258559,0.22222219408468982,0.3168525689285035,0.35392004372993763,0.3207161220906312,2.8430263620840353,0.5222693911492933,0.11604396806318437,1.0188588605600575,0.15101560200176625,0.21585831942724873,0.48017045855522156,0.3761288229850621,0.24214823062368301,0.11389601892395189,0.006742947061303157,1.0860036249505356,,0.006742947061303157
30.0,0.16531335614164877,0.12160351812808039,65.18272,65.18272,0.9971592150692714,0.5185537772705218,0.36850411660991766,0.1151183282980866,0.6813071104061891,0.23294915915211215,0.2889704347265643,0.30939209991770816,0.2509452422279303,2.1759921995977023,0.5369492503685398,0.12021627780029304,1.0554914819328423,0.16580310880829016,0.2211027761046926,0.48595789074897766,0.37901716714920736,0.24418559997485803,0.11389601892395189,0.005321142745545739,1.2355686920927837,0.00784675267821707,0.004311666168603155
31.0,0.16189849624625996,0.08159630493248482,67.16416,67.16416,0.5412350858791136,0.5213526149485767,0.36507031383238586,0.1151183282980866,0.6940137225388516,0.22900601423043238,0.298284593674603,0.32062243624520514,0.2712644697665483,2.3702892764377594,0.5477165293698081,0.12194070193910277,1.0706318191904696,0.15384615384615385,0.224312503744533,0.4891524314880371,0.37773947695600074,0.2431263855063681,0.11389601892395189,0.0038879359971300534,0.6559729405562393,,0.0038879359971300534
32.0,0.15696999030950606,0.07320248787870132,69.1456,69.1456,0.5412350858791136,0.5314180402672303,0.3730012254690055,0.1151183282980866,0.7081876009804502,0.23408770590213843,0.30210298436118155,0.32931260004442053,0.28611849417145757,2.5085014676399036,0.5442800628014723,0.12209521737449915,1.0719884551541863,0.11135318324860809,0.2210776545166403,0.48303788900375366,0.3751610931320479,0.241199087331982,0.11389601892395189,0.004944384982385741,0.8542992846341804,,0.004944384982385741
33.0,0.15390244056787683,0.09274858432021765,71.12704,71.12704,0.5412350858791136,0.5282163500920884,0.37619775977953596,0.1151183282980866,0.724122732051223,0.23554852041722243,0.30962507912370746,0.34152461099931875,0.3063023489917535,2.6949442408038644,0.52205411785411,0.11705179270190247,1.0277074985391517,0.1337006427915519,0.213459735389103,0.4772450625896454,0.37586889712930155,0.24196339013250706,0.11389601892395189,0.006240683185033133,1.1110386626096442,,0.006240683185033133
34.0,0.1485560764270803,0.08921528311400798,73.10848,73.10848,0.5412350858791136,0.5246235867033733,0.36464069314040287,0.1151183282980866,0.7342098937197823,0.22585911016058272,0.31968497583052363,0.3519999508718094,0.3277024391133488,2.8956271856936766,0.5361219026635408,0.12030147292181304,1.0562394898292105,0.06056701030927835,0.2170605187319885,0.4800546169281006,0.3723786330884857,0.2392265035819183,0.11389601892395189,0.006056110635160581,1.1183482193155214,,0.006056110635160581
35.0,0.16242231440008353,0.11784388626853248,74.7776,74.7776,0.4559241291901578,0.52808463426395,0.37205874768516267,0.1151183282980866,0.6859728711905395,0.23505225139891772,0.289161892396303,0.31410131144361547,0.2565362332236752,2.2287794217876877,0.5248520306694545,0.11683051977252139,1.0257647359081872,0.06156775626785148,0.21624282198523379,0.47930288314819336,0.37370728485474103,0.24029157182736094,0.11389601892395189,0.0073819330761554095,0.524933525826782,0.0073819330761554095,
