round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
29.0,0.6419283721354385,1.7417526246120232,106.16784,106.16784,1.0,0.29564907263094714,0.34956924173732545,0.11398539778449145,0.71334439405363,0.5645178193686021,0.30812514801279445,2.59064469574147,0.3126694781736405,0.19882128727198975,0.6503404114081746,0.21125268248533363,1.854785483120236,0.2666817975487971,0.2719224987472858,0.5761856436729431,0.31430082026155026,0.20763669270444696,0.11389601892395189,0.003541728775215964,1.6759370981872053,0.0020170545939720563,0.005167894301799569,0.004421643489878489
30.0,0.6502689978112841,2.03051032477134,109.8288,109.8288,1.0,0.3009567749932063,0.35037236359516116,0.11398539778449145,0.7153801872189484,0.569861763913826,0.3078826385261926,2.637180968956091,0.33393568048146943,0.20954304665112528,0.65088534625117,0.21303563349215515,1.8704396826582548,0.2640592199756933,0.27484309623430964,0.5322355628013611,0.33507849788027644,0.2177372276171404,0.11389601892395189,0.003826193436524811,1.873539245367283,0.002046633688010771,0.005738523875150018,0.004598370441095828
31.0,0.6444927371011978,1.6576635255080638,113.48976,113.48976,1.0,0.29997040935561453,0.35116285811090864,0.11398539778449145,0.7161537801710408,0.5680030803763555,0.31063394426424523,2.6284585175436943,0.32904678062238046,0.20785926286273923,0.6501084724410777,0.21263505509340613,1.8669226290989334,0.2655180030925558,0.27259559675550404,0.5558421015739441,0.3301158243667632,0.2166558126898146,0.11389601892395189,0.003568662706945103,1.8072940565325553,0.0018382454896534808,0.005429940837300585,0.005853467170543094
32.0,0.6521274185589266,2.110893471627672,117.15072,117.15072,1.0,0.3046891095897151,0.35410489570445175,0.11398539778449145,0.7187471982241974,0.5774808173655924,0.3090035173909845,2.671822102052093,0.32447717141023985,0.20543630092423573,0.6486069807379469,0.2113007627240552,1.855207624641738,0.2667701519015412,0.27089108910891085,0.5365750789642334,0.32558045197790364,0.21481214923506017,0.11389601892395189,0.0032563771945929004,1.704686887054777,0.0018048946745871423,0.004816584278976875,0.0057280002822696335
33.0,0.6434110759742999,2.25155866860353,120.81168,120.81168,1.0,0.3052528190912362,0.3552466529395518,0.11398539778449145,0.7204302395109552,0.5642848968851003,0.31174555803592224,2.677697088319998,0.3157599376101539,0.19931813412141244,0.645598513221274,0.20765522217957838,1.8232000041917997,0.2627869970447829,0.26897147796024196,0.5810695886611938,0.3172430749423139,0.2090680601390561,0.11389601892395189,0.0032422122996261745,1.7513316557433427,0.0017835807530912824,0.004824539684172067,0.0047577267287344386
34.0,0.6460057711979528,2.328750902897407,124.47264,124.47264,1.0,0.3088861623137971,0.36027148915574736,0.11398539778449145,0.7224688306284557,0.5621679691262055,0.3178572717066112,2.7069878423361784,0.30562700461358405,0.1919276827711481,0.6429463497384619,0.20790253439081052,1.825371390106502,0.2640255905511811,0.2672826830937714,0.5588304400444031,0.3064347584153124,0.20147088560497345,0.11389601892395189,0.0032912665174407215,1.832391914580512,0.0017490521617669137,0.004969662435741682,0.006127420532759774
35.0,0.6484196532340649,2.178300514607137,128.1336,128.1336,1.0,0.3069982575869956,0.357340953822025,0.11398539778449145,0.7212521069347889,0.5883796885890994,0.3066186365315717,2.694553997827643,0.33639479785855003,0.21155229717665347,0.6442224783872088,0.20696910830316204,1.817175966803149,0.2588434653675069,0.2682123944468298,0.5559166073799133,0.33775641272458967,0.22137529137722287,0.11389601892395189,0.0031838421380626326,1.826413480392148,0.0016231342113825062,0.0048939754791614545,0.004072797159303261
36.0,0.6517468259871896,2.358967082233211,131.79456,131.79456,1.0,0.3087602384426497,0.3587336028474727,0.11398539778449145,0.7230334436256405,0.5946039578165532,0.3056006466841112,2.709773463749322,0.33419346345078904,0.2111081084608368,0.6457151854741201,0.20759944454893645,1.8227102800454345,0.26306046894282187,0.27106227106227104,0.5522366762161255,0.335780347492077,0.22139167529571424,0.11389601892395189,0.0031174257114005236,1.842917611968005,0.0015159951470213443,0.004875413545495405,0.004792544925410339
37.0,0.6467727182609716,2.3378667926764303,135.45552,135.45552,1.0,0.3134363055307826,0.36165606886576235,0.11398539778449145,0.7245964248537001,0.566556724572455,0.31485935311743857,2.746927455454763,0.31831733102330434,0.19944805789165743,0.6455279351046768,0.20943312471918651,1.8388098785000073,0.2644439369719114,0.27024525682554373,0.551567554473877,0.3196614439397579,0.2091984998081797,0.11389601892395189,0.0028137123666808813,1.7117868845380144,0.0014204378951025976,0.004346508714609055,0.005143518269755425
38.0,0.6507463566194553,2.738545176388249,139.11648,139.11648,1.0,0.3144417769753349,0.3602203574876145,0.11398539778449145,0.7262254419352071,0.5964881152004633,0.30841864205652664,2.7559092787577897,0.33768571507808814,0.2132009000693378,0.6446143224684029,0.2068427517745733,1.8160665642991591,0.2588421260620431,0.26831867839062085,0.5542649626731873,0.33927700245469394,0.2237337205714546,0.11389601892395189,0.003187458541644837,1.9945626317257847,0.0014584315578336081,0.005101602178014545,0.00540326185790123
