round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best,fed_auprc,fed_auprc_lift,fed_ece,fed_brier,fed_f1,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
28.0,0.618716623745864,0.7717254519568886,8.5246725,59.55072,0.5412350858791136,0.6882394530159819,0.31680038437961294,0.2655844363988938,2.3410302474129443,0.34079480350209856,0.21259742238693422,0.2962228451633843,0.11388101983002831,0.530557484920572,0.6626170757177194,0.2119925190548565,1.8612812024308192,0.27330298832376804,0.28237332178432223,0.5136858820915222,0.37196411562977494,0.23716959471974705,0.11389601892395189,0.0048805370013985435,0.2248708454426378,,0.0048805370013985435
29.0,0.5993107288324044,0.6762532240046146,8.80692,61.53216,0.5412350858791136,0.6949816376195891,0.325965094828942,0.2732420334761378,2.4123665868166757,0.33942134861263,0.21112777247110118,0.30074277876294037,0.11388101983002831,0.5365543954020445,0.6611577501724422,0.20748206235950709,1.8216796716840682,0.2737244641239811,0.2823400164789893,0.511518120765686,0.3707517478134127,0.23625794702641775,0.11389601892395189,0.005777626897101286,0.27707716455915943,,0.005777626897101286
30.0,0.6447825024625788,0.680301130329436,9.333915,65.18272,0.9971592150692714,0.6580729247631876,0.28661756924877313,0.23079154400696017,2.0313799466168074,0.32387173598363106,0.2048252950591174,0.26841878973655203,0.11388101983002831,0.48055633331268216,0.6623810205304512,0.210326852197591,1.8466567504701439,0.27343355867218244,0.28349313293599376,0.5100530982017517,0.36916025020802734,0.23497939129750056,0.11389601892395189,0.006888757836933913,0.47497226936684456,0.013308544998998277,0.0043257577790576955
31.0,0.6445248733410629,0.6346196996947626,9.6161625,67.16416,0.5412350858791136,0.6715094197179752,0.2986041551713658,0.24450349339857924,2.1558544476664614,0.33887165994774743,0.21305237661790258,0.2780722442417203,0.11388101983002831,0.5241337885768826,0.6588750425489162,0.19924503269613753,1.7493590608217218,0.27328567113080254,0.2838360402165506,0.5097995400428772,0.3694271364292553,0.23527272613843805,0.11389601892395189,0.004106719247341562,0.20570188292185776,,0.004106719247341562
32.0,0.6269928666236044,0.7039743233295508,9.89841,69.1456,0.5412350858791136,0.6840512074926536,0.31216068438753064,0.2579906771742564,2.274418943158385,0.3286672157529468,0.20647286175891985,0.2891773387292749,0.11388101983002831,0.529043741009691,0.6545933202079455,0.1812692473204926,1.5915327772915897,0.2736520854526958,0.2821586415445453,0.5064259767532349,0.36790205626094385,0.23414593060113723,0.11389601892395189,0.004021675172458328,0.20695322744722944,,0.004021675172458328
33.0,0.6177552183533433,0.7784470817181648,10.1806575,71.12704,0.5412350858791136,0.6907064143455997,0.31806773074586964,0.26788289302584,2.3643861561430555,0.3424789616380204,0.21430517931822668,0.29706320987826257,0.11388101983002831,0.545999014336319,0.6580855439903712,0.1923267179507998,1.688616685357685,0.2734476878322801,0.2835630423685554,0.5097943544387817,0.36932053202813353,0.23519381723185276,0.11389601892395189,0.005116569581950519,0.27254758367780596,,0.005116569581950519
34.0,0.6001526576137353,0.8846588622533774,10.462905,73.10848,0.5412350858791136,0.6982628421886918,0.32743314648533883,0.27475718252567644,2.42919680198222,0.3382073555199144,0.21098601206669929,0.3005400927281465,0.11388101983002831,0.5500598173791372,0.6597663924577997,0.19788309818731376,1.7374013600900295,0.27421819293063054,0.28371323061250475,0.509440541267395,0.36742926430189826,0.23369084486408678,0.11389601892395189,0.004929022393202161,0.2726943992965971,,0.004929022393202161
35.0,0.6434583833468943,0.7748609604227215,10.7076525,74.7776,0.4559241291901578,0.6596349725418751,0.28755164962854984,0.23209625861553349,2.0432232604495715,0.32527361885580874,0.20628104636809483,0.2695294074685103,0.11388101983002831,0.5015993141962892,0.6596639136348739,0.19839335367724284,1.7418813717247625,0.2740278057626436,0.28199898011218766,0.5096851587295532,0.3673471139849951,0.2336330630950042,0.11389601892395189,0.01204194476390736,0.26649243469000794,0.01204194476390736,
36.0,0.6394312350820812,0.7413096028154614,10.9899,76.75904,0.5412350858791136,0.6717255965556062,0.29856758850684695,0.24678147871568323,2.171562803042041,0.3337969022283848,0.20960361015042503,0.2817762064485568,0.11388101983002831,0.5323737978672585,0.6494800084472869,0.17017662987860804,1.494140282394195,0.27381071607411117,0.28114045337695726,0.5074970722198486,0.3674448696687661,0.23381105386764345,0.11389601892395189,0.004108815038712363,0.23095224800272263,,0.004108815038712363
37.0,0.6291536282011145,0.7763410337210886,11.2721475,78.74048,0.5412350858791136,0.6837165698567462,0.31045861224620425,0.25897507540139014,2.283645509212026,0.34016394634450575,0.21274891447290767,0.2915407928898381,0.11388101983002831,0.5281330526888203,0.6584045636031062,0.19385075331271426,1.7019976215511796,0.27456176110884634,0.2827004219409283,0.5084282159805298,0.3656468439701549,0.23235271891189635,0.11389601892395189,0.0034999929773254154,0.20072215378968394,,0.0034999929773254154
38.0,0.6182712991925663,0.9472123161348396,11.554395,80.72192,0.5412350858791136,0.691318884703912,0.31774485979343436,0.2661535307973503,2.3515680663726823,0.3485566823593486,0.21789874774491902,0.29313627567297407,0.11388101983002831,0.5433035465130311,0.6591230573636945,0.19773786175281957,1.7361261931801908,0.2738961427289943,0.28150943396226413,0.5098968148231506,0.3672540931776297,0.2335712225402236,0.11389601892395189,0.0038192010258594413,0.22444000729592517,,0.0038192010258594413
39.0,0.6023397841923103,0.939230343652093,11.8366425,82.70336,0.5412350858791136,0.6990507767061643,0.3255616028775829,0.2756272889008409,2.4377395872283274,0.3390144313427921,0.2109243492166726,0.303746736283084,0.11388101983002831,0.5320773417971439,0.6577137664825127,0.1923132629793632,1.6884985515408604,0.27373465109314166,0.28198307134220074,0.5088095664978027,0.367190397750498,0.2335468012339463,0.11389601892395189,0.004196192596677713,0.25381609474425204,,0.004196192596677713
40.0,0.6416999426263572,0.8677750868090675,12.3636375,86.35392,0.9971592150692714,0.6596151794709416,0.2883345876077182,0.23144825998344212,2.0341062114770847,0.31951458541278316,0.20284574289378887,0.2710226304784875,0.11388101983002831,0.5009484167308375,0.6595865462648841,0.19740028884186778,1.7331623239059084,0.27417113361127654,0.2825017568517217,0.5082895755767822,0.36664438609016387,0.23310508457030854,0.11389601892395189,0.005036942102484128,0.4352184898016276,0.00918983681848542,0.0033767841196193334
41.0,0.6432733296369287,0.7811341929922635,12.645885,88.33536,0.5412350858791136,0.6739872067734186,0.3038091046098427,0.2487207848162563,2.1907480253188965,0.35151097444259866,0.22229669467582922,0.27942627565932515,0.11388101983002831,0.5599287463671613,0.6505470130322041,0.17377262486865017,1.5257128959413213,0.2748473626263637,0.28152753108348133,0.5053732395172119,0.36508280827802436,0.23203683168804984,0.11389601892395189,0.002957643948194188,0.18452304843231104,,0.002957643948194188
42.0,0.6365346614727355,1.2897653691196191,12.9281325,90.3168,0.5412350858791136,0.6842405074008012,0.3119931756946332,0.2589845424954139,2.2848493614447625,0.34516508643112914,0.21621578210972486,0.2904626026661185,0.11388101983002831,0.5335442616330177,0.6565665458020604,0.18789167431404005,1.6496772765999388,0.27430830039525694,0.2826812977099237,0.5094151496887207,0.36609178974851764,0.2326841480316668,0.11389601892395189,0.003201046811161918,0.20347898922045715,,0.003201046811161918
43.0,0.6151771524520354,0.9011182567747567,13.21038,92.29824,0.5412350858791136,0.6912973431149947,0.31725085811982456,0.2666535934478333,2.3573499884148554,0.3428209200928261,0.2140512376746071,0.2957152591126205,0.11388101983002831,0.5354615810872774,0.6569304924520318,0.18983272221591577,1.6667195570959037,0.27396443826363365,0.28225993954894213,0.5083163976669312,0.3660555505804762,0.23264574896532958,0.11389601892395189,0.00422022069320005,0.2738869547029026,,0.00422022069320005
44.0,0.5977265670835848,0.7910017877708048,13.4926275,94.27968,0.5412350858791136,0.6988871617037001,0.33067583722553906,0.2760591644225629,2.4412820053668605,0.33494913950925986,0.20846522928189792,0.30334187703801535,0.11388101983002831,0.5425536081368421,0.6539624216205168,0.18155790150702592,1.594067143191824,0.2741708542713568,0.2818966536596902,0.5080200433731079,0.36343720770696963,0.23071404096647535,0.11389601892395189,0.004246024312069627,0.2832378284947481,,0.004246024312069627
45.0,0.6465531475035267,1.2586909234533745,13.737375,95.9488,0.4559241291901578,0.6609006662658574,0.28840202185118924,0.23331178925031976,2.053872481535452,0.31889182624855916,0.20311755226217906,0.2705177184967207,0.11388101983002831,0.5017093016041649,0.6542887826625208,0.18137027712064158,1.592419812686711,0.27445489097819564,0.2819830100164828,0.5094661712646484,0.36299237300671783,0.23037185133480242,0.11389601892395189,0.00946989010766633,0.2571919860201888,0.00946989010766633,
46.0,0.642643861165634,0.9009387589671747,14.0196225,97.93024,0.5412350858791136,0.6748767698690445,0.30256768629268616,0.24795175737711903,2.188137497983722,0.3407356501967044,0.21419587384793703,0.2826461128214886,0.11388101983002831,0.5213725405235428,0.6555397747594283,0.18418359855835945,1.6171206008643586,0.2739807558773931,0.28217237308146403,0.5079477429389954,0.3634497030412277,0.23073342623308793,0.11389601892395189,0.0026687380011502972,0.1807582205365179,,0.0026687380011502972
47.0,0.6276708368286892,0.9552315601271977,14.30187,99.91168,0.5412350858791136,0.6854754028594959,0.3124289581886959,0.25762103835829164,2.274358090211975,0.3370110686271585,0.21105670751193134,0.2922362430731013,0.11388101983002831,0.5348928792374593,0.661754087569773,0.2038422875622374,1.789722674137912,0.27409036385445823,0.2837699024139702,0.509523332118988,0.3629048411754604,0.23025766898474417,0.11389601892395189,0.0025961391386734446,0.1791092018247582,,0.0025961391386734446
48.0,0.6122268009544671,0.9097279751821065,14.5841175,101.89312,0.5412350858791136,0.6938218010184312,0.32104879909544926,0.2677677427661256,2.3656617982467885,0.3416866215367455,0.2138647717078994,0.2974367864045619,0.11388101983002831,0.5464196604942427,0.6615435705167999,0.20095186794536946,1.7643449687169888,0.2736987927963586,0.2842783505154639,0.5097804665565491,0.3636642552713868,0.2308508139265482,0.11389601892395189,0.003453714371108602,0.24336706865869928,,0.003453714371108602
49.0,0.6045116873552592,1.116273906156632,14.866365,103.87456,0.5412350858791136,0.7002212581704328,0.33311695834406296,0.2757633111470117,2.43315926188656,0.3452237528216165,0.21545829668549166,0.30031962933088535,0.11388101983002831,0.5661431977011177,0.6541516297044317,0.18166836572926584,1.5950370122292457,0.27365098155272766,0.28153864141236995,0.5077162981033325,0.3637129096588519,0.23096550463857413,0.11389601892395189,0.004680809286231469,0.33976567584613804,,0.004680809286231469
50.0,0.6548635239893555,1.1231444999167877,15.39336,107.52512,0.9971592150692714,0.6608438324967588,0.28920349764709374,0.23312791815484638,2.051810334835854,0.32270463306971575,0.2050656329996437,0.2677824349654582,0.11388101983002831,0.5038970013196866,0.6481493775296243,0.17182854356863903,1.5086439823973878,0.27418723070896983,0.2777415852334419,0.5057313442230225,0.36327861572159115,0.23069644317888785,0.11389601892395189,0.005242787804960206,0.5438157936150674,0.008837196676693826,0.0037869644720854717
51.0,0.6440421654409059,0.9182261785100078,15.6756075,109.50656,0.5412350858791136,0.6742554750901206,0.3020935794205347,0.2486277729921346,2.189085028322966,0.3487721526748473,0.2199617770552214,0.2797388245723393,0.11388101983002831,0.5278514765514908,0.6499993549581805,0.17444062438586155,1.5315778903767931,0.27342311791493074,0.2799295774647887,0.5067566633224487,0.36483058802728374,0.23184450293370815,0.11389601892395189,0.0037174533771307163,0.2768273490619322,,0.0037174533771307163
