round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_auprc,fed_f1_best,fed_ece,fed_auroc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6412957714719911,0.4271778590404103,43.39824,43.39824,0.005594161094357764,0.5490535619665851,0.21412774382324243,2.269207987129297,0.2595300807176317,0.3225971191903559,0.339752167467992,0.6962822028811775,0.11492950654582076,0.3003256782958384,0.6640368202922023,0.22282408643435025,1.9563816939302276,0.27252561529523606,0.284798134382743,0.5555426478385925,0.3542887273877956,0.2254967161931323,0.11389601892395189,0.006732742895377681,0.0074357346165925264,0.005803335665470083,0.007889323801314442,
22.0,0.623425893635512,0.44809115686240836,45.3848,45.3848,0.5426336261527032,0.5631292967195178,0.2070597817795807,2.4925326161242096,0.28443016732073906,0.34211929698527704,0.33100163203397764,0.7128826836655167,0.11492950654582076,0.31434191515711013,0.6633209242681248,0.22231589404292,1.951919796172681,0.27350427350427353,0.28333828333828337,0.5612772703170776,0.3498265491138078,0.22320963210842273,0.11389601892395189,0.009341244204823776,1.025860954541713,0.00480958865359577,0.009367591118572346,
23.0,0.6036811801962695,0.6046547725872664,45.40528,45.40528,0.005594161094357764,0.5793114443837635,0.19919116665697179,2.6533532378045437,0.30137069537690947,0.35560765413415696,0.3191570922330997,0.7227528045926822,0.11492950654582076,0.32134640785321655,0.6633178873008031,0.22240074993941797,1.9526648256943417,0.27386424371993584,0.2838389731621937,0.5570366978645325,0.3492856504004401,0.22276198090216684,0.11389601892395189,0.006378112167403786,0.007733323611319065,0.004882036368366057,0.008129058618644618,
24.0,0.6423420294113542,0.5465296484669322,49.06624,49.06624,1.0,0.5445567231010063,0.20703249598945617,2.195516689287426,0.2521114560402018,0.31080727331505026,0.3265246592268858,0.6859877214493506,0.11492950654582076,0.29450391163317136,0.6633570917880454,0.22088146334845943,1.9393255834160583,0.2762821293702034,0.28171255769536846,0.5579030513763428,0.3261074592274571,0.20912954876889997,0.11389601892395189,0.0057746071451859815,1.236473609926179,0.005070197864210259,0.006369820629185362,0.005068252682541727
25.0,0.6421918939750507,0.6027112722963565,49.08672,49.08672,0.005594161094357764,0.5643764428066583,0.213720698630286,2.3612226396525924,0.2701729440436058,0.32977696996682115,0.338002102256097,0.7009034925122641,0.11492950654582076,0.3012140076581508,0.6633518210183137,0.2207821507669866,1.938453625094678,0.2767523223549282,0.2819327061074789,0.5602299571037292,0.3280593477501903,0.21035527738111667,0.11389601892395189,0.006295507704303857,0.008129231864586473,0.006162129486885324,0.0064552139549053185,
26.0,0.6193138414797964,0.5582869679327739,50.42816,50.42816,0.36641755168043355,0.5905216620017635,0.21562025043432637,2.5139323978645787,0.2865141306035725,0.33984329278083936,0.34336016262545693,0.7147232786745812,0.11492950654582076,0.31258081050911396,0.6635406275197732,0.22072825030414892,1.9379803823655035,0.27529885193514025,0.2821484992101106,0.5657435655593872,0.33082397832076843,0.21291617318912315,0.11389601892395189,0.007755137421739115,0.6824164292775095,0.00494234984951706,0.007794918311739168,0.005442822036928191
27.0,0.6041499321846605,0.7262651462962253,50.44864,50.44864,0.005594161094357764,0.5672041146986916,0.2085793526698395,2.7497673851059545,0.31136252377026374,0.3570134695204446,0.334959786100418,0.7294098879739649,0.11492950654582076,0.3255854518126048,0.663520397803565,0.22060671401208554,1.9369133012400033,0.2779595298679268,0.2818914398662004,0.55373215675354,0.3282530435688471,0.21122393958601682,0.11389601892395189,0.005537625179292537,0.007530974922701716,0.004584082778019309,0.006710589862263313,
28.0,0.6456392912659314,0.7002928684292795,54.10432,54.10432,0.9985577553428608,0.5472856086096376,0.21071941157190893,2.2155081421803997,0.2547575715690045,0.31891450568945057,0.33425829959855097,0.6884707243429217,0.11492950654582076,0.29574339249815024,0.6616286432501594,0.22064144385083706,1.9372182270756877,0.273773605989496,0.2829666326679295,0.54477858543396,0.3428274165754397,0.21891324903295928,0.11389601892395189,0.006330864245825269,1.4487871651072055,0.005127271215928731,0.007348007971014142,0.004890443699036968
29.0,0.6412998969154567,0.5721242207750603,54.1248,54.1248,0.005594161094357764,0.5678561480353848,0.19570378739223052,2.365496786926609,0.2700927097432313,0.33116701540865934,0.30872546654163646,0.7011991459725049,0.11492950654582076,0.30635750980940213,0.6616994598063399,0.22061686135258052,1.9370023942617862,0.2735080870050195,0.28362279316779104,0.5424616932868958,0.3426919953039911,0.21887602718216315,0.11389601892395189,0.006182149814355051,0.008814217522740364,0.005537137578865384,0.007024773551713276,
30.0,0.6190254070434387,0.5729474642579857,55.46624,55.46624,0.36641755168043355,0.5498015009286961,0.20300337636973617,2.563312114329866,0.29226337397843205,0.3477367074369902,0.3272177058265968,0.7190585693158972,0.11492950654582076,0.31663392682805414,0.6612217900246818,0.22011649272507022,1.9326091886674415,0.2721285857796629,0.2824905975762641,0.5344997048377991,0.3447866892887683,0.21976154190575106,0.11389601892395189,0.007886788211405664,0.7549155375454575,0.00426028436753082,0.00794606693526627,0.003778673410269522
31.0,0.5995204312092121,0.6040267764960718,57.43232,57.43232,0.5370394650583453,0.567594554035175,0.1885229281312792,2.7366951166478177,0.31102664727533585,0.358789570121971,0.2989250374723447,0.7282234370138573,0.11492950654582076,0.32898470116346146,0.6608653855952071,0.21985466691471378,1.9303103742503085,0.2714761376248613,0.28301362246316375,0.5381196737289429,0.335595834126186,0.21566129747058832,0.11389601892395189,0.009169792006309888,1.232665479183197,,0.009169792006309888,
32.0,0.6500279273046522,0.8855724190347031,61.09328,61.09328,1.0,0.542150141478095,0.2115272556445938,2.230710936697155,0.25683640083626974,0.3161046942461921,0.3351531449137003,0.6893639458899908,0.11492950654582076,0.2934644379537557,0.6588253969178244,0.21942139101448296,1.9265062386508007,0.27413753183607315,0.2808168132359517,0.5414056181907654,0.3350427070301371,0.21432356600262784,0.11389601892395189,0.006051221703294627,1.5396932285311777,0.004756478094570919,0.0070681116324328155,0.004288641955961495
33.0,0.6386599878932457,0.6343618188085538,63.05936,63.05936,0.5370394650583453,0.5478119771826303,0.21420653523695893,2.3892779003433113,0.2732066221514134,0.33118795566917425,0.34129526764754675,0.7068747045272458,0.11492950654582076,0.3059858675427171,0.6589663021619844,0.21962680736408705,1.928309781492287,0.2720233419369319,0.2811106315638038,0.5362407565116882,0.3398394924778572,0.21734771274989914,0.11389601892395189,0.006506235017813108,0.9485728740692139,,0.006506235017813108,
34.0,0.6388808514114024,0.6680205240931874,66.69456,66.69456,0.9929635942485031,0.5374960357704069,0.20723603256114564,2.2681668243790822,0.26090085183503675,0.3191077284628162,0.32924523496810876,0.6922677058958991,0.11492950654582076,0.30007761105385033,0.6592467322106126,0.22047248843750772,1.9357348089990458,0.2750295857988166,0.28231841526045487,0.531437337398529,0.3321774373156005,0.21234485958733218,0.11389601892395189,0.005223301949192972,1.4037134563550353,0.004370562220396602,0.00588514335482319,
35.0,0.6355605955926618,0.7287000986630565,68.66064,68.66064,0.5370394650583453,0.5733582665177751,0.20490974286128247,2.4452933409665376,0.2803133994774784,0.33204343906408923,0.32746855718433504,0.7109955704514134,0.11492950654582076,0.30801958025888576,0.6592467322106126,0.22047248843750772,1.9357348089990458,0.2750295857988166,0.28231841526045487,0.531437337398529,0.3321774373156005,0.21234485958733218,0.11389601892395189,0.005892686453151896,0.9179779291152954,,0.005892686453151896,
36.0,0.6398528446533532,0.7868453059314633,72.31632,72.31632,0.9985577553428608,0.5600383902064262,0.2202097254231962,2.3114837259875194,0.2656008724629684,0.32066841310660205,0.3478354952332808,0.6939185957320422,0.11492950654582076,0.2948825799581078,0.6582249433003221,0.21773722686905123,1.9117193816443565,0.2715889464594128,0.28301608381289656,0.5605615377426147,0.3493690446935636,0.22466044393855347,0.11389601892395189,0.004997459075624606,1.4119627620093524,0.0039324303972826935,0.005856001175296694,0.004467718085947922
37.0,0.6401024469273485,0.767839832812123,72.3368,72.3368,0.005594161094357764,0.5775545264171269,0.21598154640041048,2.556940343889347,0.2929837814903324,0.3428442597967413,0.34715905010912185,0.7165700003229167,0.11492950654582076,0.30909478407970353,0.6583296308267543,0.21775355834310411,1.9118627709761977,0.27081995290087774,0.28202553435662026,0.5541155338287354,0.35132515169648243,0.2258132756202959,0.11389601892395189,0.005361976193101875,0.008768034633249044,0.004942075231204899,0.005894515378268297,
38.0,0.6166263738633508,0.7755167597452061,73.67824,73.67824,0.36641755168043355,0.5633698841641317,0.20352337835379453,2.694690105851006,0.30656776171769606,0.3532132693359318,0.3285425916611436,0.7280844403108454,0.11492950654582076,0.3234525202491703,0.6578382821426975,0.21722143225306884,1.907190736825552,0.27036917446991715,0.2817027632561613,0.5607056021690369,0.34516295701088345,0.22221944339296507,0.11389601892395189,0.006631907935014352,0.8060437152162194,0.0038838332779679518,0.0066701952601375784,0.003376866596081877
39.0,0.5918325013950656,0.8296712452213775,73.69872,73.69872,0.005594161094357764,0.6092021106240553,0.19088516295779284,2.894062033472466,0.327904197260847,0.36816321458719603,0.305402703296408,0.7412345467147322,0.11492950654582076,0.33344464373130284,0.6580105861151159,0.21718503019509958,1.9068711290085874,0.2707461084272679,0.28223048327137545,0.5624606013298035,0.3457746209679003,0.22279310477647465,0.11389601892395189,0.005037014818351531,0.008506497601047158,0.0032889163579515016,0.007343095756746836,
40.0,0.6425094538071022,0.9389964273498919,77.35968,77.35968,1.0,0.5377688220057784,0.21019880247256761,2.3368752459278586,0.2689587716923149,0.32496361469434676,0.3330374523738918,0.6964588369255366,0.11492950654582076,0.2970999007206527,0.6586649396278506,0.21936786836641298,1.9260363131119131,0.27191166321601107,0.27983539094650206,0.577621579170227,0.3324883571536293,0.21379973523703028,0.11389601892395189,0.0046581709597507855,1.4050899819812912,0.0036780209488421695,0.005433312328230309,0.004535846362638399
