round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_f1_best,fed_auroc,fed_brier,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
23.0,0.6414381282840826,0.7314165997135037,42.1376,42.1376,0.4559241291901578,0.11418140618115437,0.3274637068637466,0.3206680431240111,0.6788098727594929,0.2072096543137961,2.303406809383761,0.2813941213992808,0.5352782131154952,0.2580450523596839,0.6580943662549459,0.20858642077941844,1.8313758702899978,0.2210355478770745,0.2749381098004951,0.5382831692695618,0.4085472941599614,0.26582494886882646,0.11389601892395189,0.006352638223364379,0.579343784134835,0.006352638223364379,
24.0,0.6368824944570023,0.7073077184435619,44.11904,44.11904,0.5412350858791136,0.11418140618115437,0.3315483034008803,0.32582117660696025,0.6925919383521798,0.21055350917602686,2.474609380715792,0.29102213176791775,0.5705416876009745,0.27483231112113704,0.6576747251381432,0.2084014951190986,1.8297522344327752,0.22158730158730158,0.27400091869545246,0.5306116938591003,0.4065499911986141,0.264296801702801,0.11389601892395189,0.007269686695632555,0.8873460217146203,,0.007269686695632555
25.0,0.6338813980465299,0.6563685432383302,45.78816,45.78816,0.4559241291901578,0.11418140618115437,0.32995431355429966,0.3178783328381507,0.6816019303570506,0.20826281081422646,2.3557246529109275,0.29003521682254046,0.5578439421100583,0.26352187731881566,0.6570691011465228,0.20780412038721546,1.8245073212432983,0.22171537686309872,0.27326046387629965,0.5325801968574524,0.4062920038317559,0.2640638099689962,0.11389601892395189,0.005138036837940033,0.5008296193554997,0.005138036837940033,
26.0,0.6390288650929834,0.7011149472744858,47.7696,47.7696,0.5412350858791136,0.11418140618115437,0.33178170139344365,0.32982824098340024,0.6915139124957221,0.2084589415562485,2.466194989171002,0.2979394263041681,0.5381129196095046,0.2740441814771649,0.6576106225386447,0.20884682332255847,1.8336621885090207,0.21450700762232605,0.2738289443020275,0.5314653515815735,0.4099495492530964,0.2671617103559165,0.11389601892395189,0.007742076279154074,0.986341415788047,,0.007742076279154074
27.0,0.612851442351648,0.764500511443879,47.7696,47.7696,0.0,0.11418140618115437,0.3315576121087419,0.34184439368400693,0.7085198491219573,0.20754342155031197,2.678421211519336,0.3021764455387657,0.5555864012870911,0.2970858248759612,0.6576106225386447,0.20884682332255847,1.8336621885090207,0.21450700762232605,0.2738289443020275,0.5314653515815735,0.4099495492530964,0.2671617103559165,0.11389601892395189,0.0,0.0,,
28.0,0.5946156068233589,0.6992751765934333,49.75104,49.75104,0.5412350858791136,0.11418140618115437,0.31426539204993537,0.3479115236954826,0.7212516878622018,0.1965827420397528,2.8026843348151114,0.3114667043787722,0.5798482691250445,0.30911628904286415,0.6563679758271456,0.20543286816897033,1.8036878734641058,0.20778618161570228,0.2725189919208971,0.5341315865516663,0.4140007189922217,0.27069465733941855,0.11389601892395189,0.008245366228448354,1.109435292193666,,0.008245366228448354
29.0,0.6399197133799237,0.9207716727020607,51.42016,51.42016,0.4559241291901578,0.11418140618115437,0.3344069261533213,0.31980246710793436,0.6845427982665757,0.21264989437590764,2.3937476735633454,0.28405394992531735,0.5639188251317825,0.266754932180333,0.6567507466547302,0.2057801277129112,1.8067367907767709,0.20802460506081363,0.2749709264762889,0.5351687669754028,0.4140476068364902,0.2706808917599493,0.11389601892395189,0.005273972863317386,0.5490534259006381,0.005273972863317386,
30.0,0.63355878487767,0.8635940793096907,53.4016,53.4016,0.5412350858791136,0.11418140618115437,0.332273953341432,0.328884426641079,0.697361247439777,0.21086479090370283,2.5441398357946063,0.2929199750505711,0.5643852840509452,0.2828188523466136,0.6563695319591617,0.2064067198520895,1.8122382309947707,0.2079888527635857,0.27452511059068435,0.5357773303985596,0.41410373350719465,0.2707521376047151,0.11389601892395189,0.005921337084959099,0.8339153497945517,,0.005921337084959099
31.0,0.6328973173318327,0.869716021351028,55.07072,55.07072,0.4559241291901578,0.11418140618115437,0.3337031267963238,0.3203507014519497,0.6864781665841345,0.21123256055913187,2.4037659877789106,0.28758864303940834,0.5593025467034409,0.268561917677569,0.6549628764628457,0.2083333914810509,1.829154288703933,0.20828292228943696,0.27294816414686823,0.5369199514389038,0.41426837257112814,0.2708810157090551,0.11389601892395189,0.004721336130112024,0.5225134096108377,0.004721336130112024,
32.0,0.6361348448101227,0.9984588025142582,57.05216,57.05216,0.5412350858791136,0.11418140618115437,0.3335536510852484,0.3341357183122917,0.7011385519164863,0.2098516153050061,2.5460593999260257,0.2989472524919935,0.5579182722761052,0.2828003561749117,0.6551460357110211,0.20826400774681614,1.8285451038097613,0.2067188219052002,0.2726596219675547,0.5372894406318665,0.4148664835388044,0.27147449178189514,0.11389601892395189,0.00617416801875786,0.8987827573437244,,0.00617416801875786
33.0,0.6119271818527844,0.7888488590047327,57.05216,57.05216,0.0,0.11418140618115437,0.3244731202202794,0.3473916272737674,0.712729732290551,0.20281752772177625,2.7271157551572833,0.30971595840702043,0.5592493217272207,0.3013231498501687,0.6551460357110211,0.20826400774681614,1.8285451038097613,0.2067188219052002,0.2726596219675547,0.5372894406318665,0.4148664835388044,0.27147449178189514,0.11389601892395189,0.0,0.0,,
34.0,0.5916545519456687,0.8600304783331246,59.0336,59.0336,0.5412350858791136,0.11418140618115437,0.3121175981240555,0.35732360258261,0.7259693872119244,0.19520551426485797,2.8695191539572877,0.3149973067194779,0.5634212157417439,0.31671692387332206,0.6545286654325703,0.20739638016685757,1.8209273873333156,0.2047593195801665,0.27247191011235955,0.5354759097099304,0.4177630939123177,0.27408067903061506,0.11389601892395189,0.007226119519749819,1.1042586694238707,,0.007226119519749819
35.0,0.6384489899984083,1.1168191193553696,60.70272,60.70272,0.4559241291901578,0.11418140618115437,0.35303643176386856,0.3236923871973938,0.6894113420773028,0.223972763921253,2.401848066977424,0.2848200071754358,0.5971672525338051,0.2691181963206214,0.6546261370242509,0.2071981174904674,1.8191866533000869,0.20467598245376023,0.27199375325351377,0.5366166234016418,0.41846380048251985,0.2746919170467227,0.11389601892395189,0.004570622683111945,0.5358423097059131,0.004570622683111945,
36.0,0.6350997089292824,1.0319323452730795,62.68416,62.68416,0.5412350858791136,0.11418140618115437,0.33317945272707283,0.33432990844510796,0.705985367319101,0.20810394103537208,2.6218627166823234,0.3019349752696131,0.5351133680841864,0.290863170282808,0.654545029917642,0.20634586232736213,1.8117039056926019,0.20473153299859773,0.27170377783337507,0.5365000367164612,0.4182370685146322,0.2744752124107743,0.11389601892395189,0.006110309277586448,0.9724555405555293,,0.006110309277586448
