round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
22.0,0.6429236816978299,1.2125793686782003,80.54112,80.54112,1.0,0.702495243102858,0.2709198941913631,0.3309719606540292,0.33923465785852913,0.5507468154900205,0.11366354081439993,2.38500814502427,0.2991351690437185,0.21241829547932925,0.6600935692141667,0.2196291860967338,1.9283306666177655,0.2716129732075062,0.2806378132118451,0.5558596253395081,0.33856136793312613,0.2170563926665008,0.11389601892395189,0.005106156342163745,1.8553380453868158,0.0027969485238629483,0.007716701723787855,0.003959681067515533
23.0,0.643535807959918,0.971435133828167,84.20208,84.20208,1.0,0.7028553518804552,0.2735300254425319,0.3321352917238161,0.3329581964176751,0.5698767064542632,0.11366354081439993,2.408564631774283,0.3021301343054466,0.2090176689258538,0.662125212506141,0.22176801428454207,1.9471094457885842,0.27439092848321545,0.28151913031201464,0.5435487031936646,0.3320870354832174,0.21375783159354736,0.11389601892395189,0.004610472188379738,1.7507273131777765,0.0026218168512237203,0.006867712304569426,0.0055634043186249885
24.0,0.6397306856197642,1.1082227862190535,87.86304,87.86304,1.0,0.7049677373652457,0.2738993768705727,0.3351718488783859,0.3377456069649095,0.5773717401457431,0.11366354081439993,2.4037869467934763,0.2958936135465996,0.21301986258618286,0.6605781788426384,0.22131257565168128,1.9431107227676778,0.26882725667393786,0.27930454290521595,0.5505670309066772,0.3367552041962542,0.21811595305951692,0.11389601892395189,0.004514824862292537,1.7867898895929102,0.0025313321564528553,0.006786618039932859,0.00428594625539113
25.0,0.644866858485673,1.4285052420542654,91.524,91.524,1.0,0.7077989165494054,0.27304261950216935,0.3376950144965128,0.3294239778763174,0.5623121650420486,0.11366354081439993,2.405397741931106,0.30284561669954085,0.20750622440809197,0.6599439295515945,0.22057253204663652,1.9366131856980207,0.272170267655595,0.2801043104770671,0.5644440054893494,0.3282761263200652,0.21265730524076434,0.11389601892395189,0.004229691421377862,1.7438012183156388,0.0023770687719729413,0.00636541485185203,0.004486937949668428
26.0,0.6428121780347782,1.3118646325539032,95.18496,95.18496,1.0,0.7086725180740616,0.27758648419107385,0.33548249461569474,0.32127301716573664,0.5372443076621011,0.11366354081439993,2.4471975945420357,0.3055640424989468,0.20145558051935006,0.6602502114708112,0.22143241530404656,1.9441629075015912,0.2735217341958915,0.2808041504539559,0.5571577548980713,0.3200535218475729,0.20662276710015065,0.11389601892395189,0.0041800777649064055,1.7918602727895632,0.002301131852839758,0.006355901772115534,0.004279102894259947
27.0,0.6422003439342655,1.2523589039758791,98.84592,98.84592,1.0,0.7119723322517624,0.28032177231534555,0.3414394666555719,0.32578335358054433,0.5490384241829241,0.11366354081439993,2.4643135701616488,0.30963843210603553,0.20391660230061054,0.6586976936968973,0.22113120489456634,1.941518298740671,0.2692481884057971,0.2791456541085731,0.546237587928772,0.32480539903148287,0.20983444449912955,0.11389601892395189,0.004016786836861169,1.7869682732962247,0.002128606422755881,0.00622326004525859,0.004470730252643302
28.0,0.641121534014164,1.6078207083390375,102.50688,102.50688,1.0,0.7118376310949449,0.28295484414541683,0.3392523929086569,0.3204132088551642,0.5747023823465482,0.11366354081439993,2.4892224688530673,0.3077273591686228,0.20105319768793392,0.656883193568416,0.2190435376441089,1.9231887094347324,0.2725386211667051,0.2761003455009764,0.5502914190292358,0.31948785478866226,0.20768974040866578,0.11389601892395189,0.003702904787653434,1.7113629405212123,0.0019712636440930745,0.005730017158733643,0.0046654794776487835
29.0,0.6462485073819239,1.6470088564860066,106.16784,106.16784,1.0,0.7117823475673953,0.28414731466236476,0.34386880889979976,0.3134985427525786,0.541471769533026,0.11366354081439993,2.503554109559995,0.3147160121861825,0.19563711697281377,0.6563356735383616,0.21636686360039695,1.8996876769227957,0.2724185637026789,0.2777852984973602,0.513154149055481,0.31273205502646967,0.20238968160041929,0.11389601892395189,0.0036799104396594254,1.7666769113238843,0.001940293155579618,0.005714768381344669,0.0044762126002312365
30.0,0.6450431233618612,1.6952974584525216,109.8288,109.8288,1.0,0.7146129176682081,0.28754061146043386,0.34861734117726845,0.3258201105552836,0.5677703313346146,0.11366354081439993,2.5277391014260604,0.30718028159066935,0.20413988644000092,0.6563083784808226,0.2162494282046461,1.8986566014132185,0.26983769161406673,0.2772474711497364,0.5438717603683472,0.32470321562504445,0.2110505229017591,0.11389601892395189,0.0035332526686414983,1.75951148105014,0.0018531355192280504,0.005498053540907778,0.00438310744403734
31.0,0.6527668066810074,1.7528847738171964,113.48976,113.48976,1.0,0.7164093024038075,0.2876383896494465,0.3490318036747366,0.3292270156043645,0.574064794653755,0.11366354081439993,2.527016452007751,0.3032038689910675,0.20746895696804207,0.6557412436576954,0.21938591711042776,1.9261947799677812,0.2672521957340025,0.27837799915813105,0.5499522686004639,0.32832655467229305,0.21462827373072627,0.11389601892395189,0.0032981108098594147,1.6982259523329049,0.0017064259672365932,0.00516748148162311,0.003889662644583451
