round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_brier,fed_auprc_lift,fed_f1_best,fed_ece,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.17404513881063596,14.881154813139284,483.67872,483.67872,0.9991046702896288,0.395374630825429,0.9985580656511941,0.06821715867386416,2.074861606623048,0.9927563247450003,0.14729526947067756,0.8860759493670884,0.9512457303596543,0.9456269773025427,0.6659516776845296,0.9833397640112771,1.016810844168443,0.0,0.9832657200811359,0.48402684926986694,0.48296423273490846,0.265087645932762,0.9670822942643391,0.0003586387018254226,0.21786787110659134,0.00011471035611110895,0.0003986520209497529
22.0,0.18348545373077052,22.926289290195147,506.71104,506.71104,0.9991046702896288,0.36778520318023256,0.9989040289231652,0.08542771596905979,2.0752141596716283,0.9927563247450003,0.1873798453983878,0.8860759493670884,0.9684448462929475,0.9153409951178262,0.671659868410771,0.9836992536121749,1.017182570135333,0.0,0.9832657200811359,0.48383334279060364,0.48316769568700146,0.2652842870728448,0.9670822942643391,0.0002209977013273261,0.13434318232901887,6.689547339813039e-05,0.00024626259653214624
23.0,0.1923027823668772,27.362465555342936,529.74336,529.74336,0.9991046702896288,0.3795953623730422,0.9993697648402212,0.10650872061516373,2.07587213612807,0.9957407849693495,0.2182234787551159,0.8860759493670884,0.9677516576250753,0.8990066311736377,0.6679950614968665,0.9836027744690736,1.017082807019336,0.0,0.9832657200811359,0.4837116599082947,0.48330373590129266,0.2654158577632496,0.9670822942643391,0.0002496741812570716,0.1518577310783371,6.98661694696074e-05,0.0002791393768484053
24.0,0.15632720464352748,26.554128108820453,552.77568,552.77568,0.9991046702896288,0.35639370487460603,0.9992625852003714,0.07990597706010225,2.075762655255402,0.9935931814422265,0.19032612958537876,0.8860759493670884,0.9634412272356453,0.9350419224136903,0.6771180083454451,0.984140298463156,1.017638627343284,0.0,0.9832657200811359,0.4836028516292572,0.4834163129478321,0.2655246506683503,0.9670822942643391,0.0002029804535199401,0.12351387365612254,5.03973117589247e-05,0.00022797419684837027
25.0,0.14415797001642433,10.975199314839355,575.808,575.808,0.9991046702896288,0.47038391471412105,0.9992567581565354,0.09958687025330444,2.075756454375279,0.9935931814422265,0.20410270762594437,0.8860759493670884,0.9634305758295387,0.9324939052667736,0.7099957803928924,0.9865293760846339,1.0201090247806555,0.0,0.9832657200811359,0.48347997665405273,0.4835337102413177,0.26563778507497116,0.9670822942643391,0.00019899428265953852,0.1211372919969449,7.448305706846357e-05,0.00021938341854325216
26.0,0.12942341334394725,14.022389559300446,598.84032,598.84032,0.9991046702896288,0.4150739669925552,0.9997441491176903,0.09223060569056689,2.076253391818765,0.9935931814422265,0.20667056230050096,0.8860759493670884,0.9870900116439235,0.9331581522350838,0.6951646428180724,0.986014661996393,1.019576790769865,0.0,0.9832657200811359,0.48339369893074036,0.48361129137940534,0.2657128382542306,0.9670822942643391,0.00016812562647630592,0.10238509376034699,6.546193628753248e-05,0.00018493219027631888
27.0,0.17025092587369056,21.20449981442665,621.87264,621.87264,0.9991046702896288,0.30975894450764113,0.9998373359946596,0.09466645757438329,2.0763486133997358,0.9957407849693495,0.21087667572347424,0.8860759493670884,0.9914004420333534,0.9380608551273842,0.6770242392986076,0.9848885097657925,1.018412306384948,0.0,0.9832657200811359,0.48336392641067505,0.4836431103305626,0.2657437862023191,0.9670822942643391,0.00018217689147604913,0.11098149038991778,6.297559052277503e-05,0.0002016850736831887
28.0,0.16133145543571567,23.884353966241378,644.90496,644.90496,0.9991046702896288,0.22899940597357119,0.9998373359946596,0.09290983401491715,2.0763486133997358,0.9957407849693495,0.21641281328875298,0.8860759493670884,0.9914004420333534,0.9342003395367157,0.6527732195602232,0.9834871443169085,1.016963241029088,0.0,0.9832657200811359,0.4833047389984131,0.48370308028789527,0.2658019015307591,0.9670822942643391,0.00017567555852246282,0.10705753524058537,6.274399508605561e-05,0.00019415243992506462
29.0,0.1270246503783369,12.233017242194794,667.93728,667.93728,0.9991046702896288,0.21980588062654563,0.9996431399021457,0.08751509687213496,2.076054606442744,0.9928670479100479,0.21400455945026015,0.8860759493670884,0.9949612191986754,0.9361108385022142,0.6538007720318189,0.9836443124630906,1.0171257588904057,0.0,0.9832657200811359,0.48316752910614014,0.48382715007610744,0.2659218946652869,0.9670822942643391,0.00017164157963316736,0.10463844732367988,6.79987961468165e-05,0.00018859390232356068
30.0,0.14966680337501315,25.832976594351475,690.9696,690.9696,0.9991046702896288,0.2671052265267834,0.9994171145285137,0.06664288460363423,2.075724118975045,0.9950146514371707,0.17348387192950465,0.8860759493670884,0.9963934096845487,0.9462263687957683,0.6223529779486459,0.9818031842410819,1.0152219620440275,0.0,0.9832657200811359,0.48307403922080994,0.48391240965993026,0.26600460939864373,0.9670822942643391,0.00017272558241814215,0.10534054989733477,6.658962041426782e-05,0.00019008099390643567
