round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_f1,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
26.0,0.6420121017486151,0.747072104226989,9.136,36.5056,0.0,0.11337740006295247,2.371635540781648,0.32704761740922456,0.6965570056241737,0.2668443164105164,0.5660792737927195,0.28777500955432095,0.21981541665726845,0.34940195705672467,0.6082793050153783,0.1456934691626848,1.2791796459537712,0.18473895582329317,0.24484117783445397,0.4775233268737793,0.3524134904071198,0.22369419527230572,0.11389601892395189,0.0,0.0,,
27.0,0.6233543179001904,0.6202700746202562,9.136,36.5056,0.0,0.11337740006295247,2.5014540406228187,0.3380868267904975,0.7078212228592693,0.2807905760340337,0.581152267781751,0.30320524703558155,0.20627806371201107,0.32817515802314934,0.6082793050153783,0.1456934691626848,1.2791796459537712,0.18473895582329317,0.24484117783445397,0.4775233268737793,0.3524134904071198,0.22369419527230572,0.11389601892395189,0.0,0.0,,
28.0,0.604391023469821,0.8390605670109681,9.136,36.5056,0.0,0.11337740006295247,2.63721200247047,0.34208807581731226,0.7189847898529043,0.2952744201557101,0.5762222655734289,0.31493323078754265,0.19717316553709086,0.3137624933572851,0.6082793050153783,0.1456934691626848,1.2791796459537712,0.18473895582329317,0.24484117783445397,0.4775233268737793,0.3524134904071198,0.22369419527230572,0.11389601892395189,0.0,0.0,,
29.0,0.6391886824980992,0.6783165495026232,10.0496,40.15616,0.9971592150692714,0.11337740006295247,2.17644321104504,0.30753803760735277,0.6793644860022496,0.24676814232743674,0.5621788306096683,0.2813318253637914,0.2090723070600401,0.33015688349418676,0.5998522101266145,0.1436956022941907,1.2616384984459899,0.18300193559739575,0.24003497777453908,0.47384878993034363,0.35377383166419296,0.22484948389512657,0.11389601892395189,0.007313572164956934,1.4526177315274253,0.005554700694639657,0.008765700379609137
30.0,0.6398557527054323,0.7227555221042962,10.0496,40.15616,0.0,0.11337740006295247,2.3647193700935927,0.32229342800419747,0.700424145837823,0.2671968474909679,0.5611386089944825,0.29935467857227194,0.21353582800103874,0.3407552483136601,0.5998522101266145,0.1436956022941907,1.2616384984459899,0.18300193559739575,0.24003497777453908,0.47384878993034363,0.35377383166419296,0.22484948389512657,0.11389601892395189,0.0,0.0,,
31.0,0.6240477528987622,0.8631578089573029,10.0496,40.15616,0.0,0.11337740006295247,2.4926835228429205,0.3355668125078158,0.7097429306500549,0.2805857165341077,0.5612181550363794,0.3050816421206602,0.2077964120933204,0.3311677112791958,0.5998522101266145,0.1436956022941907,1.2616384984459899,0.18300193559739575,0.24003497777453908,0.47384878993034363,0.35377383166419296,0.22484948389512657,0.11389601892395189,0.0,0.0,,
32.0,0.5994670665751936,0.7975268084485309,10.0496,40.15616,0.0,0.11337740006295247,2.620369734113901,0.3460296742354766,0.7227766333176753,0.29477163683839214,0.5735909101345423,0.32072479728068704,0.1953111381975408,0.30646195801709003,0.5998522101266145,0.1436956022941907,1.2616384984459899,0.18300193559739575,0.24003497777453908,0.47384878993034363,0.35377383166419296,0.22484948389512657,0.11389601892395189,0.0,0.0,,
33.0,0.6431659622374651,0.9858489990675974,10.9632,43.80672,0.9971592150692714,0.11337740006295247,2.204496672966524,0.3118234186420364,0.6832243852598645,0.25022798678245783,0.5657085287503413,0.28395142293758086,0.21411076271576368,0.3404685525777657,0.5863279797204876,0.14125089017258385,1.2401740772598624,0.11826182618261827,0.2294635916040425,0.4718870222568512,0.3606920451986285,0.23011268867713444,0.11389601892395189,0.006387411647090099,1.3356240530265495,0.004846871952456672,0.00768994769867786
34.0,0.6372567021729937,0.8466192861293307,10.9632,43.80672,0.0,0.11337740006295247,2.3782492715621664,0.3243399597999077,0.6993639691648452,0.2687088134356581,0.5925461901896474,0.29461760756819727,0.21173732142102247,0.33553283902076875,0.5863279797204876,0.14125089017258385,1.2401740772598624,0.11826182618261827,0.2294635916040425,0.4718870222568512,0.3606920451986285,0.23011268867713444,0.11389601892395189,0.0,0.0,,
35.0,0.6082357840563002,0.6457434025651367,10.9632,43.80672,0.0,0.11337740006295247,2.5363051499823235,0.3382622488492133,0.7125779088743085,0.28622741210555747,0.5835603259327954,0.3044282018339023,0.20746551645754907,0.3324446378543686,0.5863279797204876,0.14125089017258385,1.2401740772598624,0.11826182618261827,0.2294635916040425,0.4718870222568512,0.3606920451986285,0.23011268867713444,0.11389601892395189,0.0,0.0,,
