round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_brier,fed_f1_best_threshold,fed_auprc,fed_ece,fed_auprc_lift,fed_f1,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
25.0,9.4310814045052,886.1953229520514,53.6064,53.6064,0.4559241291901578,0.2935864307646885,0.11379657603222558,0.2350937504889147,0.5713233386184213,0.22064804529206802,0.36979549112734417,1.940728400772036,0.27264483075933643,0.6586458574216387,0.6501893787564588,0.17415575591455038,1.5290767628220068,0.004393673110720563,0.28007448789571693,0.485746830701828,0.3614197628740108,0.23029381452177977,0.11389601892395189,0.007947217166835037,0.47705312771722674,0.007947217166835037,
26.0,9.200950193532622,814.1100312824615,55.58784,55.58784,0.5412350858791136,0.3018367370157547,0.11379657603222558,0.23574294602556406,0.5889799038467841,0.22695741838196404,0.37144652021202856,2.002709746671612,0.28184128714474443,0.6633507901095821,0.6481096334159573,0.17273635089056302,1.5166144745225791,0.004391743522178305,0.27881366537354524,0.4870049059391022,0.36124204791475956,0.23013928046503898,0.11389601892395189,0.0036426862557787034,0.4521463807905093,,0.0036426862557787034
27.0,9.063243803977786,911.6624738201793,57.56928,57.56928,0.5412350858791136,0.3111798073342668,0.11379657603222558,0.2383557459396618,0.5758491842486977,0.23407791642441536,0.3756860487917128,2.0728894364533392,0.2856421103759305,0.6699762930556274,0.6503366340232002,0.17467460437371857,1.533632220195057,0.016316015457277802,0.280750137892995,0.4919220209121704,0.3648933975084228,0.23292716206144976,0.11389601892395189,0.0046015189309744605,0.5801091424655169,,0.0046015189309744605
28.0,8.845552597073592,716.3607312266238,59.55072,59.55072,0.5412350858791136,0.31473841665476343,0.11379657603222558,0.23639462760011837,0.5974011582839195,0.23872435653869428,0.3732835444783997,2.10986449770915,0.28963396414079007,0.6720346296214144,0.654170253090817,0.18083616686035672,1.5877303576440245,0.044899566758566364,0.2820779220779221,0.49026766419410706,0.36560679553613323,0.23342624965001102,0.11389601892395189,0.005465376751432096,0.7072175255743787,,0.005465376751432096
29.0,8.49331239479295,848.0874787793515,61.53216,61.53216,0.5412350858791136,0.32323942855729565,0.11379657603222558,0.23647728320587524,0.5946990854190314,0.24674817285399744,0.3738407812100974,2.1841603766727653,0.29338834149600557,0.6804132646321374,0.6497828643661782,0.17262750144258376,1.5156587831032686,0.004405286343612335,0.279057989364396,0.4885975420475006,0.36564242845213024,0.23363219171370334,0.11389601892395189,0.006370353240129765,0.8430990258930251,,0.006370353240129765
30.0,9.344012600292341,819.6282054346436,65.18272,65.18272,0.9971592150692714,0.2946223406093423,0.11379657603222558,0.23642544801234142,0.5827623101538429,0.2203674346465865,0.37156055985658254,1.9390405986068122,0.26903096824247075,0.6610592177446333,0.6487400174758645,0.17387355411056787,1.5265990484413932,0.002644336712208021,0.2772447724477245,0.48552069067955017,0.3650677274194311,0.23322048592310396,0.11389601892395189,0.005185896300484685,1.033550942549482,0.007356583342539781,0.004163267159197127
31.0,9.461066737709448,919.746818615414,67.16416,67.16416,0.5412350858791136,0.3027551616391597,0.11379657603222558,0.24642477120579878,0.5879392918548196,0.22599420488574543,0.38505072156783315,1.9889243239539622,0.27227855266654305,0.6656163698230629,0.6503401102213326,0.17651697881203496,1.5498081537853834,0.01775147928994083,0.28020833333333334,0.491512268781662,0.3667675427227389,0.23438175429018085,0.11389601892395189,0.005392446908523023,0.74365547997877,,0.005392446908523023
32.0,9.202506025793621,708.3252954809211,69.1456,69.1456,0.5412350858791136,0.3092161893790166,0.11379657603222558,0.23467343637738045,0.5549438590744712,0.2317506672823529,0.3707831597175123,2.051149766299096,0.28770392242929566,0.6688071137062109,0.6496214784167753,0.1760166013372442,1.5454148705124635,0.03912175648702595,0.28195340265894436,0.4910133183002472,0.3674748617951538,0.23494882673091122,0.11389601892395189,0.005558726258248191,0.7865369988139719,,0.005558726258248191
33.0,8.905706121237493,693.6414311473949,71.12704,71.12704,0.5412350858791136,0.31857779234637956,0.11379657603222558,0.23783898331550749,0.5958198652249148,0.2402033159132479,0.37521271601371836,2.1285035739075755,0.286818383135567,0.6773694304399089,0.6491935170134675,0.17388588846159542,1.526707343280353,0.006938421509106678,0.277089072543618,0.48266568779945374,0.36356784289853616,0.23188643962162472,0.11389601892395189,0.004726135443318755,0.686569401237648,,0.004726135443318755
34.0,8.639401128419362,916.3426624044505,73.10848,73.10848,0.5412350858791136,0.32229648279873024,0.11379657603222558,0.24063798986615131,0.5931569542773331,0.24582859294155046,0.3793223534465916,2.184801011466143,0.2905695893738769,0.6808767395698648,0.6246418574714592,0.16948207690687342,1.4880421502707326,0.005235602094240838,0.2762540153199901,0.488751620054245,0.37210186285181585,0.23879714215150885,0.11389601892395189,0.0049859892864547225,0.734609252307564,,0.0049859892864547225
