round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auroc,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_auprc,fed_f1_best,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
24.0,0.6434101925793014,1.2266103871529759,87.86304,87.86304,1.0,0.3384803000463065,0.7072293135248124,0.5795323757099953,0.11563640941709682,2.5011334036103294,0.28560834665502255,0.34615351896712776,0.21313256912623352,0.3070568468352038,0.6548419750447626,0.21996015802866103,1.9312365797045805,0.27268760907504364,0.27973455844818784,0.5877501964569092,0.3418724189736813,0.22056981404630824,0.11389601892395189,0.00469557727175737,1.822910558008516,0.002711970839365222,0.006804412219895,0.00486975006622391
25.0,0.6386836342904634,0.9550215496442475,91.524,91.524,1.0,0.328445166040514,0.7094461139638486,0.5584368451868844,0.11563640941709682,2.521966682527516,0.288464922999549,0.34801810455807913,0.20520024868256165,0.3130021134151072,0.6531718689080255,0.2183200732355461,1.9168367366845187,0.2726643598615917,0.2788078560637275,0.5258644819259644,0.33149273359206016,0.21218367869310992,0.11389601892395189,0.00476581150392171,1.9285521663532563,0.0028445763931263996,0.006812611542940265,0.004086723576395486
26.0,0.6430277761808842,1.0820543507955491,95.18496,95.18496,1.0,0.31908044124055657,0.7124650014645694,0.5519993476167248,0.11563640941709682,2.528508519698647,0.2890681601456002,0.3498752971681054,0.20059524917072127,0.3138346815905485,0.6540418345511405,0.22222932011768437,1.9511596824649893,0.27358926919518967,0.28074534161490683,0.5791987180709839,0.321895430164549,0.20831366481017724,0.11389601892395189,0.004254616411431559,1.7922580895947249,0.0024930512729542972,0.0061359641089753685,0.004094391687514332
27.0,0.637736253078162,1.2532325265208946,98.84592,98.84592,1.0,0.30545048641668976,0.7109645915046962,0.5408991790832357,0.11563640941709682,2.5308701014023316,0.2886910063971886,0.3468691047934489,0.1928369636784391,0.3150265922340271,0.6555082254377487,0.2213557771341713,1.94349002911129,0.2750805201002028,0.2813816343723673,0.526640772819519,0.30815865640899903,0.19973226676994255,0.11389601892395189,0.0042698539987816595,1.8662246729873004,0.0024798969050980556,0.006185700495120216,0.004379706070815532
28.0,0.6413490964832915,1.2914672640458784,102.50688,102.50688,1.0,0.328353781751884,0.712491824757075,0.559803532189091,0.11563640941709682,2.5282376569398797,0.28838434263213475,0.346170667102362,0.20660127851496152,0.3113507393628063,0.6565396899753322,0.22331985737313642,1.9607345321020095,0.27311735679038834,0.2803412175261729,0.5944163203239441,0.3314570419451807,0.21379375425163635,0.11389601892395189,0.004160211226097488,1.8903558103138494,0.0022882432066379417,0.006170310186890275,0.003607021883300651
29.0,0.6407154842407203,1.2069684978491428,106.16784,106.16784,1.0,0.31349171177711205,0.7139469126351813,0.5669611866653798,0.11563640941709682,2.5569310431780927,0.2914099643672829,0.34548436261953896,0.19799739472962388,0.31161228551466014,0.6553574688739714,0.2244391049626371,1.9705614566958183,0.2732252910294453,0.28072706289671095,0.5427476763725281,0.3165212393720647,0.20581766664281145,0.11389601892395189,0.003657487998156034,1.7248280585044995,0.0020714370257201554,0.005352907828103998,0.0037579052773113303
30.0,0.6429560636227876,1.2610375916850471,109.8288,109.8288,1.0,0.32111632696267567,0.7155846312280857,0.6037237198980453,0.11563640941709682,2.5873666980488164,0.294946848576793,0.351382804815137,0.20341215995132764,0.313547371373239,0.6528260938641766,0.2215636519880033,1.9453151574678025,0.271505376344086,0.28029883785279464,0.5455977320671082,0.3244855587199949,0.21259200924797483,0.11389601892395189,0.0035057039418160195,1.7128427929928876,0.0019102418622508669,0.005214874980365621,0.003916720039148709
31.0,0.6476541418449024,1.8714415836376443,113.48976,113.48976,1.0,0.32447332618616065,0.7189827898790786,0.5828427772790318,0.11563640941709682,2.6120048921824637,0.2979444490291735,0.354629913493982,0.20429202787140177,0.31163281707926144,0.6532494496186949,0.22269086509584662,1.9552120188198747,0.27078845325290823,0.27934072179596475,0.5534567832946777,0.3276368487972555,0.2128952763736621,0.11389601892395189,0.0036720612085069794,1.8562475625913066,0.0019742955764387614,0.005491568039753162,0.004078874108941024
32.0,0.6440826730115241,1.482930895152644,117.15072,117.15072,1.0,0.3061195209514007,0.7198251319649788,0.565447012344536,0.11563640941709682,2.6391557775147314,0.3015979904543272,0.3583374611538125,0.1936768452659055,0.31461506184365495,0.6515556626665205,0.21894318308507726,1.9223076026148476,0.2732876712328767,0.27876106194690264,0.5753004550933838,0.3096969674699651,0.2031712681006223,0.11389601892395189,0.0034671327178849936,1.8099637442383028,0.0018729754764535455,0.00517708690779908,0.004468675741034824
33.0,0.6496364184645611,1.6940205434099689,120.81168,120.81168,1.0,0.32704727389196725,0.7210634355009021,0.5841601489473617,0.11563640941709682,2.6277724366527906,0.3001726378844607,0.35249263424285393,0.20642075515037725,0.31087836851985856,0.6530697540192003,0.22176099097137697,1.9470477815334903,0.27174725157434093,0.2820629849383843,0.5672619938850403,0.33058646631236455,0.21590630897539656,0.11389601892395189,0.003230174975879743,1.7424120102277811,0.0017776174290431192,0.004785902695761514,0.004578236943007081
34.0,0.636603220650598,1.4644466920568113,124.47264,124.47264,1.0,0.3282261316114197,0.7207062755489594,0.5866338299043559,0.11563640941709682,2.6292527095766376,0.3006187874626079,0.3558991419163954,0.20848127091292493,0.3073717868000837,0.6491759603304803,0.21765162026404436,1.9109677609484301,0.26615812802803834,0.2756849315068493,0.597393274307251,0.3318571891099782,0.21852798202110638,0.11389601892395189,0.003202141862483147,1.7846917066908645,0.001722649497527624,0.0047861575063541835,0.003837508700825071
35.0,0.6422482663824638,1.836759784005018,128.1336,128.1336,1.0,0.3270387401367866,0.7228073586835606,0.5608148003358407,0.11563640941709682,2.6628516972915532,0.30447196454079345,0.3536596352858267,0.20596775136286496,0.31208952251578775,0.6500664568766453,0.21629058172542462,1.8990179267797003,0.26680716543730243,0.27704855358735825,0.5340099334716797,0.3304236303115403,0.21556899284129905,0.11389601892395189,0.003243157072220787,1.8633580858440837,0.0017468425427846425,0.004846418774334283,0.005874469674013721
36.0,0.6513503827027467,2.2477588555807078,131.79456,131.79456,1.0,0.337999279209282,0.72249605407358,0.5756006989598529,0.11563640941709682,2.658853667347319,0.304083709900414,0.3564923923005743,0.21367206266264133,0.30873433936464434,0.6488435755516401,0.22317283502707144,1.9594436849990642,0.26352372317920825,0.27757300822228526,0.5644494295120239,0.3414956694768453,0.22349206004794225,0.11389601892395189,0.0031906783518422083,1.890563221888442,0.0016560275002438232,0.004845036094570945,0.003934328029676225
37.0,0.6486700219674014,2.134196739947539,135.45552,135.45552,1.0,0.32332164753669373,0.7230819199534797,0.5775956197546933,0.11563640941709682,2.6963906088424796,0.3078562582159458,0.3544039037872102,0.20312532840586103,0.31680769053884705,0.6486188901676502,0.21732627997599843,1.9081112933464925,0.2661048896773478,0.27701508767160526,0.537318766117096,0.3263136367458261,0.21281255478072036,0.11389601892395189,0.0029648896458770273,1.81043005783431,0.0015025351467741364,0.004542336626856187,0.0031435668420795003
38.0,0.6448121257231927,1.68720105941951,139.11648,139.11648,1.0,0.3202740906539983,0.7254206496552005,0.5792546181872825,0.11563640941709682,2.7159175834860396,0.3101816452050098,0.3616548352817727,0.20157957465253712,0.31767593729250565,0.6488700046970088,0.21805025897872815,1.9144677842016569,0.2659316427783903,0.27962016070124185,0.550720751285553,0.32287582719407704,0.21192196367548777,0.11389601892395189,0.0026522210090411187,1.6670871233491198,0.0013856866893439267,0.004017347890701819,0.0036942990305900356
39.0,0.6496305478915335,2.0741143140431135,142.77744,142.77744,1.0,0.341550246753677,0.7260846781046847,0.5869791244478981,0.11563640941709682,2.713076144110114,0.3098404792903706,0.35934256304545886,0.2149056137451394,0.31207333229283957,0.6495846834242675,0.21768163557877693,1.9112312935548912,0.26240571655418815,0.2778108268887567,0.5635490417480469,0.34413591106566405,0.22441810240661528,0.11389601892395189,0.0027586580997660828,1.78460733254542,0.0013660535299221022,0.0042587130131292875,0.004483869765863671
