round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auprc,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
49.0,0.6423707585078391,0.8993122211990153,14.6176,58.40896,0.9971592150692714,0.6848221390539868,2.2268359167258804,0.11467774420946628,0.32692406843636795,0.5418113414207539,0.31614742532044093,0.2550608286216246,0.20663469020070166,0.28909902986981023,0.6402007304885265,0.2060674831648281,1.809259753867419,0.2778120755648846,0.2798314268512944,0.49947020411491394,0.38125681948383416,0.2454156178767202,0.11389601892395189,0.006051964468987932,1.513957639457658,0.003959245976951836,0.008102179076430726
50.0,0.6350010238892186,0.838623650619707,14.6176,58.40896,0.0,0.7021176452077807,2.4777889489981555,0.11467774420946628,0.3473123687669758,0.5938579890978299,0.3369981640596183,0.2813837114865228,0.21938184054949442,0.2965833662772433,0.6402007304885265,0.2060674831648281,1.809259753867419,0.2778120755648846,0.2798314268512944,0.49947020411491394,0.38125681948383416,0.2454156178767202,0.11389601892395189,0.0,0.0,,
51.0,0.613534479593471,0.7547087603361826,14.6176,58.40896,0.0,0.7175409741806634,2.6596450537147236,0.11467774420946628,0.3169814743929166,0.5928650911042066,0.3413240699657064,0.3015344769935564,0.1979000010056015,0.3179473466226799,0.6402007304885265,0.2060674831648281,1.809259753867419,0.2778120755648846,0.2798314268512944,0.49947020411491394,0.38125681948383416,0.2454156178767202,0.11389601892395189,0.0,0.0,,
52.0,0.5960769996233051,1.181857911443787,14.6176,58.40896,0.0,0.7290037308118787,2.810996773348124,0.11467774420946628,0.3322230005267049,0.6179609092201922,0.36331630567258544,0.3173977974072878,0.20826710258050254,0.31854965107719246,0.6402007304885265,0.2060674831648281,1.809259753867419,0.2778120755648846,0.2798314268512944,0.49947020411491394,0.38125681948383416,0.2454156178767202,0.11389601892395189,0.0,0.0,,
53.0,0.6442028636100205,0.9285497377161661,15.5312,62.05952,0.9971592150692714,0.6865760942837525,2.2456687188387057,0.11467774420946628,0.3344773336359152,0.5693441258981627,0.3175333786262637,0.2572734482773928,0.21241744940264035,0.29025363435060053,0.6360271216743136,0.20281710250001972,1.7807216127144903,0.2747849705749208,0.27572427572427577,0.4994981288909912,0.38193981824874446,0.2459201157971445,0.11389601892395189,0.005393280149928026,1.4153553607175127,0.003643170030934628,0.007141619832036199
54.0,0.6357593062276465,0.9185667074628059,15.5312,62.05952,0.0,0.7053777247081404,2.490131935483635,0.11467774420946628,0.35933770098119,0.5765654266720932,0.3365125672599932,0.2826455096076773,0.22675141617207342,0.2979483374453353,0.6360271216743136,0.20281710250001972,1.7807216127144903,0.2747849705749208,0.27572427572427577,0.4994981288909912,0.38193981824874446,0.2459201157971445,0.11389601892395189,0.0,0.0,,
55.0,0.6140582333474622,0.95682014484659,15.5312,62.05952,0.0,0.7211659517881667,2.6519644752334584,0.11467774420946628,0.3188359675162696,0.5908523308561527,0.3508741121812788,0.30029177954508907,0.2004657031269944,0.31835558960799604,0.6360271216743136,0.20281710250001972,1.7807216127144903,0.2747849705749208,0.27572427572427577,0.4994981288909912,0.38193981824874446,0.2459201157971445,0.11389601892395189,0.0,0.0,,
56.0,0.590477223696045,1.0066108776152374,15.5312,62.05952,0.0,0.7272966847091386,2.7816476512924337,0.11467774420946628,0.31494054301690655,0.5862305035902805,0.3558292988975944,0.313877224682254,0.1975749950687522,0.3178545626005456,0.6360271216743136,0.20281710250001972,1.7807216127144903,0.2747849705749208,0.27572427572427577,0.4994981288909912,0.38193981824874446,0.2459201157971445,0.11389601892395189,0.0,0.0,,
57.0,0.6453077533748636,1.036374003627688,16.4448,65.71008,0.9971592150692714,0.6882773561661787,2.2862169692769236,0.11467774420946628,0.35117857385246676,0.5727343734368787,0.3212316495586003,0.2621185830375173,0.22128324325895102,0.2872591432992033,0.6491797879132616,0.21450705414150123,1.8833586649303968,0.2742025741466144,0.2758243261732111,0.5028562545776367,0.3814321950485245,0.2453323196203519,0.11389601892395189,0.0052731208859898605,1.4447905161650851,0.003446289687716047,0.007129324007174974
58.0,0.6420157786677634,0.8537361383611815,16.4448,65.71008,0.0,0.7064843260410165,2.5244251977039407,0.11467774420946628,0.3348855615022789,0.5801794655238394,0.33802237614662434,0.2871305798567479,0.2093299735241039,0.3100250126923307,0.6491797879132616,0.21450705414150123,1.8833586649303968,0.2742025741466144,0.2758243261732111,0.5028562545776367,0.3814321950485245,0.2453323196203519,0.11389601892395189,0.0,0.0,,
59.0,0.61204146043239,0.8177748275281893,16.4448,65.71008,0.0,0.7231904901374289,2.6982037865998225,0.11467774420946628,0.30570360394462026,0.5701477831981754,0.35064114268006435,0.3056680360802203,0.19083503624811757,0.32330452774642227,0.6491797879132616,0.21450705414150123,1.8833586649303968,0.2742025741466144,0.2758243261732111,0.5028562545776367,0.3814321950485245,0.2453323196203519,0.11389601892395189,0.0,0.0,,
60.0,0.5927665352811291,1.318587639983042,16.4448,65.71008,0.0,0.732639206728984,2.9039948315974717,0.11467774420946628,0.33004992934578004,0.5984892852187967,0.3629947864012329,0.3278481058171294,0.2053106991158547,0.3203380570452734,0.6491797879132616,0.21450705414150123,1.8833586649303968,0.2742025741466144,0.2758243261732111,0.5028562545776367,0.3814321950485245,0.2453323196203519,0.11389601892395189,0.0,0.0,,
