round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auroc,fed_f1,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
24.0,0.638311067954343,1.7953468360813853,87.86304,87.86304,1.0,0.1123348017621145,0.09567204716149554,0.688725362540998,0.08838638534543636,0.31569554711739856,0.05494539823606984,0.20099174925146643,0.2726083356886407,2.4062080744829175,0.6498423111190803,0.20775864424424956,1.8241080435214292,0.07642799678197908,0.26733767030808886,0.1726965606212616,0.04809685200259921,0.1004168818686169,0.11389601892395189,0.004187440276200518,1.588783939179848,0.0023835950105212914,0.0064047749825175285,0.003038331222095412
25.0,0.649880520696142,2.0426941136806147,91.524,91.524,1.0,0.1123348017621145,0.09609538973632085,0.688798052423137,0.1118672550589651,0.3176147058854585,0.0573754398839881,0.21827872398328743,0.27343019591302725,2.413412861729808,0.6494512325544425,0.20872720263817646,1.832611926300454,0.09538702111024237,0.26895171378533894,0.17588326334953308,0.050753118895274826,0.10127436869973706,0.11389601892395189,0.0037990177109862777,1.4966091353853699,0.002147207673568594,0.005840587920111811,0.002606106390252913
26.0,0.6523780634694574,1.839126107422827,95.18496,95.18496,1.0,0.1123348017621145,0.0965081132482678,0.6897861874418264,0.1310199561309323,0.31982826519597474,0.06083361675024742,0.2442512751263293,0.27679251480575984,2.4409724132760897,0.6493407848296605,0.20723814233025278,1.8195380689172747,0.10534351145038168,0.26857142857142857,0.18016643822193146,0.05522563102485152,0.10202714594507367,0.11389601892395189,0.0038281831303709477,1.5719292992725968,0.0021366316264017316,0.005917034374019355,0.0023188362871957783
27.0,0.6468235221729838,1.8755305318844318,98.84592,98.84592,1.0,0.1123348017621145,0.0958470795405498,0.6905707364766308,0.11492408974297948,0.3199482148214713,0.058001288079892264,0.22642335917699846,0.27715148577668297,2.4445763515409316,0.6474256506476597,0.20829400876249687,1.8288085108714318,0.09137455691217014,0.2695035460992908,0.17853008210659027,0.05125155585543995,0.10101801721447874,0.11389601892395189,0.0037671738541682443,1.60768078971887,0.0020680324591280394,0.005863940676821719,0.0022860231463714543
28.0,0.6550676554586969,1.9454952807592598,102.50688,102.50688,1.0,0.1123348017621145,0.09547165817803319,0.692189017474911,0.12326341789907967,0.3207214235540943,0.0533954579848796,0.22700146281209055,0.27937264134071094,2.4606955438317986,0.6501828153931976,0.20895503052588887,1.8346122410600467,0.10283960092095165,0.2682291666666667,0.16665755212306976,0.04605197355325684,0.10101020197940072,0.11389601892395189,0.003596029049732243,1.5948923592513893,0.002070044669461374,0.005470368642893102,0.0024407891880295213
29.0,0.6514522008712007,2.0809490194460487,106.16784,106.16784,1.0,0.1123348017621145,0.09502228583941523,0.6925162744952872,0.12350509925900681,0.3219880319213289,0.0521020728731138,0.2102442091482101,0.2800929779589726,2.4660319926497536,0.6482151115578493,0.20699811377703076,1.817430633069299,0.09204368174726989,0.27031357289997715,0.16141986846923828,0.04422260149727403,0.10083162915802188,0.11389601892395189,0.003300681765162834,1.5159111544198822,0.0017851805856803108,0.005163830717011534,0.003083783272555323
30.0,0.6566993132277855,2.1066490341271935,109.8288,109.8288,1.0,0.1123348017621145,0.09525221677750477,0.6935168505858611,0.12764325115009736,0.32595052841580346,0.0571862416700451,0.2138632374431743,0.28615378498053257,2.5209725752562075,0.6428948216896091,0.2061666199386965,1.8101301686089089,0.10420686993438827,0.2659560293137908,0.17912240326404572,0.049837038794599935,0.10151178574832015,0.11389601892395189,0.0034808271167818387,1.6562539685837692,0.0018563567944845643,0.005482545067910224,0.0025802148150479098
31.0,0.6564767084237549,2.2910440356334165,113.48976,113.48976,1.0,0.1123348017621145,0.09456692944161846,0.6965499696343744,0.12762893742211573,0.3306110979249771,0.05366918705255811,0.2173970376726889,0.29019378053482775,2.5536493468675925,0.6454458240419285,0.2059039303052601,1.807823769878574,0.09401709401709402,0.2693091732729332,0.15574318170547485,0.04547877702514577,0.10093701956213634,0.11389601892395189,0.0035867098437732665,1.767057884208043,0.0017458024326540116,0.005852076009002629,0.002391273600131653
32.0,0.6575604908349286,2.399437269410879,117.15072,117.15072,1.0,0.1123348017621145,0.09619798768428918,0.6961886686473425,0.16154189116849435,0.32865134576963334,0.061864613448920226,0.2302856048879719,0.2889665576204529,2.5465486273248885,0.6457314997613847,0.20657769973183898,1.8137394237613382,0.12313296903460838,0.2687422166874222,0.17575877904891968,0.05578358784318719,0.10313943699973542,0.11389601892395189,0.00356348113108992,1.8114517280773725,0.0016784280994730624,0.005871423700618944,0.0037138978478794835
33.0,0.6649843704833526,2.445864254152716,120.81168,120.81168,1.0,0.1123348017621145,0.09500941995885885,0.6946269649723652,0.13096856031501106,0.32632357091693065,0.057840105520112664,0.21531872415107473,0.29126047184788245,2.5617344742817396,0.6447193111816769,0.2071304001932769,1.81859209962007,0.09972941631233088,0.27040816326530615,0.1654665321111679,0.049297096736144776,0.10126537097327522,0.11389601892395189,0.0033881714926744496,1.782382531047915,0.0016260170664599955,0.005545257135428892,0.0026571187344303377
