round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_f1_best,fed_ece,fed_auprc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
27.0,0.6178826362616472,0.6335662835935336,9.136,36.5056,0.0,0.7074459877638937,2.6439266721716335,0.5827496803805517,0.203495074477066,0.11341893252769387,0.3406772055710889,0.326334528943014,0.2924407001572976,0.30891198733207376,0.4063866745102413,0.08939243012177786,0.7848600062260734,0.02696629213483146,0.20454545454545453,0.47671768069267273,0.371880142187411,0.2396629172542115,0.11389601892395189,0.0,0.0,,
28.0,0.5980212274316167,0.6763141233070135,9.136,36.5056,0.0,0.7191837409157799,2.7129479344859977,0.6232626744586325,0.21149856552860044,0.11341893252769387,0.35112657388455715,0.33643253885268415,0.29923522246158035,0.3133631845899664,0.4063866745102413,0.08939243012177786,0.7848600062260734,0.02696629213483146,0.20454545454545453,0.47671768069267273,0.371880142187411,0.2396629172542115,0.11389601892395189,0.0,0.0,,
29.0,0.636456671745009,0.6875888378154176,10.0496,40.15616,0.9971592150692714,0.6815979903514318,2.3288043894050032,0.5777483418891496,0.20914973894982733,0.11341893252769387,0.31553632677885557,0.3306675723588332,0.2578377662245741,0.2915360953498861,0.34782832239581685,0.0818421208409709,0.7185687578388205,0.028433151845130067,0.2045002711006687,0.4611116647720337,0.3703484231884271,0.2388016107485003,0.11389601892395189,0.006550520091528245,1.282534338766709,0.0052013009093630986,0.007684353732547382
30.0,0.6390523504029978,0.6486996652953713,10.0496,40.15616,0.0,0.7001631387250595,2.5213737897414723,0.5672517934287001,0.21127848788934106,0.11341893252769387,0.3338124176617667,0.3381114296707975,0.279155705904547,0.30191137232488247,0.34782832239581685,0.0818421208409709,0.7185687578388205,0.028433151845130067,0.2045002711006687,0.4611116647720337,0.3703484231884271,0.2388016107485003,0.11389601892395189,0.0,0.0,,
31.0,0.6141020031007675,0.642756543059283,10.0496,40.15616,0.0,0.7084697248247603,2.637242840530288,0.5894532190300036,0.20734889728275252,0.11341893252769387,0.3420614654638662,0.3284379690271813,0.29129422050433446,0.30803353703204644,0.34782832239581685,0.0818421208409709,0.7185687578388205,0.028433151845130067,0.2045002711006687,0.4611116647720337,0.3703484231884271,0.2388016107485003,0.11389601892395189,0.0,0.0,,
32.0,0.5999231965214087,0.7519034270720584,10.0496,40.15616,0.0,0.7200859042491924,2.7058277164466245,0.6086831951058074,0.200264082089406,0.11341893252769387,0.3475387973519344,0.3165194558189614,0.3014962749114744,0.3136806696572901,0.34782832239581685,0.0818421208409709,0.7185687578388205,0.028433151845130067,0.2045002711006687,0.4611116647720337,0.3703484231884271,0.2388016107485003,0.11389601892395189,0.0,0.0,,
33.0,0.6417016010339001,0.8108643129074325,10.9632,43.80672,0.9971592150692714,0.6845143861208309,2.3519657003030683,0.5717835036356823,0.212114886800336,0.11341893252769387,0.31914635079602693,0.33783425510816895,0.2598977622736987,0.29095952634727074,0.36079804272726895,0.08352378540997854,0.7333336687188968,0.02481556002682763,0.2045002711006687,0.471439003944397,0.3702985108381693,0.23863777708641845,0.11389601892395189,0.006287695270295207,1.292431627982296,0.004690541429153291,0.007658577227859037
34.0,0.6354889574536223,0.6620511407732874,10.9632,43.80672,0.0,0.6999130900440567,2.5192621633181536,0.5395737265959788,0.19901747776522533,0.11341893252769387,0.33164608446765637,0.31887531895326476,0.27920068025587347,0.305888601354696,0.36079804272726895,0.08352378540997854,0.7333336687188968,0.02481556002682763,0.2045002711006687,0.471439003944397,0.3702985108381693,0.23863777708641845,0.11389601892395189,0.0,0.0,,
35.0,0.6106936876810317,0.6009669115672757,10.9632,43.80672,0.0,0.7136581027779358,2.610550454455578,0.6028293749019279,0.21199794298277058,0.11341893252769387,0.35034592307847695,0.338898556847885,0.29217522261020173,0.3132564710487829,0.36079804272726895,0.08352378540997854,0.7333336687188968,0.02481556002682763,0.2045002711006687,0.471439003944397,0.3702985108381693,0.23863777708641845,0.11389601892395189,0.0,0.0,,
36.0,0.5998268677471202,0.8505106715857217,10.9632,43.80672,0.0,0.726149675291248,2.8276240613916452,0.5980973113459522,0.20831218205483104,0.11341893252769387,0.3640769865972929,0.33378571999672374,0.31146151917921927,0.3169558615540531,0.36079804272726895,0.08352378540997854,0.7333336687188968,0.02481556002682763,0.2045002711006687,0.471439003944397,0.3702985108381693,0.23863777708641845,0.11389601892395189,0.0,0.0,,
37.0,0.6370767451135857,0.729897029632532,11.8768,47.45728,0.9971592150692714,0.6872346661547443,2.3968389213613044,0.5685055934864379,0.206828938469898,0.11341893252769387,0.32396925494326434,0.3305162779132443,0.264093934339301,0.2974552289721981,0.3493018288215628,0.08230579625411637,0.7226397992810597,0.032569360675512665,0.20450951154489178,0.46867600083351135,0.37037233073924153,0.2388335839880544,0.11389601892395189,0.006401517332655418,1.3829794890480116,0.004716188792385472,0.007873054090452278
