round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best_threshold,fed_auprc_lift,fed_auprc,fed_f1_best,fed_prevalence,fed_f1,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
23.0,0.6424539324861709,1.204105552850303,84.20208,84.20208,1.0,0.2055204163657071,0.5673638600578164,2.4300972019186218,0.2765358422048534,0.32859292308244187,0.11268492288322315,0.29083999253120413,0.32888829284586507,0.702561992476589,0.6529410844904889,0.22013368031744274,1.9327600946651655,0.2723414018584375,0.27722007722007724,0.5205979347229004,0.32876370985493947,0.21167467697793182,0.11389601892395189,0.004254187413212923,1.611965008860352,0.0026978806726005245,0.005868502391234927,0.0044233721175283005
24.0,0.645310654611088,1.8107386504722416,87.86304,87.86304,1.0,0.21195865047220608,0.5770235516700797,2.4257834630439215,0.27596307899755107,0.3275991470195836,0.11268492288322315,0.290828988638474,0.3384879895076999,0.7039257968791814,0.6528548321086658,0.22244612153145457,1.9530631854655196,0.2762395363811977,0.27769028871391077,0.5356956124305725,0.3384203370598437,0.21826493654985432,0.11389601892395189,0.00402669471033552,1.5907663883854184,0.002567898702189266,0.0055548233394421736,0.003815831017562975
25.0,0.6451145936072924,1.428722863405357,91.524,91.524,1.0,0.195539484674058,0.5765920505945434,2.4470800914416286,0.2778257411038047,0.32779326600261366,0.11268492288322315,0.2963101650678166,0.30962362601559545,0.7051203356848366,0.6506748166487453,0.22182092451002675,1.9475739942950603,0.27270582684595424,0.2736086175942549,0.5028326511383057,0.30905198827412156,0.20284993266420676,0.11389601892395189,0.003908247202665698,1.6019077744176684,0.00234607196906351,0.005564338593025479,0.004131230398081338
26.0,0.6516544538159013,1.617909088368536,95.18496,95.18496,1.0,0.21553818360292623,0.5824760899365155,2.482166948541208,0.2823684194917622,0.32917274967668664,0.11268492288322315,0.2891978159515096,0.3439803383164201,0.7075062643367839,0.6522419670833904,0.22171441053622587,1.9466388081945523,0.27137508853586967,0.2757629367536488,0.5159269571304321,0.3438695301300136,0.22210522397793414,0.11389601892395189,0.003952725371210809,1.6829694437492435,0.002381245068243381,0.0056316184748505145,0.002840414361058486
27.0,0.6430381246765922,1.197975902676786,98.84592,98.84592,1.0,0.20185990204716,0.5597623330187714,2.513796629929372,0.2854880805411532,0.33365786463082153,0.11268492288322315,0.29672233653276664,0.32167512839038576,0.7090315460459718,0.6502171883415192,0.22069919317150494,1.9377252625385026,0.2693564746985236,0.27240725697265095,0.5351261496543884,0.3217862056775925,0.20965735097466165,0.11389601892395189,0.00385870565747727,1.7050992571794268,0.0023017223853158907,0.005531298633633381,0.004345214243218478
28.0,0.6505525655252689,2.6112162772428062,102.50688,102.50688,1.0,0.20111428989049523,0.5681426587047013,2.548746169738443,0.28963159600533367,0.33536949322600607,0.11268492288322315,0.30103349294897896,0.32064057584276834,0.7114413002616572,0.6506464297889046,0.2184412085458453,1.9179002972149362,0.27044960530831713,0.27195850715977,0.4965847432613373,0.3206384546589939,0.20929945524607096,0.11389601892395189,0.0035661574289015128,1.637651373497647,0.0021010405532158162,0.005143159936112334,0.004197926858962152
29.0,0.6425912890299819,1.7880397105746293,106.16784,106.16784,1.0,0.20147677889996488,0.562648783782236,2.5594391071051468,0.29099298868629925,0.3359320571321362,0.11268492288322315,0.30579656634344643,0.32032307864748766,0.711822202526238,0.6503367469682658,0.21830830881667018,1.916733445814591,0.27027649769585255,0.2750442960338013,0.5338140726089478,0.3212201875728079,0.21052665305123172,0.11389601892395189,0.003732790642330526,1.7751641041722905,0.0020057473787359675,0.005602306983637722,0.005099343600473415
30.0,0.649943514736213,1.8092036778164604,109.8288,109.8288,1.0,0.2081168518638628,0.5511062415189476,2.555428438002356,0.29125843289030784,0.33578058813975636,0.11268492288322315,0.30213770339071533,0.3336036628591416,0.7136565220166048,0.6500464656000202,0.21965815455072113,1.9285850078516473,0.27159671330224294,0.2748775367389783,0.5401456356048584,0.3341346163435088,0.21620505375666155,0.11389601892395189,0.0036803314959881436,1.8136119249411422,0.0019711803818656622,0.0055364342622059165,0.004219677494458544
31.0,0.6514167785231916,1.853062526717827,113.48976,113.48976,1.0,0.20059317976402502,0.5528618595717949,2.571309792931306,0.2922229748740399,0.3341584262879389,0.11268492288322315,0.30498088815712227,0.32007347509967543,0.7141075271836204,0.6492077229928395,0.22049092651735253,1.9358966941994153,0.2701766539660547,0.2717685235262304,0.533142626285553,0.3206572003536298,0.20942459186472856,0.11389601892395189,0.003445751746072354,1.7556100095634974,0.0018618897736411733,0.005178019715833119,0.0038271144179238105
32.0,0.6569441541980434,2.3449128996449833,117.15072,117.15072,1.0,0.19760414936540383,0.5805275670248342,2.5885719340084967,0.29430333794083635,0.33782801559761805,0.11268492288322315,0.30215518797282015,0.31341516228148514,0.7143458366799978,0.6490430616365318,0.22037928675851037,1.9349165040233507,0.2703994537384773,0.27228163992869875,0.49486684799194336,0.3144934320950787,0.20721057945674076,0.11389601892395189,0.003267968972464002,1.7185209772142116,0.0017806491665878354,0.004902880681934905,0.004918006224077036
33.0,0.6524347354292452,2.40169748823586,120.81168,120.81168,1.0,0.20088005478215668,0.5777859815250675,2.603419343164056,0.2963100070760025,0.34182878750864404,0.11268492288322315,0.30542008321292313,0.32039310517778596,0.7171855087508503,0.6464586902920303,0.21968258805952978,1.9287995325474137,0.26911245300216474,0.27234927234927236,0.5278497934341431,0.32140844892126197,0.21096671759709865,0.11389601892395189,0.0031305497017238065,1.7015229226180963,0.0016797782700874362,0.004731037865902714,0.003970005178804152
