round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.644634218622588,0.7733614624509166,76.88016,76.88016,1.0,0.2971755901213506,0.6977305389988709,0.3322481684629378,0.57896730629358,2.3667380597262078,0.1123348017621145,0.3268877775045927,0.2649974353651134,0.20818985315375502,0.649732365372368,0.20598690270128533,1.8085522623826062,0.2682358424609648,0.2731917182038182,0.534286379814148,0.33044697587218524,0.21364008584222535,0.11389601892395189,0.0048712235708096,1.719282325831955,0.0029573998776098267,0.006985060970329734,0.004787900583314906
22.0,0.6413069277315524,1.0682687846623202,80.54112,80.54112,1.0,0.295663598618868,0.6965018414566843,0.3254998966562106,0.5857501555119317,2.383473967104313,0.1123348017621145,0.32844139624518714,0.2674634583002331,0.20487608424824758,0.6526219017348813,0.20817245293590375,1.827741258233969,0.270033437103655,0.27260783884388,0.486329585313797,0.3241450341035994,0.2104957222457475,0.11389601892395189,0.005274453051399115,1.9545258989055583,0.0029535369313035817,0.007857003691686536,0.005167123762305522
23.0,0.642017750770635,1.1061765178350875,84.20208,84.20208,1.0,0.2967706390061684,0.699130217770507,0.3409614516367644,0.5891996634839238,2.4056632450198543,0.1123348017621145,0.32864377426531,0.2695747354676685,0.21355047562764914,0.648773951193375,0.2071614400505969,1.8188646276470657,0.2664590747330961,0.2707129094412331,0.5177760720252991,0.3388906144430864,0.21910416293517634,0.11389601892395189,0.004864511182373139,1.8860457309856429,0.00273312500516731,0.007267850169625995,0.004554907856262582
24.0,0.6400482313459748,1.108456923685615,87.86304,87.86304,1.0,0.3017894377116074,0.6987748530557344,0.3233655363236611,0.5614482436673756,2.3906713714882626,0.1123348017621145,0.33114734072861335,0.268290777244117,0.20212494041038712,0.6494233100243164,0.20681201901790597,1.8157967325968951,0.2672990392800681,0.267685960441694,0.4992886483669281,0.32149272749311647,0.20780480350375818,0.11389601892395189,0.0046468379000575676,1.8865576576536114,0.0026996786024450505,0.006857471024382986,0.004412686442437776
25.0,0.6420365215493546,1.1870693142463697,91.524,91.524,1.0,0.3018083772967435,0.7003069694279666,0.3214713066994506,0.5594389453745997,2.4103882236844854,0.1123348017621145,0.3300822913617018,0.2706154367909933,0.2010540803617369,0.6486430353128019,0.20618410450463415,1.8102836820161625,0.27035749751737836,0.27224176110459813,0.5120359063148499,0.31963459088003154,0.20723002355822498,0.11389601892395189,0.004063661709535707,1.724933672869156,0.0023273240835828286,0.006043720462679919,0.004140205072776889
26.0,0.6401592775719342,1.2280946279708806,95.18496,95.18496,1.0,0.29794714760854785,0.7013980749852096,0.33611588649040874,0.5705189087880038,2.4257526010252697,0.1123348017621145,0.33622309180777366,0.2719527454437805,0.21134647643545748,0.6492058154761746,0.206731909505409,1.8150933760331291,0.26471256532606224,0.2700217141397369,0.5295044779777527,0.3347571743364774,0.21797472717551972,0.11389601892395189,0.004302325593633988,1.900360405255924,0.0022471913563330385,0.00665230985706275,0.0044792447685794295
27.0,0.6365098109982006,1.2557202769514213,98.84592,98.84592,1.0,0.29826815135571005,0.7006639479114778,0.3321828031191755,0.5689240436553203,2.4403169052231513,0.1123348017621145,0.3316885299029159,0.2736705507837023,0.2087081988119881,0.6483841275739114,0.2062599276521254,1.8109494045603531,0.2663631189527604,0.2690140845070423,0.5069893598556519,0.33070954361839583,0.21511002978162505,0.11389601892395189,0.00365027923868509,1.6771096572792885,0.0020662163805382668,0.005466657885239068,0.004218953228528994
28.0,0.6456649264164278,1.5714083055197503,102.50688,102.50688,1.0,0.302700998069963,0.7027570624819872,0.31538751929477277,0.5537571625168627,2.454013045747741,0.1123348017621145,0.3346430767892486,0.2753514178670826,0.19799389918969296,0.6468436447242181,0.20575803413167706,1.8065428105003498,0.2688655672163918,0.26944687226869773,0.4998747706413269,0.31333066951312577,0.20491560414077445,0.11389601892395189,0.003620322038171276,1.727014562668046,0.0020072292672843094,0.0054859661785691535,0.0044293070069565356
29.0,0.648777962458472,1.7418531916932785,106.16784,106.16784,1.0,0.3051183534744192,0.7036478754607025,0.3171941580789004,0.5591540787188493,2.4532497416577512,0.1123348017621145,0.33781769075323986,0.2757349983217953,0.19837909355690048,0.6459288398900287,0.20389486952767946,1.7901843405415214,0.26839167935058345,0.2696568495001351,0.5135127305984497,0.31554512756436826,0.20551160608122954,0.11389601892395189,0.003518649694679837,1.7419798050377722,0.001992933649903385,0.005300880330698306,0.004021817337954911
30.0,0.6471767851073067,1.7142719405335671,109.8288,109.8288,1.0,0.3070291330804824,0.7061213763740212,0.32275429226937863,0.5558429512383428,2.504517254203487,0.1123348017621145,0.3391818939187136,0.2813817429111814,0.20134904053809266,0.6451221360331455,0.2040615730915272,1.791647987519025,0.26351521247171233,0.26726496661924043,0.4743238091468811,0.32117075699587266,0.2087097819125427,0.11389601892395189,0.00331133848118037,1.6999826680494152,0.0018297640963647532,0.005051574131204562,0.0035802350901428578
