round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_brier,fed_f1,fed_f1_best,fed_prevalence,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6572032102773673,0.262312461048506,1.838025,76.88016,1.0,0.48107460830486093,0.6547650137621116,0.2148818598511072,0.2092903113653919,0.2617592526548694,0.28537968462360097,0.11385235068286238,0.3351689312785004,1.8958022705140694,0.6604355041257829,0.21705464158494256,1.9057263250778718,0.2760104502843092,0.2797184900831734,0.4771244525909424,0.33448612707521236,0.20883707722996972,0.11389601892395189,0.004150983790214447,0.29916961274375353,0.0009286115224561944,0.01045045192681894,0.0007446000924710017
22.0,0.6581296305567863,0.3316466009815412,1.92555,80.54112,1.0,0.4735169749843203,0.654665087196325,0.2145997135136105,0.20905865947334873,0.2619408750727974,0.2856343716657973,0.11385235068286238,0.3350336570816724,1.8928868329512,0.6604054105405054,0.21710739070931068,1.9061894591265107,0.2767178532650845,0.2798278784717695,0.4784344732761383,0.3341361741797902,0.2086086148060826,0.11389601892395189,0.0028844517418837967,0.21852390775256936,0.00032591353682702705,0.00802154045033866,0.0013208648506980816
23.0,0.6587355210120233,0.28786000633329056,2.013075,84.20208,1.0,0.4734829474001161,0.6546685393245875,0.21461423885231154,0.20868849564051595,0.26209149800958936,0.2856410980215686,0.11385235068286238,0.3344527687845765,1.893067731420461,0.6604321157738124,0.2171914747295762,1.9069277116226024,0.2754472547809994,0.28000522397805927,0.4787465035915375,0.3335474184879486,0.20822714200435063,0.11389601892395189,0.004558101344316982,0.3590069889778533,0.0007872180870010208,0.012503586837344533,0.0007298748693635438
24.0,0.6610364318522367,0.31886515335764065,2.1006,87.86304,1.0,0.48148180031102694,0.6546399620896594,0.21474386177338078,0.20947933797144613,0.2617642288370431,0.2854125088607262,0.11385235068286238,0.335640542442199,1.8940403726388335,0.6604531737538357,0.21731165762066268,1.9079829099712535,0.27586206896551724,0.279890239121913,0.4798084795475006,0.334735343618142,0.20902758671850816,0.11389601892395189,0.0025333993192895136,0.20928184683452855,0.00021766379896622192,0.007517106735791372,0.0014690945350717807
25.0,0.6620571105788954,0.3959996674852622,2.188125,91.524,1.0,0.48050551473122793,0.6546561757319169,0.2148442873694289,0.20861790483170686,0.2619412405330766,0.2855046870540897,0.11385235068286238,0.334339838751883,1.8948373606367863,0.6604653843703806,0.2173836814820064,1.908615275018111,0.2771046908977943,0.2800463738245524,0.4777345359325409,0.33342494935020783,0.20816205536030064,0.11389601892395189,0.004057285574860204,0.3480333772522499,0.0005333440549808808,0.011991547994109028,0.0009066803251377874
26.0,0.6590733126126221,0.2851014536525386,2.27565,95.18496,1.0,0.48044466214210313,0.6547412279352263,0.21492496069035627,0.20871771186729812,0.2616823559433672,0.28527267825429786,0.11385235068286238,0.3344523155506926,1.8955309468792245,0.6604619332711515,0.2173512686830536,1.908330692648516,0.27724008741804557,0.2796915167095116,0.4776448607444763,0.3335743374352704,0.20826832314485116,0.11389601892395189,0.0021591952200431257,0.19257044097957987,8.677121736832209e-05,0.0069750217745679355,0.0014551321826522926
27.0,0.6586582428065971,0.3512557709705132,2.363175,98.84592,1.0,0.47773700048087847,0.6547411356468419,0.21492866306145844,0.20817909152212677,0.2623606060586259,0.28523561793378677,0.11385235068286238,0.33362684153319083,1.8956377742308443,0.6604747839097356,0.2173959117124754,1.9087226556850083,0.27666511411271544,0.2796555712633338,0.47763362526893616,0.33274321023402365,0.20772001546198574,0.11389601892395189,0.0014224896456157912,0.13198883924451366,0.0002010432850143868,0.0043191810218106445,0.0009109058054356963
28.0,0.6580348958542991,0.3407929870768714,2.4507,102.50688,1.0,0.47992869214501727,0.6548055734474344,0.21506195454815072,0.20980134256756042,0.26040867835676923,0.28511199121936304,0.11385235068286238,0.33610478279138806,1.8969783557130893,0.6604865427460178,0.21747178296654923,1.9093888006020179,0.2768113749810921,0.27960314392475194,0.48090845346450806,0.33515714590949897,0.20934027019156926,0.11389601892395189,0.00183439846710614,0.17791073400621826,0.0004154213360967586,0.005252678648044191,0.002074532819713409
29.0,0.6579842186510423,0.36195748120183807,2.538225,106.16784,1.0,0.48339043123710523,0.6547686806088988,0.21505960930249465,0.20821739573904902,0.26081353305548877,0.28489633953488464,0.11385235068286238,0.33365259634419847,1.897006453806336,0.6604692119531621,0.21745697976883344,1.9092588294418698,0.2769465648854962,0.27932588019355914,0.506028413772583,0.3327520268346435,0.20774873519440562,0.11389601892395189,0.0015288451719243537,0.15457310043893813,6.871693846798872e-05,0.005128970191413464,0.001460350735876915
30.0,0.6622952544839772,0.4373194043473106,2.62575,109.8288,1.0,0.4829843376928868,0.6547406275512282,0.2150315655089216,0.20851975669915998,0.2609381582606408,0.2848954989563748,0.11385235068286238,0.3341632608038955,1.8966958776874803,0.6604397960382786,0.21743461085747418,1.9090624317839833,0.2776325903151422,0.2796223958333333,0.504318356513977,0.3332358011197321,0.20805919042234347,0.11389601892395189,0.0009894234200695255,0.10367819696239167,0.00018551173807164047,0.0030050675613453293,0.0022166661500287836
