round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_ece,fed_brier,fed_auroc,fed_prevalence,fed_f1_best,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
27.0,0.6189367611797277,0.8144281347075477,57.56928,57.56928,0.5412350858791136,0.28447921488509476,2.5452505727562373,0.3294175340081701,0.2048972985016443,0.7082071261725951,0.11398539778449146,0.3412691738817703,0.3070258318666758,0.5583304677304904,0.3256726669276618,0.0788123779611935,0.6919678027887555,0.12569291391170775,0.2045002711006687,0.32880598306655884,0.39190218090933054,0.2577076676886231,0.11389601892395189,0.005202680042933729,0.8370540706673637,,0.005202680042933729
28.0,0.6029364972277721,0.9480649749528706,59.55072,59.55072,0.5412350858791136,0.2947835897565465,2.6484780292382637,0.342028254126541,0.2156406724666063,0.7180925449913061,0.11398539778449146,0.3495728406425044,0.3053287585441264,0.5972562885007558,0.3262858833375859,0.07890337905731792,0.692766786782965,0.12651199682728534,0.2045002711006687,0.2582012712955475,0.39208788552637747,0.2583954316229653,0.11389601892395189,0.005555642383989703,0.9257465177215636,,0.005555642383989703
29.0,0.5809159487274482,1.0612672968880947,61.53216,61.53216,0.5412350858791136,0.31514632554151517,2.836783942288208,0.31794731574671625,0.19607392276841792,0.7344061798542318,0.11398539778449146,0.36352030347865893,0.33164895733929745,0.5643865527755846,0.32701949918752343,0.07900898082199809,0.6936939637438267,0.12531798098808408,0.2045002711006687,0.26981693506240845,0.39066010381340405,0.2572229804238207,0.11389601892395189,0.006035184673928234,1.0433284561149776,,0.006035184673928234
30.0,0.6487363449349071,1.2488327223856097,65.18272,65.18272,0.9971592150692714,0.2525617061268506,2.2362645014382045,0.3421129386844854,0.2161651479501481,0.6842074632924137,0.11398539778449146,0.3151778844142277,0.28244971410387487,0.5595685289806919,0.32653340872374637,0.07893244758059664,0.6930220066190343,0.11769847050254917,0.2045002711006687,0.306658536195755,0.38753692105069754,0.25448888061840524,0.11389601892395189,0.005291045590996142,1.300142269115895,0.007737530466456819,0.004355335334253178
31.0,0.6388187692070287,0.9353637830835414,67.16416,67.16416,0.5412350858791136,0.2723489247058271,2.432303430033123,0.3442514213770422,0.21634821000943932,0.6986906730388026,0.11398539778449146,0.32856035264502603,0.2944463838929228,0.5738149451003723,0.32656538472678515,0.07892432761811247,0.6929507138507629,0.11754424295389994,0.2045002711006687,0.2877666652202606,0.3881979556465024,0.255042108321909,0.11389601892395189,0.003940004174738051,0.7135499095893465,,0.003940004174738051
32.0,0.6131174989656857,0.8953779671872126,69.1456,69.1456,0.5412350858791136,0.2916508747359592,2.619842850423839,0.3327032024292173,0.20749609917192113,0.7130598078313304,0.11398539778449146,0.34296234817194327,0.306272446589199,0.5745167975414316,0.3262373797066028,0.07889412259076298,0.6926855155792618,0.11439029970258523,0.2045002711006687,0.28578507900238037,0.3872589238190113,0.25435247824528034,0.11389601892395189,0.004289437056547246,0.7949926140718162,,0.004289437056547246
33.0,0.5996481081916045,1.3183083847647243,71.12704,71.12704,0.5412350858791136,0.30370765689897633,2.7463290089564047,0.31820439240423454,0.19689232688469357,0.7253414468258574,0.11398539778449146,0.35741749131374606,0.3200517790900627,0.5706901860583764,0.3265012946767384,0.07897286005309259,0.69337682562744,0.11395278450363196,0.2045002711006687,0.30065810680389404,0.3860208268398139,0.2531280340571727,0.11389601892395189,0.005487988787053516,1.0482634685467929,,0.005487988787053516
34.0,0.5775127810110374,1.2559316742242597,73.10848,73.10848,0.5412350858791136,0.3228307188111864,2.925446400909392,0.3392544405160646,0.2102997547641051,0.7412602186816727,0.11398539778449146,0.3687002566711901,0.3183245996595358,0.5924198106737865,0.32741898588482843,0.07907230167424534,0.6942499169092269,0.11100432484382508,0.2045002711006687,0.28905755281448364,0.3821450419455123,0.2502785807475055,0.11389601892395189,0.005699684489202992,1.1305473006796092,,0.005699684489202992
35.0,0.6422225957067009,1.4539013883678,74.7776,74.7776,0.4559241291901578,0.25925991792094505,2.2991252548004986,0.3335075607171145,0.210871930063445,0.6899422454265577,0.11398539778449146,0.3182391477214902,0.2911768670296352,0.5673914808472327,0.327595619418098,0.07911655989372687,0.6946385013382498,0.10799704117695405,0.2045002711006687,0.2966274917125702,0.3813889189205422,0.2497856728099402,0.11389601892395189,0.0072723563958156014,0.5320083112455904,0.0072723563958156014,
36.0,0.6392781416384914,1.2499366652349004,76.75904,76.75904,0.5412350858791136,0.2807125124670717,2.5113400863395623,0.3398968059140984,0.21225136800040922,0.7054280740246712,0.11398539778449146,0.33762916926124875,0.3029733823081614,0.5578374656410616,0.3281286071830351,0.0791988168337834,0.6953607121831384,0.10595805130776302,0.2045002711006687,0.3245563209056854,0.3814556328434008,0.2492222210242422,0.11389601892395189,0.003883688703584913,0.7916907971957698,,0.003883688703584913
37.0,0.6128884779174454,1.2976683427829832,78.74048,78.74048,0.5412350858791136,0.29552645447813986,2.652704367975356,0.3351762605327967,0.2091450531914312,0.7197819613498132,0.11398539778449146,0.34965538128276036,0.30729721272449095,0.5940740911622061,0.3286790888837007,0.07928349134849264,0.6961041491839152,0.10711003425515916,0.2045002711006687,0.31333282589912415,0.3812771200911737,0.2491227819854923,0.11389601892395189,0.0042029276370743026,0.8799355792580172,,0.0042029276370743026
38.0,0.5883275369118374,1.531804839939075,80.72192,80.72192,0.5412350858791136,0.3081391882439928,2.7740112109999577,0.3287980020081875,0.2050078507344042,0.731347585588186,0.11398539778449146,0.3654543615095889,0.31767692527993313,0.6007975603435997,0.3287759706511494,0.07929832864504627,0.69623441972975,0.11084793936522976,0.2045002711006687,0.3187747597694397,0.38390113714446994,0.2512005725008965,0.11389601892395189,0.004838138641004367,1.0460397235583514,,0.004838138641004367
39.0,0.5755985135773344,5.383017735377697,82.70336,82.70336,0.5412350858791136,0.3281073685944034,2.97358509636039,0.3218600012527072,0.1986335732465039,0.7447676106708522,0.11398539778449146,0.3715479686445961,0.3282241496425429,0.5839180592822673,0.3296746745387537,0.0794344300037026,0.6974293812388718,0.10836640479468697,0.2045002711006687,0.32454678416252136,0.3816982447873052,0.24943833332774,0.11389601892395189,0.00604129990643285,1.3529238104820251,,0.00604129990643285
40.0,0.6476724139046541,1.7256651057205548,86.35392,86.35392,0.9971592150692714,0.261300009844378,2.317111146542339,0.34478973311841987,0.2174717868606966,0.6898724341297332,0.11398539778449146,0.3230942164382782,0.28692943108622926,0.5727891746368203,0.33026037000100744,0.07971681252666285,0.6999086823209298,0.10405313351498638,0.2045002711006687,0.3079462945461273,0.3789741685927571,0.2470659256386814,0.11389601892395189,0.004943399884364785,1.5257166934898123,0.006716674683245042,0.004334303114817953
41.0,0.6391350472840941,1.4875296954990636,88.33536,88.33536,0.5412350858791136,0.28648003481174233,2.564429086435138,0.3347350052970087,0.20754288772171733,0.7069275199309025,0.11398539778449146,0.3376832800148049,0.30481076172790156,0.5493772241745559,0.33081795469135905,0.07975205488572865,0.7002181080532667,0.10780881035746274,0.2045002711006687,0.33867359161376953,0.3811827568173547,0.24878745715969938,0.11389601892395189,0.003470339903805483,0.807627982692793,,0.003470339903805483
42.0,0.6111989292846344,1.164204947072157,90.3168,90.3168,0.5412350858791136,0.2942267773313624,2.642532554104445,0.34691492568906446,0.21641980385921147,0.721761369097499,0.11398539778449146,0.3490512947897913,0.31087506160599865,0.5924584190290859,0.328663941695448,0.07936259333909838,0.6967986597678063,0.10672777868718285,0.2045002711006687,0.29384133219718933,0.38297206089309294,0.25064797865682376,0.11389601892395189,0.003678585592318681,0.8747482401086017,,0.003678585592318681
43.0,0.5941997324399859,1.6053993891767662,92.29824,92.29824,0.5412350858791136,0.31999719234346496,2.8831292506413915,0.3384601877645185,0.21054980035409734,0.7335132795525576,0.11398539778449146,0.3645246692233824,0.3174622620710157,0.5836501497520212,0.3287622791992988,0.07935131686049376,0.6966996529832746,0.10821350231537899,0.2045002711006687,0.3008132874965668,0.38326551737942055,0.2511580905408747,0.11389601892395189,0.0047223462394718075,1.15584812941961,,0.0047223462394718075
44.0,0.571300834598581,1.5592164968554638,94.27968,94.27968,0.5412350858791136,0.33306114546335813,3.0250498463703748,0.31973146977096406,0.19777918602142355,0.7461722530340092,0.11398539778449146,0.3765984227154948,0.33342929096225443,0.5908193110215431,0.3290237846746999,0.0794187928751851,0.6972920882178758,0.11307311028500619,0.2045002711006687,0.29721736907958984,0.38491843246394875,0.25265356958434404,0.11389601892395189,0.005142745387982416,1.2994931258726865,,0.005142745387982416
45.0,0.6484472152212085,3.3319584176999313,95.9488,95.9488,0.4559241291901578,0.2670598523734926,2.3673599609237455,0.33604749837751463,0.21087443142903642,0.6937630935486835,0.11398539778449146,0.32628085294889725,0.29489833679996275,0.5625922305327498,0.3278068266909169,0.0792786317948979,0.6960614826039887,0.11201361491452,0.2045002711006687,0.29332292079925537,0.3848324955091712,0.2523231447672936,0.11389601892395189,0.0059147902820025685,0.4996374095790088,0.0059147902820025685,
46.0,0.6371623963947947,1.6773672297824862,97.93024,97.93024,0.5412350858791136,0.2836735458331747,2.5356409800074986,0.3363974585030453,0.2098952160691323,0.7114689390594156,0.11398539778449146,0.3430747156145078,0.30281109700483333,0.5622893143576558,0.32687859394336355,0.07912313398262322,0.6946962214320551,0.11358811040339703,0.2045002711006687,0.29716911911964417,0.3852028951781572,0.25267321256530484,0.11389601892395189,0.003520855422511027,0.9115152233280241,,0.003520855422511027
47.0,0.613111430023636,1.3475350908158648,99.91168,99.91168,0.5412350858791136,0.2992989951980181,2.6891529016962137,0.3349328093130606,0.20831898937389143,0.72460231635455,0.11398539778449146,0.3492931677478429,0.3123257399656605,0.5928230677869205,0.32663448200807693,0.07907155013337351,0.6942433184268663,0.11453017111978385,0.2045002711006687,0.2952272295951843,0.38635925577459507,0.25357012688096076,0.11389601892395189,0.0031837986921574445,0.8405086791608483,,0.0031837986921574445
48.0,0.5929154524006222,1.532687992951339,101.89312,101.89312,0.5412350858791136,0.3181670946441049,2.8755188414166915,0.32504546065603585,0.20317419424577862,0.7362824061375226,0.11398539778449146,0.36754792424893884,0.3202124965591493,0.5964770989299331,0.32605844962366454,0.07901534185593326,0.6937498132282536,0.11432424333233443,0.2045002711006687,0.29554283618927,0.3887475905501672,0.2561291582452265,0.11389601892395189,0.003819398275862754,1.0312454698141664,,0.003819398275862754
49.0,0.5740374636191833,2.2804995809366373,103.87456,103.87456,0.5412350858791136,0.33388061839265826,3.022719452286404,0.3297228076417298,0.2045675974568152,0.7494637092017192,0.11398539778449146,0.3726855276138517,0.32623732428252544,0.5933854951704256,0.3272306688119871,0.07918160523492934,0.6952095954099916,0.1142900623953736,0.2045002711006687,0.3166317045688629,0.3885492942546693,0.2557363801024885,0.11389601892395189,0.004723475928823975,1.3129504995886236,,0.004723475928823975
50.0,0.6473538290924303,2.0297884483438393,107.52512,107.52512,0.9971592150692714,0.26628541456027394,2.3555658634386867,0.33577563928806936,0.2115297548531395,0.6927130229828614,0.11398539778449146,0.3275267084055072,0.28848864013857217,0.5632378255548884,0.3294455717477506,0.07961506752259055,0.6990153674796075,0.11820023148148148,0.2045002711006687,0.32120490074157715,0.3887012856338649,0.2552848089517486,0.11389601892395189,0.003749925165671471,1.4054502475773916,0.0054145430944032066,0.00321987433847675
51.0,0.6413686606823905,1.8631049741933274,109.50656,109.50656,0.5412350858791136,0.28589922353626596,2.5518769803433403,0.34558996676814613,0.21610205332045448,0.7123999032658028,0.11398539778449146,0.3373928887265831,0.29760333483673207,0.5789479998157013,0.3289805141650932,0.07949181920438139,0.6979332548704612,0.11928659108960936,0.2045002711006687,0.3314814567565918,0.39124612639424206,0.25749145458825085,0.11389601892395189,0.003086694790865652,0.8888242900138721,,0.003086694790865652
