round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_auroc,fed_auprc_lift,fed_prevalence,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6382304807616906,0.963504428231499,153.76032,76.88016,1.0,0.3041998146835167,0.3339143469827012,0.319957681354344,0.5716101759603887,0.7013769292138978,2.4618672056549347,0.11411127895266868,0.27999611415996223,0.20219030244564545,0.6599092303175277,0.2243174414153748,1.9694932582775437,0.2741972215896151,0.2831407205982325,0.5693971514701843,0.3212749081989744,0.20816022150491625,0.11389601892395189,0.005236731158647382,1.8318039783007407,0.0033628642099072237,0.007049570793710876,0.0051777167776083325
22.0,0.6395099753629212,1.2300540848741872,161.08224,80.54112,1.0,0.30780569707559674,0.3384538372142979,0.31916786485084553,0.5723011917420565,0.7044465752790172,2.494956662438838,0.11411127895266868,0.28431404909112723,0.20170720812928777,0.657654784059325,0.21975315066492218,1.9294190678574188,0.2731934731934732,0.2795161714435972,0.5219200849533081,0.32084720330732597,0.2085915661535106,0.11389601892395189,0.004936683057557881,1.8049887500937984,0.003142410868159311,0.0066895257116865925,0.004977260669925407
23.0,0.6401747162609315,1.3890396460184613,168.40416,84.20208,1.0,0.30357297784710463,0.34396864644281877,0.32442878340771314,0.5802226679180144,0.7058943921684565,2.5251375172661836,0.11411127895266868,0.2870971673835787,0.20513622206778878,0.6580719905824898,0.22126979860070556,1.942735142906504,0.2758082497212932,0.28140966854447796,0.529191255569458,0.3259886668598968,0.21185905301549335,0.11389601892395189,0.00532291930787639,2.0338409934556694,0.0031289983252803916,0.007483021464033651,0.006245481130747769
24.0,0.6394957386196054,1.4301635194259117,175.72608,87.86304,1.0,0.3005789672226464,0.3426823978510982,0.3341267009151182,0.5844897054274608,0.7058752585092601,2.5472527127519213,0.11411127895266868,0.28957418777306554,0.211424410110577,0.6562485301454648,0.22231463312580774,1.9519087253984417,0.2711252653927813,0.2780804150453956,0.537998616695404,0.3354991728062944,0.21840219183194612,0.11389601892395189,0.004738804131290208,1.8894185714834748,0.0027338283203371784,0.006715004958740553,0.007634819712112449
25.0,0.6346324055624963,1.3981261198894341,183.048,91.524,1.0,0.3011759592649565,0.3451970652429784,0.3330236811255089,0.5846766939561173,0.7083895537453001,2.5466620094066488,0.11411127895266868,0.2896111303765327,0.21044583886104518,0.6553137842324572,0.22082576944911236,1.9388365944252821,0.27054719860475257,0.27975771235385266,0.547741174697876,0.3340611924810483,0.21761887273244934,0.11389601892395189,0.004707084122129361,1.9547171816166156,0.002563939150735981,0.00682156601263609,0.008143597292025044
26.0,0.6360139347913295,1.4068385725914516,190.36992,95.18496,1.0,0.2962043141283434,0.34798623906864234,0.3431006050453089,0.5806220278991734,0.708434109720658,2.5653116115729135,0.11411127895266868,0.29127390459784297,0.21669756024964237,0.6527400422735812,0.21817399818709676,1.9155542067960343,0.2693726937269373,0.27584277521331657,0.5492290258407593,0.34425416560781097,0.22387446551507406,0.11389601892395189,0.004110176922782302,1.7744662635286659,0.0023829465874164076,0.005824197542024393,0.00591202351190698
27.0,0.6436006381182051,1.9540214170800432,197.69184,98.84592,1.0,0.3081625513285047,0.3460144771710929,0.3260710956447963,0.5850527202007094,0.7094933621374335,2.581187045227632,0.11411127895266868,0.2938190805942425,0.20519270571239495,0.6510597710809329,0.21721367122759022,1.9071225955019842,0.26999217089810984,0.27770399881953667,0.5423471927642822,0.32773723675392674,0.2126991096247612,0.11389601892395189,0.004182438068780288,1.8754630842413462,0.0024256404340971846,0.005930743777894859,0.0059654545263978336
28.0,0.6377681335479669,1.5349680074457699,205.01376,102.50688,1.0,0.30379439578987255,0.34687680806016086,0.3300763968883402,0.5789744357305532,0.71038184676016,2.588451792149179,0.11411127895266868,0.29481836335047434,0.20968646621079537,0.6524197928145755,0.2204230509797575,1.9353007511784366,0.2675599288181723,0.2776791000592066,0.5602692365646362,0.3325440486492158,0.21807430421367652,0.11389601892395189,0.003964756211446327,1.8450090710102813,0.0022067680905641326,0.005723623679014907,0.005053008642378841
29.0,0.6428229726835679,1.995744762027876,212.33568,106.16784,1.0,0.3067070962930604,0.3457758854665177,0.3183584368237737,0.5796646899942306,0.7114431130053602,2.586288703160212,0.11411127895266868,0.2950830572814386,0.2022474354469984,0.6518341600995804,0.21838796329835716,1.9174328072359956,0.2692519554919026,0.27607451958339446,0.5528008937835693,0.3204483175688087,0.2109945102608373,0.11389601892395189,0.0038107861775883564,1.835609464065783,0.0020910444332037244,0.005541794383206018,0.005653536329099385
30.0,0.6473173448470118,2.2862135608360914,219.6576,109.8288,1.0,0.30562897041321135,0.34944964681570545,0.331124165547121,0.5828918609730638,0.7115995618116724,2.615132463995932,0.11411127895266868,0.29804385648833526,0.2086261979020755,0.651045226266364,0.2159429018117507,1.8959653186467849,0.26841640935156597,0.2756521739130434,0.549135148525238,0.33305381236716086,0.21717082522983266,0.11389601892395189,0.0037324142581485436,1.8599783369845682,0.0019276167164281554,0.005564081424044302,0.006018193170410922
31.0,0.6430778696724928,1.8117293727038888,226.97952,113.48976,1.0,0.3062505076147965,0.34979448854021306,0.32199989159898346,0.5960115971642078,0.7133169002523693,2.6372263455602356,0.11411127895266868,0.300580103286187,0.2061489953998187,0.6504192847123733,0.2156657443170692,1.8935318929897693,0.26881720430107525,0.2730255448793063,0.5194107294082642,0.3238645525424867,0.2158856500640818,0.11389601892395189,0.003632913459570369,1.8690460233374324,0.0018489088399926154,0.005451660529596648,0.006634985456228947
32.0,0.659109879441534,2.9279573003994006,234.30144,117.15072,1.0,0.3049027434786314,0.3480941215661489,0.3278110857929868,0.5963160724014284,0.715353282252908,2.644404324809103,0.11411127895266868,0.3013263599049632,0.20805507080339813,0.6485797609771183,0.21670135307817381,1.9026244738445584,0.2684837428908681,0.27606382978723404,0.5400257110595703,0.3296971956618102,0.21756550781803038,0.11389601892395189,0.003700556257478791,1.9683292480185628,0.0019560877454771,0.005489905656778807,0.005347333263238601
