round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_auprc,fed_auprc_lift,fed_brier,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
45.0,0.06670306214058633,9.363458646118852,880.98624,880.98624,0.9991046702896288,0.9710855595503572,0.9069767441860465,0.40615567689718196,0.20999255256597382,0.9911157143432037,1.101635197923368,0.09999396293279547,0.9077606323669959,0.9762891891385416,0.6421421538750058,0.9824829262509032,1.0159248412238582,0.0,0.9832657200811359,0.48822784423828125,0.4787223773258285,0.2610079119008457,0.9670822942643391,0.00013742216444023134,0.08455083864521384,4.6121193457745674e-05,0.00015226337038314687
46.0,0.060977419343925365,8.34787457457959,900.563712,900.563712,0.9991046702896288,0.9748874072725617,0.9069767441860465,0.3366228931865026,0.24843341536646665,0.9914542222034631,1.1020048420978659,0.11970618770699616,0.8817433781789588,0.9787191696986971,0.6376764030193632,0.9822186376733965,1.0156515567484063,0.0,0.9832657200811359,0.48828867077827454,0.4786656143362088,0.2609536170508591,0.9670822942643391,8.606038994637234e-05,0.05298040724511566,3.611951559362414e-05,9.41736472888184e-05
47.0,0.06051573929688875,6.040417551390651,920.141184,920.141184,0.9991046702896288,0.9738580985755244,0.9069767441860465,0.4543017890217692,0.20758241858593252,0.9913813394758468,1.1019282496613254,0.11503529424915725,0.8971647021344377,0.9787191696986971,0.6473189866691672,0.9829202966515607,1.0163770989099428,0.0,0.9832657200811359,0.48833730816841125,0.4786122507287974,0.2609023616167371,0.9670822942643391,0.00010229986745744574,0.0630155802570016,4.078349298830347e-05,0.00011228747476054146
48.0,0.076917703415082,18.36217674060071,939.718656,939.718656,0.9991046702896288,0.9724881445410275,0.9069767441860465,0.41941051053446393,0.25697342538556384,0.9920596908352685,1.1032589180329755,0.15477546469477016,0.8077047378494564,0.9787191696986971,0.6543204088330442,0.9833917106007656,1.0168645589244636,0.0,0.9832657200811359,0.4884268641471863,0.4785210701295562,0.2608149546983807,0.9670822942643391,0.00012119667694786198,0.0746972993040913,4.346695727845098e-05,0.00013380932586312512
49.0,0.05424898064545012,4.2929006465671735,959.296128,959.296128,0.9991046702896288,0.9769677331270195,0.9069767441860465,0.3984723191794961,0.24813259777634641,0.9943789472805815,1.107152512656308,0.1543500866113095,0.8211116701848614,0.9819085384694612,0.65395314673293,0.9832118637733296,1.01667859044122,0.0,0.9832657200811359,0.4884929656982422,0.4784578631940922,0.2607544115816398,0.9670822942643391,0.00017059378558754055,0.10520388921150925,6.381025601018251e-05,0.00018791044195548814
50.0,0.0512913905484367,3.4416057533790667,978.8736,978.8736,0.9991046702896288,0.9778049424293449,0.9069767441860465,0.4700932249773381,0.19757865222041,0.9944398838238186,1.1072183241230038,0.10297239269405452,0.8946369245372567,0.9819085384694612,0.6592237485739292,0.9834949129379802,1.0169712740797578,0.0,0.9832657200811359,0.48855772614479065,0.478399446599204,0.26069846426744214,0.9670822942643391,0.00010182220100940868,0.0628286798521458,4.2491719167215665e-05,0.00011143791019517369
51.0,0.05528645269101928,5.080458019535743,998.451072,998.451072,0.9991046702896288,0.9816067901515496,0.9069767441860465,0.4092232522229815,0.21359861829253127,0.9947951092865005,1.1076060151800484,0.11235207981331992,0.9042842773038205,0.9844711819645344,0.6602317658274337,0.9836610095173691,1.017143024281756,0.0,0.9832657200811359,0.4885830581188202,0.4783742853828202,0.26067438385052255,0.9670822942643391,9.313859836394017e-05,0.05750295623568036,3.625845124457389e-05,0.00010235189042612638
52.0,0.06407445686030695,5.36108991005047,1018.028544,1018.028544,0.9991046702896288,0.9846947162426614,0.9069767441860465,0.38856865839902743,0.1881409772260244,0.9950104040736945,1.1078328168839597,0.09473971660025074,0.9111114115738237,0.9844711819645344,0.6571686436307376,0.9834500923941141,1.0169249279268688,0.0,0.9832657200811359,0.488593727350235,0.4783602701160973,0.2606609921820695,0.9670822942643391,0.00010853691345348426,0.06704863060383559,3.9739144539124234e-05,0.00011967403938695562
53.0,0.05844428476564182,9.418747305043539,1037.606016,1037.606016,0.9991046702896288,0.983665407545624,0.9069767441860465,0.4063541123686834,0.26979970043135243,0.9949364384845966,1.1077547901082074,0.16846906106707712,0.8077047378494564,0.9844711819645344,0.6661157735164955,0.9840135585088858,1.017507573393665,0.0,0.9832657200811359,0.4885956645011902,0.4783552077197077,0.2606560632302535,0.9670822942643391,9.780805237146934e-05,0.06045502426582061,3.71913281392269e-05,0.0001076150924902238
54.0,0.061230244576665614,6.476052796683353,1057.183488,1057.183488,0.9991046702896288,0.9819112547217037,0.9069767441860465,0.38416847392570136,0.1751450283842724,0.9958036953847875,1.1094139172207298,0.07400244981563475,0.9287678751986133,0.9881512228538776,0.6464281807242096,0.9825272336162305,1.015970656730553,0.0,0.9832657200811359,0.488726943731308,0.47824562972323253,0.26055172718212266,0.9670822942643391,0.00011503933466331092,0.07114756458474858,5.811888512815562e-05,0.0001242428390719961
55.0,0.055102726702419835,7.288638843501867,1076.76096,1076.76096,0.9991046702896288,0.9856442907204296,0.9069767441860465,0.32993334261483925,0.24650413711057145,0.9960692059658298,1.1096965414734299,0.12540461840567532,0.8668427029033454,0.9879790662133182,0.6467055808211042,0.9823156396429312,1.0157518604868887,0.0,0.9832657200811359,0.48873141407966614,0.4782480361307053,0.26055407692467897,0.9670822942643391,0.00011869987961377324,0.07345260034404077,5.542622717218272e-05,0.00012892482851250032
56.0,0.0576385939429628,4.5593140371491785,1096.338432,1096.338432,0.9991046702896288,0.9839698721157784,0.9069767441860465,0.33417684747729187,0.2343068991462851,0.995939613061794,1.1095565811370711,0.12255181199574836,0.8888469722592971,0.9855169004801807,0.6428805851188523,0.9820490091446523,1.0154761543759814,0.0,0.9832657200811359,0.48877760767936707,0.4782023798051915,0.2605104560117336,0.9670822942643391,8.343593264665294e-05,0.051660918428069635,3.6133297922779363e-05,9.107554500316405e-05
