round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_auprc,fed_f1_best,fed_auroc,fed_brier,fed_f1_best_threshold,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6548885056626104,0.267093833479234,4.742955,32.85504,0.9971592150692714,2.040508285380488,0.28235604569255746,0.2295012474531152,0.29837457370284953,0.6675904737001729,0.21106763280471358,0.509333079858999,0.11442598187311177,0.337126034121559,0.4373082224158407,0.10632635177328215,0.9335387907129222,0.16965456930476608,0.2045002711006687,0.42422425746917725,0.38407636935532474,0.24902927697780117,0.11389601892395189,0.011148832957931525,0.525970149994464,0.008101591100243876,0.014692831120573648
22.0,0.6543243421443796,0.2816282449267531,4.742955,32.85504,0.0,2.1565380278178696,0.2820312181220406,0.24128333190172926,0.30652968576991224,0.6776109551771752,0.21921309246356255,0.5709959921977612,0.11442598187311177,0.346017110198061,0.4373082224158407,0.10632635177328215,0.9335387907129222,0.16965456930476608,0.2045002711006687,0.42422425746917725,0.38407636935532474,0.24902927697780117,0.11389601892395189,0.0,0.0,,
23.0,0.6413994524712687,0.3757786105370782,4.742955,32.85504,0.0,2.236363898438375,0.28855795360728537,0.2486969601067592,0.3179628672267839,0.6861576261496038,0.22303293347560088,0.5773047023365595,0.11442598187311177,0.35128461303187525,0.4373082224158407,0.10632635177328215,0.9335387907129222,0.16965456930476608,0.2045002711006687,0.42422425746917725,0.38407636935532474,0.24902927697780117,0.11389601892395189,0.0,0.0,,
24.0,0.6257442858373168,0.3977952455658879,4.742955,32.85504,0.0,2.325125128787217,0.2956450461971561,0.2591268621606647,0.3305337291091224,0.6942561248993837,0.21201657764129633,0.5640676528879431,0.11442598187311177,0.33496723188887373,0.4373082224158407,0.10632635177328215,0.9335387907129222,0.16965456930476608,0.2045002711006687,0.42422425746917725,0.38407636935532474,0.24902927697780117,0.11389601892395189,0.0,0.0,,
25.0,0.6498089840240338,0.28027895589157303,5.26995,36.5056,0.9971592150692714,2.054390727001574,0.28128162439383314,0.230186380403542,0.29859734485916073,0.66785150323061,0.21080314114433202,0.514735527557939,0.11442598187311177,0.33628418687205813,0.4742260113088631,0.11443153039128652,1.0047017575538983,0.17094017094017094,0.2045002711006687,0.4225332736968994,0.3827141846523437,0.24782437366615687,0.11389601892395189,0.010822954645737395,0.5583825194626115,0.007255612202260735,0.015106181386873328
26.0,0.6471442228793302,0.2835204352965789,5.26995,36.5056,0.0,2.1690441732588606,0.29383498494981497,0.24219674810852876,0.3117489567720196,0.6784462965726353,0.20772502745924912,0.5325819666667168,0.11442598187311177,0.32909560668228743,0.4742260113088631,0.11443153039128652,1.0047017575538983,0.17094017094017094,0.2045002711006687,0.4225332736968994,0.3827141846523437,0.24782437366615687,0.11389601892395189,0.0,0.0,,
27.0,0.6356463096777814,0.3206630587308488,5.26995,36.5056,0.0,2.265267539752312,0.29193048996769977,0.252513425827119,0.319157965612165,0.6865547846871473,0.2091815274826648,0.5490368243910876,0.11442598187311177,0.3319196913115612,0.4742260113088631,0.11443153039128652,1.0047017575538983,0.17094017094017094,0.2045002711006687,0.4225332736968994,0.3827141846523437,0.24782437366615687,0.11389601892395189,0.0,0.0,,
28.0,0.6268586225247593,0.43538724676170154,5.26995,36.5056,0.0,2.334204828067725,0.29024732745393295,0.2593634481806174,0.3249316517315103,0.6929457861443148,0.22541646701419918,0.6185319435417893,0.11442598187311177,0.349042487888309,0.4742260113088631,0.11443153039128652,1.0047017575538983,0.17094017094017094,0.2045002711006687,0.4225332736968994,0.3827141846523437,0.24782437366615687,0.11389601892395189,0.0,0.0,,
29.0,0.6513796394495198,0.2710862271624698,5.796945,40.15616,0.9971592150692714,2.062644857671196,0.28247144396823365,0.23082955471324684,0.29959080635005003,0.6682159645295006,0.2087164961685233,0.5102344493495163,0.11442598187311177,0.3328739238447113,0.4826762724855429,0.11609918978992792,1.0193437039045858,0.17925606195252,0.2045002711006687,0.4207307994365692,0.3826299985603823,0.24771215127155452,0.11389601892395189,0.009092321415911658,0.5076919753919356,0.006351860142963396,0.012529485144024466
30.0,0.6517950521337267,0.2832786182494688,5.796945,40.15616,0.0,2.154434193083546,0.286059606876214,0.24069988327596173,0.30629639618791216,0.6786138411267482,0.21606793699858012,0.5570924520803933,0.11442598187311177,0.34001187182782816,0.4826762724855429,0.11609918978992792,1.0193437039045858,0.17925606195252,0.2045002711006687,0.4207307994365692,0.3826299985603823,0.24771215127155452,0.11389601892395189,0.0,0.0,,
31.0,0.6359092903355648,0.3392760988650957,5.796945,40.15616,0.0,2.254150399069115,0.29340738910643155,0.25151841367113215,0.32068976886240375,0.6868399272838233,0.2137580207229234,0.5418444735120911,0.11442598187311177,0.3389690384172158,0.4826762724855429,0.11609918978992792,1.0193437039045858,0.17925606195252,0.2045002711006687,0.4207307994365692,0.3826299985603823,0.24771215127155452,0.11389601892395189,0.0,0.0,,
32.0,0.6295331952249605,0.5259808976392013,5.796945,40.15616,0.0,2.3692906575712263,0.293336942832942,0.2634117094416194,0.33075560443577345,0.6947796485403125,0.21254895645123567,0.5596022651308524,0.11442598187311177,0.3367063086219638,0.4826762724855429,0.11609918978992792,1.0193437039045858,0.17925606195252,0.2045002711006687,0.4207307994365692,0.3826299985603823,0.24771215127155452,0.11389601892395189,0.0,0.0,,
33.0,0.6454899716897373,0.3203220518410965,6.32394,43.80672,0.9971592150692714,2.070835242277975,0.28481561725180077,0.23144494113415628,0.299442700375669,0.6686262951823102,0.21074306685036076,0.5187582923671511,0.11442598187311177,0.33531559227561547,0.4796760750575681,0.11420403586600428,1.0027043696958193,0.14679891794409378,0.2045002711006687,0.41159847378730774,0.3804981144578895,0.2461423994239839,0.11389601892395189,0.010688316392442476,0.6414283093472477,0.005682669402886609,0.017266012333118416
34.0,0.6509023558323739,0.3470364077771115,6.32394,43.80672,0.0,2.178967372576707,0.28642916457477235,0.24319093499449818,0.3109054443511413,0.6789076615396267,0.2220341383445638,0.552407095401969,0.11442598187311177,0.3513462721175081,0.4796760750575681,0.11420403586600428,1.0027043696958193,0.14679891794409378,0.2045002711006687,0.41159847378730774,0.3804981144578895,0.2461423994239839,0.11389601892395189,0.0,0.0,,
35.0,0.6380916595555581,0.44535623039705136,6.32394,43.80672,0.0,2.2867876029772316,0.2975545826371131,0.2540291014091615,0.3203777170165945,0.6888861908801148,0.20834509007323718,0.5558778635992446,0.11442598187311177,0.32929025358245645,0.4796760750575681,0.11420403586600428,1.0027043696958193,0.14679891794409378,0.2045002711006687,0.41159847378730774,0.3804981144578895,0.2461423994239839,0.11389601892395189,0.0,0.0,,
36.0,0.6265158737026367,0.4120445943752916,6.32394,43.80672,0.0,2.387862136057229,0.2991227603673603,0.2648414903171931,0.3368549377761572,0.6982741075550599,0.21091868195165178,0.5676308463778711,0.11442598187311177,0.3340384895019496,0.4796760750575681,0.11420403586600428,1.0027043696958193,0.14679891794409378,0.2045002711006687,0.41159847378730774,0.3804981144578895,0.2461423994239839,0.11389601892395189,0.0,0.0,,
