round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_brier,fed_auprc_lift,fed_auprc,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6403839052880109,0.7818846411646334,45.99296,45.99296,0.5412350858791136,0.11432168712621969,0.5325031287290406,0.3040228457505675,0.3460277779248851,0.21940606529272866,2.2123696838484457,0.25408337279095006,0.6787059379091396,0.28044794258185096,0.6092722176372103,0.14762296222070168,1.2961204756354934,0.23733149660533306,0.24168457241082938,0.4959861934185028,0.3688886549903712,0.23568179985256998,0.11389601892395189,0.005629602297116612,0.8134041086304933,,0.005629602297116612
22.0,0.6185809475630812,0.8793579623853811,47.9744,47.9744,0.5412350858791136,0.11432168712621969,0.5600826768331795,0.322572602349126,0.3595660327952784,0.22685027659251372,2.3830419245554113,0.27278973111605836,0.6979266346877646,0.2910927244991982,0.6132741123032366,0.15104936023893106,1.3262040382621834,0.2429677175759864,0.24428611085407603,0.4995475113391876,0.3715756725722575,0.23767354706920327,0.11389601892395189,0.005766719683209227,0.8593124197795987,,0.005766719683209227
23.0,0.6007632494609476,0.9077938367460316,49.95584,49.95584,0.5412350858791136,0.11432168712621969,0.5444321089883551,0.3347299784161291,0.33450857281636803,0.2092039130975306,2.508949047422624,0.2869995845099707,0.7105833813889044,0.30686093010371385,0.6252479081444384,0.15987326027400922,1.4036773346815241,0.24869025980968673,0.25304177656768484,0.49430447816848755,0.3663039076918654,0.23344166397490387,0.11389601892395189,0.0065705430002988025,1.0184232200263068,,0.0065705430002988025
24.0,0.587988195789851,1.4438887136847773,51.93728,51.93728,0.5412350858791136,0.11432168712621969,0.555129674194292,0.3432393040860603,0.33156359967266147,0.20724850488755525,2.6220675770879303,0.2995327861400147,0.7214979722454284,0.3124132437599535,0.6332068959337719,0.1625759890474947,1.4274071261090022,0.2564808442303281,0.25889328063241107,0.49441254138946533,0.3606704199726301,0.22925922930707915,0.11389601892395189,0.007618423534862027,1.2300626499345526,,0.007618423534862027
25.0,0.6442882742059318,1.2405807235020043,53.6064,53.6064,0.4559241291901578,0.11432168712621969,0.5234553454768032,0.2986063671049056,0.3157783713450888,0.2018004013384544,2.1256181262080562,0.24455917381333886,0.6700517682015197,0.2739119985694514,0.635229001642422,0.16496618261650284,1.4483928777760913,0.25518119717494503,0.25954489193563746,0.4963708817958832,0.362174003225873,0.23038801648527332,0.11389601892395189,0.008610923869600629,0.5361195490695536,0.008610923869600629,
26.0,0.6458592579646428,1.1290726238567559,55.58784,55.58784,0.5412350858791136,0.11432168712621969,0.5561707857985673,0.31426648867245516,0.3531313700353458,0.22245335305081856,2.2873583035711027,0.2621754882494025,0.6878134241439516,0.28724822196291544,0.6402277494581272,0.17050784692914212,1.4970483476072136,0.25636363636363635,0.2641509433962264,0.49784964323043823,0.3653183946555379,0.23276719288226938,0.11389601892395189,0.005378567167341809,0.9023020849563181,,0.005378567167341809
27.0,0.6225588842689062,0.907263438017055,57.56928,57.56928,0.5412350858791136,0.11432168712621969,0.56364973378249,0.32339175778682916,0.33050184892206164,0.2085265207452485,2.4004577684355692,0.2745280480000287,0.6986867497641781,0.29776894397949794,0.6477696185704578,0.17898522976457124,1.5714792444508465,0.2659753726506805,0.27255824127748,0.49592673778533936,0.3611657126235808,0.2295339351728672,0.11389601892395189,0.005129780249822982,0.8834770162357017,,0.005129780249822982
28.0,0.6113531317609836,2.6635732618499226,59.55072,59.55072,0.5412350858791136,0.11432168712621969,0.5513674346613441,0.33478670725168896,0.3246058952194065,0.2040419334400609,2.537291656685861,0.28907962332682857,0.7129000202018819,0.30889227415912784,0.6455831024945349,0.18077848309172176,1.5872238977240034,0.25670211172682345,0.2669902912621359,0.4931093752384186,0.36138425409610864,0.22977953693367098,0.11389601892395189,0.005467118969056629,0.9758145676460117,,0.005467118969056629
29.0,0.5818154112089634,1.2949005297854552,61.53216,61.53216,0.5412350858791136,0.11432168712621969,0.5672034623339974,0.3505939749775055,0.31588566489563125,0.19760750007861064,2.6442651726419864,0.30178040371448495,0.7263831170492102,0.32512056603312994,0.643180610354131,0.1758856145889542,1.5442648149659437,0.24567188788128608,0.26573426573426573,0.49033188819885254,0.357017198614928,0.2266195633144031,0.11389601892395189,0.005884675082092164,1.0958767926786095,,0.005884675082092164
30.0,0.6525208324388784,1.743671474024045,65.18272,65.18272,0.9971592150692714,0.11432168712621969,0.5517928686894671,0.29976238610945427,0.3438088330842712,0.21771868638823105,2.1529702764334773,0.2477450693539322,0.6741154991793218,0.27987573138611443,0.6321765859457485,0.16511354760797353,1.4496867332845012,0.2542293233082707,0.2588842185708827,0.4965306222438812,0.36956212405733907,0.2360840657978601,0.11389601892395189,0.005656874425431247,1.4627078166231513,0.007998119475928102,0.004841158969713674
