round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
27.0,0.6146763514667535,0.7729563881127332,57.56928,57.56928,0.5412350858791136,0.30955055985193136,0.3441808875771249,0.19401718393235912,0.31972714646263384,0.5400850690144309,0.11538461538461539,2.487973861617789,0.2830362663971332,0.7118389319813822,0.6633025267718708,0.22644208831894513,1.9881475266500754,0.2623448974423905,0.28394424367578736,0.5143163800239563,0.390781145811537,0.25078122317128826,0.11389601892395189,0.005318124560524409,0.8763625882565975,,0.005318124560524409
28.0,0.5943471981644424,0.8643616268085127,59.55072,59.55072,0.5412350858791136,0.3322253513782367,0.35672010316883235,0.20752811926761233,0.3207958135637084,0.5667977141265409,0.11538461538461539,2.643304319159319,0.29997413386279465,0.7239294902683515,0.6627198557274869,0.2257896018777961,1.982418736062718,0.2582825119498929,0.2843590063662464,0.5135302543640137,0.390044790301471,0.2500121499327674,0.11389601892395189,0.005998557292792784,1.0270868674851954,,0.005998557292792784
29.0,0.5723586004759559,1.1253126000854614,61.53216,61.53216,0.5412350858791136,0.3152481861995027,0.3681721764779645,0.1966734131997945,0.3335444933877485,0.5823899139111398,0.11538461538461539,2.7840021058687063,0.31477681804802415,0.7363917243229245,0.6628452247503901,0.2250579682196696,1.9759950378067235,0.25817047134176385,0.28329610908663455,0.5124644637107849,0.39048634041051056,0.25032936589429383,0.11389601892395189,0.006395242012961824,1.1410350806545466,,0.006395242012961824
30.0,0.6484380161686778,1.4976741164780434,65.18272,65.18272,0.9971592150692714,0.33554361923735526,0.31593785234616517,0.21546864048534828,0.28939026500879855,0.5501702905703022,0.11538461538461539,2.1457475725680792,0.24555999501272188,0.6818817287931241,0.6628295253862608,0.22655309327578002,1.9891221433037884,0.2634508348794063,0.28186246742947774,0.5119627714157104,0.39000831039594214,0.24957440278049262,0.11389601892395189,0.005404379588658546,1.3649605226237327,0.007937790819632659,0.004461773661500706
31.0,0.6331334398605009,1.0296046060603137,67.16416,67.16416,0.5412350858791136,0.3348800834527689,0.3307648256675119,0.2104206730854277,0.3045832964410101,0.5585654693763892,0.11538461538461539,2.30955401272572,0.2635837095131969,0.7006904267425695,0.6630988240711938,0.2267261122964187,1.990641239601212,0.2618277219064276,0.2818615359315902,0.5263946056365967,0.3887816327190211,0.2486750601988572,0.11389601892395189,0.004434080270906777,0.827397559536621,,0.004434080270906777
32.0,0.6080529918927986,0.9589533606603713,69.1456,69.1456,0.5412350858791136,0.3221102382643724,0.34306064876039355,0.20167199036299166,0.31501622715877076,0.5521072406459182,0.11538461538461539,2.4692840617385463,0.2809743259323949,0.7144235368495906,0.6631467504273967,0.22665825273822143,1.9900454368783569,0.26174730247128436,0.28211422025855015,0.525515079498291,0.3877748974967695,0.24790432778429622,0.11389601892395189,0.0051489106540092665,0.9828115680720657,,0.0051489106540092665
33.0,0.5924448545227597,1.0756579069267347,71.12704,71.12704,0.5412350858791136,0.3179267718733749,0.3554869392298485,0.20016053301592046,0.3241462201289541,0.5575927327227924,0.11538461538461539,2.6357191887528653,0.29850921579174683,0.7288874236599585,0.6630470073849509,0.22643543196505816,1.9880890842747416,0.2624956308982873,0.2821875,0.5233433842658997,0.38741243566112715,0.2475126335226005,0.11389601892395189,0.005325335772332567,1.0566867160378024,,0.005325335772332567
34.0,0.5692298411628763,1.4632547280820205,73.10848,73.10848,0.5412350858791136,0.3311660487512748,0.3686431869402988,0.20762648590069677,0.32222364334120224,0.5995759446566461,0.11538461538461539,2.7737074366802554,0.313178902132502,0.7365081776450032,0.663080075190291,0.22666960890045823,1.9901451432802495,0.26462247429989366,0.28233486943164365,0.5233833193778992,0.385371749110044,0.24578050774313703,0.11389601892395189,0.006274240907628762,1.2937263698549941,,0.006274240907628762
35.0,0.6398901215887476,1.5582236314891358,74.7776,74.7776,0.4559241291901578,0.3374470759543831,0.3207411579979389,0.21384979770266357,0.29314407633726364,0.5406768343189899,0.11538461538461539,2.2043539639582996,0.2525483067775657,0.6880513794769708,0.6614228698899447,0.22607212595143314,1.984899279950961,0.26329740236790955,0.2797415431394907,0.5160917639732361,0.38553925304577474,0.2461144419531395,0.11389601892395189,0.007326534337067579,0.5415700115263462,0.007326534337067579,
36.0,0.634836948809669,1.1225701835579396,76.75904,76.75904,0.5412350858791136,0.34963285185684634,0.33262768970867457,0.22080103040238042,0.2994650571867666,0.5654165946133833,0.11538461538461539,2.372445410745395,0.27101419767808743,0.706117855253056,0.6617504984265749,0.22603289798658374,1.9845548608464127,0.2619249702936683,0.2816521632553009,0.5157002210617065,0.3882579709435512,0.2484656841699722,0.11389601892395189,0.004012739682989909,0.8505794256925583,,0.004012739682989909
37.0,0.6119113727063741,1.0522664271047917,78.74048,78.74048,0.5412350858791136,0.3189744743914018,0.34530426776565143,0.1998348499358317,0.321544351139581,0.5687107999146502,0.11538461538461539,2.523561270386816,0.2871635091610027,0.7183751571420967,0.6609672118466423,0.22474713088774362,1.973265905262297,0.2644043190273115,0.27972804218121267,0.5158586502075195,0.3829810898928201,0.2445945784934476,0.11389601892395189,0.00445563640440165,0.9656063717557117,,0.00445563640440165
38.0,0.5908513364239508,1.4080459472263407,80.72192,80.72192,0.5412350858791136,0.3149609687512647,0.36241503096013233,0.1971499139585859,0.3280971320919696,0.600063941764033,0.11538461538461539,2.6644721670334355,0.3016819622568701,0.7316816011782382,0.6614702440702711,0.22476577649747193,1.9734296125622048,0.263653483992467,0.2806067172264356,0.5255402326583862,0.3862847498111321,0.24700531630380598,0.11389601892395189,0.004310137351401546,0.9639171583112329,,0.004310137351401546
39.0,0.566228638838165,1.3522150708222103,82.70336,82.70336,0.5412350858791136,0.33138102255192364,0.37551908561228564,0.2055452622319039,0.32837894022503883,0.5730324875425965,0.11538461538461539,2.8461070099266306,0.322120911289945,0.7445177074527078,0.6620805239084876,0.22609308659218808,1.985083313080064,0.2601964374895955,0.28062724599803984,0.5249163508415222,0.39135708829718097,0.25104185217035263,0.11389601892395189,0.005320312581375702,1.234229132765904,,0.005320312581375702
40.0,0.6429543270949585,1.6583942463761343,86.35392,86.35392,0.9971592150692714,0.35038032809988345,0.31899400664216043,0.22278188540043506,0.2842371861316741,0.5593092767215716,0.11538461538461539,2.2134210998283335,0.2539236119014339,0.6881856165671268,0.6624959233106016,0.22882594156202501,2.0090776106477573,0.257596518094624,0.2827831119295015,0.5195470452308655,0.39181014978985845,0.25144614360379114,0.11389601892395189,0.004640800383366197,1.4744381378404796,0.006272562798748337,0.004096196447748699
41.0,0.6367757371096908,1.2206870872052566,88.33536,88.33536,0.5412350858791136,0.33831697265086047,0.336976934473112,0.21379964667768725,0.30078238529212487,0.5669567724510447,0.11538461538461539,2.4108286951522557,0.2753803135529292,0.7072433441552028,0.662570730592436,0.2288421065326042,2.0092195380894,0.2566896330716231,0.2832505879278809,0.5205643773078918,0.39018070917825726,0.2501141064535644,0.11389601892395189,0.0032127835881862396,0.7786824076902121,,0.0032127835881862396
42.0,0.6101549608368682,1.3167004750158862,90.3168,90.3168,0.5412350858791136,0.33280325564576346,0.3493982182340169,0.20810475723799074,0.31117268292281264,0.5651920640103152,0.11538461538461539,2.556426361093116,0.2908169372458626,0.7196858765132973,0.6625737926586611,0.22896203147320854,2.010272471648776,0.2562049639711769,0.2830902215018909,0.5212103724479675,0.3897890738388799,0.24979606549514297,0.11389601892395189,0.00353155612717,0.8782708590733819,,0.00353155612717
43.0,0.5889184578599334,1.33603407488093,92.29824,92.29824,0.5412350858791136,0.3362575946515256,0.35871558062765485,0.2102366068646569,0.3218875319017743,0.6137009936827009,0.11538461538461539,2.7242084976795073,0.3091022575926762,0.7325280932072787,0.6620143631989034,0.22848754382304431,2.006106499434409,0.2529125839055628,0.2820834079112225,0.5291145443916321,0.393090803534463,0.2523800780536355,0.11389601892395189,0.004514538138426301,1.1564076102804393,,0.004514538138426301
44.0,0.5647700129623385,1.6995242597402853,94.27968,94.27968,0.5412350858791136,0.34278847209814167,0.37379096303368886,0.21434409885291617,0.3288451826428907,0.6118090019130922,0.11538461538461539,2.9100515569273537,0.32899026442811286,0.7481119321179825,0.6620060052640432,0.2283146685406559,2.0045886651499303,0.25022261798753337,0.2829866058706184,0.5268015265464783,0.3962051892887754,0.25480127802417746,0.11389601892395189,0.004943786060852269,1.3057781083043665,,0.004943786060852269
45.0,0.6445739175991163,2.132918884627442,95.9488,95.9488,0.4559241291901578,0.32952712939370454,0.320783690584875,0.20961648197397775,0.2933422887832595,0.5544947529753104,0.11538461538461539,2.2495357180239743,0.25840560368465987,0.6913557385254429,0.6619362303123574,0.22786450179983586,2.0006362290149973,0.2519484412470024,0.2823974082073434,0.5249443054199219,0.3956250610025295,0.25447486472821135,0.11389601892395189,0.006002106261417597,0.5105744935572147,0.006002106261417597,
46.0,0.6398902467470887,1.6360278344117343,97.93024,97.93024,0.5412350858791136,0.34679517993684955,0.3390273522469405,0.21852791864492854,0.29749041896843803,0.5660926540984054,0.11538461538461539,2.379658897079813,0.2720293889432257,0.7105226346151344,0.6619943970211818,0.22795203669467834,2.001404779976387,0.24952603179232902,0.282161005616475,0.524033784866333,0.3967770190764292,0.2553313373567829,0.11389601892395189,0.0031547656377928323,0.8534065160201862,,0.0031547656377928323
47.0,0.6088405361877586,1.0694135502784503,99.91168,99.91168,0.5412350858791136,0.31902303508888913,0.35084502170956355,0.1994568162063175,0.3201219161092809,0.5448203447328681,0.11538461538461539,2.596678907747732,0.2954368822068431,0.7253432161537533,0.6619587440287825,0.22818658353657056,2.0034640867380116,0.2507726269315673,0.2828130876269274,0.5222929120063782,0.3957792415857206,0.25464222047344665,0.11389601892395189,0.00355416555643074,0.9808622959535569,,0.00355416555643074
48.0,0.5879982519952665,1.674029889574875,101.89312,101.89312,0.5412350858791136,0.3277362579471078,0.36604582231756083,0.20565392341064156,0.31959367713670894,0.5745284551808295,0.11538461538461539,2.734330734531482,0.31053368273986953,0.7389097672318777,0.6616533405711879,0.22802410501820303,2.0020375353984425,0.24925122361019797,0.2832415420928403,0.5228108167648315,0.3956806543768067,0.25462969684811076,0.11389601892395189,0.004003074913290486,1.1321078236214817,,0.004003074913290486
49.0,0.5671558684866724,1.7439921181401636,103.87456,103.87456,0.5412350858791136,0.3054575957250159,0.37855759779036346,0.19161816812562266,0.3335638896621137,0.5792530938414533,0.11538461538461539,2.92406322504183,0.33147457498388483,0.7517706189323078,0.6605379954981603,0.22755237502935785,1.9978957752798545,0.2488519571397332,0.28417071853052406,0.5234701633453369,0.39622694725352875,0.2552157588787994,0.11389601892395189,0.004458626917800628,1.2976841115159914,,0.004458626917800628
50.0,0.6466354036533593,2.1490162625974323,107.52512,107.52512,0.9971592150692714,0.31939458439845825,0.32290342944170974,0.20299082679808747,0.2993895472334732,0.5345245412276852,0.11538461538461539,2.269527728703654,0.26088855181988696,0.6933043526810566,0.6610367232598415,0.22951732548934978,2.015147918757353,0.251539806858794,0.2834666317031599,0.5191611647605896,0.3940760008302667,0.25369582585853323,0.11389601892395189,0.003836113540746879,1.4907132100779563,0.005311352507937495,0.003385332609312236
51.0,0.6368839666509851,1.8222069370074272,109.50656,109.50656,0.5412350858791136,0.33197459941627894,0.3353913708451471,0.20936075688254438,0.305659003142226,0.5835684675342955,0.11538461538461539,2.4303818722813197,0.2776431364618179,0.712311197484111,0.661251845961604,0.22901059642299013,2.010698868903398,0.24990779671018662,0.2853477033615602,0.5188773274421692,0.3939503493552731,0.25353790128166537,0.11389601892395189,0.0034863483301267283,1.0539559453027323,,0.0034863483301267283
