round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_ece,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6423052794131788,0.4259017722318933,76.88016,76.88016,1.0,0.283557434357964,0.30932107780299206,0.11085930122757318,2.1048486220707603,0.5502782686330028,0.2202137434480786,0.35148723976282636,0.2293383620710413,0.6861083029694262,0.670822133156811,0.22398983180269452,1.966616866145708,0.2782081508925564,0.2838283828382838,0.5430903434753418,0.34931867248510173,0.22190604791719912,0.11389601892395189,0.003228557286267567,0.42029395605277386,0.003532356504588659,0.0030016060886884316,0.0029445934245905885
22.0,0.6457697387290005,0.39743214095221924,80.54112,80.54112,1.0,0.2870629767909318,0.3097420686150342,0.11085930122757318,2.1174418547564584,0.532161079538968,0.2097316200475873,0.33560011134156664,0.23062186475117596,0.6860052821422102,0.6715187783219163,0.22504372177086812,1.9758699548676,0.2797104833060939,0.28528974739970286,0.5675871968269348,0.3332954629879964,0.21144944359007123,0.11389601892395189,0.0032118430834893216,0.4216898340218904,0.0034979780180388596,0.0029977931103401484,0.00279159908856252
23.0,0.6410623371612268,0.43204131172843835,84.20208,84.20208,1.0,0.2812456978933128,0.3106037036710809,0.11085930122757318,2.1205406116396928,0.5539743348491766,0.21680140490044603,0.34604429462194675,0.23135674346907364,0.6871122377323757,0.6719756536620379,0.22485500661050253,1.9742130474344122,0.2769654587836406,0.28427775512977305,0.5477429628372192,0.34393772653040283,0.21868194763762006,0.11389601892395189,0.003061477679924904,0.40583953318309796,0.003355633080894924,0.0028416278372457335,0.002449065273980038
24.0,0.6463636360027074,0.42683099915664824,87.86304,87.86304,1.0,0.28269612477093997,0.3098049086507999,0.11085930122757318,2.136264854460834,0.5445058569860863,0.2127417568491254,0.340034546316852,0.23249078447405958,0.6874308989993844,0.6727378822619474,0.2248844697009262,1.9744717315456044,0.27963046417305093,0.2864623440628369,0.5580086708068848,0.3378065150037817,0.21452255907423293,0.11389601892395189,0.003308117177378961,0.44290791057755996,0.003509775956280303,0.0031628353607448907,0.002308053750341984
25.0,0.6483183735398033,0.42333771727419806,91.524,91.524,1.0,0.2869106380214861,0.3117331459774424,0.11085930122757318,2.142072328895809,0.5394908798558927,0.2143154731199655,0.3434051327738028,0.2333942966078338,0.689565862469728,0.6710181681424738,0.22469348868798197,1.9727949300669525,0.28025050324312234,0.2830486202365309,0.5316886901855469,0.341142966873849,0.21627716121536655,0.11389601892395189,0.0032020408470721626,0.43247392579905863,0.003500428727025207,0.002981888457990112,0.001988730059177393
26.0,0.6415997124480974,0.40577507147073477,95.18496,95.18496,1.0,0.29100008483889056,0.3169394930108968,0.11085930122757318,2.1480687309247664,0.5355093961059203,0.20365450524063314,0.3255258465942663,0.2345124572089187,0.6900961289975236,0.6721938509794771,0.2255113818163043,1.9799759811348432,0.2811284046692607,0.28446820483961727,0.5330017805099487,0.32349634934977023,0.20601622468059716,0.11389601892395189,0.003262535129815224,0.4449879864587274,0.0034882915568365497,0.0030945179290351155,0.002321878957592419
27.0,0.6409539848455097,0.49957010679137337,98.84592,98.84592,1.0,0.2862348472248813,0.31571571639888785,0.11085930122757318,2.1732982098349174,0.5464894163128262,0.21353032054535778,0.3407656257853105,0.23670575236753888,0.6908620946095488,0.6720741668582131,0.2254337817133545,1.9792946570316572,0.2785933765790372,0.2829268292682927,0.5602361559867859,0.33853854281210305,0.215751076753958,0.11389601892395189,0.0032992368121097138,0.4555925507493157,0.0035135385794028717,0.0031423120137317228,0.0020941129504710395
28.0,0.6437299412668143,0.48483436160798277,102.50688,102.50688,1.0,0.29356019019507557,0.3157001015039307,0.11085930122757318,2.179382039719844,0.5328582564295556,0.20018090462925414,0.31917235460020965,0.2374722693848407,0.6908921294099016,0.6728078454554094,0.22540523534074336,1.9790440216461465,0.2834860113889577,0.28542544229149114,0.5750327706336975,0.316798383650062,0.20255024518125062,0.11389601892395189,0.0034697285017298595,0.4840104849772615,0.003673614144337301,0.0033214071842148953,0.002133155106040696
29.0,0.6381906093962939,0.5325396178620566,106.16784,106.16784,1.0,0.29088916457185526,0.3153360025514877,0.11085930122757318,2.173404724053165,0.542342947724108,0.20100717756195022,0.3193393879916858,0.23732432217439456,0.6914584513168603,0.6733160104048006,0.22523163761986958,1.97751984439646,0.283436458829129,0.2882696046662346,0.5220889449119568,0.31686576548302875,0.20336126618989592,0.11389601892395189,0.0034715390587692157,0.4893937483893751,0.003682243333907685,0.0033151058462220335,0.002277112106492645
30.0,0.6433004184102918,0.5861852044132241,109.8288,109.8288,1.0,0.29122163555355896,0.3161739240816086,0.11085930122757318,2.1995452474952635,0.5369223887717006,0.199670919508817,0.32053641402800204,0.2398458824176081,0.6934610490761378,0.672575203719015,0.22513793324323506,1.9766971257666095,0.28603407536376074,0.28673306283044386,0.49753275513648987,0.31815769886217843,0.20217546941298156,0.11389601892395189,0.003619139765534647,0.5155990584808023,0.003869059807295926,0.0034293788967836004,0.002424527253483271
31.0,0.6424155848507145,0.48536436940921257,113.48976,113.48976,1.0,0.2923134217208819,0.31638071468218937,0.11085930122757318,2.2030734233657823,0.5466219300157363,0.20994626736113728,0.33608256182019197,0.24061059827402959,0.6945551175435474,0.6721089915867973,0.22627306361789754,1.9866635002315536,0.2788319509146688,0.28515974917885933,0.5625432133674622,0.3336844682360494,0.21249675455575223,0.11389601892395189,0.003376817789375841,0.48549137827831146,0.0035705609022447624,0.00323082039858437,0.002194940869604148
32.0,0.6436155830983367,0.5446010765638463,117.15072,117.15072,1.0,0.296613468719341,0.3189787313306558,0.11085930122757318,2.2123013814408568,0.5511300203257624,0.2058715822719178,0.33028428572733365,0.24157124350037354,0.6955247822859829,0.6719698809142367,0.22526788998258473,1.9778381378983543,0.2798958086668245,0.2852208950928191,0.5447367429733276,0.32805197704893707,0.20873674748348386,0.11389601892395189,0.003278730691218181,0.47615068388404325,0.003426624667662517,0.0031717103688001964,0.0018913226828214005
33.0,0.6383024782254634,0.5540072283966129,120.81168,120.81168,1.0,0.29848890528556216,0.31997607848835785,0.11085930122757318,2.2356668806895397,0.5551393144172733,0.20061090765153727,0.32158941138661196,0.243704826769382,0.6976464670396737,0.6726674798376744,0.22499767937276147,1.9754657054606264,0.2812051649928264,0.2849444257325699,0.5747589468955994,0.3191871987726537,0.20360233477891412,0.11389601892395189,0.0031484652511866652,0.462291600611934,0.0033088793406242396,0.003024329081356679,0.0022352258572969543
34.0,0.6399647929084267,0.554382702170502,124.47264,124.47264,1.0,0.296937463833051,0.3216378104713987,0.11085930122757318,2.235164823070191,0.566684728583188,0.2046078607037303,0.3269068846321346,0.243987351543616,0.6981379609669169,0.6726319272408892,0.22517085353227256,1.9769861638677524,0.2817972350230415,0.2858990944372574,0.5275068879127502,0.324545635443037,0.2077004462136919,0.11389601892395189,0.0034587681557650173,0.5135650939082552,0.0035754592276131514,0.0033733105009077185,0.0023423995140992495
35.0,0.6438541153314656,0.6145211346914432,128.1336,128.1336,1.0,0.2885326553880987,0.3248783035142387,0.11085930122757318,2.2404344234157167,0.567191530722359,0.21894971529137036,0.34912089190281975,0.2447902215377295,0.6994191811595277,0.6733097105800261,0.22476257346221837,1.9734014901108337,0.2779462511764091,0.28563670920445283,0.5601122975349426,0.3466420804482592,0.22180086129562238,0.11389601892395189,0.0034661163335176267,0.5203106105345796,0.003506205895841042,0.0034489107633168996,0.0020943628333452632
36.0,0.6386775690663566,0.5430561141619467,131.79456,131.79456,1.0,0.29527105629408285,0.32240488611603363,0.11085930122757318,2.2533764175294624,0.5597200964451737,0.2087478612291987,0.3346100789554321,0.2463889453904053,0.7005331681645861,0.673735287587503,0.22519053853514528,1.9771589969751664,0.2819961525404549,0.2861142929871452,0.5278100371360779,0.3321123348460042,0.21178541466612288,0.11389601892395189,0.0033198456116235787,0.5033285027675447,0.0032619994241772374,0.003389670722032404,0.0017558590503351118
37.0,0.639857405157753,0.558030593074094,135.45552,135.45552,1.0,0.29910673995720566,0.32325123731280214,0.11085930122757318,2.257913994838095,0.5566800330170752,0.2032761120152863,0.3272407125298205,0.24687479906417564,0.7010155181223282,0.6732702300048456,0.22461648472338103,1.9721188400215897,0.2811983958480774,0.2842979635584137,0.5266622304916382,0.32471579292766506,0.2064813173263933,0.11389601892395189,0.003285982005388436,0.503763126596823,0.0031819046700059337,0.00339335842769782,0.0020044114939277795
38.0,0.6358897871470621,0.5873584052516218,139.11648,139.11648,1.0,0.30138474356563205,0.32459438125538426,0.11085930122757318,2.2490714451498115,0.5300215771898446,0.19343863824700727,0.31135602245775074,0.24615377958130813,0.7009636989504698,0.6736826049890897,0.22532464426426135,1.9783364369803838,0.2830991362640196,0.28449161246148574,0.5617541074752808,0.3085915434750639,0.19658892490415655,0.11389601892395189,0.0032406466946344804,0.5025671137509562,0.0031695916772427712,0.0033195477957132513,0.0019695066255743456
39.0,0.6402372754041796,0.6333425572182724,142.77744,142.77744,1.0,0.2934692876307717,0.3219755787131863,0.11085930122757318,2.27105548243936,0.5566626533514154,0.21186548588154572,0.3392209140701717,0.2487817938439976,0.7022487746926562,0.6723909777674415,0.225665572309537,1.9813297641264649,0.2780960775672102,0.28566848348829754,0.5816150903701782,0.3366804509122044,0.21513240821505458,0.11389601892395189,0.0033164459154239614,0.5207328772057735,0.003204636012472732,0.003435100159900272,0.0018506272024268631
40.0,0.6411496042877507,0.6828937208675819,146.4384,146.4384,1.0,0.2985886706794263,0.323050935509295,0.11085930122757318,2.2743233997728733,0.5520339269907474,0.20608841408522185,0.3307424664971098,0.24923554987682445,0.704364713390538,0.671984212388126,0.2243659438566063,1.9699191067109636,0.28165788871078545,0.28491347794296856,0.514761209487915,0.32819465020570887,0.20976291826703286,0.11389601892395189,0.0033626431507984313,0.5339027093923505,0.0032760554465620056,0.00345907342115973,0.001981485146361696
41.0,0.6410571525872123,0.6884967249444088,150.09936,150.09936,1.0,0.2943978797035596,0.3244454194002049,0.11085930122757318,2.2927732234778957,0.5595650062588801,0.20903893005482493,0.33452169830633255,0.25044072110499366,0.7037227822702463,0.6725274656045882,0.22406244018561042,1.967254363255808,0.27755905511811024,0.28541033434650454,0.5635057091712952,0.33252680547656543,0.21286023612940375,0.11389601892395189,0.003527648669402702,0.5669452010042733,0.0033448302481412554,0.0037190642832142158,0.0016565125361893039
42.0,0.6397278871090689,0.7300201100652346,153.76032,153.76032,1.0,0.30114544660323533,0.3256303570154186,0.11085930122757318,2.3090895087415784,0.5536771136163953,0.20398183716490195,0.32841465740054515,0.25267196683909543,0.7068906353133811,0.6719846139705816,0.22347416828645777,1.96208937237456,0.2804453723034099,0.28324426281043696,0.5655163526535034,0.32598370019393536,0.2080161581092797,0.11389601892395189,0.0035227045480237303,0.5726481457659247,0.003239709640614224,0.0038074210188992607,0.0016532646141135966
43.0,0.6400467227736547,0.7644665996508432,157.42128,157.42128,1.0,0.3045450277299641,0.32571389315849536,0.11085930122757318,2.3094751224356775,0.5625351836706131,0.20508848760601028,0.330704303620032,0.25265457171966704,0.706307287749435,0.6719626775289367,0.22371201350851516,1.9641776387099812,0.27740960353447275,0.2833103448275862,0.5333593487739563,0.3284352202401727,0.20916369480334587,0.11389601892395189,0.003458369520302307,0.5681402790996799,0.0032533145913293637,0.0036742985472315113,0.0015335735103883226
44.0,0.6363877123115103,0.7284388679134789,161.08224,161.08224,1.0,0.30298092007250105,0.32547317657438307,0.11085930122757318,2.3020468429567784,0.5478726459029789,0.2108115441819301,0.33921612825058217,0.252227939472277,0.7071936752397071,0.6721680869550507,0.2241786776653295,1.9682749211367352,0.2773554480534439,0.28514487199141497,0.5604847073554993,0.33710618759534744,0.21495113499412694,0.11389601892395189,0.00337921200690612,0.5613537391327554,0.0031965649421079375,0.003576413955546404,0.0014668734184499117
45.0,0.6370585437183407,0.8225791338788447,164.7432,164.7432,1.0,0.3007062343101082,0.3257751678421651,0.11085930122757318,2.3034681538568047,0.5485079885729839,0.2068026211096776,0.3334726340269044,0.25243585288128517,0.7070221528189939,0.6717068695046264,0.22307335686726254,1.9585702729101366,0.2797169811320755,0.28432290691140666,0.6006320714950562,0.3309324202317825,0.21064903669997942,0.11389601892395189,0.0033136088572264326,0.5571113352234534,0.0030772487999038613,0.0035616225580178363,0.0015040225465793664
46.0,0.6364904758332819,0.7335970091591333,168.40416,168.40416,1.0,0.30885747330514657,0.32881425030836425,0.11085930122757318,2.3296050233396435,0.5300887278745787,0.18799859856312684,0.3025856490447757,0.25525367662747084,0.706892951736969,0.6713497372069509,0.2237067184383305,1.9641311483213384,0.281291700026688,0.2848288075560803,0.5218323469161987,0.29981888923470607,0.19216026813894213,0.11389601892395189,0.0032578760153118983,0.553448897184353,0.003018496775148093,0.0035093472524817698,0.0015453733060139779
47.0,0.6442181870739878,0.9162589888752454,172.06512,172.06512,1.0,0.30375226562855207,0.32973956640304286,0.11085930122757318,2.333846463222758,0.5683370338039351,0.20563221167587198,0.32779230307605906,0.25543892646578037,0.7069851684595349,0.6724172186710342,0.22416392511816585,1.9681453946853014,0.2803461626053291,0.2847843775427176,0.5408710241317749,0.32532672101938415,0.21007705272578925,0.11389601892395189,0.0033295632458413007,0.5716209719357721,0.0030068879251891425,0.0036611470972353418,0.0018256385269727654
48.0,0.6353532311715493,0.8156328769106672,175.72608,175.72608,1.0,0.3036301885229282,0.33000951407532836,0.11085930122757318,2.360503482783411,0.5213702939237332,0.196569251995115,0.3173040452241184,0.25848478201073016,0.7110646694241364,0.6725790564006998,0.2241772194289404,1.9682621179114523,0.2807017543859649,0.2843045739431924,0.5145630240440369,0.31463146522866925,0.20086363701809443,0.11389601892395189,0.00329639434996254,0.5728733762152842,0.0030220800875088885,0.0035875491968786572,0.001540041807039435
