round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_ece,fed_auroc,fed_brier,fed_auprc_lift,fed_f1,fed_prevalence,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
28.0,0.5472729256415694,0.6367578908743816,36.5056,36.5056,0.0,0.24725198845143642,0.30001862656117667,0.0680692826270384,0.7198217627186079,0.10348968870282238,2.685456532199831,0.13581685268979965,0.11411127895266868,0.3411908283633406,0.6632510740197284,0.2130447296977015,1.870519546780217,0.15663865546218486,0.2816301703163017,0.482211709022522,0.3539243339922271,0.22440865773416185,0.11389601892395189,0.0,0.0,,
29.0,0.575911038948999,0.499967015809084,40.15616,40.15616,0.9971592150692714,0.21938950601638807,0.24926982407545573,0.06671786887211537,0.6808404362446999,0.10695118896114174,2.203753907720238,0.07597169152881035,0.11411127895266868,0.3080062622536825,0.6634155722331634,0.21580863965861338,1.8947865052483381,0.1454418928322895,0.2817713072490142,0.4787319302558899,0.3441487748427662,0.21716589477868997,0.11389601892395189,0.006736283500303619,1.2701346563408151,0.005109998720833656,0.008195110464236448
30.0,0.5801734301934461,0.557533321732034,40.15616,40.15616,0.0,0.2271380611551852,0.27033569630746834,0.07692292478731115,0.6971480512778935,0.10793434014179802,2.4081892551196495,0.09942815369119573,0.11411127895266868,0.32238458843719403,0.6634155722331634,0.21580863965861338,1.8947865052483381,0.1454418928322895,0.2817713072490142,0.4787319302558899,0.3441487748427662,0.21716589477868997,0.11389601892395189,0.0,0.0,,
31.0,0.5614618389179217,0.44896666500448446,40.15616,40.15616,0.0,0.2382912773757138,0.28560452794526353,0.07093013639691437,0.7069554396124,0.10608122488857427,2.5557355842095766,0.1410667239696393,0.11411127895266868,0.3348255263514871,0.6634155722331634,0.21580863965861338,1.8947865052483381,0.1454418928322895,0.2817713072490142,0.4787319302558899,0.3441487748427662,0.21716589477868997,0.11389601892395189,0.0,0.0,,
32.0,0.5447574823983455,0.6333031316253284,40.15616,40.15616,0.0,0.2599936037334686,0.3012916780493857,0.06778296447882454,0.7211034073978944,0.10405902542656384,2.7046682891840748,0.12609118175646516,0.11411127895266868,0.34240796826527403,0.6634155722331634,0.21580863965861338,1.8947865052483381,0.1454418928322895,0.2817713072490142,0.4787319302558899,0.3441487748427662,0.21716589477868997,0.11389601892395189,0.0,0.0,,
33.0,0.5859651732114044,0.7081972572526365,43.80672,43.80672,0.9971592150692714,0.24682801863983322,0.2551037836504,0.08687396906656265,0.6846597073491733,0.11085439696991534,2.2574193254891313,0.09398756501095998,0.11411127895266868,0.3136354659588415,0.6614956692595004,0.21186918835874352,1.8601983665487738,0.06558704453441296,0.2785876255264011,0.4816379249095917,0.33746704551586715,0.21244137423529813,0.11389601892395189,0.005579319601902969,1.1092785340733826,0.004456494929003514,0.006613288145816869
34.0,0.5751734840649599,0.4687660586716097,43.80672,43.80672,0.0,0.2285466945724522,0.2719214733621254,0.0807561273921939,0.6996793010122441,0.10934457584795601,2.425046865480191,0.10099228731110313,0.11411127895266868,0.31933370290184215,0.6614956692595004,0.21186918835874352,1.8601983665487738,0.06558704453441296,0.2785876255264011,0.4816379249095917,0.33746704551586715,0.21244137423529813,0.11389601892395189,0.0,0.0,,
35.0,0.5585485101305555,0.5068269209741094,43.80672,43.80672,0.0,0.23108235652082995,0.2957899482309916,0.06790186191813556,0.7146819568839253,0.10541589939745409,2.6448255856982903,0.11091237519804506,0.11411127895266868,0.3389000457517423,0.6614956692595004,0.21186918835874352,1.8601983665487738,0.06558704453441296,0.2785876255264011,0.4816379249095917,0.33746704551586715,0.21244137423529813,0.11389601892395189,0.0,0.0,,
36.0,0.5405661696343808,0.5702465447964588,43.80672,43.80672,0.0,0.2770522472393312,0.31586772903798566,0.07530944712845836,0.7273201116583355,0.1038066699540689,2.8322140520088426,0.14668736150598224,0.11411127895266868,0.35213316714424286,0.6614956692595004,0.21186918835874352,1.8601983665487738,0.06558704453441296,0.2785876255264011,0.4816379249095917,0.33746704551586715,0.21244137423529813,0.11389601892395189,0.0,0.0,,
37.0,0.577739379247764,0.5913012928376924,47.45728,47.45728,0.9971592150692714,0.23313434956518395,0.2585863952396261,0.08589398365867328,0.6874694590326328,0.11005743193154649,2.2800678657780935,0.08175185286871693,0.11411127895266868,0.31594972383637726,0.6606258793087101,0.21136587276827357,1.8557792868019565,0.02964845404489623,0.2799083269671505,0.4774474799633026,0.33274372204379987,0.20920614463880285,0.11389601892395189,0.006300418703721092,1.3189325684215873,0.004545954783683452,0.007959596928392057
