round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_ece,fed_brier,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
32.0,0.5570216210939816,0.8612691662977123,69.1456,69.1456,0.5412350858791136,2.5821784671177523,0.11335599194360522,0.08174881644310227,0.10842424898314308,0.7146661290723177,0.33758471519297056,0.24067539829396892,0.2860698798760892,0.11139014895299085,0.6602837812542213,0.21059314251608285,1.84899476299251,0.2336448598130841,0.2782859894077997,0.49188125133514404,0.35637740191242656,0.22591566006832023,0.11389601892395189,0.004479858039996996,0.7881411403650418,,0.004479858039996996
33.0,0.5363091181532971,0.7546924618012596,71.12704,71.12704,0.5412350858791136,2.8412670987984328,0.11335599194360522,0.07910433922952077,0.10466902893333375,0.7303127299556572,0.3512782323515143,0.2467277126428029,0.3132342110657376,0.16339411429262485,0.6604792138662005,0.21141727975222496,1.856230636940768,0.20011911852293032,0.27717312436511393,0.48703533411026,0.3513279737955947,0.2222164674732328,0.11389601892395189,0.004583657599803045,0.8319586156867445,,0.004583657599803045
34.0,0.5214351792332689,0.9062276837120432,73.10848,73.10848,0.5412350858791136,2.9834259354271198,0.11335599194360522,0.07257767203749012,0.10170704774001545,0.7392162266926305,0.36226795181932625,0.25352246727145383,0.32747697548422144,0.15471981676399874,0.6593328214495631,0.20873792647740963,1.8327060809454936,0.2209051724137931,0.27634520792964673,0.4896295666694641,0.35081984155598894,0.22181848305293675,0.11389601892395189,0.005208404826382654,0.9766187404748052,,0.005208404826382654
35.0,0.5852870604118775,1.2850836595503705,74.7776,74.7776,0.4559241291901578,2.2590879663450285,0.11335599194360522,0.07101685467163477,0.10767709905740357,0.6868902986007137,0.3136966905453541,0.23163213214601602,0.25467993680418594,0.08902794074777386,0.6599194957690527,0.20675094289176132,1.8152604879878063,0.21211290764593038,0.27984026031652126,0.4894573390483856,0.350348481522862,0.2214608579153691,0.11389601892395189,0.007434399223391615,0.5320020904764533,0.007434399223391615,
36.0,0.5775559265858223,1.07736741029977,76.75904,76.75904,0.5412350858791136,2.4952128763176846,0.11335599194360522,0.08241926499713709,0.10853988864868824,0.7044641831446661,0.3276864294366456,0.25148259141939167,0.27902186699969983,0.1140633961602838,0.6607231250102591,0.20942631200833922,1.838750063320235,0.1855541718555417,0.28061077499279746,0.4872092306613922,0.34717508800268904,0.2191672299100009,0.11389601892395189,0.003954166474235154,0.7570407420862466,,0.003954166474235154
37.0,0.5509174820033799,0.7846777354243979,78.74048,78.74048,0.5412350858791136,2.684759263216281,0.11335599194360522,0.08243053967268842,0.10725694886930942,0.720252378451486,0.3413348947343531,0.24225606757881119,0.2968929368129351,0.12048207737259718,0.6603287710387167,0.20221637608646,1.7754472719672443,0.18359255870692284,0.281927023945268,0.488472044467926,0.34694286142641606,0.2190069636371511,0.11389601892395189,0.003558235342809427,0.6953138693934307,,0.003558235342809427
38.0,0.530247586757943,0.9126312524108904,80.72192,80.72192,0.5412350858791136,2.8123873811206335,0.11335599194360522,0.07437273042797474,0.10334398792493203,0.7317604697267712,0.35078808644981246,0.2627404885571019,0.3101953753281766,0.12930887002202668,0.6596028605521488,0.20010000856002028,1.7568656960137174,0.17568427753023552,0.28125,0.4878648817539215,0.3408140239024884,0.21467692713788614,0.11389601892395189,0.004105581061773667,0.8277337095933035,,0.004105581061773667
39.0,0.5113786440451829,1.001882459243283,82.70336,82.70336,0.5412350858791136,3.0304679848197695,0.11335599194360522,0.06680895937809087,0.1001385823431069,0.7422870409144633,0.36670378199845943,0.2705680980728818,0.3328764511637941,0.17915420022841844,0.6602473125474588,0.20137892082773662,1.7680944666046392,0.16173570019723865,0.28182476466328743,0.4858044385910034,0.33637617425467636,0.21157260657229518,0.11389601892395189,0.005024675243097407,1.0455612648511305,,0.005024675243097407
40.0,0.5804016524283465,1.4871143469751842,86.35392,86.35392,0.9971592150692714,2.313584137601044,0.11335599194360522,0.08025977554089088,0.10989572180243214,0.6875966532816543,0.3157031538250533,0.2246308178272312,0.26105918163722946,0.10615516573777704,0.6600741301134184,0.20181620079718823,1.771933757684195,0.2144177449168207,0.27928051627076755,0.4863536059856415,0.3479647799652124,0.21970889970014182,0.11389601892395189,0.004595991709728655,1.336441779974848,0.006921141609549844,0.003764716128831326
41.0,0.5735577328475377,1.0015328868319824,88.33536,88.33536,0.5412350858791136,2.5140661485969087,0.11335599194360522,0.08744870905725947,0.10892927752099418,0.7084980688686023,0.33287009498595066,0.2512580807736258,0.2815440783980051,0.10284538742802045,0.6582165226182032,0.19440563241957734,1.706869425781963,0.2319041032733979,0.27923400787722397,0.48984047770500183,0.35239415120854095,0.222983177524775,0.11389601892395189,0.0036730793027791643,0.7966051290277392,,0.0036730793027791643
