round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_f1,fed_ece,fed_brier,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
40.0,0.11576601326813013,7.449381058222667,323.47392,323.47392,0.9991046702896288,,,,,,,,,,0.479163736383953,0.970181385837952,1.003204578960853,0.0,0.9832657200811359,0.4828680455684662,0.48414898012344376,0.26623440658014186,0.9670822942643391,2.6485533116740086e-05,0.01620410638540193,7.57391804544195e-06,2.958253365583162e-05
41.0,0.11036170811215772,7.747244129240962,323.925888,323.925888,0.035646615445478584,,,,,,,,,,0.48443433822495197,0.9708219345203907,1.0038669307443957,0.0,0.9832657200811359,0.48286524415016174,0.48415033790536055,0.2662357002518683,0.9670822942643391,7.848116275354352e-06,0.0006756695315601746,7.848116275354352e-06,
42.0,0.13159583333460875,8.977386125926456,336.593664,336.593664,0.9991046702896288,,,,,,,,,,0.4941198993545564,0.9717614894359767,1.0048384663842875,0.0,0.9832657200811359,0.4828570783138275,0.4841573908887896,0.26624248770418035,0.9670822942643391,2.7136751138823628e-05,0.016605411457611297,8.065509790573447e-06,3.0259320276915553e-05
43.0,0.13987180964767865,11.424059541338393,337.045632,337.045632,0.035646615445478584,,,,,,,,,,0.4949208432962945,0.9718779321184858,1.0049588725619207,0.0,0.9832657200811359,0.48285630345344543,0.48415787830911666,0.266242956754525,0.9670822942643391,8.60513968293215e-06,0.0007408533773975989,8.60513968293215e-06,
44.0,0.10971805584046694,6.699049271896514,349.713408,349.713408,0.9991046702896288,,,,,,,,,,0.48207057683591975,0.9707971963309414,1.0038413505123969,0.0,0.9832657200811359,0.48286446928977966,0.4841494987581733,0.2662348926377778,0.9670822942643391,2.7374666000378442e-05,0.016753728784667743,8.811000670989842e-06,3.0413587804177672e-05
45.0,0.10721971031126953,8.816395754361219,350.165376,350.165376,0.035646615445478584,,,,,,,,,,0.47853470236141715,0.9704795818914685,1.003512925060544,0.0,0.9832657200811359,0.4828647971153259,0.4841492689607149,0.26623468254912414,0.9670822942643391,8.966267291166744e-06,0.0007719519101243577,8.966267291166744e-06,
46.0,0.0974162133540532,7.597296960779402,362.833152,362.833152,0.9991046702896288,,,,,,,,,,0.45653413974713614,0.9685808734027348,1.0015495880208785,0.0,0.9832657200811359,0.4828648567199707,0.4841494437167769,0.2662349390651689,0.9670822942643391,2.717032419156402e-05,0.01663126428953987,8.836162375898085e-06,3.017116838338503e-05
47.0,0.1462907347284491,12.81000139330842,363.28512,363.28512,0.035646615445478584,,,,,,,,,,0.45874552643505717,0.9688186034627647,1.0017954099756798,0.0,0.9832657200811359,0.482863187789917,0.4841501050459179,0.26623557118619273,0.9670822942643391,9.534012015697797e-06,0.0008208426558944382,9.534012015697797e-06,
48.0,0.10068996023692782,6.860536738273905,375.952896,375.952896,0.9991046702896288,,,,,,,,,,0.4591166955787894,0.9689558207320386,1.0019372978688692,0.0,0.9832657200811359,0.482863187789917,0.4841501599386743,0.26623562215666896,0.9670822942643391,2.7101337415709705e-05,0.016591564629649724,9.370890853920677e-06,3.0002898885505365e-05
49.0,0.11974000597634493,8.834008238068185,376.404864,376.404864,0.035646615445478584,,,,,,,,,,0.4522949974213512,0.968194530916056,1.0011500951452772,0.0,0.9832657200811359,0.4828643500804901,0.48414927709132355,0.2662347929391745,0.9670822942643391,1.0202291233381435e-05,0.0008783905244555967,1.0202291233381435e-05,
