round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1,fed_auroc,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.64033824902475,0.8395464748007869,76.88016,76.88016,1.0,0.3265066130126633,0.5854621431307482,0.35122377888859724,0.11022977651872835,2.350077883707228,0.29723045081537364,0.6991879871522132,0.2583379410278431,0.21762190962536881,0.6671407389388254,0.2210657477416824,1.9409435889878424,0.2834138486312399,0.28511038046030995,0.5036353468894958,0.34780630813146124,0.2214310180300425,0.11389601892395189,0.004992374360335281,1.6766364622126275,0.003272580027378975,0.00672007304677796,0.0049660834904654136
22.0,0.642731796873265,0.6860895302375112,80.54112,80.54112,1.0,0.32895869033971453,0.5691007659894548,0.3356960424432238,0.11022977651872835,2.3764884818622396,0.30115573595468204,0.700413343257561,0.26137232336742766,0.20775704217882585,0.6658741102250474,0.22107867122989666,1.9410570564148548,0.2804239249604093,0.2853382469070808,0.51500403881073,0.33203947633738107,0.21198779459257336,0.11389601892395189,0.004975759558611496,1.7433670619611803,0.0029326537898143623,0.007045197845996897,0.005324936281078317
23.0,0.6433517866702142,1.0611919455047318,84.20208,84.20208,1.0,0.3290345210532471,0.5694960247599782,0.3483460901120398,0.11022977651872835,2.426834384314125,0.2912748391551521,0.7013350059303454,0.26707517936262654,0.2164507211644694,0.6660951813669355,0.21783941164764786,1.912616557678796,0.2781857451403888,0.284394250513347,0.5311428904533386,0.344945716345268,0.22084089546000166,0.11389601892395189,0.004871685890165991,1.783493504289254,0.0028388032787497286,0.00694258726531963,0.0046930126587835285
24.0,0.641529579306454,0.9004927251678347,87.86304,87.86304,1.0,0.32985616023895153,0.5678620446223601,0.33655667543876777,0.11022977651872835,2.4484501706773893,0.2970972906527698,0.7022700861853948,0.26937536523312283,0.2086050203296573,0.6656389962466598,0.22041687731214282,1.935246546758712,0.2801068400882592,0.2847069193477303,0.5459052324295044,0.3331852723120206,0.21324628832956333,0.11389601892395189,0.004629732482541067,1.7662669120236387,0.002740243432005801,0.006562684608950073,0.005488169482976808
25.0,0.6453791032929258,0.9272125343687779,91.524,91.524,1.0,0.33651457249615147,0.5758282110249805,0.34578866616895765,0.11022977651872835,2.483560406186178,0.2939004636326883,0.7043052874563895,0.27288993707150855,0.21437307982853657,0.662069216852468,0.21897424687116676,1.922580340734959,0.27656284515131435,0.2819426336375489,0.5698265433311462,0.34225520444501895,0.21929914385294652,0.11389601892395189,0.00432879118370789,1.7211176591708863,0.0025699219385941457,0.006135305651110987,0.00491460224978481
26.0,0.6411897288533235,0.9334194052692715,95.18496,95.18496,1.0,0.33919200614936135,0.5666513489596229,0.32984849039468406,0.11022977651872835,2.506482471826035,0.3056273098076141,0.7068173253257883,0.27551196486365603,0.2042487861401614,0.6624561415485792,0.21917805939285814,1.9243698020665922,0.28201717257225783,0.2822550132425274,0.5077229738235474,0.3267753817848091,0.21002446438871591,0.11389601892395189,0.0041595871171476425,1.7257885678445746,0.0025308667186390546,0.0058351007369264,0.00410162998308572
27.0,0.6394207670130735,1.1219572531602604,98.84592,98.84592,1.0,0.33503624062744236,0.5781439345645424,0.3333727954675789,0.11022977651872835,2.507965646444838,0.3013569891216465,0.7069943998361276,0.27587762466600135,0.20656473208193146,0.6637455098689139,0.21995188099618865,1.93116390787153,0.27844205043210607,0.2833571315246708,0.559115469455719,0.3301322189299795,0.21223361612802502,0.11389601892395189,0.004035751969446661,1.7388909610913288,0.0023718866433889403,0.005755452945710379,0.0038290969974911415
28.0,0.6438995473755174,1.1746278218353337,102.50688,102.50688,1.0,0.33806732050496957,0.5590770022642849,0.3175318622713566,0.11022977651872835,2.552770604106718,0.30456048823614645,0.709824891440309,0.2800221811182788,0.19728780774095098,0.6625720733837724,0.21924345622023106,1.924943982165166,0.28284559813885146,0.28534868841970573,0.5097330212593079,0.31388894102234605,0.20334493170711548,0.11389601892395189,0.0037583542213581035,1.681479104769096,0.0021652724584242046,0.005416900229030838,0.004060918580851926
29.0,0.6466481301721503,1.5486749555897854,106.16784,106.16784,1.0,0.3395440545060391,0.5719744997970855,0.31515227358392395,0.11022977651872835,2.5557880459242797,0.30568642677751023,0.7110932980664428,0.2804104929321175,0.19595317380597851,0.6635487344655984,0.21934317967687866,1.925819547945162,0.28377230246389124,0.2860127987462453,0.5131661891937256,0.3112875894863951,0.2020398654922919,0.11389601892395189,0.003600353172712413,1.6717982708414638,0.002092503309919925,0.005167900546725323,0.004057340719336821
30.0,0.6477689388339447,1.3812158809879,109.8288,109.8288,1.0,0.3431424085213893,0.5731575036352823,0.3208657821815307,0.11022977651872835,2.546240410346845,0.30901386818867826,0.7132282047079546,0.28005754503765123,0.19815554230078508,0.6616157926115755,0.2183795795483228,1.9173591984293528,0.2824022690837341,0.28555462419670297,0.5242266654968262,0.3171489462939842,0.20452427498694964,0.11389601892395189,0.0036265363570461835,1.7421937411181716,0.0020198925075945793,0.005300053868233933,0.0044113052656446815
