round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_auroc,fed_auprc,fed_f1,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
25.0,0.6427054052179019,1.280268403942286,91.524,91.524,1.0,0.5557956395957665,0.32503432836808877,0.7025435172483899,0.28511273220868855,0.30282735871670907,2.491368265600126,0.11462201800214009,0.3364782166947872,0.20548878679392807,0.6485746408008076,0.20574745574684508,1.8064499329359545,0.26793273080883195,0.2705539358600583,0.5416087508201599,0.3243753044522024,0.21126860827750774,0.11389601892395189,0.004282666817603378,1.7547796462040424,0.0024815996929359934,0.006232427904918168,0.004761414222066585
26.0,0.6462670116579209,1.2672231046726314,95.18496,95.18496,1.0,0.5430352595166545,0.30657196477092963,0.7038647160292931,0.2868460736738045,0.3104751816176612,2.505145016682661,0.11462201800214009,0.3388573487942237,0.19430136495800907,0.6482323168561877,0.20701235615284588,1.8175556802478545,0.27217617221328716,0.27604910077076794,0.5265370607376099,0.3061067036030704,0.20057310751907825,0.11389601892395189,0.004133197642114533,1.7635652136523277,0.0024622534274724777,0.005953018164679738,0.004427733281759713
27.0,0.644177628376122,1.3550510162367462,98.84592,98.84592,1.0,0.54868828376732,0.3216487479389254,0.701738376007315,0.28640797329888185,0.30179706565243997,2.50320396889686,0.11462201800214009,0.33662113116344916,0.20309152684906492,0.6467613579691452,0.2035106524373288,1.7868109382577488,0.26344024654719783,0.26974622184203023,0.5362342000007629,0.3209678880304396,0.20883390791362275,0.11389601892395189,0.004010485559493644,1.7796672993754328,0.0023254383255977167,0.005856652414426118,0.004768134391717727
28.0,0.6454337609485746,1.3913064130811752,102.50688,102.50688,1.0,0.5435443762123542,0.3205436019576151,0.7068010338508399,0.2909875906809483,0.3076430087598759,2.5434057966482504,0.11462201800214009,0.3372419211968752,0.20250668575293695,0.6447999539585714,0.204206117474102,1.7929170782558252,0.26384174177689335,0.2699232379623168,0.5278475284576416,0.319476811296958,0.20869413076775084,0.11389601892395189,0.0034495882026224136,1.588607498413694,0.0019963534696332704,0.005048147752494009,0.0037955816274414323
29.0,0.6493681045255955,1.714279455512009,106.16784,106.16784,1.0,0.5611611356340991,0.3256432775561046,0.7071901551363462,0.2934733331844115,0.3073537910017846,2.5674511055029057,0.11462201800214009,0.3386512348408271,0.20565913021893073,0.6473741853460655,0.20350936165121386,1.786799605235514,0.26502953781999306,0.27032404775440594,0.535381555557251,0.32536800100273444,0.21248557970020387,0.11389601892395189,0.0035432025459502365,1.6898601679858984,0.002062260274258557,0.005176719526861714,0.004752516323579938
30.0,0.6450234426819774,1.58743359734981,109.8288,109.8288,1.0,0.5661743678128641,0.322051146485155,0.7071849512740956,0.2938049743201295,0.3029603847062657,2.5658603003755163,0.11462201800214009,0.3387530535751286,0.20494936760462337,0.6456622518866719,0.2026426064458559,1.7791895481540922,0.2646304759781518,0.2712209302325581,0.5498601198196411,0.3213538311438769,0.21212578248326003,0.11389601892395189,0.003352740637341938,1.6589922274088167,0.0018815843118532118,0.004972763065064251,0.004714939027198638
31.0,0.6480868335381602,1.8483749873115098,113.48976,113.48976,1.0,0.5505841977553361,0.327064244112022,0.7107849302548569,0.29540576767428395,0.30908694680160964,2.5808864534321003,0.11462201800214009,0.33973088456697526,0.20667103329150346,0.6431325208550553,0.20013054109610023,1.757133769791611,0.26305130513051306,0.2700661000944287,0.5306301712989807,0.32656864496902704,0.21429650035730516,0.11389601892395189,0.0034665086326575094,1.7776088453938428,0.0018984003737706771,0.005200069547090005,0.0036893824217574555
32.0,0.6522428173611033,2.052264296216269,117.15072,117.15072,1.0,0.5466120142956065,0.318895991882214,0.7116895717116875,0.29709969081471643,0.30826066295809823,2.58990660769626,0.11462201800214009,0.3400701092998673,0.20207477477679542,0.6443008999111449,0.20189283239312414,1.7726065783557152,0.2629472693032015,0.26973079448456994,0.5209531188011169,0.3185806366004134,0.20979444186851617,0.11389601892395189,0.003315740890251317,1.757358378803474,0.0017806031888579089,0.0050141339589643095,0.004326331801256707
33.0,0.6502930768782462,1.9932184757701301,120.81168,120.81168,1.0,0.5418739236514682,0.3238121509435996,0.7138240203220956,0.2984856771518477,0.3115469227516654,2.6070578946833596,0.11462201800214009,0.34528090253927507,0.20352683280104317,0.6412314420590057,0.20254917796546257,1.7783692518761713,0.26252528858740926,0.26946815495732107,0.5178850293159485,0.3232736911726291,0.21164286497089413,0.11389601892395189,0.0031582755693687916,1.7302635096421,0.0016897739692624102,0.0047874583537475925,0.004590845941146972
34.0,0.655443847189759,2.1320003520692024,124.47264,124.47264,1.0,0.5415674584991058,0.3185836973941508,0.714220070874785,0.29879359316007215,0.31366495599040467,2.612196785590312,0.11462201800214009,0.3456521335013687,0.2009605671963534,0.6390251480471372,0.2007671814290688,1.7627234325294598,0.26405166228175075,0.26894233255753813,0.5141671895980835,0.31815036821850784,0.20927628724056072,0.11389601892395189,0.002995066503000198,1.6973476616185508,0.0015993834184827064,0.0045397451322358486,0.00436889198090818
35.0,0.655810410242171,2.1938881708180764,128.1336,128.1336,1.0,0.5806112888870525,0.33915039088324395,0.7127392163921309,0.2987430509960817,0.3009014767129456,2.6042727035249746,0.11462201800214009,0.34377085788759026,0.2150370713300492,0.6400369977916479,0.20101658429225738,1.764913174239002,0.2630021141649049,0.2670759785111282,0.5378082394599915,0.33870994661602294,0.2236315703110852,0.11389601892395189,0.003086405337360868,1.8020278462608985,0.0015721864497189855,0.004763868250548407,0.005434485414620282
36.0,0.6542607641128435,2.3407473864757273,131.79456,131.79456,1.0,0.5896870877921803,0.3224100768623133,0.7162968029531227,0.30479609824735243,0.30858888330287615,2.6612563647523215,0.11462201800214009,0.3450617714967524,0.20367847718032694,0.639315667854966,0.20213830696467977,1.774761829907743,0.26205278592375364,0.26640327359954846,0.5401700735092163,0.32194629823436244,0.21276885590524827,0.11389601892395189,0.002843179360315425,1.7156773992464878,0.0014364198254020494,0.004397323125143995,0.0056139326396432675
37.0,0.6765687135242988,4.950791477883684,135.45552,135.45552,1.0,0.5765188397151328,0.32822368678077873,0.7168538668926953,0.3064381210806837,0.30349266876160136,2.6712154816779274,0.11462201800214009,0.34806375178580634,0.20717182973907183,0.6374043612557463,0.19747163805624768,1.7337887655941604,0.2638888888888889,0.265585750171272,0.5063387155532837,0.32811714020554106,0.21633732378628726,0.11389601892395189,0.002847124340808656,1.7722222232532658,0.0014012295468875018,0.004442592330179549,0.004753661633083816
38.0,0.6639998591057811,2.5590506727157587,139.11648,139.11648,1.0,0.5715503248696722,0.32771710017812844,0.7169248804729185,0.31011559857872223,0.3017191078756179,2.702194694357371,0.11462201800214009,0.3531268016666061,0.20758144017938934,0.6408331224607124,0.19814827143823266,1.7397295648282123,0.2610539709468773,0.26823238566131025,0.523743212223053,0.32755699409043737,0.21652464636187618,0.11389601892395189,0.002839485249143765,1.8247097783714707,0.0014290174000508465,0.004391170526454676,0.004115800379309388
39.0,0.6647967678392266,2.8214503431982534,142.77744,142.77744,1.0,0.5900301957018628,0.3294946250171021,0.7199897840609869,0.3123725727668082,0.30581088511494603,2.727258838364968,0.11462201800214009,0.3516488829771611,0.20836565987987998,0.6388781814177857,0.20009290215145337,1.7568033021861365,0.2613054375068105,0.2674162796382302,0.5201748013496399,0.3296196104185489,0.21791923528421572,0.11389601892395189,0.0026432081631344046,1.7479225386996404,0.0013048125631899864,0.004112567290831761,0.004996458547099736
