round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,fed_f1_best,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6414905694106028,1.4440148331401061,76.88016,76.88016,1.0,0.09622396417551736,0.6953225398326837,0.06514952180084457,0.21825278954620053,0.28305761805195445,2.482941356022081,0.3296530466739047,0.04673349700753693,0.11519576986025432,0.660205271884123,0.2227085277840266,1.9553670961293965,0.06560065600656007,0.281282316442606,0.19173695147037506,0.04225274630210968,0.09867123989940516,0.11389601892395189,0.005030409565572867,1.574090841691941,0.0031467886745544455,0.006974989077775562,0.0043285226729706675
22.0,0.6566309663513232,1.5915838082314284,80.54112,80.54112,1.0,0.09875432258563906,0.6959434150016803,0.08394493875015208,0.2513456577980352,0.2826485628767732,2.48729069761585,0.33204481787251905,0.06834022074562149,0.11519576986025432,0.6587754751987946,0.21967240823087886,1.9287101542816314,0.07833733013589128,0.28225538971807634,0.23527105152606964,0.0657830588515636,0.10161202670148888,0.11389601892395189,0.004760301569399431,1.5622914484556532,0.0030909590071218442,0.006494066024528966,0.0025029078624167105
23.0,0.6319185308584518,1.3720844430365549,84.20208,84.20208,1.0,0.09701135282745413,0.6976911846385049,0.10253348752486446,0.2139288564869811,0.2850055798786223,2.5030023325280766,0.3356119592859072,0.05530033320223463,0.11519576986025432,0.658672557145058,0.22120736155610712,1.9421869495175839,0.09784735812133072,0.2808286747780335,0.21049465239048004,0.05234149959568524,0.10003211324953024,0.11389601892395189,0.004567169570778855,1.5653611607122002,0.0028701143863295074,0.006334693371749203,0.0025771807598736537
24.0,0.6485883920891813,1.9255795779288385,87.86304,87.86304,1.0,0.09755061168204862,0.6994849565668921,0.1137690681668051,0.21941178214603677,0.28722914897479257,2.525017400739415,0.33196424788444545,0.05959737655269007,0.11519576986025432,0.6573211819836657,0.2184739602119432,1.918187854817101,0.10003877471888328,0.2806573957016435,0.1968226581811905,0.058129506640273484,0.10115352411129024,0.11389601892395189,0.004687075689826961,1.67708726823912,0.0027910983044013194,0.006659804066522287,0.0027341388704176777
25.0,0.6496117992550965,1.7884488143684028,91.524,91.524,1.0,0.09626461328186017,0.7007175978564458,0.07764053756885815,0.2107671556011054,0.2901418619440201,2.55263872398507,0.34118477389126106,0.053471050422384696,0.11519576986025432,0.6570174601526044,0.21941651739128853,1.926463448540659,0.06966383151073309,0.28216090167120095,0.17866790294647217,0.04759417990971325,0.09938260003179804,0.11389601892395189,0.004647040640983466,1.730247326704557,0.002771686983245006,0.006598197370713943,0.0031988755639543475
26.0,0.6522000272806547,1.7428750623412443,95.18496,95.18496,1.0,0.0958210006547036,0.7025582140648389,0.09040177421187738,0.21742344374873845,0.29514602379815336,2.5884231013332353,0.33838513278313076,0.05112174325548748,0.11519576986025432,0.6578453349345764,0.2201547784678652,1.9329453351206423,0.08420208500400962,0.28112560054907343,0.18518933653831482,0.04575945959538536,0.09951555583299619,0.11389601892395189,0.004237466491186702,1.6412236219111946,0.0024283414126909865,0.006128494004699929,0.002944976674360697
27.0,0.655634533265519,1.9060923088869868,98.84592,98.84592,1.0,0.09538498022011999,0.7041003185313751,0.08463780943938949,0.2085770967905518,0.2959939415384225,2.596170901820814,0.3378891381631205,0.04765364351962536,0.11519576986025432,0.658159460261132,0.2190910914685377,1.9236062290713103,0.06848756624541377,0.28039867109634553,0.18125958740711212,0.041666517913747626,0.09894747661507346,0.11389601892395189,0.004076186688461508,1.6409492134553147,0.0024130044204125154,0.005818044888431462,0.002905143433413791
28.0,0.6604781535335928,1.8190629833738972,102.50688,102.50688,1.0,0.09581086859119362,0.7068570196042167,0.10907399567770434,0.2133095667083212,0.2994375561459444,2.627145068753328,0.3430091294648399,0.052480695738969414,0.11519576986025432,0.6576415443877371,0.21906509050512057,1.923377942221052,0.08813021040095276,0.28024478267691827,0.20231126248836517,0.04914250709515818,0.0999122674379442,0.11389601892395189,0.004085143816661887,1.7085228809446562,0.0021862371073447357,0.006075817998453475,0.002264634315041022
29.0,0.6506172636527799,1.8786406100876487,106.16784,106.16784,1.0,0.09544703521092109,0.7084910930253192,0.11095796984022425,0.2150177721247915,0.30130199733840635,2.645772394683455,0.345379584896013,0.05199287832762338,0.11519576986025432,0.6573463436344086,0.2177787428643695,1.9120838895148728,0.09433962264150944,0.28005657708628007,0.201588973402977,0.046486394221002134,0.09993884069633796,0.11389601892395189,0.0039270918572998316,1.7038864502392244,0.0021259739414260606,0.005810594106290361,0.003001502043933426
30.0,0.658276873992251,2.167876176271939,109.8288,109.8288,1.0,0.09596523054629728,0.7085295531346759,0.13281188624085397,0.2197879401920733,0.30243459021724456,2.6532797299111808,0.3437249224294181,0.055142841857363074,0.11519576986025432,0.6541709433106628,0.2181189724182294,1.9150710839495357,0.10061443932411675,0.27801120448179273,0.22819936275482178,0.051128538674048006,0.10095418942933554,0.11389601892395189,0.0038571984448252643,1.7370993652730249,0.002145080442862103,0.0056524770308068965,0.0031301886009329452
