round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auroc,fed_auprc_lift,fed_f1,fed_prevalence,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.6302708257107932,0.3967498797280331,31.18592,31.18592,0.5412350858791136,0.34139737516664126,0.5519079785880306,0.328342970064995,0.7056301348168332,2.379161543417125,0.3031946488157132,0.11467774420946626,0.21448929213911266,0.2701153551734901,0.452585109252264,0.1056760289352438,0.9278289964270257,0.010282776349614395,0.2045002711006687,0.3453044593334198,0.3659638530598222,0.23549959288661582,0.11389601892395189,0.008394340994330698,0.8284868196351454,,0.008394340994330698
16.0,0.6408158674535525,0.4332118417553918,32.85504,32.85504,0.4559241291901578,0.3427209114029343,0.5395023427933664,0.313619335651449,0.6858601139944512,2.1798620639109636,0.2942466909680922,0.11467774420946626,0.21633452775453713,0.2485380081866762,0.44105957982728844,0.10353347045762261,0.9090174655424231,0.010186757215619695,0.2045002711006687,0.35264459252357483,0.3671188713488002,0.23655982185009267,0.11389601892395189,0.006836630144246958,0.5506545063108206,0.006836630144246958,
17.0,0.6422005369190591,0.46132127533398276,34.83648,34.83648,0.5412350858791136,0.35309882785877345,0.566966698792916,0.32445360655009337,0.6986320098733271,2.2853077271890787,0.3033174719352634,0.11467774420946626,0.22195940912957166,0.2597155580464374,0.4469112887789981,0.10646428668145785,0.934749850673392,0.08219954648526077,0.2045002711006687,0.3673275411128998,0.3705177903385346,0.2391199483418078,0.11389601892395189,0.008653384262369041,0.8930597668513656,,0.008653384262369041
18.0,0.6247216302891461,0.4365815041160756,34.83648,34.83648,0.0,0.3146298178968705,0.5408995045801066,0.3353507241102721,0.7100633375087952,2.4603947872199514,0.3147124823728578,0.11467774420946626,0.19933696323387828,0.2780475398871248,0.4469112887789981,0.10646428668145785,0.934749850673392,0.08219954648526077,0.2045002711006687,0.3673275411128998,0.3705177903385346,0.2391199483418078,0.11389601892395189,0.0,0.0,,
19.0,0.6075555444950782,0.4614479786355831,36.81792,36.81792,0.5412350858791136,0.3321744870723433,0.5573828177149562,0.3469840000987612,0.7215111004143463,2.596101783860579,0.3189137264913389,0.11467774420946626,0.2063653793953672,0.29346944775068473,0.46031427893184484,0.10849289488519955,0.9525609052028412,0.07847730600292825,0.2045002711006687,0.3673563003540039,0.3698860519956142,0.23845684906362177,0.11389601892395189,0.009778581821063167,1.066715741995722,,0.009778581821063167
20.0,0.6402767480979734,0.5559514584838929,38.48704,38.48704,0.4559241291901578,0.34795817129631895,0.566945742598143,0.3140891549468469,0.6886056326098656,2.192375823870181,0.29150911837666765,0.11467774420946626,0.22032343462582432,0.25025866382104467,0.45447454215709715,0.10750469638352445,0.943884583492818,0.0802615933412604,0.2045002711006687,0.3657507598400116,0.3708069079013109,0.2392150782591828,0.11389601892395189,0.006372725559568158,0.5518222916871309,0.006372725559568158,
21.0,0.6394834365402372,0.5114795094871483,40.46848,40.46848,0.5412350858791136,0.3407161029422428,0.5736986820221188,0.32876516737609435,0.7011921286477538,2.322916314551396,0.3012880454512803,0.11467774420946626,0.2143778474600546,0.2635400021444995,0.455034059463017,0.10699333569578645,0.9393948682896955,0.06993006993006994,0.2045002711006687,0.35360610485076904,0.3695721043494767,0.23819511785005895,0.11389601892395189,0.007741818607449857,0.8860051811207086,,0.007741818607449857
22.0,0.6204503631281901,0.4983120481903839,40.46848,40.46848,0.0,0.3265463941105867,0.5659776465162589,0.34078812775423084,0.7154869202028709,2.528235657608321,0.3146923318945019,0.11467774420946626,0.20508818753752808,0.2858226207867103,0.455034059463017,0.10699333569578645,0.9393948682896955,0.06993006993006994,0.2045002711006687,0.35360610485076904,0.3695721043494767,0.23819511785005895,0.11389601892395189,0.0,0.0,,
23.0,0.6019881793499893,0.5131188080035032,42.44992,42.44992,0.5412350858791136,0.3256273191837943,0.5466578233188013,0.3525601817048604,0.7252303879780257,2.654922823455352,0.3221237876198472,0.11467774420946626,0.20250537236990637,0.2989850922861479,0.4243262914678436,0.10104113296239246,0.8871348965222164,0.10892780862879112,0.2045002711006687,0.33790308237075806,0.3731164217289228,0.2413149208473799,0.11389601892395189,0.009180655302564981,1.109539734548889,,0.009180655302564981
24.0,0.6422173918643098,0.6871775650881784,44.11904,44.11904,0.4559241291901578,0.3221056434414504,0.5135089548404093,0.3157556475146706,0.6907695628898378,2.2282462030515973,0.30069500225153795,0.11467774420946626,0.2043200353907087,0.2545203402824257,0.43555171330385944,0.10459569825044254,0.918343759848892,0.11327356221298929,0.2045002711006687,0.3469803035259247,0.37269496965122734,0.2410962498114946,0.11389601892395189,0.006249978858475915,0.5791142592206597,0.006249978858475915,
