round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_auprc,fed_brier,fed_ece,fed_prevalence,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
26.0,0.6396625071392135,0.810462784111811,55.58784,55.58784,0.5412350858791136,0.32470256896984184,2.323469249204606,0.2917301087803866,0.5709912679556755,0.2643035955518967,0.22339085184754623,0.3532737048712352,0.11467774420946628,0.7000099878562445,0.43691898862060896,0.10006846251583766,0.8785949101755097,0.11037699183832103,0.2045002711006687,0.32815396785736084,0.3704853836960543,0.2396571263513907,0.11389601892395189,0.0045382876455700395,0.7506139965262264,,0.0045382876455700395
27.0,0.6185979217977452,0.7655523293944072,57.56928,57.56928,0.5412350858791136,0.33465969663914125,2.53326552149122,0.301591231141071,0.5658111409973521,0.2860914986578568,0.22068196901779888,0.3522943979012428,0.11467774420946628,0.7131007980688309,0.43260345805664513,0.09995560427205333,0.8776040217770338,0.10875173645564597,0.2045002711006687,0.32136380672454834,0.3716826136845744,0.24053962680593985,0.11389601892395189,0.0045893901616926094,0.7776904497295618,,0.0045893901616926094
28.0,0.600736331548424,0.7973793431595462,59.55072,59.55072,0.5412350858791136,0.34283466036665233,2.668144490306787,0.31478683609227254,0.5647042316740073,0.29911659839365407,0.2094955727935611,0.335977616010067,0.11467774420946628,0.7253796939807658,0.43564629852163944,0.10107045265726584,0.8873923216293482,0.12359550561797752,0.2045002711006687,0.32442769408226013,0.3732952266126066,0.24167378992402477,0.11389601892395189,0.005186683879656256,0.9120134675176814,,0.005186683879656256
29.0,0.5835700770533329,0.9878202275584439,61.53216,61.53216,0.5412350858791136,0.3535743575483619,2.8225516666993995,0.32423178027359123,0.5535640425207273,0.3140901922632685,0.19004112047217406,0.3054564842426102,0.11467774420946628,0.7322202121883126,0.45343174546459053,0.1042153577907126,0.9150043941421425,0.12752007867562695,0.2045002711006687,0.32126176357269287,0.37150061344865215,0.24016680885652264,0.11389601892395189,0.006245945639476467,1.1440624163951725,,0.006245945639476467
30.0,0.6415643776002347,1.077384544305004,65.18272,65.18272,0.9971592150692714,0.314361633514241,2.19004053159952,0.29472278429425247,0.5292455374703097,0.2516852827885835,0.20984872990450468,0.3337801130118519,0.11467774420946628,0.6857993741488075,0.47018208852895277,0.10937319127681523,0.9602898530618832,0.14604338527344943,0.2045002711006687,0.3361196517944336,0.37493177919768444,0.2422329262465344,0.11389601892395189,0.005263940810012132,1.3651381465606391,0.007828793599130624,0.004316025468601577
31.0,0.6425081298827638,0.8600693318340011,67.16416,67.16416,0.5412350858791136,0.32522849368234613,2.377414435265685,0.3039852319882468,0.5598757178236591,0.2720257528092407,0.2015107613960337,0.31967762714530434,0.11467774420946628,0.7010253423257435,0.47335416324798685,0.10960180674490692,0.9622970827284824,0.11231193049374867,0.2045002711006687,0.33392053842544556,0.37261390983923387,0.240468296032084,0.11389601892395189,0.004223380780396532,0.8122233310714364,,0.004223380780396532
32.0,0.6157921974257239,0.8367135900747128,69.1456,69.1456,0.5412350858791136,0.3359983511482825,2.4969275177948083,0.3087236551102982,0.5632044367889864,0.28319160929219855,0.20397863467044727,0.3272315444394736,0.11467774420946628,0.7157334863796312,0.48075846527032096,0.1117217827858788,0.9809103412163613,0.09653092006033183,0.2045002711006687,0.3345617949962616,0.3705916497285463,0.23888607083520147,0.11389601892395189,0.005095525512477046,1.0093517744680867,,0.005095525512477046
33.0,0.5970324160800362,0.830365272116168,71.12704,71.12704,0.5412350858791136,0.34664149680217415,2.711089968563467,0.31806686743405094,0.5937416511517457,0.30495563206837495,0.21439705709482887,0.34374310056567464,0.11467774420946628,0.7295138280890759,0.4649940322337186,0.10820347700735394,0.9500198341401306,0.07629733520336605,0.2045002711006687,0.30521121621131897,0.368495006240052,0.23765525957767042,0.11389601892395189,0.005743662969517318,1.177383030531928,,0.005743662969517318
34.0,0.5806757441311752,0.9884550102562549,73.10848,73.10848,0.5412350858791136,0.3542160479077041,2.862518040839289,0.3210227511818455,0.573166470295653,0.31922256789534476,0.20239857241922726,0.3251530568995034,0.11467774420946628,0.7376551663541749,0.4715493387467987,0.10838367067653917,0.9516019234079349,0.048160535117056855,0.2045002711006687,0.29671740531921387,0.36676336853017844,0.23617708795118034,0.11389601892395189,0.0060629054628415875,1.2902558140922338,,0.0060629054628415875
35.0,0.6419995563410512,1.4393449594677317,74.7776,74.7776,0.4559241291901578,0.3177303263374143,2.2301337229202063,0.2919492275529812,0.5486313563294161,0.255823751942748,0.21082096542056364,0.33148233724013804,0.11467774420946628,0.6902927188672197,0.4727139404179138,0.10835145261744294,0.9513190508422332,0.05288616575298291,0.2045002711006687,0.3002685010433197,0.3667147971509333,0.23617646368031114,0.11389601892395189,0.00709530722223713,0.5355735991615802,0.00709530722223713,
