round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auroc,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
29.0,0.6433966652424552,1.3938470617612888,212.33568,106.16784,1.0,0.2901564881449462,0.30390433953215235,0.7107535851544741,0.5666644358941827,0.20494343715385419,2.531929159284866,0.3323111941487013,0.11423716012084593,0.3262955494250113,0.6534785273107945,0.21550215312879326,1.8920955724772395,0.2683391197222533,0.2737030411449016,0.5532788634300232,0.32421847994696773,0.21056314956307687,0.11389601892395189,0.0037664674632543822,1.7962257504932495,0.0022069821025196045,0.005590253894077872,0.003268974713564343
30.0,0.6473321559241757,1.4804997773637631,219.6576,109.8288,1.0,0.29387635967326303,0.2969586556136478,0.7121612340799081,0.5772222038508513,0.21406704132195015,2.5615081180325574,0.33574967643886294,0.11423716012084593,0.3394272841834031,0.6538451344445354,0.21317803095734575,1.8716899235932403,0.26814070351758795,0.27236157122574534,0.5304929614067078,0.3373360008109804,0.21994516478257423,0.11389601892395189,0.003639281603358209,1.8020600789259333,0.0021063627486591274,0.0054405996476192126,0.003014332795408747
31.0,0.6498421324199833,2.261378646425931,226.97952,113.48976,1.0,0.2943941979852246,0.2979194303811237,0.7116718755433843,0.5599605038251881,0.2063598340566953,2.5632240925772916,0.33648115047604205,0.11423716012084593,0.3298672399690719,0.6537792247239861,0.212506017566915,1.8657896875992197,0.2688545968267768,0.27441224032839906,0.5227088928222656,0.32813018280017303,0.21216932574054687,0.11389601892395189,0.0034067838963510616,1.747344068800885,0.0019549526474603673,0.005124512701270103,0.0025278109239664625
32.0,0.6520842197771878,1.504745297788797,234.30144,117.15072,1.0,0.2909358106643292,0.3016707499534818,0.7116309541717835,0.5620039439566006,0.20089414528261243,2.5358934877667183,0.33694841119008023,0.11423716012084593,0.32089246493303003,0.6542617385940166,0.2141350490921251,1.8800924836108854,0.27424436923795076,0.2770669291338583,0.5096587538719177,0.3187963641713918,0.2066532303306572,0.11389601892395189,0.003231255075266216,1.7075672028058761,0.0018058341744125932,0.004933665859590458,0.002702618748873817
33.0,0.6498598257813024,1.7484718899504756,241.62336,120.81168,1.0,0.293082210010409,0.30518046834465323,0.7138811749881492,0.5594066481639641,0.19985138125384758,2.5561140768987762,0.3382709591818716,0.11423716012084593,0.3186085679174907,0.6549548322642791,0.21645295161679534,1.9004435243809574,0.27468499427262316,0.2797293780900338,0.524613082408905,0.3162846022332371,0.2055237640562985,0.11389601892395189,0.003189777487380092,1.741651461514266,0.0017276626171639446,0.004946246650635113,0.0026036628961014765
34.0,0.6464301630301998,1.8109940721558921,248.94528,124.47264,1.0,0.2958324565843393,0.3062857675366302,0.717562179821017,0.5657114565094853,0.20300858867802976,2.5806433110278992,0.3399998744714117,0.11423716012084593,0.32467803878310836,0.6542290598216803,0.21525070038534783,1.8898878329458577,0.2767971946230275,0.27923533289386954,0.523411750793457,0.3219649719345492,0.20903886780971326,0.11389601892395189,0.003449006493900386,1.9424354451157342,0.0016595663368303305,0.0056023878440100445,0.004476273612010454
35.0,0.6576689073351909,2.3449070922601587,256.2672,128.1336,1.0,0.30182559091875927,0.30438251639475455,0.7202946162476069,0.5702163874090079,0.2040768713031833,2.630553356202645,0.3465865083768159,0.11423716012084593,0.3270797881405976,0.6500898867030478,0.21043910089161785,1.8476422870594587,0.27220533603512326,0.27487529535311106,0.5266290903091431,0.324474207078419,0.21087536443015092,0.11389601892395189,0.003086715728192121,1.793425156347439,0.0015569227228096028,0.004930957749102398,0.003817549632086049
36.0,0.6581763216310879,2.472260333505555,263.58912,131.79456,1.0,0.3052884883378746,0.3044271037539616,0.7199522726894139,0.5618775229045722,0.19613285232523228,2.659632924732513,0.34480019641094595,0.11423716012084593,0.314560850798198,0.6523807891185611,0.21050482355747727,1.848219327999786,0.27293117695667574,0.27534448818897644,0.508056104183197,0.31214474155595884,0.2030364503253126,0.11389601892395189,0.002859193166509958,1.7117948212180636,0.0014681474648089064,0.004539412603328831,0.003735993439717631
37.0,0.6496499633717331,1.964189899591214,270.91104,135.45552,1.0,0.3039900777898173,0.30534686963253727,0.7185658658437006,0.5807085092473036,0.19867320156235116,2.6494396592641407,0.3435778514656702,0.11423716012084593,0.3160603808502393,0.6528350792716239,0.21269105454778695,1.867414300844003,0.2752335383914331,0.27606605866403744,0.5162766575813293,0.31396983525452704,0.2060057056733369,0.11389601892395189,0.002619844187779392,1.6148093965639418,0.0013967749253537107,0.004098709093600548,0.0027568175898123252
38.0,0.6578568495455764,2.371236123235432,278.23296,139.11648,1.0,0.30505200331391985,0.30939707108531594,0.7196264770310363,0.5536580299611568,0.19482313944064394,2.6595824866124116,0.34207283558854384,0.11423716012084593,0.3114535917367192,0.6484607294273449,0.2112269730981937,1.8545597562916527,0.27014618823245135,0.2746381371932033,0.5074738264083862,0.30919562981980164,0.20224500279532653,0.11389601892395189,0.0026520276895862028,1.6794343649580696,0.0013528944387395994,0.004225493143571645,0.0032087150043984564
39.0,0.6631472821028711,2.62297788979222,285.55488,142.77744,1.0,0.30530818527803,0.3116549868825207,0.7217224933873145,0.5776681225120363,0.19510660852025413,2.6583634465749912,0.34303114705714405,0.11423716012084593,0.3104134931866914,0.6497118595682216,0.21152087007094797,1.8571401535305634,0.2730075901328273,0.2750395521479859,0.5049732327461243,0.30796988577912743,0.20273344990164832,0.11389601892395189,0.0027458103980525367,1.7889935272396542,0.0013300869622997237,0.004456431243084415,0.0037449792996849906
