round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auroc,fed_auprc_lift,fed_brier,fed_f1_best,fed_f1_best_threshold,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
26.0,9.327110378776272,947.6684990914531,55.58784,55.58784,0.5412350858791136,0.22671350332349746,0.2842704845367607,0.6823762094407174,2.0727563773984374,0.24111926541689396,0.3092824075531246,0.5998736519257454,0.11060749134403523,0.38218714958810196,0.3499689074783639,0.08138330584134137,0.7145403905265628,0.19386028523084362,0.20457421804375336,0.4916413128376007,0.39929147288701966,0.26144607101258527,0.11389601892395189,0.003728178051543378,0.4809915501391515,,0.003728178051543378
27.0,9.008876656605535,982.9309425586085,57.56928,57.56928,0.5412350858791136,0.23352009030979615,0.2933470562091503,0.6880850277118888,2.138603202083041,0.24097448464668877,0.31462358832960424,0.601237725909491,0.11060749134403523,0.38290864205187813,0.3438352123460101,0.0807291759430963,0.7087971704875742,0.17432052483598875,0.20451875282422052,0.48855164647102356,0.40366855323557665,0.2654995688370758,0.11389601892395189,0.004443502859357172,0.5848600791650824,,0.004443502859357172
28.0,8.735450930109673,841.8262294744497,59.55072,59.55072,0.5412350858791136,0.2368503520016525,0.3036360547099108,0.6928591328328775,2.173294017245065,0.23435605708023738,0.3208931347476532,0.6004298465954344,0.11060749134403523,0.3748406476257055,0.3378124041692491,0.08009330395110811,0.7032142537359996,0.15930754903034952,0.2045649717514124,0.4903051555156708,0.40095921111932437,0.26310967022049153,0.11389601892395189,0.0048537581185298636,0.6555625267792493,,0.0048537581185298636
29.0,8.429029755515355,695.2436187180339,61.53216,61.53216,0.5412350858791136,0.2393856532034257,0.30952156055864155,0.6964153566245266,2.1985410963057075,0.23295914610716034,0.3286399278202104,0.5877955893600442,0.11060749134403523,0.37371874882584283,0.33966548131238555,0.08032602565058017,0.7052575358600872,0.15951187622575724,0.20457421804375336,0.49029475450515747,0.40073957967436585,0.26281431580347475,0.11389601892395189,0.004708975581157056,0.6515811990248039,,0.004708975581157056
30.0,9.43973834088363,916.2542097833123,65.18272,65.18272,0.9971592150692714,0.22360821014888171,0.27530874905698643,0.6796217568681502,2.034458670786472,0.2370058378097076,0.3019606175277583,0.583326167417916,0.11060749134403523,0.3761753818037227,0.33951459925409067,0.08034218033944739,0.7053993730289351,0.1545174825174825,0.20455572629485672,0.4898945987224579,0.4032926878875621,0.2651885599587576,0.11389601892395189,0.004789230196128768,0.9819146535592154,0.006885837073625583,0.0038530929201594454
31.0,9.441560829895883,855.2733570116403,67.16416,67.16416,0.5412350858791136,0.22728783618392862,0.27598320464863996,0.6822246923630689,2.0702357321927276,0.24588101052973044,0.3096754920971964,0.5940243125243273,0.11060749134403523,0.3882217118996736,0.3424783405247548,0.08104327347404203,0.7115549273777027,0.15923635969194055,0.20452799493876814,0.4869048297405243,0.400085416748033,0.2621896626660424,0.11389601892395189,0.0038653080538829047,0.5577572573092766,,0.0038653080538829047
32.0,9.066562612967214,796.3152047761881,69.1456,69.1456,0.5412350858791136,0.23044754190047942,0.2993958930525002,0.6887764156159126,2.102414099566609,0.23366697088347024,0.3161931499155552,0.5699469516890434,0.11060749134403523,0.3736474638807725,0.3402225263763122,0.08058444632464873,0.7075264533912706,0.16037124973019642,0.20452799493876814,0.48953646421432495,0.40234864270766896,0.26419696678529075,0.11389601892395189,0.003923033551971485,0.5750863411230966,,0.003923033551971485
33.0,8.755133501481671,924.2477643942526,71.12704,71.12704,0.5412350858791136,0.23757175494068078,0.3024849840058519,0.6937288609985205,2.177709313628449,0.23142620083142162,0.32332866064443777,0.5711531525274324,0.11060749134403523,0.3712409364134026,0.33904464738525397,0.08031157109093959,0.7051306257206711,0.16079640750960342,0.20457421804375336,0.490653395652771,0.40453376885784964,0.2662674625092352,0.11389601892395189,0.004107624881310442,0.6117504115682095,,0.004107624881310442
34.0,8.624309063746587,779.6470102121555,73.10848,73.10848,0.5412350858791136,0.24053303420597105,0.29919389044311334,0.6952028872548249,2.196200750980322,0.23946082336661842,0.3310629302953707,0.5982431580688656,0.11060749134403523,0.3818301883871765,0.3422487232062303,0.08075634969995772,0.709035754391719,0.19277335468978188,0.2046389655016503,0.4960947334766388,0.40345926648285674,0.2649943805422478,0.11389601892395189,0.005033642700563315,0.7669192730099894,,0.005033642700563315
35.0,9.332835814314144,1775.9399333665806,74.7776,74.7776,0.4559241291901578,0.22627133101029961,0.2799115570739795,0.6806114807850894,2.0626625187011727,0.2420373887768651,0.3079565631315675,0.5844856697412868,0.11060749134403523,0.3832273780680468,0.3420685883759248,0.08059447426828939,0.7076144981160591,0.19012675116744496,0.20475005654829226,0.49572986364364624,0.4035837539033469,0.2651690313901275,0.11389601892395189,0.006468716664736211,0.4332176416646689,0.006468716664736211,
