round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_f1,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.16169386571997857,0.0771040795840052,76.88016,76.88016,1.0,0.11469218179529145,0.365023114546021,0.2977914501307303,0.3326315546058356,0.5246487544343226,0.2740703882601158,0.7021806966662052,2.406394871836368,0.22869962358983878,0.6590937669433286,0.22377297270777874,1.9647128567082879,0.2723267060720043,0.2846493649917173,0.5198867321014404,0.36634885727297267,0.23140319287938,0.11389601892395189,0.0053144121586512424,1.678557050321615,0.0034294975337030575,0.007368675495234919,0.0061596595550305645
22.0,0.1623628041268202,0.07488318194523437,80.54112,80.54112,1.0,0.11469218179529145,0.37245455722968374,0.2910914506139041,0.3346746656248325,0.5331020150870652,0.27675085766214946,0.7043026724589034,2.4313731722921017,0.23445051657153967,0.6572308761289298,0.22540790953883072,1.9790675009399148,0.26513629842180775,0.2830793905372895,0.5257576107978821,0.37390877057058697,0.23708995735157867,0.11389601892395189,0.00488974857145657,1.6175427456691978,0.0031352492506262026,0.006816884931849016,0.005979502553884417
23.0,0.1620050259310219,0.06596433221076083,84.20208,84.20208,1.0,0.11469218179529145,0.36980222573335714,0.3023491865409724,0.33828195057034416,0.5311118124242125,0.2790872467599151,0.7068057730261733,2.4521474074089626,0.23219114178710795,0.6567686923707214,0.2252671945368781,1.9778320319280738,0.26884447600689865,0.2830721003134796,0.530921459197998,0.3712209352547626,0.23501667624437425,0.11389601892395189,0.004270393806995463,1.4784441399133357,0.002921247289632005,0.00576667821247855,0.004928662095203997
24.0,0.16104173560697282,0.06938818966316253,87.86304,87.86304,1.0,0.11469218179529145,0.3695107763566299,0.3025866412425835,0.34002366568489595,0.5340206564039304,0.2821915091790061,0.7091313284603792,2.475960782858279,0.2315335156684554,0.6561872888209633,0.22329877393460665,1.9605494208160403,0.2677069611916101,0.28492392807745504,0.5267409086227417,0.370931221963526,0.23473818174993327,0.11389601892395189,0.004067191353470338,1.468727176743414,0.002665443364080201,0.005636695398928258,0.005486217696086454
25.0,0.16284234456768726,0.07877573733093605,91.524,91.524,1.0,0.11469218179529145,0.3650132474221827,0.3018858898365695,0.34292161450042574,0.5235051617793617,0.28508928615284795,0.7100986333882365,2.5036941804803297,0.22876974911352382,0.6535384383934112,0.2216052513279924,1.9456803970993728,0.26886001676445936,0.28430160692212614,0.5189868211746216,0.3664823521409165,0.2318894491584848,0.11389601892395189,0.004350006501017314,1.6355797215401253,0.002676791400514497,0.006246331264581561,0.00504725629211586
26.0,0.16166167607447596,0.08008769326163256,95.18496,95.18496,1.0,0.11469218179529145,0.3649860309765454,0.3035006130851707,0.3419597113122924,0.5254022007840684,0.28231149786891685,0.709642685040337,2.4744524084492725,0.22835524287008732,0.6559423611713135,0.22590923549176933,1.9834691117922956,0.2671353251318102,0.28325358851674637,0.5409271717071533,0.3662355783005907,0.23160312208965447,0.11389601892395189,0.00431155893086559,1.6903764793423761,0.0025452820658973356,0.006325088580716153,0.005470818035391888
27.0,0.16274526484388227,0.11837411231588317,98.84592,98.84592,1.0,0.11469218179529145,0.35820082864363795,0.309137128719408,0.34369072049755767,0.5212863423328893,0.28671437242611597,0.7112049573034266,2.516555527472544,0.22382930382360064,0.6557112504680318,0.22311839536092415,1.958965708098189,0.27296473661297344,0.2830500827192059,0.5216356515884399,0.35931434636698684,0.22686772272580322,0.11389601892395189,0.004113734972382301,1.6795647695080334,0.0023378647218656075,0.006145930984501903,0.0056406609184521195
28.0,0.16300263017433528,0.10159138836040316,102.50688,102.50688,1.0,0.11469218179529145,0.3673386887202714,0.2981869722915916,0.34131910837774426,0.5304312990359511,0.2870670433780787,0.7120154531473258,2.5235594037731066,0.22987442094864302,0.6561466411467708,0.22171044451684296,1.9466039867897271,0.26868905742145177,0.2804359383306752,0.5235791206359863,0.36847122967062457,0.23329499363862582,0.11389601892395189,0.003981047547756308,1.6910339367650522,0.002269289192655727,0.0059465024122557246,0.005720749671094708
29.0,0.16339459924713018,0.10280427143489582,106.16784,106.16784,1.0,0.11469218179529145,0.365324068647551,0.3021183917925912,0.3418173889256995,0.5301843398627836,0.28627628827576396,0.713375558338283,2.5117618435972884,0.22860965494202456,0.6567663456232458,0.2264299784773548,1.988041202990085,0.26798191533086724,0.2839288140198342,0.5231088995933533,0.3668969720331109,0.23205954382099653,0.11389601892395189,0.0038402976205840758,1.693632452897873,0.0020985738229219435,0.005845895083519037,0.006317514965546807
30.0,0.1614442708269785,0.09897738026573677,109.8288,109.8288,1.0,0.11469218179529145,0.36481609312275987,0.3047081270296447,0.33987787059878366,0.5302440340327148,0.28750193145667385,0.7149425847049127,2.5245364743904384,0.22803917848983415,0.6544620905910787,0.22294031776623835,1.9574021978335792,0.2696351267779839,0.2871794871794872,0.5209222435951233,0.3665145655279393,0.23187474891362153,0.11389601892395189,0.0036179699897782905,1.6592606659378362,0.0019756286144572187,0.005512418153549514,0.006427048960528631
