round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auroc,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.11880587466616016,6.328416601362756,435.310848,435.310848,0.9991046702896288,0.9869565217391303,0.9980656311793058,0.2441260790047438,0.3674333989620209,0.8619676945668134,0.09971658428870825,0.9142857142857143,1.0112559258644949,0.9934354485776805,0.5725420788597684,0.9793138576337495,1.01264790332938,0.9832657200811359,0.9832657200811359,0.5087097883224487,0.4582250715193903,0.24180337177838504,0.9670822942643391,0.00016007483851464884,0.09734966504623799,6.99765709822538e-05,0.00017482885363606442
22.0,0.1076943847072482,7.341031340587417,456.039936,456.039936,0.9991046702896288,0.9869565217391303,0.998571078301567,0.27961813924105267,0.27568966150283813,0.8972099853157122,0.12005922782966941,0.8845208845208845,1.0117680529046715,0.9934354485776805,0.5263295669432853,0.9754755763987375,1.0086789740482047,0.9832657200811359,0.9832657200811359,0.5088282823562622,0.4581155617932726,0.24170365708684036,0.9670822942643391,0.0001307530348165282,0.07956580258718304,4.864745336300261e-05,0.00014419074704706154
23.0,0.11298833967062645,17.236002599273363,476.769024,476.769024,0.9991046702896288,0.9869565217391303,0.9993599062090932,0.09704681751520736,0.4418949782848358,0.9530102790014684,0.02722768734544257,0.9911894273127754,1.012567305850623,0.9956140350877194,0.5233055151827715,0.97440882528055,1.0075759126805068,0.9832657200811359,0.9832657200811359,0.5090779662132263,0.4578854518638287,0.24149292401232197,0.9670822942643391,0.00013232319742937715,0.08057119094794984,4.1764084993042425e-05,0.0001471371202227356
24.0,0.11724470728982755,6.04604317436992,497.498112,497.498112,0.9991046702896288,0.9869565217391303,0.9995964889486544,0.3132554144315098,0.24705879390239718,0.9706314243759178,0.12840273356931817,0.9138755980861243,1.0128070152343194,0.9978021978021978,0.47392829793551816,0.9691039754952735,1.0020904955482328,0.9832657200811359,0.9832657200811359,0.5094101428985596,0.45757028105252995,0.24120476377029892,0.9670822942643391,0.00019416305840915446,0.11829415051090564,5.499330129130721e-05,0.00021691733353477053
25.0,0.0963698669552124,5.472867463861835,518.2272,518.2272,0.9991046702896288,0.9869565217391303,0.9983016723108438,0.545687168966169,0.1443885713815689,0.8854625550660793,0.3459687884820512,0.5587301587301587,1.0114950864823526,0.9934354485776805,0.4909864503727319,0.9722582927571685,1.0053521799784026,0.9832657200811359,0.9832657200811359,0.509621798992157,0.4573415077832571,0.2409953088388627,0.9670822942643391,0.00016883277139068318,0.10292923577554802,8.007655603645353e-05,0.00018333606968992227
26.0,0.13042830881533024,18.307339977303734,538.956288,538.956288,0.9991046702896288,0.9869565217391303,0.9990523921804655,0.0966699193353238,0.455935537815094,0.9324522760646109,0.02976530599231719,0.9912280701754386,1.012255727759943,0.9934354485776805,0.3888563301920702,0.9624589853815665,0.9952193221712433,0.9832657200811359,0.9832657200811359,0.5094509124755859,0.4574894369689009,0.24113141526572016,0.9670822942643391,9.485660174462485e-05,0.05786816067498535,4.280067247304416e-05,0.00010335775979850275
27.0,0.10144254784827549,11.01667215280951,559.685376,559.685376,0.9991046702896288,0.9869565217391303,0.9991886047920739,0.042951671843943426,0.47624292969703674,0.9412628487518355,0.016218409030484025,0.9912280701754386,1.0123937405382248,0.9934354485776805,0.4531193836247988,0.9687913996550552,1.0017672802003021,0.9832657200811359,0.9832657200811359,0.5092557072639465,0.4577083315932542,0.2413315288248996,0.9670822942643391,0.0001544103541803883,0.09425897400723215,7.160812850160046e-05,0.00016792436982527326
28.0,0.10806428331308847,18.94057092925489,580.414464,580.414464,0.9991046702896288,0.9869565217391303,0.9991285343948536,0.07343643903732303,0.3533457815647125,0.9368575624082234,0.026261958818714865,0.9867256637168142,1.0123328762591028,0.9934354485776805,0.4126541328707394,0.962597212971562,0.9953622547746167,0.9832657200811359,0.9832657200811359,0.5091150403022766,0.457837351331687,0.2414498479849598,0.9670822942643391,0.00012324960425783482,0.07528076928292649,4.6440711911643144e-05,0.00013577848758005763
29.0,0.0884681930211241,4.400774672518249,601.143552,601.143552,0.9991046702896288,0.9869565217391303,0.9993907826925542,0.16825029500152752,0.2670569121837616,0.9544787077826725,0.05810021181786795,0.9659863945578231,1.0125985903933368,0.9934354485776805,0.467540281619704,0.9702378625975702,1.0032629780856772,0.9832657200811359,0.9832657200811359,0.5092296004295349,0.4577376328798898,0.2413580943445827,0.9670822942643391,0.0001999564258571794,0.12220893437410041,5.268453338089297e-05,0.00022396494971704874
30.0,0.1122174204731341,8.060106164387559,621.87264,621.87264,0.9991046702896288,0.9869565217391303,0.999425032943679,0.012893162343812999,0.7213519215583801,0.9574155653450807,0.011381781218530663,0.9934354485776805,1.0126332932909523,0.9934354485776805,0.45444387141138043,0.967776914059244,1.000718263377403,0.9832657200811359,0.9832657200811359,0.5088455677032471,0.45813913966652164,0.24172589301969374,0.9670822942643391,0.0002552010989566831,0.1560650239400161,7.744476564734465e-05,0.0002841632775329615
