round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_f1_best,fed_prevalence,fed_brier,fed_auroc,fed_auprc_lift,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
26.0,0.6391785320356734,1.0213281209967768,45.78816,45.78816,0.4559241291901578,0.248030863609092,0.2980408188859176,0.31262320187637826,0.1142299704197873,0.20236701394490697,0.6856097622730829,2.1772657887703644,0.3195480194891869,0.5157100896368214,0.3902458332180875,0.08651531214914937,0.7595990884186694,0.2045002711006687,0.20460612641961903,0.5263830423355103,0.4587569420288119,0.3163377230639637,0.11389601892395189,0.005656621788171021,0.5780251882970333,0.005656621788171021,
27.0,0.6341643878954741,0.9105527580257821,47.7696,47.7696,0.5412350858791136,0.26329601898389965,0.30984713691853727,0.32559448618879105,0.1142299704197873,0.20660904691703527,0.7025965590150872,2.3268520916243127,0.32765368403314393,0.5554755539559189,0.39529545651115505,0.0872212081654039,0.7657968117712814,0.2045002711006687,0.20453824901490106,0.5259432196617126,0.4565352649254098,0.3138888825490402,0.11389601892395189,0.006403189408825944,0.8075924068689346,,0.006403189408825944
28.0,0.6390198850151454,0.9062986648976814,49.43872,49.43872,0.4559241291901578,0.2528331066342782,0.29904600384895025,0.31468485783336,0.1142299704197873,0.21063872324457253,0.6874079514862502,2.215955166156646,0.33368519064189284,0.5314917656430606,0.39462340827146414,0.08715596564763352,0.7652239865014716,0.2045002711006687,0.2046423066461148,0.5259446501731873,0.4543705920945345,0.3115900589592126,0.11389601892395189,0.0048251101200438235,0.5280425217933953,0.0048251101200438235,
29.0,0.6357640416389827,0.8575741461552229,51.42016,51.42016,0.5412350858791136,0.2655276162144186,0.31138038671867757,0.32707487764884535,0.1142299704197873,0.20049946410274788,0.7028454340379492,2.3416079096733085,0.320611692162601,0.520471473569289,0.3954854928588851,0.08734112829863544,0.7668497031222216,0.2045002711006687,0.2047450873856742,0.5262515544891357,0.45301667630231474,0.3099331795589633,0.11389601892395189,0.006513917824795478,0.8511457941494882,,0.006513917824795478
30.0,0.6137664017247257,0.8037507128119845,51.42016,51.42016,0.0,0.2827726875763756,0.3210639749792901,0.3433160730967151,0.1142299704197873,0.20379202736992372,0.7162381472078774,2.510498151368574,0.3250081913327801,0.5541083979984762,0.3954854928588851,0.08734112829863544,0.7668497031222216,0.2045002711006687,0.2047450873856742,0.5262515544891357,0.45301667630231474,0.3099331795589633,0.11389601892395189,0.0,0.0,,
31.0,0.5964182064708398,0.9399061705504337,53.4016,53.4016,0.5412350858791136,0.29556852215992924,0.3216760898474282,0.35414848386908304,0.1142299704197873,0.20417804221445215,0.7291876505872043,2.6303853857446278,0.32690780977603945,0.5893873560983065,0.4046244679471692,0.08871007282548746,0.7788689513785286,0.2045002711006687,0.20454134250045233,0.527039647102356,0.4540638047559637,0.31080960453610607,0.11389601892395189,0.0075225589070412255,1.029492752859369,,0.0075225589070412255
32.0,0.6377289488085834,1.313427891669097,55.07072,55.07072,0.4559241291901578,0.2554816376655743,0.2995465739744656,0.3176929409740331,0.1142299704197873,0.2101181622505302,0.6918234824380166,2.2426204224786845,0.3317302397684232,0.5472042350334941,0.39970297455638815,0.08786209762807903,0.7714237816050827,0.2045002711006687,0.2045649717514124,0.5266730785369873,0.4538898049654109,0.31077572852240853,0.11389601892395189,0.004434262277729033,0.5180880003608763,0.004434262277729033,
33.0,0.631069859803841,0.9490596871735217,57.05216,57.05216,0.5412350858791136,0.27055020911976513,0.31220810949542466,0.33252295265798243,0.1142299704197873,0.20740724096801336,0.7089116927904903,2.395634422794522,0.32881642803404404,0.5462975923736998,0.39589345043611607,0.08728699298909127,0.7663743984534929,0.2045002711006687,0.20466672696029664,0.5254396200180054,0.45287892370148636,0.309906934949922,0.11389601892395189,0.006874862760463903,0.9807845631148666,,0.006874862760463903
34.0,0.6101840287142911,0.9957086267803283,57.05216,57.05216,0.0,0.2922849633116117,0.32064767763222607,0.34860894693727873,0.1142299704197873,0.1897209474059788,0.7237201223388051,2.6015843640988865,0.30307453901147247,0.551672826952793,0.39589345043611607,0.08728699298909127,0.7663743984534929,0.2045002711006687,0.20466672696029664,0.5254396200180054,0.45287892370148636,0.309906934949922,0.11389601892395189,0.0,0.0,,
35.0,0.5886061621228611,1.1573384878925428,59.0336,59.0336,0.5412350858791136,0.3053741449964557,0.32267692131678205,0.3563606476532088,0.1142299704197873,0.20983787685927455,0.7354538233157893,2.72485020568831,0.33508214552565463,0.5751687134855518,0.4042390366358152,0.08857290411304754,0.7776646185692185,0.2045002711006687,0.20465242577842144,0.5260541439056396,0.4509056023595269,0.30775556072542587,0.11389601892395189,0.008098361697420346,1.213190708309412,,0.008098361697420346
