round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_ece,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6424189037874758,0.48499066272197855,76.88016,76.88016,1.0,0.29154417162129065,0.11544029709825639,2.141463817598674,0.5340147483072715,0.6720344673956089,0.24385988438841316,0.31397513102039165,0.31702026668256894,0.20009822396837776,0.6602086727855451,0.21301859419182656,1.8702900786555023,0.27691914676203855,0.2772024037846823,0.5002617835998535,0.3136356080149577,0.20065143536581664,0.11389601892395189,0.003469410976000129,0.44927218664633983,0.0037957038925432057,0.00322855650125413,0.002692181644818569
22.0,0.6427213161108112,0.4882017376117774,80.54112,80.54112,1.0,0.2890386795593603,0.11544029709825639,2.151589571791176,0.5656340698422392,0.6730364071592729,0.24489685141196837,0.32971712957396776,0.31523542816170086,0.2100744335128046,0.660991746024798,0.21344471486106892,1.8740313917695883,0.27580492424242425,0.27694454133240326,0.4963088035583496,0.3292916802599155,0.2105805005834465,0.11389601892395189,0.003477669609553026,0.45432006257397006,0.0037548248651064374,0.0032752339040496275,0.002443778206756753
23.0,0.6409594665917393,0.43886626938536244,84.20208,84.20208,1.0,0.2932459851438607,0.11544029709825639,2.169721304395964,0.5439239342869838,0.6738786284302719,0.24701274658549371,0.32640671908720365,0.3173659533942314,0.20667150304311005,0.6612412542243338,0.21297634484626218,1.8699191320151936,0.274091529207491,0.2772428549594987,0.5416658520698547,0.32629970917824597,0.20733135933212174,0.11389601892395189,0.003466893597997395,0.45711265005411406,0.003742137374902838,0.0032661640507845482,0.002245683249465314
24.0,0.6426259471322125,0.4394160239286883,87.86304,87.86304,1.0,0.2923901650643001,0.11544029709825639,2.181175641274034,0.5367730482601418,0.6762404251891803,0.24863789712748477,0.32385453448433954,0.3177588501293414,0.20743429047713213,0.6605811781616047,0.21368495535913495,1.8761406884801821,0.2768040614045691,0.27779210729945836,0.5171465873718262,0.323383042416618,0.2084381383291708,0.11389601892395189,0.0033927824970391,0.45200964416471834,0.0036325951817534666,0.003209303466401979,0.0028961849719555096
25.0,0.6387124869178822,0.513916984633987,91.524,91.524,1.0,0.29273137100783997,0.11544029709825639,2.196600353116741,0.5508777655685961,0.6778284885927042,0.2504684234235612,0.331725466888802,0.3210911466248163,0.2104966917395738,0.6592596204975516,0.21277031335803748,1.8681101882946736,0.2747981198023382,0.27750579747487764,0.513627827167511,0.33171557857922584,0.21186655145094713,0.11389601892395189,0.003616806827694314,0.4876043614694936,0.003859924593999223,0.0034402383577473977,0.0022521407034260133
26.0,0.6387523575516844,0.4654876620952912,95.18496,95.18496,1.0,0.2955043527608914,0.11544029709825639,2.183206331958798,0.5367511516251571,0.6776984322214339,0.24886379396161168,0.3136094649216636,0.32074017299339297,0.1994919925280278,0.6591422329259563,0.21279406667133294,1.8683187409159143,0.27596242889271067,0.2761728067850517,0.5003701448440552,0.3133065618068015,0.2007162215714723,0.11389601892395189,0.0035278213711279456,0.4806739224186458,0.0038144841805538717,0.0033161008743717675,0.0020095801337692344
27.0,0.6419321009245972,0.5347111260155925,98.84592,98.84592,1.0,0.29135948753754304,0.11544029709825639,2.2175350976194275,0.5438852428737141,0.6780017574347024,0.25314820631733603,0.3179003535311164,0.3203176449340417,0.20115505302637166,0.6584896990837243,0.2110088139436872,1.852644332411454,0.2720331305810793,0.274672187715666,0.5145015716552734,0.31776980068925537,0.20254603602334942,0.11389601892395189,0.003614162410887472,0.49708376229136775,0.0038545950884046865,0.0034321013565594746,0.002538360557404998
28.0,0.6400063435355217,0.483687545333549,102.50688,102.50688,1.0,0.2931674427598959,0.11544029709825639,2.230385407711724,0.5339447334919941,0.6793317803490514,0.25458580845351636,0.32002753782165033,0.32061999304391164,0.20306399385321275,0.6588195237744092,0.21016606243696917,1.8452450263191076,0.27364991855657184,0.2753584705257568,0.5123986005783081,0.3200283397259659,0.20483110563039209,0.11389601892395189,0.0032505833080463714,0.4513228103041911,0.003445904824102542,0.0031006336917191006,0.0023822305980195245
29.0,0.6404269915893345,0.5318335799013357,106.16784,106.16784,1.0,0.29102640779260264,0.11544029709825639,2.2441607385019444,0.5337116240971096,0.6812487051923543,0.25601219165692485,0.32795015613101697,0.32280157659676084,0.20867147814583784,0.6594365426682113,0.2108694261781769,1.8514205164534672,0.2756981580510992,0.2765065292919612,0.5017774701118469,0.3281603170817268,0.21080600968146188,0.11389601892395189,0.003527737825550219,0.49530933203641325,0.003694771713259051,0.003405733589827485,0.0022228301960413627
30.0,0.6366421179313142,0.5884178623125076,109.8288,109.8288,1.0,0.28862551641563633,0.11544029709825639,2.250692298030825,0.5555870479601567,0.6806759023136821,0.2568343356557912,0.32358751320417595,0.3195728357499503,0.20696901761514783,0.6598575893236092,0.21061938182345513,1.8492251424879496,0.2740234148603222,0.2786146517316853,0.5244734287261963,0.3233797854419395,0.20884996931505978,0.11389601892395189,0.003543751433250557,0.503598460860303,0.0037675119507294083,0.003377099481163822,0.0019462965307627171
