round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_ece,fed_f1,fed_f1_best,fed_auprc,fed_auprc_lift,fed_brier,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
28.0,0.09063232547501573,5.155552254867243,173.35872,173.35872,0.0,0.8981931012898288,0.03141272142306081,0.9729867001231318,0.9800292457777277,0.9951971564918372,1.0401852555252238,0.03742082614316607,0.9580209895052474,0.379528238766197,0.41039586165939956,0.9642517098362934,0.9970730676749707,0.9832657200811359,0.9832657200811359,0.5133295655250549,0.45322103521175805,0.2372455296061777,0.9670822942643391,0.0,0.0,,
29.0,0.11800976806437975,4.446073364992064,190.01664,190.01664,0.9634580548441501,0.9338457730382458,0.03259778310959489,0.9760966384557143,0.9793407210439292,0.9970115850765229,1.0420764702725842,0.034029045152036475,0.9580209895052474,0.20354038003323854,0.41107959429259067,0.9622200819769429,0.9949722869333525,0.9832657200811359,0.9832657200811359,0.5139673352241516,0.4527592812690354,0.2368264554832495,0.9670822942643391,0.0006893981984652614,0.37190412840649856,,0.0006893981984652614
30.0,0.10841844896724444,2.928552558091077,190.01664,190.01664,0.0,0.9216335754101354,0.08977558195166503,0.9421201092013274,0.9793407210439292,0.9965001651437512,1.0415434071765133,0.07123299977715006,0.9580209895052474,0.05866143137015503,0.41107959429259067,0.9622200819769429,0.9949722869333525,0.9832657200811359,0.9832657200811359,0.5139673352241516,0.4527592812690354,0.2368264554832495,0.9670822942643391,0.0,0.0,,
31.0,0.09715026967273932,3.741504456895563,190.63296,190.63296,0.035646615445478584,0.9169454805860742,0.07132545219681252,0.959484401225682,0.9793407210439292,0.9963175485327629,1.0413530622763454,0.053571951160774296,0.9580209895052474,0.061664646443934636,0.4285206370043915,0.9640842773534664,0.996899936097834,0.9832657200811359,0.9832657200811359,0.51398104429245,0.45275347298220203,0.23682105950214039,0.9670822942643391,0.00015806133238179494,0.013944811889814446,0.00015806133238179494,
32.0,0.07573701977472921,3.976022523089726,190.63296,190.63296,0.0,0.9187396897162705,0.31023276063042504,0.8084120253306183,0.9798741933381135,0.9962612440195198,1.0412943749702221,0.2205323755295553,0.9580209895052474,0.05124963720565078,0.4285206370043915,0.9640842773534664,0.996899936097834,0.9832657200811359,0.9832657200811359,0.51398104429245,0.45275347298220203,0.23682105950214039,0.9670822942643391,0.0,0.0,,
33.0,0.11055914386957835,3.3248286843249124,207.29088,207.29088,0.9634580548441501,0.8849969825258044,0.4218312055766136,0.7396991159592617,0.9793407210439292,0.994174153963538,1.0391189597864792,0.24974159468352305,0.9580209895052474,0.07235027519033767,0.5664744401206495,0.9744428055593058,1.007611049585564,0.9832657200811359,0.9832657200811359,0.5143646001815796,0.4521237886754651,0.236248017173451,0.9670822942643391,0.0005316649314931534,0.28833099661235906,,0.0005316649314931534
34.0,0.1293174480419826,5.123423337838372,207.9072,207.9072,0.035646615445478584,0.9219808416933992,0.02989740083287327,0.9754206101879723,0.9793407210439292,0.9964253333530304,1.041465408523176,0.03669446495217716,0.9580209895052474,0.22876029467207382,0.6901636269867317,0.9834027102140032,1.0168759329443406,0.9832657200811359,0.9832657200811359,0.5141476988792419,0.45234830786759717,0.23644708576828807,0.9670822942643391,0.00018794559947903539,0.016621633735667274,0.00018794559947903539,
35.0,0.09223103949714719,3.4573253218106794,207.9072,207.9072,0.0,0.9491254895018533,0.07792360948837143,0.9633689545003856,0.9808121343485301,0.9977749509126338,1.0428721415594397,0.047504413360344236,0.9580209895052474,0.14415360929100945,0.6901636269867317,0.9834027102140032,1.0168759329443406,0.9832657200811359,0.9832657200811359,0.5141476988792419,0.45234830786759717,0.23644708576828807,0.9670822942643391,0.0,0.0,,
36.0,0.06384718856325382,1.9853931628473207,208.52352,208.52352,0.035646615445478584,0.954102972895301,0.08764133483137954,0.9572137008418867,0.9822652478864975,0.9980061698852952,1.0431131456610383,0.057016600291560866,0.9580209895052474,0.08637530685051985,0.6704682201072093,0.9818082491024075,1.0152271993039335,0.9832657200811359,0.9832657200811359,0.5141684412956238,0.4522763140183731,0.2363821473386006,0.9670822942643391,0.00011258989811741723,0.009970639827315608,0.00011258989811741723,
37.0,0.1258512710581941,5.87813053869364,225.18144,225.18144,0.9634580548441501,0.9113892200538533,0.5750676136927446,0.500326307434518,0.9793407210439292,0.9957054005137673,1.0407150083067025,0.40870464656464134,0.9580209895052474,0.04341724463019414,0.6297880819541469,0.9787921363737495,1.0121084236355689,0.9832657200811359,0.9832657200811359,0.5141925811767578,0.4522636174263799,0.23637272459276293,0.9670822942643391,0.0005064527099378237,0.27610774615443745,,0.0005064527099378237
38.0,0.09876867782470994,2.635511672101866,225.18144,225.18144,0.0,0.9420644084088224,0.04265510145647415,0.9669241208779497,0.9807528668098383,0.997435853441152,1.0425186935680049,0.04122047567033015,0.9580209895052474,0.18464492708221192,0.6297880819541469,0.9787921363737495,1.0121084236355689,0.9832657200811359,0.9832657200811359,0.5141925811767578,0.4522636174263799,0.23637272459276293,0.9670822942643391,0.0,0.0,,
39.0,0.06818166613553125,1.3802125130330267,225.18144,225.18144,0.0,0.9330354850439636,0.14010634616218406,0.9262937684552528,0.9793407210439292,0.9970580383768501,1.0421248894649318,0.09206842097843099,0.9580209895052474,0.029542666096156505,0.6297880819541469,0.9787921363737495,1.0121084236355689,0.9832657200811359,0.9832657200811359,0.5141925811767578,0.4522636174263799,0.23637272459276293,0.9670822942643391,0.0,0.0,,
40.0,0.07400816860871913,2.8758758095847723,225.79776,225.79776,0.035646615445478584,0.9208232874158533,0.023334546291131138,0.9777420758442948,0.9793407210439292,0.9964293574618055,1.0414696029312251,0.0360206804855035,0.9580209895052474,0.12980522458878593,0.6285065716473659,0.9790594835220483,1.0123848707899468,0.9832657200811359,0.9832657200811359,0.514098584651947,0.45240721102070036,0.23650289929824747,0.9670822942643391,0.00011415255759636256,0.010130911818123423,0.00011415255759636256,
41.0,0.11278305299168455,5.5414817011514526,242.45568,242.45568,0.9634580548441501,0.9319936861941722,0.5956056610872409,0.47343992674321517,0.9793407210439292,0.9969870700849205,1.042050917812685,0.4295486716657479,0.9580209895052474,0.0334496147221309,0.7013065153859378,0.9841630328566662,1.0176621355738091,0.9832657200811359,0.9832657200811359,0.514327883720398,0.45229529838015015,0.23639898093587636,0.9670822942643391,0.0011241833648955553,0.6157610705959087,,0.0011241833648955553
42.0,0.1045618335453595,3.1390136125996415,242.45568,242.45568,0.0,0.931762175338663,0.1007932291563036,0.9504343182931763,0.9807230955288017,0.9969306609819557,1.0419921214906294,0.06412188296394604,0.9580209895052474,0.14136483874367453,0.7013065153859378,0.9841630328566662,1.0176621355738091,0.9832657200811359,0.9832657200811359,0.514327883720398,0.45229529838015015,0.23639898093587636,0.9670822942643391,0.0,0.0,,
43.0,0.07489872727913711,2.9495187248309263,242.45568,242.45568,0.0,0.9386496232900616,0.1568864389131407,0.9265367316341828,0.9799675123798223,0.9972973318581151,1.0423743097863127,0.09185267750175484,0.9580209895052474,0.064817038181795,0.7013065153859378,0.9841630328566662,1.0176621355738091,0.9832657200811359,0.9832657200811359,0.514327883720398,0.45229529838015015,0.23639898093587636,0.9670822942643391,0.0,0.0,,
44.0,0.06708369190358215,1.579983945203695,243.072,243.072,0.035646615445478584,0.92174933083789,0.025265393659997432,0.9777077536790587,0.9793407210439292,0.9964455598980578,1.0414864910505164,0.03472763837274318,0.9580209895052474,0.17760595471515828,0.6920429149671028,0.983812861985245,1.0173000455288377,0.9832657200811359,0.9832657200811359,0.5143442749977112,0.4522337780034452,0.23634298081850175,0.9670822942643391,0.0001648448712219565,0.014654117427198798,0.0001648448712219565,
45.0,0.11813371360956383,4.23971160002929,259.72992,259.72992,0.9634580548441501,0.9035757286804178,0.3644174688022355,0.7749324185169663,0.9793407210439292,0.9957033309171252,1.0407128511252495,0.2527041430700099,0.9580209895052474,0.027157744093947504,0.6989896385203245,0.9842924552539798,1.017795963271908,0.9832657200811359,0.9832657200811359,0.5145787596702576,0.45194631092566206,0.23608173954362488,0.9670822942643391,0.0006829170462252111,0.37720204294805626,,0.0006829170462252111
46.0,0.1040818104834316,3.7971017043392847,259.72992,259.72992,0.0,0.9286946565031661,0.0519095482318655,0.9585247376311845,0.9800292457777277,0.9967655526711588,1.041820025837526,0.05075546680497856,0.9580209895052474,0.09843542095067084,0.6989896385203245,0.9842924552539798,1.017795963271908,0.9832657200811359,0.9832657200811359,0.5145787596702576,0.45194631092566206,0.23608173954362488,0.9670822942643391,0.0,0.0,,
47.0,0.06933073872785188,1.8983237322326378,259.72992,259.72992,0.0,0.9506881877765402,0.09824564955804657,0.9534604638952955,0.9793407210439292,0.997862369319116,1.042963259490961,0.05959363390243848,0.9580209895052474,0.0590523716671088,0.6989896385203245,0.9842924552539798,1.017795963271908,0.9832657200811359,0.9832657200811359,0.5145787596702576,0.45194631092566206,0.23608173954362488,0.9670822942643391,0.0,0.0,,
48.0,0.08032347043647944,4.770376133226999,260.34624,260.34624,0.035646615445478584,0.9324567079051906,0.05276990422875672,0.9709763528935769,0.9800905998613596,0.997011889426509,1.0420767875025851,0.041306440320496116,0.9580209895052474,0.2080765662343427,0.6911872724147092,0.9839114481573752,1.0174019873932632,0.9832657200811359,0.9832657200811359,0.5144933462142944,0.4520896944916456,0.23621326845415055,0.9670822942643391,0.0002059171136363471,0.018343564727729245,0.0002059171136363471,
49.0,0.06831988806311541,4.440691303322125,260.34624,260.34624,0.0,0.9178715240081109,0.07514036161129714,0.9559557570612285,0.9800905998613596,0.9963082371796297,1.0413433568690826,0.05973407918225167,0.9580209895052474,0.02743351407282088,0.6911872724147092,0.9839114481573752,1.0174019873932632,0.9832657200811359,0.9832657200811359,0.5144933462142944,0.4520896944916456,0.23621326845415055,0.9670822942643391,0.0,0.0,,
50.0,0.04123047543381341,1.2572879527722902,260.96256,260.96256,0.035646615445478584,0.9523087637651046,0.11852055221427417,0.9335332333833083,0.9815654576409792,0.9979431069766433,1.0430474139459072,0.08701968265978341,0.9580209895052474,0.03312297581207717,0.7059480832044008,0.9854676404011034,1.0190111495638021,0.9832657200811359,0.9832657200811359,0.514517068862915,0.452042068537334,0.2361696516352058,0.9670822942643391,7.580104091833694e-05,0.006767780862901418,7.580104091833694e-05,
51.0,0.12095041203193824,7.132746689001364,277.62048,277.62048,0.9634580548441501,0.9279422462227611,0.32838279629374734,0.7877107073839507,0.9793407210439292,0.9967417402903065,1.0417952057226876,0.23540025999237904,0.9580209895052474,0.03508661565059486,0.6530349914826449,0.9825362163679212,1.015979945238619,0.9832657200811359,0.9832657200811359,0.5143646001815796,0.45208404956018533,0.23620886358003207,0.9670822942643391,0.0007141479608372145,0.39680443223983275,,0.0007141479608372145
52.0,0.09289680665835262,2.9018347641924844,277.62048,277.62048,0.0,0.9383602347206751,0.024598407043867412,0.9693556977379855,0.9793407210439292,0.9972570049247684,1.0423322762272602,0.03699565113734223,0.9580209895052474,0.12931149965640845,0.6530349914826449,0.9825362163679212,1.015979945238619,0.9832657200811359,0.9832657200811359,0.5143646001815796,0.45208404956018533,0.23620886358003207,0.9670822942643391,0.0,0.0,,
53.0,0.07222767171075677,1.5267444102593808,277.62048,277.62048,0.0,0.9370869250153746,0.2659754005534437,0.8540146443833739,0.9793407210439292,0.9972676372928756,1.0423433585545192,0.19316258262585184,0.9580209895052474,0.010053800351951254,0.6530349914826449,0.9825362163679212,1.015979945238619,0.9832657200811359,0.9832657200811359,0.5143646001815796,0.45208404956018533,0.23620886358003207,0.9670822942643391,0.0,0.0,,
54.0,0.061096883052471816,2.0499015533852845,278.2368,278.2368,0.035646615445478584,0.9443795169639144,0.054996658454480214,0.9673766468720948,0.9793407210439292,0.997588135724049,1.042677420398924,0.04455690454389317,0.9580209895052474,0.07936106898125143,0.4690601215871974,0.9668682930586892,0.9997787145862155,0.9832657200811359,0.9832657200811359,0.5141626000404358,0.4522175329284477,0.23633593950887452,0.9670822942643391,0.00014341365921264075,0.012824533400817018,0.00014341365921264075,
55.0,0.11803739437876332,10.382506162035467,294.89472,294.89472,0.9634580548441501,0.9244695833901231,0.4405723538311167,0.6962101771200289,0.9793407210439292,0.99654339838519,1.0415884700378877,0.30521881991715577,0.9580209895052474,0.03232746426926471,0.23785690843452578,0.9422646965327067,0.9743376568066411,0.9832657200811359,0.9832657200811359,0.5137665271759033,0.4525260088746982,0.23662672817427552,0.9670822942643391,0.0012940912928564594,0.7243594068472134,,0.0012940912928564594
56.0,0.09255901111931618,3.055058622025719,294.89472,294.89472,0.0,0.9143988611754729,0.07569219896393921,0.9497558912851266,0.9793407210439292,0.9960643581805736,1.0410891569719474,0.06342842616428584,0.9580209895052474,0.028883564412995975,0.23785690843452578,0.9422646965327067,0.9743376568066411,0.9832657200811359,0.9832657200811359,0.5137665271759033,0.4525260088746982,0.23662672817427552,0.9670822942643391,0.0,0.0,,
57.0,0.06480429664234486,1.3671908416251546,294.89472,294.89472,0.0,0.9264485660339457,0.15079587930324728,0.918434722032923,0.9783412207940543,0.9953887306866065,1.0389491346169337,0.10571736248585016,0.9580209895052474,0.03609538298921249,0.23785690843452578,0.9422646965327067,0.9743376568066411,0.9832657200811359,0.9832657200811359,0.5137665271759033,0.4525260088746982,0.23662672817427552,0.9670822942643391,0.0,0.0,,
58.0,0.06257089160166832,2.520592996658381,295.51104,295.51104,0.035646615445478584,0.9240065616791047,0.08429107711981357,0.9471841096566631,0.9800599700149927,0.9965405594328234,1.0415855109417689,0.06742999314522749,0.9580209895052474,0.05298264511767356,0.2461789113413662,0.9436515653062496,0.9757717320469471,0.9832657200811359,0.9832657200811359,0.5137550234794617,0.4524723019683152,0.2365812855198001,0.9670822942643391,0.0001430813847028583,0.012824441707380174,0.0001430813847028583,
59.0,0.11773767533848013,8.783201176741247,312.16896,312.16896,0.9634580548441501,0.9468103809467611,0.257928084526239,0.8570607169533512,0.9793407210439292,0.9976702798944946,1.0427630408900626,0.16846849834064534,0.9580209895052474,0.022999466778054232,0.26218606904527486,0.9464476075178195,0.9786629464018712,0.9832657200811359,0.9832657200811359,0.5147832632064819,0.4516438409277328,0.23583343105893706,0.9670822942643391,0.0010444454785617594,0.5904211382080575,,0.0010444454785617594
60.0,0.0783087322942556,2.1112354140913667,312.16896,312.16896,0.0,0.9494838961571115,0.1881411998369347,0.9041700229576729,0.9787805005453593,0.9964419248055314,1.0400468996468477,0.1275227405757221,0.9580209895052474,0.03842807752171021,0.26218606904527486,0.9464476075178195,0.9786629464018712,0.9832657200811359,0.9832657200811359,0.5147832632064819,0.4516438409277328,0.23583343105893706,0.9670822942643391,0.0,0.0,,
