round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_auroc,fed_auprc,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_ece,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
26.0,0.6469438669700609,0.2706372230571533,5.26995,36.5056,0.0,0.2988292429866706,0.11341893252769385,0.6683907745089287,0.2319058937106077,2.0730040487636447,0.21235529495590597,0.5225922852334419,0.33733330438737,0.2799430435811853,0.6689296130868494,0.2236217618873173,1.9633852350592609,0.2012084592145015,0.283766400823257,0.48483893275260925,0.3699314922650823,0.23648518847413083,0.11389601892395189,0.0,0.0,,
27.0,0.6360247201896303,0.37234258978003093,5.26995,36.5056,0.0,0.3082936085453789,0.11341893252769385,0.6790646224724368,0.24431417178159004,2.192452939735022,0.20909397809946031,0.5557305724749273,0.3309430994336331,0.2834578903298447,0.6689296130868494,0.2236217618873173,1.9633852350592609,0.2012084592145015,0.283766400823257,0.48483893275260925,0.3699314922650823,0.23648518847413083,0.11389601892395189,0.0,0.0,,
28.0,0.6273953452863898,0.4847447458924433,5.26995,36.5056,0.0,0.31877238218436227,0.11341893252769385,0.6881839431712562,0.2559138109477041,2.3020373362695645,0.19987251054689922,0.5691041264472921,0.3166454581746387,0.29188305773644,0.6689296130868494,0.2236217618873173,1.9633852350592609,0.2012084592145015,0.283766400823257,0.48483893275260925,0.3699314922650823,0.23648518847413083,0.11389601892395189,0.0,0.0,,
29.0,0.6481601964260766,0.29419137984963006,5.796945,40.15616,0.9971592150692714,0.2864180223634786,0.11341893252769385,0.6566298407382517,0.2173691803062746,1.9428078970100418,0.21138721505896144,0.5039557583127376,0.33692574476652515,0.2688696253942896,0.6685396639728683,0.22319233873646235,1.9596149263609237,0.19774183704607873,0.2832832832832833,0.4842236042022705,0.36976208573403097,0.236415015923157,0.11389601892395189,0.009696038357124433,0.5619354836235289,0.006413516914290846,0.01397868102996316
30.0,0.6485218238411005,0.32229151576722803,5.796945,40.15616,0.0,0.30007844748688284,0.11341893252769385,0.6683396076246252,0.2324755570987094,2.0846539683873218,0.21332435628900004,0.5520350940427992,0.3359723087838192,0.2775626196992094,0.6685396639728683,0.22319233873646235,1.9596149263609237,0.19774183704607873,0.2832832832832833,0.4842236042022705,0.36976208573403097,0.236415015923157,0.11389601892395189,0.0,0.0,,
31.0,0.6378324794454722,0.3911568216965421,5.796945,40.15616,0.0,0.3113363673427278,0.11341893252769385,0.6794517844802095,0.24505904222208835,2.2034576908202044,0.21339995235502052,0.5284870160839258,0.33917941328575174,0.29108996982942675,0.6685396639728683,0.22319233873646235,1.9596149263609237,0.19774183704607873,0.2832832832832833,0.4842236042022705,0.36976208573403097,0.236415015923157,0.11389601892395189,0.0,0.0,,
32.0,0.6295244138564766,0.49295344719021433,5.796945,40.15616,0.0,0.31458889589917927,0.11341893252769385,0.6862811834665808,0.25503637347420205,2.299102898742666,0.2099138167391461,0.5639255033882873,0.33339672969876477,0.2929699378460487,0.6685396639728683,0.22319233873646235,1.9596149263609237,0.19774183704607873,0.2832832832832833,0.4842236042022705,0.36976208573403097,0.236415015923157,0.11389601892395189,0.0,0.0,,
33.0,0.6501070894156334,0.3427454351041803,6.32394,43.80672,0.9971592150692714,0.28840103395896943,0.11341893252769385,0.6571601038445131,0.21731337217338048,1.9421262438360352,0.21238759145591013,0.5036444950676247,0.3382377715074164,0.26845820070317006,0.6693018047266155,0.2242107426294263,1.9685564495378132,0.214468085106383,0.2839787395596051,0.48544394969940186,0.3702386944062625,0.23677981544271948,0.11389601892395189,0.009025209334401258,0.5620901204529218,0.005535976290707328,0.013706299022057321
34.0,0.6439170248354025,0.3150827229927352,6.32394,43.80672,0.0,0.301118688272799,0.11341893252769385,0.6709739107403636,0.23278174212763572,2.084820632430659,0.2147459476156915,0.5334389637555451,0.3397566789356956,0.28128831609959987,0.6693018047266155,0.2242107426294263,1.9685564495378132,0.214468085106383,0.2839787395596051,0.48544394969940186,0.3702386944062625,0.23677981544271948,0.11389601892395189,0.0,0.0,,
35.0,0.637186143089955,0.3720470248432802,6.32394,43.80672,0.0,0.30955365397189183,0.11341893252769385,0.6809070321532805,0.24392176001946692,2.1869762089578115,0.2126397123750452,0.5518103903712853,0.33745072457295994,0.2812183960489594,0.6693018047266155,0.2242107426294263,1.9685564495378132,0.214468085106383,0.2839787395596051,0.48544394969940186,0.3702386944062625,0.23677981544271948,0.11389601892395189,0.0,0.0,,
36.0,0.6236771020820886,0.4948838194061385,6.32394,43.80672,0.0,0.3181211754872882,0.11341893252769385,0.687120318645479,0.25417088522853887,2.284297168165647,0.20004641225263578,0.5615800310147613,0.31904937902583635,0.290503915946677,0.6693018047266155,0.2242107426294263,1.9685564495378132,0.214468085106383,0.2839787395596051,0.48544394969940186,0.3702386944062625,0.23677981544271948,0.11389601892395189,0.0,0.0,,
37.0,0.6504879393674324,0.3635735651812893,6.850935,47.45728,0.9971592150692714,0.2882072574024642,0.11341893252769385,0.6573589930165873,0.21792421270569795,1.9478153597376622,0.2127348522365917,0.49368817614502114,0.3387275968818041,0.26972338479211666,0.6690980894764866,0.22306870740660922,1.9585294509332385,0.20976176641487507,0.2827134560731496,0.48572054505348206,0.37091926502061895,0.23735518815931833,0.11389601892395189,0.007995389581433796,0.5344050880885334,0.004708755085694106,0.012526055576321162
38.0,0.652437190630428,0.4384938228792838,6.850935,47.45728,0.0,0.2990895286602974,0.11341893252769385,0.6704666015944606,0.23230432940498127,2.08126960456863,0.20601510997716302,0.5079191676270656,0.32823786382213577,0.28250663155756933,0.6690980894764866,0.22306870740660922,1.9585294509332385,0.20976176641487507,0.2827134560731496,0.48572054505348206,0.37091926502061895,0.23735518815931833,0.11389601892395189,0.0,0.0,,
39.0,0.636624089562829,0.3483380925488014,6.850935,47.45728,0.0,0.306783316884498,0.11341893252769385,0.678742752645129,0.24235273280567707,2.1759608274940994,0.2088828618502284,0.5463832098097808,0.33005601038437893,0.2868355455796479,0.6690980894764866,0.22306870740660922,1.9585294509332385,0.20976176641487507,0.2827134560731496,0.48572054505348206,0.37091926502061895,0.23735518815931833,0.11389601892395189,0.0,0.0,,
40.0,0.6253036131455204,0.42780961739436096,6.850935,47.45728,0.0,0.3191176938684834,0.11341893252769385,0.6857826321976439,0.25531475199062026,2.300151452031243,0.22133245628767212,0.5876022729748804,0.3467671324689812,0.2855624226230968,0.6690980894764866,0.22306870740660922,1.9585294509332385,0.20976176641487507,0.2827134560731496,0.48572054505348206,0.37091926502061895,0.23735518815931833,0.11389601892395189,0.0,0.0,,
41.0,0.6462588222271644,0.38092682231080877,7.37793,51.10784,0.9971592150692714,0.28940849927011175,0.11341893252769385,0.6572728698396164,0.21804225844030872,1.9489984167605299,0.21294318266476397,0.49801153939476184,0.3382904116718018,0.26981444157886625,0.6688331203524046,0.22330421379602866,1.9605971824627897,0.22620016273393004,0.283872700416275,0.48675745725631714,0.3684188317395197,0.23529973241584715,0.11389601892395189,0.0069170450553256565,0.49407848964619916,0.0040001329405455035,0.01106674112431106
