round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best_threshold,fed_prevalence,fed_f1,fed_brier,fed_f1_best,fed_auprc,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6238333150599323,0.4835930822065785,38.48704,38.48704,0.0,2.453446196303228,0.6056307978395368,0.11398539778449143,0.29482129992675266,0.21604690886972758,0.333021847774773,0.27530060645407217,0.34240962856698665,0.700355830502906,0.6122053633445272,0.20491833771633297,1.7991703279212636,0.23924755730070313,0.2651567944250871,0.5093313455581665,0.387614071019685,0.24994744877650343,0.11389601892395189,0.0,0.0,,
22.0,0.6084435440173606,0.5366649227767437,40.46848,40.46848,0.5412350858791136,2.574315438177643,0.5648272794250245,0.11398539778449143,0.3092351759506208,0.20708671242089366,0.33840969781555424,0.28784351521586005,0.3318830091468258,0.7081922303812408,0.5897009586124603,0.19393248170159882,1.7027151917494772,0.22120702091849,0.24622108905481696,0.5137093663215637,0.38998918733507293,0.2518083102118802,0.11389601892395189,0.010322453407334896,1.1218668587971479,,0.010322453407334896
23.0,0.6446799199974292,0.6267377735345134,42.1376,42.1376,0.4559241291901578,2.185778891402222,0.5243396574606949,0.11398539778449143,0.28977874671530807,0.21081088645621118,0.3093995877452447,0.2477516792161501,0.33483301041730323,0.6795881548482936,0.5887363199054032,0.19241543532352162,1.6893956184017016,0.22341330610855878,0.24247176913425347,0.5087662935256958,0.38854012256708037,0.25078236818715643,0.11389601892395189,0.006072210118113252,0.5714192781597376,0.006072210118113252,
24.0,0.6421109213157077,0.5678180626462127,44.11904,44.11904,0.5412350858791136,2.31730773957404,0.5252677149196554,0.11398539778449143,0.2950969418554253,0.19870249803761847,0.32000723178289847,0.26201456050983196,0.3195512212901062,0.6919252381826386,0.6068169927005862,0.20252071583988046,1.7781193561743636,0.24158215010141987,0.26307821698906647,0.5068809986114502,0.3859344063311435,0.24880922743578762,0.11389601892395189,0.007591439970939462,0.8695325615117326,,0.007591439970939462
25.0,0.6225980256498985,0.544916422680231,44.11904,44.11904,0.0,2.5735664224487005,0.57414159113832,0.11398539778449143,0.3037741872042914,0.20193792856482165,0.33696415152656495,0.2878133095892228,0.32451065810264085,0.704798010863337,0.6068169927005862,0.20252071583988046,1.7781193561743636,0.24158215010141987,0.26307821698906647,0.5068809986114502,0.3859344063311435,0.24880922743578762,0.11389601892395189,0.0,0.0,,
26.0,0.6061432654870464,0.587081909230184,46.10048,46.10048,0.5412350858791136,2.6617300140459634,0.5964474425897797,0.11398539778449143,0.313075254962106,0.20763735460705934,0.34717631868867066,0.29757992749430573,0.3338939717122938,0.7163606307489749,0.6223983041373685,0.20745346883103688,1.821428622273032,0.25859728506787333,0.27368734196043437,0.5041414499282837,0.3847286002110017,0.24773874544408891,0.11389601892395189,0.008182583851468616,0.9836524184793234,,0.008182583851468616
27.0,0.6443664876410091,0.7870209722732374,47.7696,47.7696,0.4559241291901578,2.2065185321809353,0.5552780280079156,0.11398539778449143,0.29151083030585123,0.20849584098286542,0.3136264740513288,0.25088666798243375,0.33006676838429383,0.6830178383165245,0.6241405696216225,0.20447974978665176,1.795319553031809,0.2585063593868899,0.2672668810289389,0.5025310516357422,0.38519445774155503,0.24809989531801832,0.11389601892395189,0.00552116926030202,0.5561007889918983,0.00552116926030202,
28.0,0.6417179689686507,0.7037619528556875,49.75104,49.75104,0.5412350858791136,2.378070083750041,0.5939812987934037,0.11398539778449143,0.29991518533547046,0.20660612144054571,0.331366380506497,0.26893435001050253,0.32983862446275924,0.6963500299970653,0.6372464766033794,0.21164791598921046,1.85825560883324,0.27630653855167564,0.27797202797202797,0.5044728517532349,0.38476517521577286,0.24744700793177243,0.11389601892395189,0.007123988010154809,0.8918693228624761,,0.007123988010154809
29.0,0.6129056301125138,0.5789870866849747,49.75104,49.75104,0.0,2.578616955400726,0.5769393576247183,0.11398539778449143,0.3103446389369755,0.20494162221071907,0.34185830742646833,0.2889242024029485,0.3290081875483633,0.7108591742716817,0.6372464766033794,0.21164791598921046,1.85825560883324,0.27630653855167564,0.27797202797202797,0.5044728517532349,0.38476517521577286,0.24744700793177243,0.11389601892395189,0.0,0.0,,
30.0,0.5983170194087498,0.6999537765641384,51.73248,51.73248,0.5412350858791136,2.809563741761356,0.6035802846161082,0.11398539778449143,0.31145908608546663,0.20560905664111567,0.3572063979501652,0.31341993773434473,0.3298208290920428,0.72375613653215,0.6311350190995126,0.20913710230155785,1.8362108199865899,0.2634136037177862,0.27374454148471616,0.5041617155075073,0.38629972245200145,0.24870899576597727,0.11389601892395189,0.008382230482897967,1.0960049281129614,,0.008382230482897967
31.0,0.6434204053949019,0.9799143531134511,53.4016,53.4016,0.4559241291901578,2.2224467115531494,0.5468012593679076,0.11398539778449143,0.2903228576123511,0.21486730019612552,0.31110925297007247,0.25254083556864043,0.3415336543605039,0.6849448572457596,0.6371971572580332,0.21295572706567564,1.8697381091771583,0.26521060842433697,0.2761816496756256,0.5042673349380493,0.38603126549433975,0.24847001435549598,0.11389601892395189,0.005129309911374994,0.547898973338306,0.005129309911374994,
32.0,0.6417341937743286,0.7956706393198824,55.38304,55.38304,0.5412350858791136,2.4035608601522416,0.5703014280058045,0.11398539778449143,0.3015970927671682,0.2075909795768357,0.32929018983949226,0.2712764349002499,0.33212567063579324,0.6998484392108862,0.6259069802510282,0.20828725435745954,1.8287492076130638,0.2532904357999415,0.2690783807062877,0.5077657699584961,0.38690004989259574,0.24938503763510303,0.11389601892395189,0.006727269443224897,0.9172160122543573,,0.006727269443224897
33.0,0.6191496030904452,0.787300497206435,55.38304,55.38304,0.0,2.6566990566474438,0.5737388117270767,0.11398539778449143,0.3115557694557707,0.20201887679023306,0.3440275837233086,0.2982714315901681,0.32589816783467157,0.7139974229474038,0.6259069802510282,0.20828725435745954,1.8287492076130638,0.2532904357999415,0.2690783807062877,0.5077657699584961,0.38690004989259574,0.24938503763510303,0.11389601892395189,0.0,0.0,,
34.0,0.5953321191144074,0.7569266958440968,57.36448,57.36448,0.5412350858791136,2.7590868065679284,0.6164516090769001,0.11398539778449143,0.3173501591926212,0.2037477206726639,0.35811428057716915,0.30701775921100577,0.32799707731517636,0.7254250446029152,0.6252473810674655,0.20819651799407374,1.8279525479559218,0.25380304243394713,0.26988995128991516,0.5101738572120667,0.3871890800013277,0.24945518680187018,0.11389601892395189,0.007892297894192452,1.118926250608638,,0.007892297894192452
35.0,0.648106526217825,1.1001844797337879,59.0336,59.0336,0.4559241291901578,2.249294845185965,0.5597045075369685,0.11398539778449143,0.292444798878523,0.2134528188743524,0.3161087346685018,0.25578637917912234,0.34005051897229077,0.6887106747262062,0.6247020320925624,0.20709817519144733,1.8183091660975992,0.2549642573471009,0.2701595199765843,0.5065118074417114,0.38706572268718237,0.2494180638935247,0.11389601892395189,0.0047383634849337206,0.5376985552720726,0.0047383634849337206,
36.0,0.640384207432239,0.9156164739234753,61.01504,61.01504,0.5412350858791136,2.4471314213875086,0.5535655917162743,0.11398539778449143,0.3012119854159384,0.20125081218608665,0.33002480805438233,0.2758564462035935,0.32339972854767296,0.7028809423308965,0.6206849023921213,0.20161321862005316,1.7701515867263968,0.25418060200668896,0.26569524104789954,0.5054170489311218,0.3858455178214941,0.24869290731707538,0.11389601892395189,0.007805130231400405,1.1557191608007997,,0.007805130231400405
37.0,0.6123835294387294,0.8260685894747846,61.01504,61.01504,0.0,2.673173899626066,0.5968991823153044,0.11398539778449143,0.30860492618489255,0.2055140723195092,0.3541469410988528,0.29949476156371135,0.33038622643949817,0.7184637864312975,0.6206849023921213,0.20161321862005316,1.7701515867263968,0.25418060200668896,0.26569524104789954,0.5054170489311218,0.3858455178214941,0.24869290731707538,0.11389601892395189,0.0,0.0,,
38.0,0.5985864643971127,1.2839225037200352,62.99648,62.99648,0.5412350858791136,2.8368019850454393,0.5550880473621062,0.11398539778449143,0.33304338354185203,0.1937900164948042,0.3621908297341912,0.3174510057902815,0.31595708057723987,0.7320758248661755,0.6478054347057296,0.2123625292781592,1.8645298693008154,0.2761156186612576,0.27987652506247246,0.5029579997062683,0.3814330354128182,0.24484677536866722,0.11389601892395189,0.007423471904480469,1.1504059911239892,,0.007423471904480469
39.0,0.6456076661940935,1.1907671648475735,64.6656,64.6656,0.4559241291901578,2.2796999874250874,0.5632084501740285,0.11398539778449143,0.292056816349002,0.20632107082698212,0.3185946298498118,0.25915098037840034,0.3260975445532554,0.6905322532891722,0.6491094733351508,0.21373128340091907,1.8765474458209725,0.27714033539276256,0.27794722185386556,0.5012848973274231,0.38131495702158097,0.2446678160191628,0.11389601892395189,0.004589706161000938,0.5522756306454539,0.004589706161000938,
40.0,0.6406509501677184,0.9509404464136212,66.64704,66.64704,0.5412350858791136,2.467599239243346,0.6135864006871243,0.11398539778449143,0.29527518547012027,0.22003778202885574,0.33364673397173855,0.278540138748817,0.3475952224987901,0.7030605268174306,0.6484046710264131,0.21486638895406357,1.8865136023545246,0.276870837142484,0.27863013698630135,0.5013560652732849,0.3811077684114549,0.2444432574514792,0.11389601892395189,0.006125105307754168,0.9890419211005792,,0.006125105307754168
41.0,0.6147879926101427,0.9939007497306278,66.64704,66.64704,0.0,2.7107817690529794,0.5996004847616466,0.11398539778449143,0.3163700854034444,0.20359317781332642,0.3496819486434118,0.3033827653884235,0.32744034546951944,0.7222877620703834,0.6484046710264131,0.21486638895406357,1.8865136023545246,0.276870837142484,0.27863013698630135,0.5013560652732849,0.3811077684114549,0.2444432574514792,0.11389601892395189,0.0,0.0,,
42.0,0.597147193936421,0.9676721648017435,68.62848,68.62848,0.5412350858791136,2.872019673139351,0.5935999380569054,0.11398539778449143,0.3190906545187697,0.19963283678275254,0.36336860000537485,0.3204431230063162,0.3227606402243598,0.7325738732189299,0.6477985952545303,0.21131413152965156,1.8553250019278156,0.2749780067864773,0.2791378392762107,0.5016449689865112,0.3815748094582427,0.2448358742191033,0.11389601892395189,0.0071466453304676715,1.205790798412636,,0.0071466453304676715
43.0,0.6455673604304347,1.586810680980183,70.2976,70.2976,0.4559241291901578,2.3127431339938878,0.5490476000615117,0.11398539778449143,0.29872001562959544,0.20593144847691627,0.3221709826959406,0.26292864315307785,0.327634832425646,0.6926814743567815,0.6433974272318785,0.2080482453222828,1.8266507230704538,0.27250932338838574,0.27566462167689165,0.5005994439125061,0.38113500391226823,0.24456561702569085,0.11389601892395189,0.0040798583268580706,0.5207383879460394,0.0040798583268580706,
44.0,0.642450119559765,1.1239324996876987,72.27904,72.27904,0.5412350858791136,2.4738032494631423,0.5804214252258416,0.11398539778449143,0.3014180487224354,0.2161615854328355,0.3330608392890753,0.27952617607157787,0.3453708770919369,0.7095266484045638,0.6307147630595744,0.20623534924331183,1.810733607651508,0.2651771609117581,0.2713699753896636,0.5078222155570984,0.3851900713898778,0.24767862606799473,0.11389601892395189,0.006314363751707352,1.1089678762946278,,0.006314363751707352
45.0,0.6164666047603875,0.9735871580020607,72.27904,72.27904,0.0,2.726467615158374,0.5607928067205655,0.11398539778449143,0.32293043874763044,0.19712340134918918,0.3489246867796733,0.3048064539791155,0.315443479002949,0.7240131187542912,0.6307147630595744,0.20623534924331183,1.810733607651508,0.2651771609117581,0.2713699753896636,0.5078222155570984,0.3851900713898778,0.24767862606799473,0.11389601892395189,0.0,0.0,,
46.0,0.5908669462888512,0.9739108348434684,74.26048,74.26048,0.5412350858791136,2.9097005120806334,0.5738616887337461,0.11398539778449143,0.3217068008104856,0.20154648857925855,0.36914919897957194,0.32413109468039525,0.3261770395436054,0.7383663568824806,0.6173334834582413,0.19830173073614601,1.7410769279701657,0.24516252025545707,0.260257195345989,0.5084671974182129,0.3878320959216246,0.24994090181978734,0.11389601892395189,0.006617495087633652,1.2130571925081313,,0.006617495087633652
47.0,0.6455035516652272,1.475217007468104,75.9296,75.9296,0.4559241291901578,2.317081083164344,0.5636436679538372,0.11398539778449143,0.2964687692420244,0.21208165742635404,0.32511733851286295,0.2634015303195989,0.3366180218247747,0.6956816211990098,0.6241407578633986,0.2027901537775154,1.7804850045980791,0.24466192170818504,0.26273458445040215,0.5092509984970093,0.3888170255530048,0.25064382150240544,0.11389601892395189,0.003813936940733095,0.5138295800425112,0.003813936940733095,
48.0,0.6419346823211592,1.18554162504767,77.91104,77.91104,0.5412350858791136,2.517525794788628,0.5934794997535683,0.11398539778449143,0.2964146967019171,0.22205134718548614,0.3353406474308242,0.28404498676655215,0.3542137643491051,0.7119636854616418,0.6375946862408665,0.21044170759963654,1.8476651737945993,0.26028856395855526,0.26945448828800506,0.5096731781959534,0.387883870526297,0.24970657218540473,0.11389601892395189,0.0050640808086324105,0.9618927671108395,,0.0050640808086324105
49.0,0.6130691440671525,1.0240641099220977,77.91104,77.91104,0.0,2.7948552593885747,0.5917642666148877,0.11398539778449143,0.3248236619312898,0.19190621628727017,0.3592445598812766,0.3128296888753307,0.30980564502343017,0.7291530933523966,0.6375946862408665,0.21044170759963654,1.8476651737945993,0.26028856395855526,0.26945448828800506,0.5096731781959534,0.387883870526297,0.24970657218540473,0.11389601892395189,0.0,0.0,,
50.0,0.5884546072258654,1.2012103136473797,79.89248,79.89248,0.5412350858791136,2.9907577342202374,0.6101267670599175,0.11398539778449143,0.32483254000553935,0.21028167981096146,0.36745079210025533,0.334264286166261,0.34059128180898257,0.742214010063858,0.6364504648793805,0.20765890704635784,1.8232323570941598,0.25185573312374465,0.2676141517992138,0.5101822018623352,0.38946990411308824,0.25097424858158407,0.11389601892395189,0.005698071808830303,1.1267297107260674,,0.005698071808830303
51.0,0.640478662748792,1.359683571983525,81.5616,81.5616,0.4559241291901578,2.3561515251249148,0.5779962317637296,0.11398539778449143,0.2957054825120625,0.2089028874784575,0.32564147436693824,0.26848711127736163,0.3329784404494185,0.6981959690041538,0.6348396423526728,0.20747025276131542,1.8215759841425434,0.2530184659090909,0.26706527154957654,0.5113808512687683,0.3888786196966668,0.25061997644000633,0.11389601892395189,0.0035941614224732988,0.5104923481121659,0.0035941614224732988,
52.0,0.6392208340436718,1.278528120813076,83.54304,83.54304,0.5412350858791136,2.5590568473195243,0.5903672661429714,0.11398539778449143,0.3034472088524612,0.2192993579236527,0.34349165801478926,0.2893039280067883,0.35063599595960193,0.7150309356087968,0.6214424751454344,0.2031593845107108,1.7837268275931564,0.24952344643537933,0.2614657930824318,0.5084819197654724,0.3880441131064538,0.25005153064164526,0.11389601892395189,0.004791861913466069,0.9770564900245517,,0.004791861913466069
