round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_brier,fed_ece,fed_prevalence,fed_auprc,fed_auroc,fed_auprc_lift,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
30.0,0.6340058127347761,0.7112808606404288,51.73248,51.73248,0.0,0.34058018791456734,0.5853861257833481,0.2138677699018635,0.3354702351295207,0.11469218179529145,0.27213605857890527,0.7069479566394621,2.4256084916908764,0.30676632224312933,0.6619678298318439,0.22659710322896806,1.9895085479701133,0.27063516416078554,0.2842246387606137,0.5122278332710266,0.3818174386064674,0.2439761991474788,0.11389601892395189,0.0,0.0,,
31.0,0.6126333216875219,0.6967605991572812,53.71392,53.71392,0.5412350858791136,0.3573146920938715,0.5562918405305914,0.2051182868112981,0.32960139915366327,0.11469218179529145,0.28958496961255337,0.7205007249305184,2.5965880684867884,0.3195427037592529,0.6619044801994498,0.2266145833893995,1.989662022697295,0.27023208879919275,0.28379344871978257,0.5123767852783203,0.3798036877930426,0.2422233133284425,0.11389601892395189,0.006900519158917354,0.9312618841649964,,0.006900519158917354
32.0,0.5931168053669424,0.8939004134641728,53.71392,53.71392,0.0,0.36944802867618687,0.5732852421831337,0.19027755433578208,0.30486866998005846,0.11469218179529145,0.30980230734363007,0.7347361196731009,2.7859001681356035,0.33407049843905273,0.6619044801994498,0.2266145833893995,1.989662022697295,0.27023208879919275,0.28379344871978257,0.5123767852783203,0.3798036877930426,0.2422233133284425,0.11389601892395189,0.0,0.0,,
33.0,0.6389956615154777,0.7861542153537362,57.36448,57.36448,0.9971592150692714,0.3252451881381793,0.5593446352785605,0.20966223090103858,0.3303315415626679,0.11469218179529145,0.2549264587620027,0.6903925034162053,2.2572602601027416,0.29962962402432475,0.6627536639504801,0.22726951395850606,1.9954122725769141,0.2697703418892237,0.2863228358436026,0.5150774121284485,0.3791570002353271,0.24153227256352994,0.11389601892395189,0.005879354534616057,1.4413158390671015,0.004694443445737016,0.0067593060219959976
34.0,0.6360927383203461,0.7736701263339592,57.36448,57.36448,0.0,0.3477997860579848,0.570377240725913,0.21561362382500956,0.34083721809671685,0.11469218179529145,0.2781298729819956,0.7097708058110046,2.479954255270361,0.3054131471850987,0.6627536639504801,0.22726951395850606,1.9954122725769141,0.2697703418892237,0.2863228358436026,0.5150774121284485,0.3791570002353271,0.24153227256352994,0.11389601892395189,0.0,0.0,,
35.0,0.6111260556559235,0.7177528965561144,59.34592,59.34592,0.5412350858791136,0.36284758997937416,0.5758436288481529,0.20815356904088464,0.3349859952249161,0.11469218179529145,0.2967678210303172,0.7239740898313562,2.6502273782143315,0.32143787241456423,0.6626653158102158,0.2264505479995928,1.9882218021228057,0.2707584932772247,0.2858009708737864,0.5155848264694214,0.3810567439061429,0.24294701715461572,0.11389601892395189,0.007078855579070866,1.0341993658803403,,0.007078855579070866
36.0,0.5921366762778693,0.8150011520154925,59.34592,59.34592,0.0,0.3797080686961006,0.5958942000592489,0.2088644907429663,0.3313128576654063,0.11469218179529145,0.3163983512217877,0.7367723289977004,2.845152275993201,0.32029032889740006,0.6626653158102158,0.2264505479995928,1.9882218021228057,0.2707584932772247,0.2858009708737864,0.5155848264694214,0.3810567439061429,0.24294701715461572,0.11389601892395189,0.0,0.0,,
37.0,0.6401090226897531,1.0099128889458653,62.99648,62.99648,0.9971592150692714,0.3258312578385285,0.5322896178845087,0.20418608151364037,0.3243773380418962,0.11469218179529145,0.2577476028594004,0.6926115574969415,2.278184432209352,0.30134051054625877,0.6621169800657982,0.22486684202810883,1.9743169616687999,0.2730579927241601,0.2890830905812179,0.5097466707229614,0.377862742605768,0.24073417190370414,0.11389601892395189,0.0055318862005956804,1.45627442112891,0.004658688733855255,0.0061669877277426835
38.0,0.6365685335577356,0.8568392634749422,62.99648,62.99648,0.0,0.34641606502540123,0.5888158950842582,0.20332302470301236,0.3224112219961007,0.11469218179529145,0.2822897545316495,0.7136165538763735,2.51301401546149,0.3136167051429656,0.6621169800657982,0.22486684202810883,1.9743169616687999,0.2730579927241601,0.2890830905812179,0.5097466707229614,0.377862742605768,0.24073417190370414,0.11389601892395189,0.0,0.0,,
39.0,0.6091421808772385,0.757088150810485,64.97792,64.97792,0.5412350858791136,0.3583736603754184,0.5640458167143316,0.20952465038059673,0.33826412663874905,0.11469218179529145,0.2995246293661682,0.7260511621551999,2.678375967773781,0.3233143434718242,0.6629516190022594,0.22583428933761646,1.9828110891953608,0.2701768652165074,0.28891064186827015,0.5126103162765503,0.3801652516171691,0.24233135895484637,0.11389601892395189,0.006620011642085873,1.0425282808719203,,0.006620011642085873
