round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_auprc_lift,fed_auroc,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
24.0,0.6170805562772299,0.44064661048123605,4.742955,32.85504,0.0,0.2616913840042555,0.33484562976565735,2.343894656880104,0.6981387880027004,0.11500692433589324,0.30639615828903755,0.5643854648790325,0.34252392698722345,0.2180931577627629,0.66150279734809,0.2238130189940144,1.9650644606239822,0.2692994828396803,0.2798576512455516,0.5029410123825073,0.3827580395099579,0.24658155520948435,0.11389601892395189,0.0,0.0,,
25.0,0.647118412794187,0.23894559620358083,5.26995,36.5056,0.9971592150692714,0.22985797172984984,0.3054122548120877,2.044476778629445,0.6697126659303035,0.11500692433589324,0.2857070041213809,0.5115088504537082,0.34964301912614676,0.2200229559938048,0.6615501087811576,0.2236286152085247,1.9634454067954825,0.27225541083145627,0.279535864978903,0.5039093494415283,0.38181390088975714,0.24578757994307063,0.11389601892395189,0.012339167030762885,0.6228279088099953,0.007201441487910133,0.018848998648924625
26.0,0.6450638489763392,0.28735144393103473,5.26995,36.5056,0.0,0.24457135152910725,0.3173897809825989,2.18230716041982,0.6798438529205487,0.11500692433589324,0.2915012248258518,0.5622593885920563,0.3392338303765383,0.21466920377609897,0.6615501087811576,0.2236286152085247,1.9634454067954825,0.27225541083145627,0.279535864978903,0.5039093494415283,0.38181390088975714,0.24578757994307063,0.11389601892395189,0.0,0.0,,
27.0,0.6329223478803353,0.3748563554190754,5.26995,36.5056,0.0,0.2555069388965716,0.32695091856793357,2.2828536910846027,0.6910898748510331,0.11500692433589324,0.29972447905943606,0.5355603507258319,0.302570160956502,0.1926142802502832,0.6615501087811576,0.2236286152085247,1.9634454067954825,0.27225541083145627,0.279535864978903,0.5039093494415283,0.38181390088975714,0.24578757994307063,0.11389601892395189,0.0,0.0,,
28.0,0.6206073796946769,0.45507016379850007,5.26995,36.5056,0.0,0.2653517088674031,0.33609848496350875,2.377658114082605,0.6978289281173371,0.11500692433589324,0.30308003779669795,0.5624435912124998,0.33289235167652764,0.2105890968906256,0.6615501087811576,0.2236286152085247,1.9634454067954825,0.27225541083145627,0.279535864978903,0.5039093494415283,0.38181390088975714,0.24578757994307063,0.11389601892395189,0.0,0.0,,
29.0,0.64769901122105,0.26620836137458836,5.796945,40.15616,0.9971592150692714,0.23020750279962934,0.3055131885083244,2.0489606110429106,0.669495411163729,0.11500692433589324,0.28602571521421877,0.5177702338542743,0.3390029241358711,0.21329850512288062,0.6606168562529073,0.22260178182821855,1.954429873241217,0.2664960701882654,0.2811258278145696,0.5035925507545471,0.3841845065668788,0.24770841904080235,0.11389601892395189,0.011173355831113556,0.6096925741876476,0.006943324704411167,0.016701737616010084
30.0,0.6448019609743697,0.2903175520351332,5.796945,40.15616,0.0,0.2437761350119457,0.3148575460712476,2.176077307265681,0.680776923746078,0.11500692433589324,0.28938033748969627,0.5694516816833196,0.340773480268385,0.21812626607496916,0.6606168562529073,0.22260178182821855,1.954429873241217,0.2664960701882654,0.2811258278145696,0.5035925507545471,0.3841845065668788,0.24770841904080235,0.11389601892395189,0.0,0.0,,
31.0,0.6293788891169639,0.34731202900360103,5.796945,40.15616,0.0,0.2531262145977932,0.32779040984625457,2.267127192164306,0.6896935284139039,0.11500692433589324,0.3017020237584032,0.5576067099688442,0.33007407713839515,0.20873345849408742,0.6606168562529073,0.22260178182821855,1.954429873241217,0.2664960701882654,0.2811258278145696,0.5035925507545471,0.3841845065668788,0.24770841904080235,0.11389601892395189,0.0,0.0,,
32.0,0.6182193513527514,0.4922602632761942,5.796945,40.15616,0.0,0.2631169945739474,0.3362622510856595,2.3570291115112827,0.6966822586519733,0.11500692433589324,0.31173873972237115,0.5631680488736506,0.3150066025278422,0.1990479327984556,0.6606168562529073,0.22260178182821855,1.954429873241217,0.2664960701882654,0.2811258278145696,0.5035925507545471,0.3841845065668788,0.24770841904080235,0.11389601892395189,0.0,0.0,,
33.0,0.6432365888493992,0.2914439066905959,6.32394,43.80672,0.9971592150692714,0.23034556801781136,0.3051068854694024,2.0507752090116584,0.6694486997466407,0.11500692433589324,0.284859410266862,0.5198274831447376,0.33969188059372846,0.21382347722155604,0.6613122841211938,0.22235762663378628,1.9522862057387094,0.26704860469414154,0.28101393318784623,0.5039842128753662,0.38359854664456483,0.24717481273553701,0.11389601892395189,0.010995280990888886,0.6489750488835853,0.0070842205857688705,0.016215499905648644
34.0,0.641034214254791,0.31605310541901666,6.32394,43.80672,0.0,0.2443201881774385,0.31244025501974504,2.1840155581534706,0.680157365726333,0.11500692433589324,0.28710088330312894,0.5696309079124963,0.3484473311299268,0.22319484497389383,0.6613122841211938,0.22235762663378628,1.9522862057387094,0.26704860469414154,0.28101393318784623,0.5039842128753662,0.38359854664456483,0.24717481273553701,0.11389601892395189,0.0,0.0,,
35.0,0.6291443303594935,0.37329701398203885,6.32394,43.80672,0.0,0.2566100511801222,0.3245219509378318,2.2965989710508254,0.6895749086250441,0.11500692433589324,0.2994446161610648,0.5548175151734123,0.33682896101775306,0.21256601924904717,0.6613122841211938,0.22235762663378628,1.9522862057387094,0.26704860469414154,0.28101393318784623,0.5039842128753662,0.38359854664456483,0.24717481273553701,0.11389601892395189,0.0,0.0,,
36.0,0.6173679122209321,0.4371153318732164,6.32394,43.80672,0.0,0.2658001164201097,0.3342157194441715,2.381972979496038,0.698326598975788,0.11500692433589324,0.29729227757657506,0.5661586332246878,0.34010945973174694,0.21756807837122263,0.6613122841211938,0.22235762663378628,1.9522862057387094,0.26704860469414154,0.28101393318784623,0.5039842128753662,0.38359854664456483,0.24717481273553701,0.11389601892395189,0.0,0.0,,
37.0,0.644134213976384,0.3432303905443652,6.850935,47.45728,0.9971592150692714,0.23081198370914804,0.30671094682498307,2.0531626586891565,0.669827623294907,0.11500692433589324,0.28505407152770496,0.5176771282793277,0.3371440607810049,0.21236597452282743,0.6609359511623527,0.2210344663281884,1.940668940112583,0.2696755994358251,0.27794658563889335,0.5038580894470215,0.3824663196130106,0.2462736338982809,0.11389601892395189,0.008514519026236404,0.5431843046244467,0.005209981413490359,0.013022620828752295
38.0,0.6445793625061241,0.3425026084888768,6.850935,47.45728,0.0,0.24582761176363424,0.3193255112101996,2.1940688959496812,0.682187186035523,0.11500692433589324,0.29025893792149887,0.5452402797218656,0.3361958704038049,0.21487343828642608,0.6609359511623527,0.2210344663281884,1.940668940112583,0.2696755994358251,0.27794658563889335,0.5038580894470215,0.3824663196130106,0.2462736338982809,0.11389601892395189,0.0,0.0,,
39.0,0.6311518536663794,0.37591827913184434,6.850935,47.45728,0.0,0.25344866289784546,0.327431582136669,2.2679660427867647,0.6865420497846165,0.11500692433589324,0.29194274449620855,0.5497460653863534,0.3472911356867999,0.2192765517316231,0.6609359511623527,0.2210344663281884,1.940668940112583,0.2696755994358251,0.27794658563889335,0.5038580894470215,0.3824663196130106,0.2462736338982809,0.11389601892395189,0.0,0.0,,
