round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_ece,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_auprc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
25.0,0.6460504847649836,0.572604889478098,55.89712,55.89712,0.36082339058607577,0.7072598301981137,2.4113671865110327,0.34951850062492396,0.5558390847984485,0.2153640581731375,0.32591427629645864,0.25910654189190757,0.10953729933899904,0.2965793566447073,0.6717117763402576,0.22384566020320906,1.96535104842137,0.28013500482160075,0.2834690670095728,0.5314764380455017,0.33771264212696017,0.2140830856055824,0.11389601892395189,0.007702553830079661,0.7792608104646206,0.008052436643609948,0.007700435934230218,
26.0,0.6202560630451178,0.6438207002344971,57.88368,57.88368,0.5426336261527032,0.7199177943840198,2.583679066270178,0.3257897566667434,0.5728926637430104,0.1998782893926711,0.3408463702126115,0.275906813700972,0.10953729933899904,0.3142166812406148,0.6714799503182265,0.22369255384578007,1.964006784075035,0.28012158054711245,0.28368176538908246,0.535236656665802,0.3307620860417618,0.21055998959680142,0.11389601892395189,0.007871845995079648,1.0765176354907453,0.005623211591420956,0.007882468920049672,
27.0,0.595667585603912,0.749635298517373,57.90416,57.90416,0.005594161094357764,0.735139142636972,2.8151936415303807,0.33584311076721046,0.598238996058693,0.20635287389606727,0.35816925756112655,0.2988885252894753,0.10953729933899904,0.320289982097535,0.6712965024326609,0.2234404317334364,1.9617931675261369,0.2786436644854253,0.2831755280407866,0.5411658883094788,0.33298475891644186,0.2122759707238001,0.11389601892395189,0.006788478753520734,0.008559676352888346,0.005421299144881938,0.00824495926129851,
28.0,0.6419894223731569,0.7731412463712315,61.55472,61.55472,0.9971592150692714,0.6922010900265676,2.273078460414406,0.3250884401444598,0.5716102950014631,0.2023747914726292,0.315890998397848,0.24671965917042354,0.10953729933899904,0.2898316315608067,0.6702138612308733,0.22410113433515372,1.9675940954949929,0.28295980969074747,0.28443075343344887,0.5048335194587708,0.32762837122547,0.20776890674828752,0.11389601892395189,0.005684931822637539,1.4355663165915757,0.004924569784976523,0.0062704202253140075,
29.0,0.635289497259145,0.7128698024900264,61.5752,61.5752,0.005594161094357764,0.7120630857182765,2.5251087573278497,0.31973346604757197,0.5699874628066717,0.1975258278280246,0.33273958869390263,0.2709504806182876,0.10953729933899904,0.30789881030698363,0.6703001261621483,0.22397464962061492,1.9664835675262915,0.28231834334027694,0.28464225643679647,0.5106074213981628,0.3300029180223619,0.209357606820957,0.11389601892395189,0.006019780529835265,0.008310247212648392,0.005836860989830157,0.0062099552852227765,
30.0,0.6150104232646556,0.7263809026939871,63.56176,63.56176,0.5426336261527032,0.7259432925624052,2.6723539085016004,0.32848150019982736,0.581276801456473,0.20022930651014956,0.3505914371652439,0.28508039245317945,0.10953729933899904,0.31696292918796515,0.6698446312617183,0.22376701179294167,1.964660520244789,0.28145941921072226,0.2843111915223572,0.5076065063476562,0.33168727308294244,0.21006801701118585,0.11389601892395189,0.006547092446523679,0.9683762406930327,0.004229997185041011,0.006558470934008082,
31.0,0.6001689601228556,0.9866285713670424,64.88272,64.88272,0.36082339058607577,0.7344153660626487,2.810779262129286,0.3324876918271594,0.5806059073718944,0.20448443227788826,0.35837393787677974,0.29733888315193097,0.10953729933899904,0.31496551005232654,0.6698284048206158,0.22350379139842713,1.9623494614650236,0.28219078708741385,0.2837118754055808,0.5128092765808105,0.33461652587236956,0.2122329839542467,0.11389601892395189,0.006184175894934532,0.7116844921838492,,0.006184175894934532,
32.0,0.6446521748364937,0.7453116777876974,68.54368,68.54368,1.0,0.6950730626405232,2.3087553521347344,0.3342552272068805,0.5525036515343815,0.20615720365856682,0.31783737230722464,0.2502458471402269,0.10953729933899904,0.2936205565523808,0.6690795664857153,0.22292990910555255,1.9573108104366874,0.280806572068708,0.28168096427407974,0.47772082686424255,0.33088260077697895,0.20974618880808946,0.11389601892395189,0.004887064724654209,1.340962835785831,0.004258047723637147,0.0053580036848404075,0.003889740909699064
33.0,0.6356997740349799,0.7480694467348235,69.86464,69.86464,0.36082339058607577,0.7126267817339043,2.515260646582668,0.3243758692645618,0.5675753659991151,0.1995249751080291,0.3346473081274822,0.27078366403848547,0.10953729933899904,0.3042187947928643,0.6695095232518501,0.2227424632433107,1.9556650473625012,0.28090308095297495,0.2826039146690125,0.4799864888191223,0.32850972529617145,0.20832634702233102,0.11389601892395189,0.005792366026580874,0.7140240878798068,,0.005792366026580874,
34.0,0.6411291663263861,0.8122269980383441,72.85472,72.85472,0.8167475197762336,0.6975934104190693,2.3317846332723007,0.327389001842913,0.5477936235808486,0.20283992626513953,0.32128636568417246,0.25367220448423855,0.10953729933899904,0.2996489782751976,0.6687269519906668,0.2218023225451667,1.9474106701943956,0.2806338454094593,0.2829048690913399,0.49615538120269775,0.3361224947805955,0.21327660143446164,0.11389601892395189,0.005226514070126476,1.312032996211201,0.004102369299127279,0.006312910093891128,
