round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc,fed_brier,fed_f1_best,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6434298848155261,0.3765972410781416,76.88016,76.88016,1.0,0.11183134046570169,2.069068221638224,0.6731702809451299,0.2901826001568569,0.5245195742895801,0.2312130323932594,0.20994079428373877,0.30240915352726344,0.3346989971519342,0.661324193550897,0.2122309360173592,1.8633744886119796,0.27349177330895796,0.2750556792873051,0.479328453540802,0.33199690317818414,0.21130347339381728,0.11389601892395189,0.0030225139505905448,0.38966942374099744,0.003338286221093313,0.0027881737621654446,0.0024036626667698385
22.0,0.6393628752057022,0.44342081328930005,80.54112,80.54112,1.0,0.11183134046570169,2.0947918703007598,0.6738003111579494,0.2869678682891556,0.5329595425355501,0.23396510600943551,0.2076652937863062,0.30771536332434574,0.32860193288480055,0.6613094228461966,0.21245763758230243,1.8653649143273385,0.274416952764295,0.27635054021608646,0.50385582447052,0.32561232625832165,0.20916990991599244,0.11389601892395189,0.0031092363340603146,0.40529317794971575,0.0034578685858316868,0.002846593549908464,0.002617582459894914
23.0,0.6405134854666064,0.511830048331875,84.20208,84.20208,1.0,0.11183134046570169,2.1041211534011377,0.6761471645327517,0.2800149808544993,0.5551504369161652,0.23511757259187382,0.22300774628625705,0.30761548051011106,0.35250829701212827,0.6608463982747215,0.21285161616127674,1.8688240218773342,0.2718204488778055,0.2758026817566736,0.5370487570762634,0.3496881385152297,0.2244997324660494,0.11389601892395189,0.0032977243258294395,0.43449510285245196,0.0036665737546128555,0.0030209596128178873,0.0025198499792081584
24.0,0.6412813022445935,0.49737675692544814,87.86304,87.86304,1.0,0.11183134046570169,2.1057794448919553,0.6767032833641528,0.292586511319925,0.5403664069066187,0.2353236322560848,0.20710996656233402,0.30846383130253974,0.3303022629542122,0.659448426999011,0.21280659831935392,1.868428768010271,0.27460009694619486,0.27479289940828405,0.49459242820739746,0.32746447698673026,0.2088602548273863,0.11389601892395189,0.0032671002249354602,0.4344032256749415,0.0036157874928370256,0.0030027440956913,0.002485126500520222
25.0,0.6450129892505772,0.6610465619446209,91.524,91.524,1.0,0.11183134046570169,2.0899875360732683,0.676787241985651,0.2921122935601196,0.5159374800979001,0.23404288517441896,0.20748486074624684,0.3072305138454581,0.33009111219284437,0.6611893496919286,0.21321905236920383,1.8720500890515734,0.2729576445034391,0.2752914629559985,0.5079304575920105,0.327408208870115,0.20930262031217953,0.11389601892395189,0.0032851788936106388,0.4414718233747408,0.003475953462590863,0.003144052357392218,0.0024578664389206272
26.0,0.6405141941128704,0.5077903517636673,95.18496,95.18496,1.0,0.11183134046570169,2.104591680900565,0.6767309841926138,0.2862499788751529,0.5688381907792117,0.23540862846672844,0.2159679691028869,0.3060932112967884,0.3426218852972819,0.6605828848870416,0.21253041815202128,1.8660039232269159,0.27312676056338026,0.27603083323137156,0.5198472142219543,0.34003855852831405,0.2178345779218209,0.11389601892395189,0.0032436537596917665,0.44032654012153216,0.003318637345805112,0.003196191222489862,0.0022534835655950475
27.0,0.6358894828056864,0.4768518988683412,98.84592,98.84592,1.0,0.11183134046570169,2.1167490403939984,0.6777496751544253,0.28779090250161343,0.5367816845188355,0.2369437014808534,0.2144902923766388,0.30914310128878075,0.3416338327482033,0.6607563810573756,0.2129672330584919,1.8698391310822693,0.2747969339892461,0.2790294627383016,0.5171510577201843,0.338974232423215,0.21619612932013146,0.11389601892395189,0.0031218850601331953,0.4278046021827322,0.0032118484730029907,0.0030588873598106467,0.002364603356333781
28.0,0.6434670628035308,0.5452598057015466,102.50688,102.50688,1.0,0.11183134046570169,2.1239516584826768,0.6778982047248854,0.29121475892562587,0.5390498115627775,0.23765627400285555,0.20249869523712985,0.30873084325311057,0.3208074185450996,0.6608377015046641,0.2135353661147117,1.8748273041684518,0.2740740740740741,0.275853120539769,0.5126290321350098,0.31770809428927893,0.2045454196029098,0.11389601892395189,0.0031414433164015337,0.4347771653556265,0.0032723256276820205,0.0030493998276601483,0.002004298616205932
29.0,0.6417789694798547,0.6242661690541713,106.16784,106.16784,1.0,0.11183134046570169,2.131593786201104,0.677675612563917,0.2883128346080822,0.5388157698082578,0.238759898209745,0.20874473727650936,0.30941523003659843,0.3313675851398777,0.6606824773360667,0.2130362980725248,1.870445517632786,0.2727697337692667,0.27537203378468966,0.5331168174743652,0.32864827367705535,0.21086001800238724,0.11389601892395189,0.0033077008617976825,0.4623687123457785,0.0034107069036709787,0.0032394111980526196,0.002060804602115362
30.0,0.641351061574571,0.5985778877477874,109.8288,109.8288,1.0,0.11183134046570169,2.1595042904623507,0.6815395373871767,0.295323800427656,0.5313381552508674,0.2419345012111447,0.20734325046011964,0.31229691223320827,0.3319598997432605,0.6596363048410413,0.2130571745898366,1.8706288121632626,0.2721936903888481,0.27576403695806684,0.4939520061016083,0.32923569247397316,0.20967553085143587,0.11389601892395189,0.003180659818774149,0.4482454934150155,0.003321700907386963,0.0030779431198187973,0.002070730246582737
