round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_auprc,fed_f1_best_threshold,fed_f1,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
28.0,0.6445985045097526,1.1272771947275018,102.50688,102.50688,1.0,0.31640090666461124,0.19934873117256965,0.2952213916833982,0.5514673053891886,0.3021958397963807,0.7054443423354065,0.11443318436457478,2.611897305097663,0.33941307044324526,0.6492908505611789,0.205119258971191,1.8009344041089677,0.27278199109185025,0.273336524652944,0.49917957186698914,0.3155471612275479,0.20540717342955167,0.11389601892395189,0.0038449554253486822,1.7724501123502705,0.002064828047978172,0.005704866203562818,0.004622675271871031
29.0,0.6510544941494796,1.6081631379765196,106.16784,106.16784,1.0,0.3231133575716183,0.20365377048970038,0.29662926625037433,0.5633818027247128,0.3019656322333832,0.7064414045240986,0.11443318436457478,2.614943021662892,0.34103565548894926,0.6473540811243746,0.20360671385249207,1.787654351540064,0.26763067441033545,0.26891532863578604,0.4956120550632477,0.32267031428279286,0.21042959279844983,0.11389601892395189,0.003783864620711548,1.8109821777616162,0.0020072990954630274,0.005633748754311502,0.005733849420319756
30.0,0.6476050825634523,1.5335045576334552,109.8288,109.8288,1.0,0.3177889600379966,0.20309983133123186,0.2944432730380086,0.5757328197411624,0.2981240044944165,0.7066824580014556,0.11443318436457478,2.5883461584392378,0.3372199115766814,0.6473087274057788,0.20241166838768504,1.7771619262902845,0.2680272108843537,0.27134652201659226,0.5227738618850708,0.31713738617875137,0.21006050396999293,0.11389601892395189,0.003723731586830036,1.8524382557061472,0.0019653686545835322,0.00555605863364793,0.005403975219374856
31.0,0.6524023472624332,1.8523985615880114,113.48976,113.48976,1.0,0.3316292721598508,0.20946869690065517,0.2984827681676676,0.5672961587294192,0.2991944376137439,0.7100939431309996,0.11443318436457478,2.642123248884757,0.344354012168338,0.6467114738984706,0.20231234345024363,1.7762898594842644,0.26840012893521004,0.2706095353047676,0.5161461234092712,0.33098356684734564,0.2166176293040907,0.11389601892395189,0.0034983751612978117,1.8013727755078435,0.0019320111119350302,0.005134482746740731,0.005176005089970675
32.0,0.647423633678362,1.5017818953613784,117.15072,117.15072,1.0,0.32054700010923576,0.2024703548073724,0.3001755528198495,0.5455978745956315,0.30570837951552443,0.7130931379930752,0.11443318436457478,2.6462363670580755,0.3464219819446339,0.6468701742652007,0.2035198435155136,1.7868916353556075,0.2701310861423221,0.2704651162790698,0.49911659955978394,0.3193682276408283,0.20984975033048142,0.11389601892395189,0.003192739684807814,1.6988459545355,0.0017105273601139563,0.004743501621271515,0.0051646436994683
33.0,0.6508130508696104,1.8681093049483581,120.81168,120.81168,1.0,0.3263854531937202,0.2046640346327671,0.30395715742152085,0.5849759603053932,0.30788464221667095,0.7137961318311427,0.11443318436457478,2.687710399743955,0.3383982134801767,0.6446946013111968,0.20285846445345776,1.781084768106828,0.26950699939135725,0.2717981072555205,0.5073696970939636,0.32500394808401933,0.21226199696004303,0.11389601892395189,0.003238362520482284,1.781517766743491,0.001698891977245352,0.004850642249824133,0.004183038616853662
34.0,0.6536295816365574,1.8828824121317846,124.47264,124.47264,1.0,0.32551763633266045,0.20402845380632947,0.30133781379564634,0.5600532203483154,0.31192469964600467,0.713680106326179,0.11443318436457478,2.6499138050064257,0.3413962934567315,0.6435113637042447,0.20211296300786658,1.7745393115348214,0.2666344644366622,0.2688253012048193,0.5061281323432922,0.32447897009108706,0.2116456005527891,0.11389601892395189,0.0030828432140260808,1.7509177154606732,0.0016068568774650874,0.004630594960655839,0.004627000215271114
35.0,0.6469608365728401,1.5288203206459525,128.1336,128.1336,1.0,0.3408638237662161,0.21496422790971828,0.30531435379573224,0.566657489436144,0.2997162852934859,0.7162710159235718,0.11443318436457478,2.6802703584278778,0.34364163718878277,0.6425168447525899,0.20149323878524183,1.7690981711992797,0.2621369628121316,0.26552363299351256,0.5136333703994751,0.3406707782219273,0.2232768233617345,0.11389601892395189,0.002882266763992535,1.6860838678658183,0.001559650050381565,0.004268149408236964,0.004857559564880399
36.0,0.652848812025008,2.671965197272346,131.79456,131.79456,1.0,0.32370799971194975,0.20307318480437486,0.30844860974811383,0.5769448068114624,0.3068915194567767,0.716293662629631,0.11443318436457478,2.7073561299810738,0.3431148210294314,0.6415775308391481,0.19881862706073533,1.745615245722382,0.2647754137115839,0.26743159752868495,0.5418424010276794,0.3227481897595111,0.21176512937893407,0.11389601892395189,0.0028872411297276054,1.7430924256768776,0.001473217100254088,0.004369675926533207,0.005171087498225047
37.0,0.6535604867736231,1.9949474944604937,135.45552,135.45552,1.0,0.3259185629819946,0.2051610895921556,0.3110092865448089,0.5738903668987493,0.3057989653985594,0.7169344293957554,0.11443318436457478,2.747772598468472,0.3470619361029446,0.6407494552659483,0.19705446854326394,1.730126043078264,0.2666071229206207,0.2682675814751287,0.50412517786026,0.32560348281008133,0.21412242106873847,0.11389601892395189,0.0027963341179165243,1.745053063310479,0.0014383310989070257,0.004209697161820364,0.004802339835447781
