round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_brier,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
40.0,0.645309271604198,1.3595373538788427,10.82016,86.35392,0.9971592150692714,0.24277459490275616,0.35399265303162186,0.11183134046570165,2.1981690688801843,0.3055724337686606,0.6779203280335769,0.22406045236861993,0.27846335007385553,0.543584003388094,0.5372835677629483,0.12702256148911176,1.115250231651419,0.1904247271155301,0.21390715790817957,0.4903368055820465,0.38655138657571714,0.25032796609525665,0.11389601892395189,0.014421704492084181,5.280880242586136,0.021012355269342635,0.012344284195815548
41.0,0.6397195386595803,1.3068567186233024,11.06848,88.33536,0.5412350858791136,0.26196076297412335,0.33861223383096867,0.11183134046570165,2.3956535935325953,0.3186805893066469,0.695191844355579,0.21213735694827388,0.29232490782874004,0.5517298649511221,0.5364463185405248,0.122369806618567,1.0743993317296985,0.18629407850964738,0.21610469989040035,0.49127626419067383,0.3862130888257523,0.25016442905088726,0.11389601892395189,0.013082402844046069,3.6982249091379344,,0.013082402844046069
42.0,0.6115245856097361,0.9588586168838459,11.3168,90.3168,0.5412350858791136,0.2752442173131553,0.3507661201725634,0.11183134046570165,2.5329531758233563,0.3327562546194232,0.7098729577787958,0.21895499656124276,0.2977749744723938,0.5892931685048577,0.5417240783168114,0.12743062393541696,1.1188329946852849,0.18989854433171593,0.21695872649078884,0.4912121891975403,0.3863026053380868,0.25006026553300126,0.11389601892395189,0.011070840913820053,3.227856886573136,,0.011070840913820053
43.0,0.5955654276955809,1.484856626535603,11.56512,92.29824,0.5412350858791136,0.2930583595959879,0.3422602031498917,0.11183134046570165,2.7059246381402873,0.34048909544977685,0.7204569743048281,0.21322577936829137,0.3075270096755933,0.567747843629388,0.5470658528464339,0.12502536255151636,1.097714948535607,0.20097379053144102,0.21910811341758887,0.4930369555950165,0.3871263679638381,0.2507488463965479,0.11389601892395189,0.012249403628592778,3.677534790476784,,0.012249403628592778
44.0,0.5752808303609989,1.2950028636337423,11.81344,94.27968,0.5412350858791136,0.31059491519220295,0.3246220665080372,0.11183134046570165,2.883433424034393,0.3528297505321461,0.7310577595207807,0.20143092182136232,0.3113852606232115,0.5807677049712612,0.5606892490202267,0.13285765333252642,1.1664819770499193,0.2189841798501249,0.22383781894442506,0.496995747089386,0.38838101218718574,0.25146170002144197,0.11389601892395189,0.012669318727722968,3.9397983639501035,,0.012669318727722968
45.0,0.6406301570000619,1.3701176741421293,12.0224,95.9488,0.4559241291901578,0.24515330676383093,0.3480460346269065,0.11183134046570165,2.2208404547367517,0.3088361352126925,0.6809999268320023,0.21942203716507291,0.2868995488468902,0.5656857836764138,0.5597927287372255,0.13003364365913922,1.1416873468243205,0.22086570477247502,0.22262388913993073,0.4991060793399811,0.38887479313936996,0.25190589194993723,0.11389601892395189,0.015563485378077746,1.523742620833218,0.015563485378077746,
46.0,0.6334408665756571,1.2749401443355846,12.27072,97.93024,0.5412350858791136,0.26688964247211555,0.32915570358514235,0.11183134046570165,2.4256198615052393,0.3262704208812538,0.7002422386827438,0.20469420578105893,0.2979841865589971,0.5506527800016842,0.5580599129901332,0.12779208978055767,1.1220066424436148,0.21818476762105604,0.22241874861817376,0.4980395436286926,0.388019110259919,0.2512889536544111,0.11389601892395189,0.011944508792371645,3.8399901266675442,,0.011944508792371645
47.0,0.6148504294088069,1.40680097014081,12.51904,99.91168,0.5412350858791136,0.2804127493304157,0.31917526119114914,0.11183134046570165,2.5703093434481823,0.3355444667601792,0.7102602172215866,0.20095464920720058,0.3066017116204158,0.5765499976275474,0.5508365991608232,0.12595130414516384,1.1058446584446577,0.21325410580176613,0.21931088693829426,0.4941442012786865,0.38883164781821894,0.2520120872130082,0.11389601892395189,0.009810679890816543,3.2244605999439955,,0.009810679890816543
48.0,0.5893786911040874,1.6802073317744584,12.76736,101.89312,0.5412350858791136,0.29660837761193765,0.3070172320999049,0.11183134046570165,2.7412707392122475,0.3482629255994046,0.7227113244102604,0.19232963419076946,0.31415638946314994,0.5561242461692167,0.5513375481754628,0.12474414691751429,1.0952458926664124,0.21900161030595813,0.219342695815839,0.4997173547744751,0.39069787481541635,0.25352478565648795,0.11389601892395189,0.011851925790930772,4.012495492352173,,0.011851925790930772
49.0,0.5725614490086698,1.9691524953900523,13.01568,103.87456,0.5412350858791136,0.31312325667358704,0.32553616343565006,0.11183134046570165,2.9137031740216974,0.359996404461249,0.7329889265180002,0.20384036596687638,0.31170254863731245,0.5938604858628302,0.5550342527245739,0.12670649434808312,1.1124751817066123,0.21880567469482018,0.22115904004938652,0.5048226714134216,0.3939372531987561,0.25600900011362526,0.11389601892395189,0.011915278437274149,4.169885459821671,,0.011915278437274149
50.0,0.6460840853155871,1.8379895884747923,13.47296,107.52512,0.9971592150692714,0.24880513429712048,0.3485513121425364,0.11183134046570165,2.2520841129343347,0.3079424435371043,0.6801168096719601,0.2208113233394655,0.2794237050845553,0.5592097541946819,0.564195026210534,0.13152973308598348,1.1548229194367678,0.22245264758744643,0.22500181804959637,0.5013672113418579,0.3914406729369082,0.2538912160979995,0.11389601892395189,0.0125287233235403,5.8078401470556855,0.015993806192546953,0.011497533597496543
51.0,0.6408979596473972,1.7705902766684667,13.72128,109.50656,0.5412350858791136,0.2657045098815189,0.3546100852510477,0.11183134046570165,2.413417693996837,0.32217521145375333,0.7016102600143839,0.22263648221162208,0.2878757274857202,0.5854939596168344,0.5560801993294677,0.12592915210481143,1.1056501649007946,0.22061191626409019,0.22381127902690745,0.498622328042984,0.387550113614405,0.2510189566485135,0.11389601892395189,0.009638998307625476,3.5228501833043993,,0.009638998307625476
