round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_ece,fed_f1,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
22.0,0.6158774381918285,0.7457799107206255,47.9744,47.9744,0.5412350858791136,0.331927321640609,0.21556943996197522,0.34398995069728877,0.2969997682795967,0.11422997041978729,0.7043201763728966,0.5748122194068563,0.27350158728902035,2.427410373215909,0.384865469124358,0.08592705079320857,0.7544341901061693,0.2045002711006687,0.20450951154489178,0.5103793740272522,0.4325899815090206,0.2902919317393352,0.11389601892395189,0.005256609323040758,0.7459660316817462,,0.005256609323040758
23.0,0.5971286578805889,0.8202021012131722,49.95584,49.95584,0.5412350858791136,0.3396806486988306,0.20732860704098177,0.3310343135832082,0.30780707972823845,0.11422997041978729,0.7137884682390837,0.580295889956347,0.2860205983095285,2.5441445569128844,0.3931809240904245,0.08707703464011493,0.7645309771385079,0.2045002711006687,0.20450951154489178,0.5137501955032349,0.43626377243743436,0.29367780328718807,0.11389601892395189,0.0055067292658803595,0.8093525862786919,,0.0055067292658803595
24.0,0.5833183086208644,1.140272627390642,51.93728,51.93728,0.5412350858791136,0.35083626635880716,0.20323637361036703,0.3261225743933355,0.31745048881616883,0.11422997041978729,0.7248488420342837,0.5714909035760076,0.30624142072376576,2.73212667079634,0.3910722773625611,0.08683048185622934,0.7623662589489265,0.2045002711006687,0.20462971335563795,0.5152748227119446,0.43685063108523603,0.294288759276305,0.11389601892395189,0.00663076896407927,1.0151146070566028,,0.00663076896407927
25.0,0.6369684098236708,1.4263514572069145,53.6064,53.6064,0.4559241291901578,0.3098168209186909,0.21197315564860741,0.333741266089799,0.2859126156244708,0.11422997041978729,0.6803958887823793,0.5422980193168524,0.24375652123372418,2.1387280313066395,0.3944901707423186,0.08735728410414413,0.7669915500951126,0.2045002711006687,0.2046807543740059,0.5200361609458923,0.4356362051251994,0.29308731220241635,0.11389601892395189,0.00869588455532478,0.5528705096803606,0.00869588455532478,
26.0,0.6308088522595957,0.9357569696572048,55.58784,55.58784,0.5412350858791136,0.31641510709655446,0.20044252545169627,0.3195556997901184,0.3017452837597469,0.11422997041978729,0.6945962895259193,0.5313397915088416,0.2604877258998368,2.306503352987417,0.38750539689172164,0.08646214825863281,0.7591323127489065,0.2045002711006687,0.2046503211797702,0.5193775296211243,0.43632761390179564,0.2937031728850604,0.11389601892395189,0.004755086281045365,0.7546984972432256,,0.004755086281045365
27.0,0.6116106491310713,0.8903931991970369,57.56928,57.56928,0.5412350858791136,0.3365492192430424,0.2054652546859615,0.3275239052204911,0.307179882565155,0.11422997041978729,0.7082179073975883,0.5768605079545243,0.2801982527819617,2.490886798530482,0.3952619243761002,0.08750914620725064,0.7683248899654719,0.2045002711006687,0.2046549686335121,0.5212165117263794,0.4353366430581285,0.2926594790524163,0.11389601892395189,0.005579040263407079,0.9121012804098427,,0.005579040263407079
28.0,0.5932035758789522,0.907014473404543,59.55072,59.55072,0.5412350858791136,0.3426330616577257,0.20185057615469534,0.32454105902255,0.31476013283884763,0.11422997041978729,0.7219454259478998,0.5747920877289477,0.29789672913731174,2.6611825073683937,0.414085010186892,0.09042240797135959,0.7939031480260467,0.2045002711006687,0.20464947659400914,0.5229077935218811,0.4400341494183361,0.29667398298914105,0.11389601892395189,0.005767568549004703,0.979706100653857,,0.005767568549004703
29.0,0.5755736447562733,1.4180217232955465,61.53216,61.53216,0.5412350858791136,0.35250741485000214,0.19554827348085976,0.31589188339224805,0.32763869117209765,0.11422997041978729,0.7314075520823144,0.5413376998759567,0.3132974526637964,2.8016655752302864,0.42722978282069407,0.09337745432301264,0.8198482721802643,0.2045002711006687,0.2046204620462046,0.5201263427734375,0.4399475910726123,0.2961520850506816,0.11389601892395189,0.006150795161092304,1.0832766796229407,,0.006150795161092304
30.0,0.6409217523196068,1.5954442555623334,65.18272,65.18272,0.9971592150692714,0.30772882451815264,0.21434741011417008,0.3372143597810226,0.28752216454498486,0.11422997041978729,0.6802511323421758,0.5392982326656632,0.24588720929536972,2.158808041738678,0.4215629523920485,0.09193583468179399,0.8071909409158483,0.20450951154489178,0.2047388162107767,0.5263581871986389,0.4374341368075255,0.2937742571586383,0.11389601892395189,0.0052512728788613955,1.31521140714176,0.007536919825042445,0.004388985935987336
31.0,0.6357875190192891,1.0551182488010111,67.16416,67.16416,0.5412350858791136,0.3224931597891379,0.211563886608804,0.3365018144868883,0.29889164698618864,0.11422997041978729,0.6969347207849339,0.5633282735001277,0.2639545859857546,2.330324544046568,0.44706912323355796,0.09910407364701916,0.8701276355689896,0.20452799493876814,0.20480773616749534,0.5275793671607971,0.4353496265480975,0.2912709240506332,0.11389601892395189,0.003942533198155212,0.7266400234075263,,0.003942533198155212
