round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_ece,fed_brier,fed_f1_best,fed_f1,fed_auprc_lift,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6534976454444782,0.21285899240878395,4.742955,32.85504,0.9971592150692714,0.667109316597203,0.5129895564794811,0.3492930689855921,0.2197494154422624,0.3030186704607434,0.28552269925762247,2.0171722670553316,0.22783634873079206,0.11494397582777288,0.6526141461737048,0.20924522169759133,1.837160101594981,0.26883594809219447,0.27469613259668507,0.5022602081298828,0.38085798861828163,0.24504354667660802,0.11389601892395189,0.013233213500911873,0.6203730318520684,0.007840141558421946,0.01991808955902374
22.0,0.6484095705084958,0.23722016617650893,4.742955,32.85504,0.0,0.6781224866276028,0.5514575845740025,0.3485479677405785,0.22120819607524633,0.3137564803666115,0.2857767477716629,2.1265375219882543,0.23935711671513976,0.11494397582777288,0.6526141461737048,0.20924522169759133,1.837160101594981,0.26883594809219447,0.27469613259668507,0.5022602081298828,0.38085798861828163,0.24504354667660802,0.11389601892395189,0.0,0.0,,
23.0,0.6343622765728398,0.32534439708790086,4.742955,32.85504,0.0,0.6890269610532793,0.5583887715964297,0.34200278490718006,0.21588552500653932,0.32964735520373434,0.29622953636474886,2.25650562573787,0.25307222523341033,0.11494397582777288,0.6526141461737048,0.20924522169759133,1.837160101594981,0.26883594809219447,0.27469613259668507,0.5022602081298828,0.38085798861828163,0.24504354667660802,0.11389601892395189,0.0,0.0,,
24.0,0.6201036163659599,0.4130361598441157,4.742955,32.85504,0.0,0.6968555368840287,0.5586770248213477,0.3369232670432274,0.21374791712305632,0.33718244580267115,0.30601771317319354,2.3347747460895807,0.2612879894150291,0.11494397582777288,0.6526141461737048,0.20924522169759133,1.837160101594981,0.26883594809219447,0.27469613259668507,0.5022602081298828,0.38085798861828163,0.24504354667660802,0.11389601892395189,0.0,0.0,,
25.0,0.6491485021387526,0.23154100274258155,5.26995,36.5056,0.9971592150692714,0.6673406464610009,0.512934448601061,0.34962414838415873,0.22006410431117976,0.30456123614625996,0.2821879419822225,2.024730174094946,0.22863637500064,0.11494397582777288,0.65478799985282,0.21048432046835572,1.848039312145718,0.272996426748341,0.27403414195867026,0.5015426278114319,0.3800732640229772,0.24447443412106143,0.11389601892395189,0.01249943522712943,0.6343205169541761,0.00784596138536191,0.018363466439869823
26.0,0.6464098618226896,0.24430917971116473,5.26995,36.5056,0.0,0.6782641682493625,0.5554121474347455,0.33664586766756976,0.2129791872418013,0.3151848437327684,0.2899388421920934,2.1619855504790837,0.24325281881172475,0.11494397582777288,0.65478799985282,0.21048432046835572,1.848039312145718,0.272996426748341,0.27403414195867026,0.5015426278114319,0.3800732640229772,0.24447443412106143,0.11389601892395189,0.0,0.0,,
27.0,0.6320079029684886,0.32531244525981556,5.26995,36.5056,0.0,0.6886577420097869,0.5395276391088218,0.30747002142797025,0.19574333471798266,0.33045615897707686,0.2953261841914669,2.2733818765149185,0.25496209415664994,0.11494397582777288,0.65478799985282,0.21048432046835572,1.848039312145718,0.272996426748341,0.27403414195867026,0.5015426278114319,0.3800732640229772,0.24447443412106143,0.11389601892395189,0.0,0.0,,
28.0,0.6220075905636555,0.4707621396808701,5.26995,36.5056,0.0,0.6977601955412559,0.577498634229165,0.33280315028319923,0.21055465373077747,0.3383535436427904,0.3015202384359957,2.3762584038629186,0.2658410863491723,0.11494397582777288,0.65478799985282,0.21048432046835572,1.848039312145718,0.272996426748341,0.27403414195867026,0.5015426278114319,0.3800732640229772,0.24447443412106143,0.11389601892395189,0.0,0.0,,
29.0,0.6476382514280712,0.2561103365680325,5.796945,40.15616,0.9971592150692714,0.6672224973589425,0.5167805146269784,0.3398890676560547,0.21374939863160322,0.3042232892234523,0.28025915359892656,2.022236502553104,0.2283439375623314,0.11494397582777288,0.65579472942102,0.21190775550460553,1.860536983703494,0.2727946627131208,0.2754270696452037,0.5021651387214661,0.3789783055057907,0.24356553892128815,0.11389601892395189,0.01119583341239916,0.611866037666914,0.006699049236621115,0.017050522601895234
30.0,0.6453280790893806,0.2926446136444891,5.796945,40.15616,0.0,0.679396866332201,0.5700532486445353,0.3404678082388834,0.21770480200548592,0.3160973883710041,0.2890260194633048,2.163038790033342,0.2432652039205472,0.11494397582777288,0.65579472942102,0.21190775550460553,1.860536983703494,0.2727946627131208,0.2754270696452037,0.5021651387214661,0.3789783055057907,0.24356553892128815,0.11389601892395189,0.0,0.0,,
31.0,0.6318345166466729,0.35006044844830164,5.796945,40.15616,0.0,0.6883401188801628,0.537197926835991,0.32348822964674045,0.20454920525794634,0.32793003201627574,0.303387725100817,2.2538372992674276,0.25284006745987697,0.11494397582777288,0.65579472942102,0.21190775550460553,1.860536983703494,0.2727946627131208,0.2754270696452037,0.5021651387214661,0.3789783055057907,0.24356553892128815,0.11389601892395189,0.0,0.0,,
32.0,0.6190409315597157,0.46331208661873385,5.796945,40.15616,0.0,0.695405797192886,0.5544248907392427,0.31522378185019406,0.19944472746523428,0.3352271685463105,0.30575131645226816,2.3481757562508005,0.2630366983450957,0.11494397582777288,0.65579472942102,0.21190775550460553,1.860536983703494,0.2727946627131208,0.2754270696452037,0.5021651387214661,0.3789783055057907,0.24356553892128815,0.11389601892395189,0.0,0.0,,
33.0,0.6446702401890938,0.2881062918964179,6.32394,43.80672,0.9971592150692714,0.6675052761077614,0.5209812379882901,0.3391527198344172,0.2136256508652974,0.3033466937704732,0.2853051206310707,2.029181134582958,0.2288682571141495,0.11494397582777288,0.6570704941356662,0.21396782457455332,1.8786242626919134,0.27252838837378895,0.2764632627646326,0.5026795268058777,0.37973231389031886,0.2440974224189025,0.11389601892395189,0.01056478154440386,0.6231568137663999,0.006544009841239201,0.0158669084123731
34.0,0.6425112506258472,0.31303130485936875,6.32394,43.80672,0.0,0.6787104791474137,0.5710956820568328,0.35235269398180047,0.2261092553096957,0.3153713553017795,0.28341249422863557,2.17385519144811,0.24400019983525043,0.11494397582777288,0.6570704941356662,0.21396782457455332,1.8786242626919134,0.27252838837378895,0.2764632627646326,0.5026795268058777,0.37973231389031886,0.2440974224189025,0.11389601892395189,0.0,0.0,,
35.0,0.6307284803845565,0.3705104181486875,6.32394,43.80672,0.0,0.688156749886685,0.5553128606150045,0.33837967591476764,0.21372196438351498,0.32667988845692614,0.29647734894477684,2.2717638175214057,0.25482162882701437,0.11494397582777288,0.6570704941356662,0.21396782457455332,1.8786242626919134,0.27252838837378895,0.2764632627646326,0.5026795268058777,0.37973231389031886,0.2440974224189025,0.11389601892395189,0.0,0.0,,
36.0,0.617273065248497,0.40739583468345464,6.32394,43.80672,0.0,0.6988098509636003,0.5838937637458652,0.3422632875840444,0.21895604231950838,0.3382391177539355,0.29722536959547147,2.382809220368431,0.2667424892669266,0.11494397582777288,0.6570704941356662,0.21396782457455332,1.8786242626919134,0.27252838837378895,0.2764632627646326,0.5026795268058777,0.37973231389031886,0.2440974224189025,0.11389601892395189,0.0,0.0,,
37.0,0.6432264000029979,0.33687365456272717,6.850935,47.45728,0.9971592150692714,0.6679249016900094,0.5158421385746736,0.33076640134638596,0.20849298517877699,0.3029061473818426,0.2799179898993591,2.036635275360246,0.2294186358068107,0.11494397582777288,0.6540601191023286,0.20992571685246753,1.84313480695611,0.27380952380952384,0.27459759087517327,0.5003564357757568,0.37954466015878946,0.24395558204072987,0.11389601892395189,0.008842276551149015,0.5593775535235181,0.005655436282235221,0.013104594609813102
38.0,0.6450325769093629,0.38137229622716856,6.850935,47.45728,0.0,0.6813625248870926,0.5503017040459438,0.3321910140430666,0.21205740055531436,0.3198812497940924,0.2904665832967523,2.1852223542769633,0.2454022812426222,0.11494397582777288,0.6540601191023286,0.20992571685246753,1.84313480695611,0.27380952380952384,0.27459759087517327,0.5003564357757568,0.37954466015878946,0.24395558204072987,0.11389601892395189,0.0,0.0,,
39.0,0.6316104254508467,0.36922653721663135,6.850935,47.45728,0.0,0.6860164876418683,0.5648834731110424,0.34981732762506745,0.2209866303966951,0.325998565732617,0.28758700415496447,2.2689119178423525,0.253958663694696,0.11494397582777288,0.6540601191023286,0.20992571685246753,1.84313480695611,0.27380952380952384,0.27459759087517327,0.5003564357757568,0.37954466015878946,0.24395558204072987,0.11389601892395189,0.0,0.0,,
40.0,0.6172359281821816,0.42790695912526566,6.850935,47.45728,0.0,0.6985565668794791,0.5865356905621995,0.35356304329885285,0.22442824289851412,0.34077206086918427,0.2948309431065691,2.3789154914442494,0.26585276007080155,0.11494397582777288,0.6540601191023286,0.20992571685246753,1.84313480695611,0.27380952380952384,0.27459759087517327,0.5003564357757568,0.37954466015878946,0.24395558204072987,0.11389601892395189,0.0,0.0,,
41.0,0.6414955555640574,0.3743612198486773,7.37793,51.10784,0.9971592150692714,0.6679342040216107,0.5152657572848361,0.33481257205216264,0.2113134662440393,0.30483061640077597,0.285401050580045,2.0388198074729713,0.22993741411171795,0.11494397582777288,0.6493689207004663,0.20508038250285054,1.8005930711220226,0.27235387045813586,0.2728220091704877,0.499783992767334,0.3773530497093302,0.24215993969624597,0.11389601892395189,0.009035468303517077,0.6121898161654826,0.005706654341855243,0.013621159185666424
42.0,0.642112083105925,0.37414390529968883,7.37793,51.10784,0.0,0.6794622586658893,0.543954573580124,0.3313439027160635,0.20917604428781378,0.31707591676874464,0.2892134352743093,2.1596752430868085,0.24277407054494027,0.11494397582777288,0.6493689207004663,0.20508038250285054,1.8005930711220226,0.27235387045813586,0.2728220091704877,0.499783992767334,0.3773530497093302,0.24215993969624597,0.11389601892395189,0.0,0.0,,
43.0,0.6316053283428101,0.46367781816076603,7.37793,51.10784,0.0,0.6888767905953991,0.5776014098285293,0.3454893099836584,0.22003362617604857,0.3301259164832851,0.2946455429054239,2.2640223127095176,0.2539334978264725,0.11494397582777288,0.6493689207004663,0.20508038250285054,1.8005930711220226,0.27235387045813586,0.2728220091704877,0.499783992767334,0.3773530497093302,0.24215993969624597,0.11389601892395189,0.0,0.0,,
