round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1,fed_auprc_lift,fed_f1_best_threshold,fed_prevalence,fed_f1_best,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
38.0,0.6356572122343029,0.6839971662856417,11.8768,47.45728,0.0,0.704390918632508,0.27230698500178147,0.29857189149100405,2.441553148540754,0.5965837295516979,0.11373363544813697,0.33447168426977186,0.3427316904734362,0.2160375335725582,0.32794322668190135,0.07917731834355624,0.6951719567689434,0.1196729614354967,0.2045002711006687,0.3174891769886017,0.385344755134187,0.2520792238204157,0.11389601892395189,0.0,0.0,,
39.0,0.6215111328001214,1.0038855895141787,11.8768,47.45728,0.0,0.7193896817350567,0.2920202903449707,0.31909250085435875,2.6332384128717825,0.5601733324417144,0.11373363544813697,0.34897905920823863,0.3254349578257785,0.2020461444562071,0.32794322668190135,0.07917731834355624,0.6951719567689434,0.1196729614354967,0.2045002711006687,0.3174891769886017,0.385344755134187,0.2520792238204157,0.11389601892395189,0.0,0.0,,
40.0,0.5976499290278173,0.7918136033009417,11.8768,47.45728,0.0,0.7301182355223911,0.30753798033881785,0.32050785949396343,2.7993358167134605,0.5986235372568335,0.11373363544813697,0.36159880117775484,0.32168982984134237,0.20098972477512972,0.32794322668190135,0.07917731834355624,0.6951719567689434,0.1196729614354967,0.2045002711006687,0.3174891769886017,0.385344755134187,0.2520792238204157,0.11389601892395189,0.0,0.0,,
41.0,0.6441884242869687,0.8861297113775782,12.7904,51.10784,0.9971592150692714,0.6882738576269178,0.2590725534739971,0.29566893459224763,2.3094765282315484,0.5477737213493384,0.11373363544813697,0.31927504222934405,0.3367046077664443,0.21040963039734936,0.3282950882098453,0.07917682404884993,0.6951676168920015,0.12747549847921597,0.20450951154489178,0.3580479323863983,0.3891050883679585,0.2548764234678132,0.11389601892395189,0.00605120871863102,1.3724682753672823,0.0042752789945797644,0.007735467365001952
42.0,0.6383024440735016,0.6586766478254114,12.7904,51.10784,0.0,0.7082463412129835,0.2761860603257017,0.300579560813092,2.481429168505937,0.5793382583217918,0.11373363544813697,0.3413377260101663,0.35006285461147896,0.21943243610754262,0.3282950882098453,0.07917682404884993,0.6951676168920015,0.12747549847921597,0.20450951154489178,0.3580479323863983,0.3891050883679585,0.2548764234678132,0.11389601892395189,0.0,0.0,,
43.0,0.6131340449486198,0.7312683119822881,12.7904,51.10784,0.0,0.7210759518202753,0.30112065821106476,0.3049375719867494,2.732638155360173,0.6100603384373772,0.11373363544813697,0.35508343915438234,0.33954140648254244,0.21298300035311934,0.3282950882098453,0.07917682404884993,0.6951676168920015,0.12747549847921597,0.20450951154489178,0.3580479323863983,0.3891050883679585,0.2548764234678132,0.11389601892395189,0.0,0.0,,
44.0,0.5980462964262518,0.815246884950735,12.7904,51.10784,0.0,0.7315819948315825,0.3126974656927117,0.32635899049238476,2.8474881706332242,0.5967736159360331,0.11373363544813697,0.36830303433883677,0.32308339105669526,0.19981525829547347,0.3282950882098453,0.07917682404884993,0.6951676168920015,0.12747549847921597,0.20450951154489178,0.3580479323863983,0.3891050883679585,0.2548764234678132,0.11389601892395189,0.0,0.0,,
45.0,0.6396231679810513,0.7819545727150446,13.704,54.7584,0.9971592150692714,0.6911152965707714,0.2620278370723543,0.2916218435075745,2.3385889141847254,0.5586675365079355,0.11373363544813697,0.3233455572432792,0.3428112483763465,0.21541978784184743,0.32871849416217075,0.07929402399951753,0.6961966252083136,0.12331759565922064,0.20450951154489178,0.35472431778907776,0.3886351302439364,0.2549211039941613,0.11389601892395189,0.005713219993177206,1.3590938604902476,0.003904237610411209,0.007467151012494404
46.0,0.6357126026065998,0.7879667789404448,13.704,54.7584,0.0,0.710076037513838,0.280839038739418,0.3122227575738431,2.5198062228722797,0.5785849660875094,0.11373363544813697,0.34198160068809336,0.3271153484089422,0.2043427007976048,0.32871849416217075,0.07929402399951753,0.6961966252083136,0.12331759565922064,0.20450951154489178,0.35472431778907776,0.3886351302439364,0.2549211039941613,0.11389601892395189,0.0,0.0,,
47.0,0.6162144013620718,0.857274230118833,13.704,54.7584,0.0,0.7240322969973112,0.29845891572460415,0.31926526794202886,2.7026977185228294,0.5898204893248918,0.11373363544813697,0.3566726789324015,0.3260725006738524,0.20251004420208657,0.32871849416217075,0.07929402399951753,0.6961966252083136,0.12331759565922064,0.20450951154489178,0.35472431778907776,0.3886351302439364,0.2549211039941613,0.11389601892395189,0.0,0.0,,
