round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_f1,fed_ece,fed_auprc_lift,fed_f1_best,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
39.0,0.6579421853560372,2.4850734872608706,142.77744,142.77744,1.0,0.5807750835536483,0.1988537073571987,0.11183134046570165,0.30624981828308845,0.31423377072415193,2.5693961031188004,0.3429226151298669,0.2893925343474514,0.7126372238502561,0.6379130281832073,0.19637062493427335,1.7241219384971618,0.2633177570093458,0.26623982926503936,0.5283887982368469,0.31161097371972823,0.20888081261474375,0.11389601892395189,0.002491878229656909,1.6852701959232945,0.0012289423417650815,0.0039791205460437355,0.003327393262056919
40.0,0.6539192757051233,2.657306906831899,146.4384,146.4384,1.0,0.568921583116317,0.21023990025580563,0.11183134046570165,0.3024630116293649,0.3375278615248623,2.624087604533822,0.3439751643167852,0.2927927359371703,0.7133259052947215,0.6353970639001518,0.19515129439440054,1.7134162917906957,0.262992125984252,0.2680264291870152,0.5481701493263245,0.3349630544323899,0.21961213432222945,0.11389601892395189,0.0025594766264962873,1.7784181265851657,0.001266812504039855,0.004085768483243038,0.0033727167944784015
41.0,0.6491419030662489,2.012283654495758,150.09936,150.09936,1.0,0.5931128581640026,0.2044496246951785,0.11183134046570165,0.3046478119136266,0.32727359305600146,2.584158570904995,0.3426974673442261,0.2911610133996228,0.7149741463934403,0.6364810227943724,0.1953160853340476,1.7148631460460413,0.26434662364600137,0.26647286821705424,0.5114821791648865,0.3245801063160379,0.2143381298648096,0.11389601892395189,0.0024169657356076357,1.7253674757521367,0.0011731080931015826,0.0038814257946375415,0.0038753607642636394
42.0,0.6533380791482368,2.5144781824694546,153.76032,153.76032,1.0,0.5624147746306383,0.1983698415713751,0.11183134046570165,0.31034269752444094,0.31696694132165587,2.6430024423852196,0.34486640848481226,0.295089403538201,0.7169033576981751,0.637065124476255,0.19661206744797521,1.7262417888306758,0.26514148103552077,0.2664949191355374,0.5382797122001648,0.3144985865680927,0.20875802330802656,0.11389601892395189,0.002464359204876168,1.806623638705787,0.0011251602723864236,0.004038086295899931,0.005490384626618912
43.0,0.6586060882808134,3.0823683793226584,157.42128,157.42128,1.0,0.5660692797452117,0.1962582287205458,0.11183134046570165,0.3112250158474682,0.3137011427894859,2.665878753208901,0.35033106284257715,0.2982915280246176,0.7173735196302972,0.6327522794949639,0.19361716296525264,1.6999467127514822,0.2591645353793691,0.26302997569538217,0.5235776901245117,0.31087649571887577,0.20714500498743765,0.11389601892395189,0.0023223504469618247,1.7495838288787127,0.001076210509870547,0.0037847515695368476,0.004343969852204559
44.0,0.6533850684916748,3.155817204301976,161.08224,161.08224,1.0,0.5781599194430345,0.1968493375157726,0.11183134046570165,0.3087267851888334,0.31286141284986424,2.639708444451621,0.34842986881952076,0.2983167479670422,0.7167877483146579,0.6336462020414544,0.1946518697140343,1.7090313739938787,0.26081802015411976,0.26289072936147473,0.528289794921875,0.3105118511101624,0.20780755971876444,0.11389601892395189,0.002234849167022671,1.7277772643228673,0.0010606949109573317,0.0036097911463268697,0.004465354003588639
45.0,0.6666650577418325,4.602276688308359,164.7432,164.7432,1.0,0.5530726645674023,0.19917530034188774,0.11183134046570165,0.31149200392712617,0.3193543439789761,2.669007344117617,0.3489771950012817,0.2989994248918619,0.718953608949045,0.6317483861028577,0.19352929266729862,1.6991752169715229,0.2590813939170053,0.26469295031511064,0.5399131774902344,0.3169116643895342,0.21011355182966912,0.11389601892395189,0.0024498669527403083,1.9434311271797924,0.001106723072317597,0.004015653547498821,0.005739911020878624
46.0,0.6552678705816112,2.699014856253044,168.40416,168.40416,1.0,0.5689439279880066,0.19522689384410358,0.11183134046570165,0.3176100352024364,0.3129708066558901,2.70115767812383,0.34926944385520864,0.3027728186716333,0.7196006567246221,0.6294880416023361,0.19209594571961985,1.6865905194445987,0.25988840669559826,0.26455172413793104,0.5250841379165649,0.310630770869659,0.20661175025487943,0.11389601892395189,0.002196453126140195,1.7869231961994956,0.0010177690511593588,0.0035688232980062243,0.004863649627517405
47.0,0.6560742992533667,3.2920871456246923,172.06512,172.06512,1.0,0.5770468116463018,0.19534011836697532,0.11183134046570165,0.31283696216829243,0.31092494529162773,2.6827870427894798,0.3521423107899709,0.3032888370998305,0.7196533462734914,0.6309612719401437,0.19299843449219883,1.6945143150355715,0.25825971196901853,0.2617367290579932,0.5522323250770569,0.30865906186373887,0.20738416012448146,0.11389601892395189,0.0020473672883985403,1.7066508570460428,0.0009253495546276947,0.0033517652124606077,0.00442411525354907
48.0,0.6637276951657637,3.929286741640947,175.72608,175.72608,1.0,0.568091011011728,0.18502074791964826,0.11183134046570165,0.32054091764951265,0.29313657654002695,2.6932525868491655,0.3518685185808244,0.30512184686171767,0.7208379490524051,0.6257355421907799,0.18900768310968596,1.6594757647840699,0.25696715949234594,0.2593140153755174,0.5273290276527405,0.2911156001492787,0.19769232461857816,0.11389601892395189,0.0021123242268930903,1.8033785875159083,0.0009394577966016426,0.0034716394322264078,0.0045310774331018345
49.0,0.6951683883817976,5.245718285920669,179.38704,179.38704,1.0,0.5649825135685497,0.19336208878740677,0.11183134046570165,0.3169825648370802,0.30955774943790326,2.723973504013996,0.3527844937548001,0.3082127307714282,0.7225224691067441,0.6262358135350254,0.1889414188670701,1.6588939688333255,0.2559419564673505,0.2576407506702413,0.5113744139671326,0.30713844594984085,0.20557163724459934,0.11389601892395189,0.0021630707081863863,1.8900364573091792,0.0009508297408084259,0.0035647981535685204,0.004919254772887208
