round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_ece,fed_auroc,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
29.0,0.6468609608965128,1.2887368805004564,106.16784,106.16784,1.0,0.11373363544813696,0.2857440989903994,0.32965194418071364,0.7084355176435164,0.3361347765494694,0.30110716216668376,0.5980674223758633,2.503720460382162,0.20624605661169598,0.6522194282680617,0.21432591380964225,1.8817682640228819,0.27202617433979903,0.27391952309985096,0.5446429252624512,0.3276522015372584,0.2121091544431393,0.11389601892395189,0.003942897406976818,1.8230002295840677,0.0021942788894452445,0.0059234090966881255,0.0031326126930240664
30.0,0.6439538373413625,1.494416975632876,109.8288,109.8288,1.0,0.11373363544813696,0.28933184271905427,0.3359690336544537,0.7106085076959405,0.3426065965237415,0.29715237429855074,0.6012845996031978,2.5499758966040393,0.21122408331705478,0.6540336272097012,0.2118126201973971,1.8597017015917292,0.26792614856161445,0.27256468343865503,0.5190168023109436,0.333360437931413,0.21692471434071411,0.11389601892395189,0.0037921985257462418,1.8178043109455757,0.0020886508727886483,0.005734796770494076,0.0031097078655822077
31.0,0.6470687877321791,1.9461163654382765,113.48976,113.48976,1.0,0.11373363544813696,0.29167368242432334,0.3325360373805243,0.7111969831271382,0.34259988599178265,0.3029713186723131,0.5808354929550987,2.5696553844479246,0.2078347482365292,0.6519806247508619,0.21215056191163825,1.8626688089360761,0.26863301191151445,0.272772155023451,0.5153356194496155,0.3302575031437351,0.21381999930727388,0.11389601892395189,0.003449221537419469,1.7137396868165524,0.0019279194219235978,0.005194069103680439,0.002598012054512663
32.0,0.6552842089516535,1.7574228704989072,117.15072,117.15072,1.0,0.11373363544813696,0.2921521169163929,0.32398184786499346,0.7123701044623061,0.3381991574267473,0.30702853518708967,0.5757581552046033,2.561385189974104,0.20175692154761993,0.6510637869054905,0.2146873607970982,1.8849417462119062,0.2699550479893087,0.2706707236406932,0.517121434211731,0.32166448060508535,0.2077786242717602,0.11389601892395189,0.003606624128036554,1.851395297475392,0.0018717529949365725,0.00560047391855081,0.0034778712655443166
33.0,0.6544948117933461,1.927029314134233,120.81168,120.81168,1.0,0.11373363544813696,0.2952838359393951,0.3259279593893308,0.7158449428291345,0.34411151261346296,0.3084022143117817,0.5816592732453786,2.5844653650458573,0.2032088555413922,0.6498355093162361,0.21221604282334952,1.8632437272899387,0.2637912546169427,0.2676325861126299,0.5242466926574707,0.323447903478807,0.20971320627236772,0.11389601892395189,0.0033627359205513387,1.787275180386132,0.0017545227061673777,0.005211726066780046,0.0035075828274320057
34.0,0.6486307896452235,1.5243360726180502,124.47264,124.47264,1.0,0.11373363544813696,0.2940846905360834,0.3264982417198257,0.7165906945896782,0.341955469471139,0.30905792911658786,0.5705252447637306,2.5747532366900434,0.20373880251712329,0.651752927498454,0.21415124577914985,1.880234689520958,0.2680825958702065,0.27204030226700254,0.5111860036849976,0.324109861539246,0.2101677077006669,0.11389601892395189,0.003292145472372894,1.8059987208853272,0.0017089177264305805,0.005123010859712237,0.003230876218199553
35.0,0.654595945571776,1.7646605629360743,128.1336,128.1336,1.0,0.11373363544813696,0.29686982418363467,0.3269315185787955,0.7165259807748209,0.34678839555429974,0.3061860215021349,0.5660119593248505,2.5926528706416447,0.2035049388996943,0.648128332099053,0.20560025973905216,1.8051575610937813,0.26469899273834624,0.26824034334763946,0.48615947365760803,0.3245981290659837,0.21035876466885978,0.11389601892395189,0.0028510046346112987,1.6130381193606809,0.001557388140910182,0.0043532041730712,0.002653595648218171
36.0,0.6561990087596217,1.9693694720644406,131.79456,131.79456,1.0,0.11373363544813696,0.29688506447757484,0.3157373903658594,0.7176095994284405,0.34772355859771154,0.311449326960414,0.5690151914271403,2.601326538474729,0.19644598208893638,0.6488084245373104,0.20976508626028778,1.8417244802941484,0.2679485578723936,0.26892208914680826,0.4982503056526184,0.3137087264377536,0.20355942508932062,0.11389601892395189,0.0028539766588164595,1.6622783801776677,0.0015251306975466532,0.004398134513698779,0.003442048301222677
37.0,0.6579232423998496,2.4469186196919877,135.45552,135.45552,1.0,0.11373363544813696,0.29796213758716755,0.3184477637326409,0.7169021436062274,0.348919099734135,0.3085641363063565,0.5856688446951477,2.6086946095727965,0.1996292404768205,0.6478696753491973,0.21122818138405025,1.8545703649667231,0.26599247412982124,0.2674056113612747,0.4975377023220062,0.31609623956280003,0.20688722906370557,0.11389601892395189,0.0027203442927822255,1.6316312419485257,0.001461328731924895,0.00418470133467874,0.0035131600323104577
38.0,0.6546110677042525,2.7382547515869318,139.11648,139.11648,1.0,0.11373363544813696,0.30214719912654736,0.3236443590123447,0.7190582885650686,0.34902819196797563,0.31178471415336595,0.5768209889752476,2.6493275148804534,0.2011956972482847,0.6454989082227973,0.20964983613457983,1.8407125913203564,0.2626872885451909,0.2664567830566686,0.5280104875564575,0.3213354744096333,0.20849646003638225,0.11389601892395189,0.0026802308792875287,1.6559477129503648,0.001442411696525422,0.004123727404112705,0.003089047802365389
39.0,0.6566043575388155,2.1788887891259834,142.77744,142.77744,1.0,0.11373363544813696,0.3044626561396029,0.3195667517790038,0.7193639253853827,0.35092353034306284,0.3155914478020508,0.5803209166366078,2.672926451548347,0.19977534405497888,0.6481595802338908,0.21133540153644642,1.8555117512716102,0.26892573900504685,0.2722142013387584,0.5165272951126099,0.3172335031528168,0.2076886715798676,0.11389601892395189,0.002565132487186091,1.6308081731058337,0.0014127021173821824,0.003907958446253327,0.0029161444198277818
40.0,0.6496845071218404,2.090348994871863,146.4384,146.4384,1.0,0.11373363544813696,0.30732006686926405,0.32430411155902034,0.7200266491221698,0.3514983728221429,0.3035910054237039,0.6048738755349516,2.7050337721309035,0.20489427202130406,0.6496928722477358,0.21349162369208508,1.8744432484039055,0.2657218777679362,0.2742669362992922,0.5241643190383911,0.32160601873466205,0.21326651505326963,0.11389601892395189,0.0023794842742667407,1.5555673138533166,0.001308335006893944,0.0036278195773552773,0.003932084430212127
41.0,0.6584133359096804,3.0855241212042586,150.09936,150.09936,1.0,0.11373363544813696,0.3082296309975399,0.3275340046685846,0.7237826124049711,0.35174580285559565,0.3075684792908352,0.5875568316437206,2.6976796989525162,0.2057636322591795,0.6474055589754206,0.21348047417336524,1.874345356319308,0.2686700055648303,0.2697399527186761,0.5105162262916565,0.32477914240556854,0.21416798046871902,0.11389601892395189,0.002441657024220337,1.6411151652737317,0.0013168278398171206,0.0037570028347684776,0.00284803752397323
42.0,0.6491666493626347,2.0950811784800036,153.76032,153.76032,1.0,0.11373363544813696,0.3117196981900669,0.3271319282796904,0.7242766643611028,0.3544499244479545,0.30982400716768693,0.5840847427822643,2.72515245091854,0.20420114126136746,0.644154498007122,0.20903491335616559,1.8353136073679426,0.265209553853087,0.26781115879828327,0.513249933719635,0.32456604799232164,0.21255337196912705,0.11389601892395189,0.0026192551774407258,1.8087472446877655,0.0013439492832721268,0.004109730088117277,0.0029736203198673923
43.0,0.6650383703677566,3.258839783227823,157.42128,157.42128,1.0,0.11373363544813696,0.31571080836616056,0.314706874654813,0.7280492581235671,0.35520369125218515,0.3217973281566065,0.5768208132150761,2.766927669785705,0.19521516238266687,0.6425335104245032,0.20625424487616964,1.8108995101390253,0.2642893272635306,0.2660863427832019,0.4897611141204834,0.31239747792388967,0.20469822039238453,0.11389601892395189,0.002455559242142572,1.741643919616763,0.0012451735609133132,0.003866940608123448,0.0033159897852301397
44.0,0.6653471510781546,2.549579920341869,161.08224,161.08224,1.0,0.11373363544813696,0.3110208627265062,0.31984085123925104,0.7269413918081443,0.35587441484435356,0.3156293557124661,0.5820611825668649,2.717266225465225,0.20045173834940866,0.6473030927019466,0.20993692592809327,1.8432332219466572,0.2664477541925648,0.2683044315992293,0.5047348737716675,0.3174858995097628,0.20972690112016001,0.11389601892395189,0.002497293814774044,1.8182293172940263,0.001230025441595843,0.003976689794180258,0.002984457315757659
45.0,0.6575534849669217,3.143748596670931,164.7432,164.7432,1.0,0.11373363544813696,0.31256911548986843,0.3175910511099335,0.7288282607210048,0.3564417862818514,0.317728830582057,0.5806902879839696,2.7408562469001,0.1983173339305954,0.6464838142944178,0.20924104952532543,1.837123470180597,0.2625510449195292,0.266371867761634,0.4796682596206665,0.31493313200739587,0.2072984515021825,0.11389601892395189,0.0024167504690207637,1.8039500181821495,0.0011164345410153431,0.003935175817592947,0.004276091874403323
46.0,0.6569982928907786,3.4821209742163513,168.40416,168.40416,1.0,0.11373363544813696,0.3158753144784515,0.3217036469444689,0.7295003883807608,0.3599066632796702,0.31273757704474425,0.5785621452517619,2.7719442789943525,0.20134830050719998,0.6472040273298948,0.2066870208337023,1.8146992562725721,0.2620940267999092,0.26596512947487877,0.48482605814933777,0.3192914619070415,0.21058514261987774,0.11389601892395189,0.002218517175681626,1.6919757727191609,0.0010925902888511165,0.00353544053442923,0.004427690429804607
47.0,0.6595227857666797,3.7218569811134,172.06512,172.06512,1.0,0.11373363544813696,0.31896422836925664,0.3277599364541366,0.7316807999102531,0.3635677419697517,0.31420192094995153,0.5900710438024571,2.7968031096170543,0.20430635345088913,0.6421387297716015,0.20372778495850524,1.788717348360822,0.2613099257258609,0.26470289487049264,0.4836168587207794,0.32563899668398394,0.21415346610044628,0.11389601892395189,0.0021071611019072224,1.6470901951488486,0.001044202464396319,0.003350242504109211,0.0035649046452532673
48.0,0.6673904820415704,3.957878889721704,175.72608,175.72608,1.0,0.11373363544813696,0.3201649560059199,0.33232170299513686,0.7319765319435662,0.3595648472228022,0.31253012070072794,0.5874725299618184,2.8100598873842313,0.207394719089274,0.6442048338580594,0.20819862825073016,1.8279710758788146,0.26359286646367985,0.26655260906757916,0.5834582448005676,0.33007390414592563,0.2171369544084632,0.11389601892395189,0.0021088020193740687,1.6878677478080135,0.001044333455687644,0.0033528925641900147,0.0029764982168390547
