round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_prevalence,fed_f1,fed_brier,fed_f1_best,fed_auroc,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
25.0,0.12615807912096855,11.083970653704306,195.77472,195.77472,0.9991046702896288,0.9882638441832333,1.0994100152195296,0.9069767441860465,0.8755113491264682,0.15349077941613562,0.9665523410030225,0.9247419560369545,0.2868435761263204,0.5342229894427366,0.3208933064528733,0.9513522120948226,0.9837344947138316,0.0,0.9832657200811359,0.4860990643501282,0.48091355085075643,0.2631129919646218,0.9670822942643391,0.0001331787354309146,0.08045786850278347,2.622547478854149e-05,0.00015090799559946472
26.0,0.1039557355157565,4.650882335852619,195.77472,195.77472,0.0,0.9930539643064885,1.1061285414834912,0.9069767441860465,0.8655251725019166,0.12099219818932111,0.9729936925605266,0.9591437218404404,0.1941631542410441,0.19179811849323816,0.3208933064528733,0.9513522120948226,0.9837344947138316,0.0,0.9832657200811359,0.4860990643501282,0.48091355085075643,0.2631129919646218,0.9670822942643391,0.0,0.0,,
27.0,0.08117772220507682,3.945061433004351,195.77472,195.77472,0.0,0.983298218563746,1.0941596055478993,0.9069767441860465,0.9299153432859493,0.0757797700910118,0.9730755102568746,0.8802901287944295,0.10389509227906549,0.3105224612840386,0.3208933064528733,0.9513522120948226,0.9837344947138316,0.0,0.9832657200811359,0.4860990643501282,0.48091355085075643,0.2631129919646218,0.9670822942643391,0.0,0.0,,
28.0,0.07676014915990621,5.500239706381704,195.77472,195.77472,0.0,0.9910872924249001,1.102571308381404,0.9069767441860465,0.9004759063781692,0.09553914906371379,0.9754538396125262,0.9589878032130341,0.13275417444664375,0.463171556730603,0.3208933064528733,0.9513522120948226,0.9837344947138316,0.0,0.9832657200811359,0.4860990643501282,0.48091355085075643,0.2631129919646218,0.9670822942643391,0.0,0.0,,
29.0,0.12155894653817052,13.025939802526395,215.352192,215.352192,0.9991046702896288,0.9901916958351302,1.1020360583876065,0.9069767441860465,0.716410711599715,0.17543955483198068,0.9721848829554327,0.939539889864834,0.3231998522614324,0.49643116274545357,0.3392837607639052,0.9539922115893749,0.9864643549441448,0.0,0.9832657200811359,0.4862191379070282,0.4807978234237566,0.26300151765778135,0.9670822942643391,0.00014078358959046853,0.08508557817064855,2.704662751228685e-05,0.00015962931223931483
30.0,0.10723402305259162,4.781282742026167,215.352192,215.352192,0.0,0.9917527339781865,1.1035053447922365,0.9069767441860465,0.871135799622932,0.1178695024300494,0.9678151652380502,0.9617603422382013,0.19572759996666467,0.16213375693836873,0.3392837607639052,0.9539922115893749,0.9864643549441448,0.0,0.9832657200811359,0.4862191379070282,0.4807978234237566,0.26300151765778135,0.9670822942643391,0.0,0.0,,
31.0,0.07173978615900048,3.3503489515917177,215.352192,215.352192,0.0,0.9891824043624949,1.101086316604066,0.9069767441860465,0.8922610305843042,0.1291829072556889,0.9702945070316986,0.9322951349383333,0.19738272092803272,0.11197575634821903,0.3392837607639052,0.9539922115893749,0.9864643549441448,0.0,0.9832657200811359,0.4862191379070282,0.4807978234237566,0.26300151765778135,0.9670822942643391,0.0,0.0,,
32.0,0.05826984928381826,2.0699710031066174,215.352192,215.352192,0.0,0.9895697902133401,1.1009221943000942,0.9069767441860465,0.9308565100458788,0.06015061252500538,0.9707627194921203,0.9432041141400809,0.08646688353876736,0.41756056269934005,0.3392837607639052,0.9539922115893749,0.9864643549441448,0.0,0.9832657200811359,0.4862191379070282,0.4807978234237566,0.26300151765778135,0.9670822942643391,0.0,0.0,,
33.0,0.11385540891867289,8.793217826458608,234.929664,234.929664,0.9991046702896288,0.9874424943236182,1.0977984518657813,0.9069767441860465,0.7449692460180376,0.16126684464801705,0.9624874441563908,0.9286092022027032,0.27330107966134715,0.5360075037146723,0.34172957006892024,0.954560770758001,0.9870522668229975,0.0,0.9832657200811359,0.48627227544784546,0.4807492402723602,0.2629546628498898,0.9670822942643391,0.00012303570836167475,0.07438715430551213,2.5150427675521735e-05,0.00013924782362775048
34.0,0.11255505852474935,11.232501757901,234.929664,234.929664,0.0,0.9922518401518254,1.1045822645283074,0.9069767441860465,0.914851239599774,0.08456995745287661,0.9695517812917024,0.9587159695990534,0.13518505053118218,0.22976456596407777,0.34172957006892024,0.954560770758001,0.9870522668229975,0.0,0.9832657200811359,0.48627227544784546,0.4807492402723602,0.2629546628498898,0.9670822942643391,0.0,0.0,,
