round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_auroc,fed_f1_best,fed_f1,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
31.0,0.6421461229070209,0.9625652447425361,67.16416,67.16416,0.5412350858791136,0.542120111538323,2.3102052800516577,0.11406987724268176,0.21496463729806511,0.26116116895039315,0.688244533390053,0.3130999738251262,0.2843511207155789,0.3410990025159846,0.5878452209855546,0.13956538137417387,1.2253754142834559,0.20273681413577788,0.23334753586138338,0.4830021858215332,0.3662653888164046,0.23410423430087,0.11389601892395189,0.0040003568169373225,0.7486768047092482,,0.0040003568169373225
32.0,0.6153745554459017,0.8647445867163347,69.1456,69.1456,0.5412350858791136,0.5759366407685583,2.4722784583224344,0.11406987724268176,0.20075943339710894,0.27885888049922,0.7044928627692554,0.32685986549908663,0.2982022338954982,0.31536480896432884,0.6003358910956571,0.14312150812246566,1.2565979871344544,0.19828903146959975,0.24008541793776692,0.4844151437282562,0.36299009742263555,0.23150059087589722,0.11389601892395189,0.004571991216169193,0.8763565997360274,,0.004571991216169193
33.0,0.5996449225129419,1.1400881693725855,71.12704,71.12704,0.5412350858791136,0.5638710266695032,2.6220254154534577,0.11406987724268176,0.2053839024613268,0.2952305753278685,0.7185624441192223,0.3418842573877957,0.31129355065052683,0.3283631851971102,0.595341610884772,0.14321588565076393,1.257426615994268,0.18831734960767219,0.23536198442457457,0.48284661769866943,0.3643111802217219,0.23261495905792368,0.11389601892395189,0.0051705735333843076,1.0243332592071965,,0.0051705735333843076
34.0,0.5778569686461305,1.2197143432994277,73.10848,73.10848,0.5412350858791136,0.5816356468283234,2.7245308760130604,0.11406987724268176,0.20264628004190519,0.3055963759722828,0.7283749189567987,0.3495704464704844,0.3132185758948682,0.3229018793784775,0.6077588792516351,0.14682142127758185,1.2890829957420564,0.2053437406184329,0.24475920679886684,0.48762112855911255,0.3630352176647492,0.23144609137082975,0.11389601892395189,0.005882303213316116,1.2093516658060253,,0.005882303213316116
35.0,0.639547747527988,1.6560990940847216,74.7776,74.7776,0.4559241291901578,0.557810409171498,2.1939113021579737,0.11406987724268176,0.21622635230473827,0.2508701975351891,0.6788889805345177,0.30388843399492194,0.27944213355430453,0.3400527762692935,0.6013602149951993,0.14440209428664924,1.2678414544328032,0.199203187250996,0.24028992357992596,0.4870399832725525,0.3639252639643601,0.23218388959042274,0.11389601892395189,0.0068955654148159925,0.49667125078849494,0.0068955654148159925,
36.0,0.6330937873417072,1.349441019247615,76.75904,76.75904,0.5412350858791136,0.5424988157163073,2.3751581944822435,0.11406987724268176,0.20862391806892017,0.26891526072728866,0.6946125809567115,0.31527137297294866,0.2936991995636472,0.3325383426889491,0.5888104997146506,0.13845295263715257,1.2156083587925692,0.19491283223778222,0.2321768966831872,0.47538483142852783,0.3658056780519672,0.2337377626986179,0.11389601892395189,0.0037839239129624693,0.7992320207413286,,0.0037839239129624693
37.0,0.6147433106040763,1.3326499087338743,78.74048,78.74048,0.5412350858791136,0.5584505450736812,2.537764410018502,0.11406987724268176,0.20790073200376022,0.2865174003354827,0.7114727918522326,0.33093202480521194,0.3014648484305511,0.33300518210116054,0.5979470151103932,0.14291032275999688,1.2547437927169147,0.20629463104998677,0.23779515602459947,0.4878474175930023,0.36759112227622415,0.23493765234845557,0.11389601892395189,0.003842990359824461,0.8335058989468962,,0.003842990359824461
38.0,0.59186881482587,1.4764195528707025,80.72192,80.72192,0.5412350858791136,0.5885376394489182,2.6661169624606487,0.11406987724268176,0.21663488440433004,0.3011487585898895,0.7238753728858746,0.34151350307613704,0.30582322035370946,0.3475599625164589,0.5958811996613255,0.14084617523923224,1.236620705182636,0.21563404748118123,0.23872224386443316,0.4902206361293793,0.36942593450874817,0.2363025768321477,0.11389601892395189,0.004961344240058307,1.1095613902434707,,0.004961344240058307
39.0,0.5720879881896367,1.4678670171504795,82.70336,82.70336,0.5412350858791136,0.5990057929266839,2.8219687426448465,0.11406987724268176,0.20460198482743205,0.3171500531965426,0.7345815943062479,0.3529681826098661,0.3117136718307402,0.3257020537148125,0.5915727846364993,0.13861384563154333,1.2170209893297104,0.19755766621438264,0.23573237967516023,0.48527491092681885,0.36491756922429885,0.23302041798470402,0.11389601892395189,0.005558694959417507,1.2883704032283276,,0.005558694959417507
40.0,0.6422911463459265,2.1027105256905325,86.35392,86.35392,0.9971592150692714,0.5395123286051386,2.19720168748251,0.11406987724268176,0.20551628190718732,0.25172707545517575,0.6779170465868772,0.3007319210552013,0.2802367848317964,0.3204398892200759,0.6228044169451934,0.15321053635006499,1.345179030817252,0.23305967405955152,0.2593893542285869,0.49066978693008423,0.3600602710956213,0.2289231802962222,0.11389601892395189,0.0049096500782499445,1.5511626889929175,0.0068948777295576155,0.0042672977377934684
