round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_ece,fed_auroc,fed_f1_best,fed_brier,fed_auprc,fed_f1_best_threshold,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
24.0,0.6413753317628551,1.0200042273915317,87.86304,87.86304,1.0,2.443819693061401,0.3104529956548896,0.704874500032704,0.3344668523652796,0.1942961681492098,0.2804519264821539,0.5405437244122991,0.11486656596173213,0.3088160984841403,0.6601884430693369,0.22136105584526405,1.9435363758681181,0.2788896061975468,0.2805897552819578,0.5265219807624817,0.30881750289758736,0.197732524515605,0.11389601892395189,0.004608770551817449,1.779682630301977,0.0026212303025936715,0.0067303227418351735,0.0029960283695647755
25.0,0.6447311631776504,1.105589275606467,91.524,91.524,1.0,2.4576406237682438,0.3188644335532518,0.7048401919145829,0.33525750143862015,0.20037311952635067,0.28215015459141624,0.543324569227082,0.11486656596173213,0.3031651899407021,0.6615972068735455,0.21876771899997635,1.9207670388027087,0.27429543245869775,0.2787136294027565,0.5247218012809753,0.31724096292632553,0.2042035051231597,0.11389601892395189,0.004694108884126368,1.8865545373046189,0.0024508057812141185,0.007101444433511934,0.0037965014637451407
26.0,0.6422836985785075,1.1044466496539411,95.18496,95.18496,1.0,2.465059322283514,0.33972540007967955,0.7068915783591235,0.3389811344003558,0.21350891421449786,0.28314459468857583,0.5766693268323922,0.11486656596173213,0.2968548243168628,0.6586587778470451,0.21745735713318712,1.9092621426775496,0.26748362560743716,0.2757479312539784,0.5311105251312256,0.3382756489125985,0.21751214086972645,0.11389601892395189,0.004189328613259445,1.7553273421763151,0.0024704421392469254,0.006042431042543251,0.0033963208197772313
27.0,0.6449638126643691,1.3142809607014758,98.84592,98.84592,1.0,2.517107295592058,0.3303088167572558,0.7101597854900956,0.34105027297193713,0.20776917342515733,0.28922382304964966,0.5610247435871687,0.11486656596173213,0.30248339978418415,0.656741033379082,0.21444711462336188,1.8828323996692784,0.26909569798068483,0.27601282424949,0.5519927740097046,0.3292304975131068,0.21323928875917558,0.11389601892395189,0.003808451622167131,1.6583410633556923,0.002251279325807454,0.005505990260134182,0.003202467881961632
28.0,0.6483760309589619,2.0672099032560065,102.50688,102.50688,1.0,2.5141434926841035,0.321574375544586,0.7095912768716136,0.33877672485280974,0.20227515460062986,0.288958771490203,0.5717959683951206,0.11486656596173213,0.30761951777803237,0.656148046685366,0.2133301360127623,1.8730253965698516,0.26966819087818034,0.27661510464058237,0.5497035980224609,0.3207522844080362,0.20799701368480605,0.11389601892395189,0.004035595308039319,1.8205527282480034,0.002267983691275185,0.005974014818335324,0.0031488650782150406
29.0,0.6414424691779981,1.2665019326368034,106.16784,106.16784,1.0,2.522827847712449,0.3315067164582193,0.7097997591445356,0.33882475246620725,0.207680650703945,0.290182451450164,0.5685601976811737,0.11486656596173213,0.30878996405118747,0.6542709749904989,0.21608027049935202,1.897171407225641,0.2688825214899713,0.27685589519650655,0.5423968434333801,0.3309364354071538,0.2136403827953711,0.11389601892395189,0.004036220765983977,1.8885712242163208,0.002135758727925196,0.0061201371327028594,0.004424629091777152
30.0,0.6468022373496108,1.4168488960650936,109.8288,109.8288,1.0,2.561978813161031,0.3339753454789793,0.7103991534164692,0.3414419212058226,0.2111503402710986,0.29433439000091244,0.5829230177836178,0.11486656596173213,0.3025362554410057,0.6569181563409694,0.21517794785316,1.889249070214068,0.26743576297850025,0.2769731007981082,0.5617607235908508,0.3328782681065231,0.2167855594232536,0.11389601892395189,0.0036524832046636343,1.7716180109819106,0.002028287453103178,0.0054351845131879,0.003968239820701709
31.0,0.644863854516736,1.6880247240591841,113.48976,113.48976,1.0,2.568115870384346,0.327602792171865,0.711351249691491,0.3436405920143034,0.20582051017230119,0.2954376293117503,0.556650844154071,0.11486656596173213,0.30901506337446194,0.6557438664931095,0.21720475110822246,1.9070442774057763,0.26878908470722,0.2791348996421347,0.5543153285980225,0.3269842375804786,0.2117636477053839,0.11389601892395189,0.003405695595518073,1.7107351470531285,0.0018803976150295807,0.005084615482943981,0.0034075130544042563
32.0,0.6460938610893028,1.6406541351302804,117.15072,117.15072,1.0,2.581419524073667,0.31571403759033895,0.7137914054522175,0.3420831708795097,0.19823470902476262,0.2972454969269048,0.5645750968736735,0.11486656596173213,0.3102440019324591,0.6519924212354995,0.21556479361039627,1.8926455520304744,0.2728592162554427,0.27677830058123437,0.5231918096542358,0.3143089158171213,0.20479907825226754,0.11389601892395189,0.0033335671760122286,1.728153968568222,0.0017890916704649128,0.005035426072438962,0.00545627847689079
33.0,0.6508874580212639,2.507927199116569,120.81168,120.81168,1.0,2.614591776141537,0.3135988106420185,0.7162963017851259,0.3445445908894623,0.19695573805925107,0.3009165680697474,0.5562105839518683,0.11486656596173213,0.31497231908488255,0.6532227694842913,0.21625057527892166,1.8986666726543944,0.2717378304030618,0.27992191019672624,0.5400089025497437,0.31228255491967855,0.2036757631755452,0.11389601892395189,0.003225769475080148,1.726235622954846,0.0017986754823083849,0.00481329619429298,0.0034003467624255527
