round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1,fed_f1_best,fed_auprc_lift,fed_ece,fed_brier,fed_auroc,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.5833899523990238,0.5412171025661355,45.99296,45.99296,0.5412350858791136,0.11183134046570166,0.0871178180580286,0.31491375292477386,2.378649487218311,0.07530687086769457,0.1084120292062859,0.6842159590426938,0.25520611855683933,0.22238074116938658,0.3411839147753681,0.08083428254567235,0.7097199999557949,0.1299899699097292,0.2045002711006687,0.3612937927246094,0.39452356511366143,0.26030669579122917,0.11389601892395189,0.00551056084082069,0.6987794614396989,,0.00551056084082069
22.0,0.5563806562488958,0.5530683619284696,47.9744,47.9744,0.5412350858791136,0.11183134046570166,0.10862174213755811,0.32683813601014716,2.5095600876167414,0.07163156993450362,0.10633291407174908,0.6955440077115763,0.2677926151575295,0.24597949032478914,0.3408091630474466,0.08074853991178314,0.7089671849346969,0.14605946201038225,0.2045002711006687,0.3734721839427948,0.4064932752491946,0.2713609103987269,0.11389601892395189,0.005719525045573384,0.7475320306839421,,0.005719525045573384
23.0,0.5471633063308676,0.7256763179193111,49.95584,49.95584,0.5412350858791136,0.11183134046570166,0.10759013558581314,0.33149128085342955,2.6213849774047837,0.08338799453630592,0.10667048713372723,0.7058324230366932,0.2786743461007649,0.24988244309449356,0.3408983770998809,0.08077128479078735,0.7091668835652469,0.13628511101158103,0.2045002711006687,0.3721817433834076,0.40042857882078847,0.2660287592286595,0.11389601892395189,0.006128933419723664,0.8297542796935886,,0.006128933419723664
24.0,0.5271084395744184,0.8040631200506414,51.93728,51.93728,0.5412350858791136,0.11183134046570166,0.1289792079050268,0.3401401440260303,2.7789890309653873,0.06770142488444751,0.10332168183781312,0.7144280401326599,0.29331352636352387,0.24520414343433156,0.34129446289576393,0.0809287660236884,0.7105495590475761,0.13517009442504205,0.2045002711006687,0.3759169280529022,0.4007632122875443,0.26643266953298955,0.11389601892395189,0.006524984242650537,0.9197788841556758,,0.006524984242650537
25.0,0.5853453175374894,0.8823281128066895,53.6064,53.6064,0.4559241291901578,0.11183134046570166,0.08517432699134783,0.30124928078644625,2.2010951268017376,0.07639423487690389,0.10893434399486127,0.6708824913033519,0.24129383294713627,0.22940605455051805,0.34189903273343775,0.08101520124964118,0.7113084549841452,0.13075641452849052,0.2045002711006687,0.3772345185279846,0.3979264923905119,0.2639749545092703,0.11389601892395189,0.009252202098984728,0.593429958447814,0.009252202098984728,
26.0,0.577056328683156,0.7592550898265735,55.58784,55.58784,0.5412350858791136,0.11183134046570166,0.10389861594970252,0.31417117181014464,2.364599111528785,0.08185712470092193,0.10983602027932429,0.6869435372771303,0.2556233535048328,0.23907143799781494,0.34144759130592056,0.08098715354767042,0.7110621978960068,0.13014069264069264,0.2045002711006687,0.38416919112205505,0.3953448635122846,0.2615805469864143,0.11389601892395189,0.0055989186562585055,0.8134169045370072,,0.0055989186562585055
27.0,0.5516461707748441,0.6716952629893868,57.56928,57.56928,0.5412350858791136,0.11183134046570166,0.09619035486320285,0.3282911994688742,2.6100514580609375,0.07862175589719232,0.1063642512019931,0.7017099493363976,0.2775188680677953,0.2583192340753001,0.34303013991785325,0.08129908987923373,0.7138009795892598,0.12658584719481253,0.2045002711006687,0.38002362847328186,0.3912751826686092,0.25794516824989455,0.11389601892395189,0.005000155035502856,0.7480803134385496,,0.005000155035502856
28.0,0.5359970053747684,0.9501624145720633,59.55072,59.55072,0.5412350858791136,0.11183134046570166,0.12748555077410934,0.3425345903716021,2.7453707266560383,0.07390953108479013,0.10491320867024469,0.7112520676263698,0.2904704866115493,0.256936545329622,0.34280786402859786,0.08122978200428004,0.7131924607348828,0.1342742457594199,0.2045002711006687,0.3611651062965393,0.3995681369518848,0.26552047198007867,0.11389601892395189,0.006567255298631958,1.0156373991630971,,0.006567255298631958
29.0,0.515395716469291,1.0342950021008257,61.53216,61.53216,0.5412350858791136,0.11183134046570166,0.14085205580510116,0.3512299915049014,2.8795344544954236,0.07326621693834315,0.10430017436800905,0.7202858103578735,0.30362994079232286,0.2670713857031979,0.34292836386422515,0.08125652358928985,0.7134272501969068,0.1322522762012361,0.2045002711006687,0.3628041446208954,0.3993214290418288,0.2654805475990985,0.11389601892395189,0.0073166103538391996,1.1797888837754726,,0.0073166103538391996
30.0,0.5796012904902876,1.1223229419739575,65.18272,65.18272,0.9971592150692714,0.11183134046570166,0.07008758225714534,0.3048015905675841,2.2213454765544443,0.08360989902208367,0.1091780646760797,0.6738488704301041,0.24429179484237631,0.2359039043558701,0.34369701778342643,0.0812877907292269,0.7137017737512192,0.13543611200514966,0.2045002711006687,0.39605170488357544,0.4019554344824428,0.2673590039730394,0.11389601892395189,0.006279273659547207,1.483575600432232,0.007836603521640085,0.005624847953233743
