round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_ece,fed_auprc,fed_f1_best,fed_brier,fed_f1_best_threshold,fed_auroc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6485840004017533,0.8312435097172493,45.99296,45.99296,0.5412350858791136,2.09738610354027,0.28184184502811227,0.33662952826674286,0.2317314015546142,0.2991715771874578,0.21121747109170153,0.5300809291134545,0.6725931306519055,0.11220893643801129,0.4307556893315956,0.09658681900319888,0.8480262955256554,0.17544308656983812,0.20457531143827856,0.4666898846626282,0.4128336949421407,0.2751350827010356,0.11389601892395189,0.002948221781184721,1.06934207607992,,0.002948221781184721
22.0,0.6300496502529314,0.7487096754955425,47.9744,47.9744,0.5412350858791136,2.205706329343516,0.28591709961353595,0.34259675748439955,0.24260670526958308,0.30943259382868404,0.21595278566661003,0.5635170199685008,0.682960804128937,0.11220893643801129,0.42045514953951796,0.09240317261889129,0.8112941390918034,0.16275921043255184,0.20455572629485672,0.4418075978755951,0.40808950871944644,0.2718349697340441,0.11389601892395189,0.0025429978684308866,0.9646638648118824,,0.0025429978684308866
23.0,0.6153705584724662,0.8289382869742055,49.95584,49.95584,0.5412350858791136,2.3086614706414377,0.2888814632760622,0.35529938117912196,0.2515804466676833,0.3150577332270429,0.22282468933098562,0.5414545309644887,0.693319564358001,0.11220893643801129,0.4384981739794749,0.09967860001242837,0.8751719415143346,0.17850964310886142,0.20455572629485672,0.4319252669811249,0.4111938252756343,0.27346569345211136,0.11389601892395189,0.002546142481561795,1.0087845226516947,,0.002546142481561795
24.0,0.6040086564985513,1.1507939126505478,51.93728,51.93728,0.5412350858791136,2.3830805002807383,0.2941551395842375,0.33221513295512173,0.2592127907714116,0.32484727793272056,0.20813403513894413,0.547339094679186,0.7001659089993535,0.11220893643801129,0.4495902955390866,0.1036211811034739,0.9097875595867976,0.18570225057166928,0.20457421804375336,0.4314335882663727,0.4192658429630233,0.28051232999710696,0.11389601892395189,0.0025713661599486,1.0602034444455057,,0.0025713661599486
25.0,0.6519111440669897,1.218017961518464,53.6064,53.6064,0.4559241291901578,2.0288587648881746,0.27678748347978965,0.336589390079768,0.22492811594125073,0.29357622562866836,0.21224133825031788,0.5045188169684929,0.6652286382482205,0.11220893643801129,0.45171253332318667,0.10442439195782857,0.9168397011975677,0.1821980248164092,0.20457421804375336,0.4405677020549774,0.4145756283231899,0.27626139851095294,0.11389601892395189,0.005478895944093828,0.6284571853466332,0.005478895944093828,
26.0,0.6499875394124687,1.008124902050408,55.58784,55.58784,0.5412350858791136,2.116396505722571,0.28449882625388667,0.34998517016674485,0.23336465133746892,0.30228429198749235,0.219629119668122,0.52693142042061,0.6753526397824826,0.11220893643801129,0.45162511384235154,0.10170842090152471,0.8929936433461751,0.17984496124031008,0.20467598245376023,0.45391008257865906,0.41605989169484087,0.2779860913499262,0.11389601892395189,0.0025202408789530904,1.0772796443197876,,0.0025202408789530904
27.0,0.6266060449289135,0.8731032584536182,57.56928,57.56928,0.5412350858791136,2.2419859483590847,0.2901098828942246,0.3492874204448985,0.24637956385431167,0.31281395631397885,0.21825669342344334,0.5512277585406808,0.6870484283480544,0.11220893643801129,0.45892619662410705,0.10394406174792348,0.9126224316701244,0.17914158597225857,0.20454853732423023,0.44754472374916077,0.41423546598640265,0.27616166585577595,0.11389601892395189,0.002207243076400179,0.9843973739771172,,0.002207243076400179
28.0,0.611680803314912,0.877643653704111,59.55072,59.55072,0.5412350858791136,2.310907143123926,0.2948600731661814,0.3250724312025864,0.2520730397540339,0.31729175118151365,0.20372834979670296,0.5583795186969152,0.6916694654947289,0.11220893643801129,0.4648837476518094,0.11105689633936586,0.9750726793490323,0.18572847875635556,0.20451875282422052,0.44395801424980164,0.42068927640481496,0.2809212869435148,0.11389601892395189,0.002327704002869552,1.074560145381838,,0.002327704002869552
29.0,0.6007227411657088,1.1644523715284911,61.53216,61.53216,0.5412350858791136,2.3972005617217746,0.2985221041978007,0.3315077389855947,0.26062005317575226,0.32156671149994714,0.20668799355144943,0.5741750054459964,0.7001663058375054,0.11220893643801129,0.4708555548566905,0.1142759426802144,1.0033357070760849,0.1870015474348292,0.2046204620462046,0.45506739616394043,0.4192001439165629,0.27937364951607074,0.11389601892395189,0.002327885356340711,1.1133956732228398,,0.002327885356340711
30.0,0.6474489173023634,1.2195361740677864,65.18272,65.18272,0.9971592150692714,2.000029504932429,0.2761858332512276,0.3399106144740979,0.22204813055730493,0.2921733401807224,0.21448133918288462,0.5494769930464428,0.6620450207663559,0.11220893643801129,0.47405073311638174,0.1107415786948587,0.9723042099373166,0.191959970432706,0.20472227248055003,0.4585687816143036,0.42672955709048743,0.28636970652095844,0.11389601892395189,0.002424801887891681,1.5178962831851095,0.004131443160039978,0.0019752465211178567
