round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_prevalence,fed_ece,fed_auprc_lift,fed_f1_best,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
31.0,0.591862328661428,0.7964647641110477,62.32704,62.32704,0.36082339058607577,0.5741818355645063,0.7247325621935224,0.3140659466315541,0.11468496254799516,0.3297663162486858,2.8161415352407717,0.3592151108565822,0.31696641296468026,0.20634396268421568,0.655267815590726,0.21112138341105624,1.853632685370869,0.27305218012866334,0.27374434658414665,0.4997006058692932,0.32971424938622174,0.21178878878447574,0.11389601892395189,0.006928282366348583,0.7915082804393023,0.004157716364223571,0.006948307908970193,
32.0,0.644056102041761,0.9097824039268078,65.988,65.988,1.0,0.5618919824543912,0.6857253458293744,0.26468885773717327,0.11468496254799516,0.32702883257181653,2.3328587457593937,0.32090807907946406,0.29256096891634853,0.207417735928191,0.6554971442718606,0.21130503558422997,1.8552451400897327,0.2690758149188133,0.2717288986507687,0.5418164134025574,0.3256379196545839,0.2097613590541178,0.11389601892395189,0.005288422519333087,1.4747784830597084,0.004548817665117021,0.005855025417860821,0.0041393492919408045
33.0,0.6369633297711471,0.7811389815748657,67.30896,67.30896,0.36082339058607577,0.5664428826199909,0.7030613451325245,0.28465704879322684,0.11468496254799516,0.33083769973408944,2.527899951410456,0.33868942287865705,0.3029895410530288,0.2071965683055042,0.6551530885029001,0.21088329728629351,1.8515423039245982,0.26875593542260207,0.27130218842154274,0.5432829856872559,0.33253285579649233,0.21374823391139244,0.11389601892395189,0.005529851324309001,0.6806751592084765,0.005712393466988344,0.005528546935824947,
34.0,0.6151342233822049,0.7419068019120163,69.29552,69.29552,0.5426336261527032,0.5405251717315323,0.7198667575240856,0.30118740724307197,0.11468496254799516,0.319575565543417,2.6833638853752224,0.3485180909488068,0.31568335619980664,0.20007813622211285,0.6541029252822208,0.21011484687192822,1.8447953568264877,0.26775761887821653,0.2712879760376551,0.4840940833091736,0.32597614793423124,0.21062180158376984,0.11389601892395189,0.005467382950135533,0.9233308397233486,0.0040443490942923335,0.005475023845237428,
35.0,0.5896065648153515,0.8697090430561853,70.61648,70.61648,0.36082339058607577,0.6118391112075573,0.7326691157999344,0.32094837690909217,0.11468496254799516,0.341016429300399,2.8728008624130097,0.35755560198999703,0.3189568059603319,0.21341671609779295,0.6542194218427424,0.21074752327470608,1.85035021650249,0.27032710280373834,0.27245138810835107,0.4950409233570099,0.3297304217906835,0.2128467960755567,0.11389601892395189,0.006899483091749921,0.9243843159638345,0.00367505518246001,0.006921861736537717,
36.0,0.6358558377566044,1.001608806964409,74.26704,74.26704,0.9971592150692714,0.56646382810186,0.6899175659237952,0.2692570282287054,0.11468496254799516,0.33322456910270165,2.3790778507922847,0.32227572394769227,0.29633032150529964,0.21027481207298182,0.651836469198701,0.20971892940679995,1.841319225976009,0.27210557888422315,0.2728331780055918,0.49493926763534546,0.33010759337877077,0.21215427866789194,0.11389601892395189,0.004511203308055314,1.3912358914967626,0.003953711937327445,0.0049074869808233374,
37.0,0.6391459287352239,1.0658370757349798,75.588,75.588,0.36082339058607577,0.549608349107905,0.7097091126891789,0.2933387562324591,0.11468496254799516,0.3398794551941749,2.614870759804274,0.3393857741415303,0.30543372414844205,0.2131882069466792,0.6518694366084273,0.20995333500807234,1.8433772926537293,0.27257643991467173,0.2735304511721051,0.4991846978664398,0.3323800066825644,0.21351957746412595,0.11389601892395189,0.004841896752761041,0.6916446075774729,,0.004841896752761041,
38.0,0.6368495177137664,1.1016229867038603,79.2232,79.2232,0.9929635942485031,0.5707351338828105,0.6921210894401485,0.2756875380004232,0.11468496254799516,0.33844546438372136,2.4362155849042195,0.3255749195362016,0.2864955161456987,0.21416331680750578,0.6530662778210679,0.20577811661717182,1.8067191334805952,0.2703182170972392,0.2753567296567682,0.5219799876213074,0.33096916645347574,0.21356686886397241,0.11389601892395189,0.0044811963889658055,1.4503958243876696,0.00367760873197052,0.005053579492804195,
39.0,0.6373984739152175,0.9832681302986194,80.54416,80.54416,0.36082339058607577,0.5755054757459547,0.7105688313740289,0.29416662699193974,0.11468496254799516,0.34934168727877934,2.6203318162536973,0.34496816194613145,0.3004527633577099,0.21934507429058533,0.6525554021901003,0.20637338174045478,1.8119455244370728,0.26986407337827384,0.27439510768412656,0.525032103061676,0.33379536273933913,0.2149861155673149,0.11389601892395189,0.004526886782386025,0.6891582696698606,,0.004526886782386025,
40.0,0.6413945587585677,0.9575130243377966,84.20512,84.20512,1.0,0.5783474344720082,0.6929313885740843,0.27257843994242753,0.11468496254799516,0.3448908103058619,2.418692232564301,0.3257136010514667,0.29086497104454334,0.2179987389405027,0.6517857066664042,0.20757890329805176,1.822529929133447,0.2715148751852274,0.2731754238307082,0.5086624026298523,0.34427728667304786,0.2218274303729496,0.11389601892395189,0.004895028964526753,1.6897536757624039,0.0035416450915733396,0.005858094118414552,0.004987076606371497
41.0,0.6423189388932281,0.9856032154572674,84.87072,84.87072,0.18181023556662734,0.5384855861967562,0.7155603439678986,0.29728156920319554,0.11468496254799516,0.33749066333770616,2.646211825664755,0.3424624664173739,0.3092946587664945,0.21056355679236802,0.6517705971265068,0.20781093147596846,1.824567122181183,0.2711981566820276,0.2731065874320394,0.5143449306488037,0.34128530589144906,0.21988248296750829,0.11389601892395189,0.007702479520918506,0.35708863101899624,,0.007702479520918506,
42.0,0.6139285431310757,0.9330754420943294,86.85728,86.85728,0.5426336261527032,0.595330404869116,0.7296605948842022,0.314673850826893,0.11468496254799516,0.3514752028055627,2.8066027488970113,0.35394501128472566,0.30968411011040053,0.22080198505809578,0.6518176952188949,0.20790378194657796,1.8253823435689605,0.26989543203082006,0.2733555157409777,0.5263416171073914,0.34586174996851277,0.2243698129187186,0.11389601892395189,0.005044100561897394,1.069516064831987,0.0033077874059586807,0.00505236625336381,
43.0,0.5902212597405301,1.0317185836717848,87.52288,87.52288,0.18181023556662734,0.5668985169724894,0.7404267801297365,0.33117017380645297,0.11468496254799516,0.31459826286384995,2.970251789719837,0.36917178410851437,0.323907900885434,0.19669527973694595,0.6515709855470977,0.20756488465694148,1.8224068463317589,0.2709634255129349,0.2728918779099845,0.5246405601501465,0.3418675330169174,0.2217462987576836,0.11389601892395189,0.0066937689712006565,0.33677713852375746,,0.0066937689712006565,
44.0,0.5735177736030126,1.3043157766724467,89.5248,89.5248,0.5468292469734715,0.5824011310483866,0.7501617171785271,0.34982660939467813,0.11468496254799516,0.30537956123005405,3.154735065146786,0.38218392366271847,0.33442865729657484,0.19037107825553898,0.650765222899095,0.20603539056136957,1.8089779827944552,0.2692178583417254,0.2726184777405457,0.5124342441558838,0.3294165837763859,0.21721841486530305,0.11389601892395189,0.0058335882038691965,1.3104767890181392,0.003150068829342611,0.005853784982076532,0.0034713058682962544
45.0,0.5438315650442817,1.561449375657475,90.1904,90.1904,0.18181023556662734,0.5756951132827358,0.7627642782935572,0.36141684910667105,0.11468496254799516,0.2918693348406897,3.2788790139012542,0.3890569535364887,0.3457131304421687,0.18157444750176005,0.6506453505360548,0.2060854247669971,1.8094172800245096,0.2684638520663919,0.27133002541449835,0.5155030488967896,0.3300780193318941,0.218127140416715,0.11389601892395189,0.005643251585975972,0.3120272643864155,,0.005643251585975972,
46.0,0.5302685897805939,1.9080584050897138,92.17184,92.17184,0.5412350858791136,0.6259351428808029,0.7703698979710872,0.380416655143333,0.11468496254799516,0.31817457793655335,3.469803830816326,0.4016051229688361,0.34409502354044025,0.1969626636947589,0.6494977408225984,0.20463732740300777,1.79670307475491,0.26950195858981535,0.2719612386770592,0.4893589913845062,0.3356043517667284,0.22116590343798223,0.11389601892395189,0.00641558973562722,1.508733312599361,,0.00641558973562722,
47.0,0.5005335494664946,3.288127467937339,92.83744,92.83744,0.18181023556662734,0.604755313806374,0.7876909111675583,0.4003658313943961,0.11468496254799516,0.2930417764508551,3.671784938321376,0.42195530398023273,0.3628693741668283,0.18117541945301247,0.6495192756817878,0.20444421357040826,1.7950075472516314,0.26909741639637624,0.27289266221952696,0.514873206615448,0.3318565595350901,0.21944486472318908,0.11389601892395189,0.0071621754706582205,0.43194567132741213,,0.0071621754706582205,
48.0,0.6607990418004066,2.185990122140144,96.4984,96.4984,1.0,0.5661051475154586,0.6941222826030027,0.27632426206503186,0.11468496254799516,0.3177120115020235,2.4479551366269297,0.3258026626825682,0.29622256841268146,0.20221953478149757,0.6486211867173189,0.2049579076214249,1.7995177492399874,0.2735533237685318,0.27470645792563597,0.5032655596733093,0.3166549865792153,0.20674206185106742,0.11389601892395189,0.003777570992820209,1.4990200397587614,0.003394728846396532,0.004007210164599871,0.006055781058675749
49.0,0.6479305207798356,1.827573064066924,97.164,97.164,0.18181023556662734,0.5481972510259251,0.7181984438414449,0.2995783438933291,0.11468496254799516,0.3337108849110866,2.6694432407253355,0.344057941040778,0.30806961563508234,0.20878527135254946,0.6487101246818149,0.20488342742880308,1.7988638177564686,0.27357930952663423,0.27433194410394707,0.5053983926773071,0.32108750797685737,0.20932976833950082,0.11389601892395189,0.0038140288348521576,0.23733868449926376,,0.0038140288348521576,
50.0,0.6116863958046257,1.1016404711493784,99.14544,99.14544,0.5412350858791136,0.5637978607242443,0.7311186325220391,0.3146140988630974,0.11468496254799516,0.3125646481791636,2.814959991759558,0.3610019987768456,0.32014046254476825,0.19540245027087738,0.6487199383530773,0.20487076176262642,1.7987526139909962,0.2738498789346247,0.27482014388489207,0.49855005741119385,0.3191437194898865,0.20809074524413387,0.11389601892395189,0.0035004689257409115,0.8790508134989068,,0.0035004689257409115,
