round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_auroc,fed_ece,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
29.0,9.23891474123074,1022.8754812606278,106.16784,106.16784,1.0,2.247835525200575,0.11392245720040284,0.6850862256175593,0.3754933292003047,0.2922428370470607,0.5958986081734435,0.3335806571325866,0.2376633725045566,0.25570678412730835,0.658055149218252,0.21583407472297483,1.8950098235398969,0.27017088470690026,0.27633668607728956,0.5946086645126343,0.37599555916536365,0.2404227851199319,0.11389601892395189,0.0033831684451397686,1.200267910169714,0.002359414995511208,0.0044092154256382046,0.0029561065484580446
30.0,9.361120030172291,1296.660838630332,109.8288,109.8288,1.0,2.251674564400656,0.11392245720040284,0.6848480855008768,0.3794229740965343,0.29431609639127526,0.601100779201344,0.3361689849513742,0.24064886415587589,0.2560496310478347,0.657818115173748,0.2175128277630754,1.9097491713762904,0.27168576104746317,0.2790628706998814,0.6146524548530579,0.37987359781511004,0.2432321931769524,0.11389601892395189,0.0032683887878447115,1.1938323563026643,0.002208933064640246,0.004340591268826616,0.002524822488650839
31.0,9.391861893734896,1155.8756629492511,113.48976,113.48976,1.0,2.2425595828629588,0.11392245720040284,0.6859644011598214,0.3756851439100708,0.2978698205689045,0.5868532687560669,0.3317470587434747,0.23756633734766525,0.2550409819997412,0.6509590240823477,0.21291091598082884,1.8693446706244314,0.275337253545486,0.2793068297655454,0.5626503229141235,0.376375577211788,0.24041050844546416,0.11389601892395189,0.003344058369152765,1.2604930624074768,0.002217139341223141,0.004489694861337913,0.0025643785546412535
32.0,9.28407862910105,1239.796207699847,117.15072,117.15072,1.0,2.2367911357852335,0.11392245720040284,0.685311368890669,0.37772383649851315,0.29522204374220246,0.5924022406778577,0.3345951100631452,0.2394735853174194,0.2544507428089944,0.657788184731343,0.21660067535905075,1.9017405296990628,0.27518481738938544,0.278829604130809,0.5691865086555481,0.37820325042990377,0.24194504666939115,0.11389601892395189,0.0032728377311935365,1.2714036639426922,0.002169296215518018,0.004398403997365076,0.002856613852900997
33.0,9.294573847236286,1218.2411695149372,120.81168,120.81168,1.0,2.2262551780179125,0.11392245720040284,0.6854409323580195,0.3791619013030783,0.2875266647526745,0.5887640828730056,0.33471531622554723,0.24059661544696526,0.25365368028655555,0.6537849096256252,0.208795433113807,1.8332109856554268,0.2700645024849318,0.2726552777463514,0.5406653881072998,0.37937448430963705,0.24296895105763172,0.11389601892395189,0.003077206793573981,1.2298594507901726,0.002020249632175717,0.004160992322839365,0.002733688039208374
34.0,9.33007591978877,1265.120991056484,124.47264,124.47264,1.0,2.2255347554673306,0.11392245720040284,0.6889002584085501,0.36675328527992707,0.30407750164174746,0.5699885412506677,0.3362915487653801,0.23044154678849676,0.25391205674178763,0.6527239287775444,0.20518753685734714,1.8015338797254221,0.27485167695846957,0.2759843018103557,0.5278372168540955,0.3669359237428124,0.23328791575163954,0.11389601892395189,0.003165361481563993,1.3005267072057904,0.0020083639293471366,0.00435389952395801,0.003596586129992539
35.0,9.557260440079244,1857.4134842843546,128.1336,128.1336,1.0,2.2503833822337604,0.11392245720040284,0.686508604396623,0.37459120956837594,0.29989026762177323,0.5849223810774232,0.33810418808650605,0.23644413971974346,0.25650444684888335,0.6468852210578394,0.2080052812336618,1.8262735010303253,0.27273772565252385,0.276344676180022,0.590268075466156,0.37497859009649337,0.23952749057658548,0.11389601892395189,0.003077130098704562,1.3036515830008284,0.0018610030311566885,0.004329834652409716,0.002524442543444692
36.0,9.375307208339645,1284.6442808697661,131.79456,131.79456,1.0,2.2616497632923256,0.11392245720040284,0.6910861111596952,0.3752041122588176,0.30478905077873775,0.5665864773030876,0.33648770863768235,0.23674137891827254,0.25789421760699816,0.6465065915493297,0.2048854208266568,1.7988813196663032,0.2714848274264536,0.27605633802816903,0.5384254455566406,0.3758805833610304,0.2402780818123459,0.11389601892395189,0.003000641442160505,1.3100262014095279,0.001902896888840082,0.004127114663489872,0.00341478138059335
37.0,9.370296483911009,1435.9235626167301,135.45552,135.45552,1.0,2.251457616103712,0.11392245720040284,0.6952058643357888,0.3727293199965542,0.3010784679232175,0.5891707940280347,0.3385707917111275,0.23503716012439638,0.25585873871450127,0.6505720115400743,0.20194287636146363,1.7730459613017768,0.27257278803670554,0.275974025974026,0.5925671458244324,0.3733388146292648,0.23852832668511326,0.11389601892395189,0.0030633417148216483,1.3753224215561204,0.0018313725340052456,0.004330414418350148,0.002961530816119245
38.0,9.247224709638546,1539.6055803447964,139.11648,139.11648,1.0,2.3224465325280743,0.11392245720040284,0.695474587593072,0.37780935062735166,0.3013081911532633,0.5906483025776834,0.3396879002260191,0.23871065718348558,0.26532657740730947,0.6447330653807863,0.2064594971957573,1.8127016128071152,0.27121750085900814,0.2752459865354739,0.5766808986663818,0.37828021731012584,0.24216583338227263,0.11389601892395189,0.002957303425892813,1.3647645571454632,0.0017195272055948118,0.004228407363176537,0.0027592062474014857
