round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_ece,fed_auprc,fed_brier,fed_auroc,fed_prevalence,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
24.0,0.6441900371545517,1.4298300876350107,87.86304,87.86304,1.0,0.3413695007757888,0.30230572410908746,0.5773366050589219,0.3323402440329453,0.27980055637238505,0.2097633758993571,0.7065576182565152,0.11498520989363713,2.4323956342479103,0.6568495484882955,0.21950145338468324,1.927209181308118,0.2726297726297726,0.27588075880758806,0.5405613780021667,0.3328377494371566,0.21525484521314456,0.11389601892395189,0.004376727902210801,1.7588617516994418,0.002517800226344146,0.00650365495565988,0.0038450019924685538
25.0,0.6415681286160103,1.4043298595665306,91.524,91.524,1.0,0.34119131746476145,0.30488224940240555,0.5725067849257226,0.323860121109955,0.2836747436927328,0.20436588105431042,0.7095759808192159,0.11498520989363713,2.467181426722107,0.6545957673510351,0.21704900614397646,1.9056768462548246,0.27054945054945057,0.27956989247311825,0.5326657891273499,0.32374944557028057,0.21025716841099154,0.11389601892395189,0.00409789946070568,1.7147713515059877,0.002281612837081688,0.006190509002420082,0.003999893351621085
26.0,0.6417163999474957,1.3903789684528527,95.18496,95.18496,1.0,0.3398261400197525,0.3074987096083951,0.5746517910933479,0.32206920202348716,0.284046961218033,0.20278968571878733,0.7101488925211797,0.11498520989363713,2.4735705536202737,0.6538417335431133,0.21720803675587144,1.9070731251888686,0.2740656851642129,0.27828834003446296,0.5400565266609192,0.32191035638887366,0.20871787776611742,0.11389601892395189,0.004117643964047255,1.7936155314964708,0.0023186808911825276,0.006193935672560089,0.005885073728739554
27.0,0.647516379520397,1.5005823876511402,98.84592,98.84592,1.0,0.3425132256067289,0.3076239580247865,0.5755653987916545,0.32428392450975757,0.28595162513842703,0.2046585750024263,0.7122363185322554,0.11498520989363713,2.484295932689179,0.6535593332305617,0.21848922591954928,1.9183218867854726,0.2734357604097083,0.27549776513612356,0.5327659249305725,0.3245948140293083,0.2113302351487284,0.11389601892395189,0.004290718435679138,1.9425868729103968,0.0022121151967924597,0.006709661418117872,0.005480042316952472
28.0,0.6482252683918167,1.8441085840917188,102.50688,102.50688,1.0,0.34786439628872995,0.3112381445576727,0.5798142458292813,0.31436045553741077,0.29184371466656683,0.19813578939282525,0.7142057004519394,0.11498520989363713,2.5333510036215223,0.6518774431586387,0.21670079921078395,1.9026196109231401,0.27462615713268457,0.27592425608656446,0.5139812231063843,0.31454046898538307,0.20529878215008912,0.11389601892395189,0.0037398120767818985,1.7606694303176482,0.002106432673016616,0.005639523542395258,0.0058705417910146955
29.0,0.6466029513412366,2.0253301087805053,106.16784,106.16784,1.0,0.34470853160861603,0.3149219454439049,0.5508024982774647,0.32007149196092083,0.2911314380469152,0.20044575926496214,0.7144338394272416,0.11498520989363713,2.52344886806511,0.6493971067690788,0.21546122903650783,1.8917362614787334,0.2701519756838906,0.27285406364904274,0.5063686370849609,0.3200404323030642,0.2075284627724138,0.11389601892395189,0.003783884063379908,1.8453617611030495,0.0019813428712676926,0.005894220624644313,0.004804605845825993
30.0,0.6495401001538643,1.9704745740976413,109.8288,109.8288,1.0,0.3501090233835295,0.3076862498226972,0.5760633250327654,0.32458920765453075,0.2923150581240923,0.20427548481063865,0.7156751387428443,0.11498520989363713,2.545403289534209,0.6519589267488,0.21728899269581511,1.9077839133332524,0.27125506072874495,0.2750588526824433,0.514754056930542,0.32463004220329056,0.2115269323169631,0.11389601892395189,0.0034468758135872512,1.745866310011479,0.0019426447473594815,0.0052022457524905285,0.004104537334696459
31.0,0.6468751033483371,1.8477877872854436,113.48976,113.48976,1.0,0.3490065774099442,0.3054226662943298,0.5859391901549944,0.32619584977609484,0.2963788024736181,0.2061796011839783,0.7164768810455073,0.11498520989363713,2.5744410083540394,0.6487837146668305,0.21418302799203173,1.8805137353838615,0.2719345462374852,0.2723707664884136,0.5152540802955627,0.3268598171931073,0.21439051123912148,0.11389601892395189,0.003238116804990691,1.6971194085754178,0.0017290921782091978,0.005003379423581184,0.004179053159066506
32.0,0.6420635051211858,1.8249690526412636,117.15072,117.15072,1.0,0.3510623721368008,0.3092037266238814,0.5835499309879755,0.32724434103763506,0.2965433666120755,0.20559623071561406,0.7180396670824237,0.11498520989363713,2.5775565812673964,0.6494139104849614,0.2158497770118953,1.8951476886652001,0.27040593627237014,0.27524346488980006,0.5237336754798889,0.32757944881725765,0.21348041943724091,0.11389601892395189,0.003197721850681916,1.7337375667411834,0.0016295881290044874,0.005032120133887679,0.003973472056943506
33.0,0.6420778031458177,1.8464727743136435,120.81168,120.81168,1.0,0.35254205944799893,0.3112175958197007,0.5788892460380316,0.3174420175665963,0.2998481075654761,0.2011256633663504,0.7191855065436451,0.11498520989363713,2.603280550534175,0.6454787789022031,0.21154328933326205,1.8573369932667183,0.26879823594266816,0.27350652775946194,0.5282204747200012,0.3171757218870888,0.2099736095303232,0.11389601892395189,0.0030283517977172424,1.6980429132972858,0.0015650820574854298,0.0047371985389329406,0.004831416457534942
