round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_brier,fed_auprc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
22.0,9.011972105786544,694.2271878258601,47.9744,47.9744,0.5412350858791136,0.672545618434538,0.5910437709997101,0.24209347437326267,0.2388553096292806,2.191601368956516,0.11164254247954684,0.38243780889325046,0.2822658536508989,0.3103242259864659,0.6108415642259104,0.17463422119334532,1.5332776583696766,0.001763668430335097,0.27429551055394835,0.4808858335018158,0.36638434831332567,0.2343235088583192,0.11389601892395189,0.00564615404487239,0.6590950714889914,,0.00564615404487239
23.0,8.680751450989558,925.7271308798641,49.95584,49.95584,0.5412350858791136,0.676860628701436,0.521119438514085,0.2338132603585969,0.24389405455030427,2.2547540342785974,0.11164254247954684,0.3725177863883551,0.29517316160787976,0.31444359359811325,0.6241182190480699,0.1813155774333638,1.5919395528163964,0.0,0.27488025545502925,0.49312078952789307,0.3645957746142271,0.23285374033494194,0.11389601892395189,0.005839709536322111,0.6972635802812874,,0.005839709536322111
24.0,8.48202808014129,650.2430541987052,51.93728,51.93728,0.5412350858791136,0.6784913154452621,0.5864507919403649,0.23386047487535924,0.24937823229308953,2.3311996163981443,0.11164254247954684,0.3728872184842693,0.29575837417784917,0.31999898187166553,0.6396283750934746,0.18262473501766757,1.603433875415836,0.007867132867132868,0.27403622851834647,0.48528817296028137,0.36366960701191753,0.2320491322464571,0.11389601892395189,0.0056780810593329714,0.6984943740535527,,0.0056780810593329714
25.0,9.481216457571373,1677.3321144004105,53.6064,53.6064,0.4559241291901578,0.6642555627870256,0.5748180154624264,0.2375422133327364,0.2292759366172638,2.0902819993600072,0.11164254247954684,0.375843807064639,0.28040376447923143,0.298843414606056,0.6339106566380148,0.18305106028664359,1.6071769849029258,0.017233950883239983,0.27713458755426923,0.4816238284111023,0.3625897930123088,0.23125604270381306,0.11389601892395189,0.008208317246237136,0.4912866740487516,0.008208317246237136,
26.0,9.420785182818037,714.6402003313844,55.58784,55.58784,0.5412350858791136,0.6671483539963114,0.6060070193999214,0.2465872986866619,0.23032662528342518,2.1090544403654623,0.11164254247954684,0.38758112203782275,0.27282903481233506,0.3013259672515495,0.6510451133212982,0.19851808843489688,1.7429765351802766,0.015550755939524838,0.27733205604119265,0.48050037026405334,0.36126903259848375,0.23021810379553687,0.11389601892395189,0.004446585618624185,0.5587856962229125,,0.004446585618624185
27.0,9.079627945090547,902.7208463417203,57.56928,57.56928,0.5412350858791136,0.6735508077923449,0.5857694113157018,0.2450196598975858,0.23434378177211201,2.1508266784670083,0.11164254247954684,0.38627792477720246,0.2825318151230604,0.31031126980769663,0.65952593241297,0.20811641477884682,1.8272492466817973,0.16776315789473684,0.27704581167653813,0.4836733937263489,0.36064506113466205,0.22956760053579356,0.11389601892395189,0.0046341973630526995,0.5910983458161354,,0.0046341973630526995
28.0,8.81266211257249,758.031800058205,59.55072,59.55072,0.5412350858791136,0.6791724716781459,0.582634184210836,0.23479605124993483,0.2452298450248504,2.266609100417997,0.11164254247954684,0.3737254839674191,0.29652596552643845,0.3158291318847211,0.6598965679207199,0.2054086004744391,1.8034748046074371,0.20577516119988787,0.27645422662958036,0.48364678025245667,0.35923316636193026,0.22838952619380715,0.11389601892395189,0.0036687149001608027,0.47780173359205946,,0.0036687149001608027
29.0,8.53362427129013,756.0549149908278,61.53216,61.53216,0.5412350858791136,0.6804904895373919,0.522609767345905,0.23166951349998588,0.24831663373787316,2.2987230274685477,0.11164254247954684,0.3696528851423269,0.3005333779685035,0.3172516262093147,0.6596452024023265,0.20965099178056812,1.8407227378206397,0.23526627218934912,0.27757065544197235,0.48205140233039856,0.3615397089734472,0.23018038732485943,0.11389601892395189,0.004914137110611318,0.6525212221895345,,0.004914137110611318
30.0,9.38258194840722,915.4845201029545,65.18272,65.18272,0.9971592150692714,0.6646446305515951,0.5688357436390624,0.23864072901334962,0.22806669742478602,2.0786750085443586,0.11164254247954684,0.37731360348048176,0.27782759636125043,0.2976573248839178,0.6581621583932566,0.20894586033629595,1.8345317273627326,0.19478981645944346,0.27510063254744105,0.4832160770893097,0.3625958161818087,0.23102342340377252,0.11389601892395189,0.004215304205253255,0.842913008062169,0.006771337679045775,0.0030164183699835567
31.0,9.372531667652463,816.0068829233554,67.16416,67.16416,0.5412350858791136,0.6719412856418562,0.5424657880941074,0.23279630767883241,0.23354956139794542,2.13419457719176,0.11164254247954684,0.37033094998948446,0.2889276335484961,0.30414320934195105,0.6595576448775222,0.20944851317004873,1.8389449881465745,0.20936794582392776,0.27448772798919163,0.4774533212184906,0.36169706583863037,0.23030948694375272,0.11389601892395189,0.003662928872460506,0.5053471216233447,,0.003662928872460506
