round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_f1,fed_prevalence,fed_auprc_lift,fed_ece,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.5814764403219959,0.4913667164183046,32.85504,32.85504,0.9971592150692714,0.30830889833786673,0.6688141359627108,0.21549020284405654,0.0665903028643892,0.11468496254799518,2.1850301433158323,0.06281950019565892,0.10683093219086424,0.24791084654756992,0.65141158241107,0.20931645197817042,1.8377854990518196,0.20796191720726187,0.2739907346128391,0.5183535814285278,0.40033469524601456,0.2602662349700017,0.11389601892395189,0.0077282085953026495,1.3077052957378328,0.006024389575518798,0.009193043634141819
22.0,0.5827031981046364,0.4939141453109059,32.85504,32.85504,0.0,0.32121250155467324,0.6841500618840798,0.23098841677410162,0.07842489643784896,0.11468496254799518,2.3327826176247086,0.06532697886062777,0.1083066624521753,0.2631247562237179,0.65141158241107,0.20931645197817042,1.8377854990518196,0.20796191720726187,0.2739907346128391,0.5183535814285278,0.40033469524601456,0.2602662349700017,0.11389601892395189,0.0,0.0,,
23.0,0.5613768092296291,0.4345082520615849,32.85504,32.85504,0.0,0.32878790874544317,0.6971554908936304,0.24795722236955647,0.08848591155786312,0.11468496254799518,2.4904098659357907,0.0769168036442517,0.10845661333125595,0.28048227609965926,0.65141158241107,0.20931645197817042,1.8377854990518196,0.20796191720726187,0.2739907346128391,0.5183535814285278,0.40033469524601456,0.2602662349700017,0.11389601892395189,0.0,0.0,,
24.0,0.5443877679181005,0.5559547504440896,32.85504,32.85504,0.0,0.34314302166201976,0.7086614291682839,0.2709195779446216,0.14765994079534708,0.11468496254799518,2.6436598202287063,0.07501962608906626,0.10533442619171525,0.2968431802586755,0.65141158241107,0.20931645197817042,1.8377854990518196,0.20796191720726187,0.2739907346128391,0.5183535814285278,0.40033469524601456,0.2602662349700017,0.11389601892395189,0.0,0.0,,
25.0,0.5781250594599816,0.5021940382866692,36.5056,36.5056,0.9971592150692714,0.30815039414773004,0.6700692452324075,0.2302700507075819,0.07965585737309384,0.11468496254799518,2.214769472791128,0.07403608771159334,0.1098728683626982,0.2516642878125306,0.6519176390525685,0.2138399904818553,1.877501887266453,0.20513518417710033,0.2699955150246673,0.5219832062721252,0.4040938633498251,0.26328827789068454,0.11389601892395189,0.006887476494122816,1.2306628210935742,0.0053002666704813515,0.008281480053827959
26.0,0.5754540056571569,0.4587281668322836,36.5056,36.5056,0.0,0.31981510241313693,0.6809844394888876,0.22496051068680992,0.09286070165258777,0.11468496254799518,2.3317928631383604,0.07393021807547034,0.10773117264334472,0.2637067342610398,0.6519176390525685,0.2138399904818553,1.877501887266453,0.20513518417710033,0.2699955150246673,0.5219832062721252,0.4040938633498251,0.26328827789068454,0.11389601892395189,0.0,0.0,,
27.0,0.5540715180270122,0.4451090891297332,36.5056,36.5056,0.0,0.32777317322449007,0.6907415002846432,0.23964290015571568,0.10833522018222244,0.11468496254799518,2.464363104817878,0.07216146828920585,0.10738906486046154,0.27750521319158217,0.6519176390525685,0.2138399904818553,1.877501887266453,0.20513518417710033,0.2699955150246673,0.5219832062721252,0.4040938633498251,0.26328827789068454,0.11389601892395189,0.0,0.0,,
28.0,0.5397358682778475,0.5943428627248473,36.5056,36.5056,0.0,0.3399862010516309,0.7037921908319882,0.23548745915885536,0.11169915437647922,0.11468496254799518,2.6506679139812563,0.06291530579581196,0.10452364504352442,0.2974262941785234,0.6519176390525685,0.2138399904818553,1.877501887266453,0.20513518417710033,0.2699955150246673,0.5219832062721252,0.4040938633498251,0.26328827789068454,0.11389601892395189,0.0,0.0,,
29.0,0.5775735180994996,0.5268381784297878,40.15616,40.15616,0.9971592150692714,0.30891427769818136,0.6718364216683098,0.24129624557857537,0.0890385203489454,0.11468496254799518,2.2461582822080106,0.0762259688704611,0.10989282231349111,0.25484020958675196,0.6078066926627723,0.19895997312344607,1.7468562554086389,0.2045002711006687,0.25462502486572514,0.5283114314079285,0.4109074491020345,0.26933108200340755,0.11389601892395189,0.007087116090440565,1.336182941449806,0.005232897785149778,0.008752250629042333
30.0,0.5744786058859225,0.5105852004115681,40.15616,40.15616,0.0,0.3194636120787603,0.6832663758816138,0.2457604889702885,0.09026083979700963,0.11468496254799518,2.389626249653109,0.07749770998982557,0.10903758485231109,0.2702894321839573,0.6078066926627723,0.19895997312344607,1.7468562554086389,0.2045002711006687,0.25462502486572514,0.5283114314079285,0.4109074491020345,0.26933108200340755,0.11389601892395189,0.0,0.0,,
